-0.0032395+0.00070444i,-0.0033067+0.0010237i,-0.00378+0.0034857i,-0.0025484+0.0036565i,-0.00086777+0.0025376i,0.00047242+0.0026159i,0.00057384+0.0016905i,0.0010101+0.00022433i,0.0012538+0.0002332i,0.00049591+0.00084024i,0.00014719+0.00023591i,0.0006084-0.00054498i,0.00070682-0.0008087i,-7.1148e-06-0.0010683i,-0.00093527-0.001087i,-0.00081452-0.00030382i,-0.00081094+0.00018223i,-0.00078795-7.5782e-05i,0.00033563-0.00017889i,0.00076468-0.0001518i,0.00034059-0.0002205i,0.00016938-0.00037432i,0.00024439-0.00022935i
0.0013159+0.00085621i,0.001582+0.0011573i,0.002129+0.00011109i,0.002061-0.00049057i,0.00059742+3.3427e-05i,-0.00076748-0.00069707i,-0.00067425-0.0015216i,-9.1341e-05-0.00061808i,0.00050737-2.9795e-06i,0.00054947-0.00029899i,-3.8073e-06-0.0012181i,-0.00064315-0.0013315i,-0.00049169-0.0010369i,3.2563e-05-0.00048907i,-0.0001343+0.00065555i,-0.00021412+0.00018073i,-0.00018191-0.00068106i,0.00017738-0.00019149i,0.0003301-7.5944e-06i,0.00023707-0.00065491i,-0.00035607-0.00061862i,-0.00077523-6.6299e-05i,-0.00030296-8.281e-05i
-0.0016538-0.0018603i,-0.0019615+0.00017213i,-0.0022016+0.0018579i,-0.0011905+0.0016323i,-0.00024521+0.0012933i,0.00075918+0.00091845i,0.00067511+0.00022355i,-0.00011473-0.00031488i,0.00032065-0.00046668i,0.00013976-0.00075587i,3.1827e-05-0.00047981i,0.00033542+0.00026705i,-0.00039+0.00018919i,-0.00021268+7.8343e-05i,-0.00026448+0.00038918i,-0.0010135+0.00055474i,-0.0013963+0.00032451i,-0.0008235+0.00024449i,-0.00016954+0.00025679i,-4.2484e-05+0.00018886i,-9.0898e-05+0.0003389i,0.0002108+2.4658e-05i,0.00042677-0.00038814i
0.00039883-0.00016934i,0.0016385-0.00076663i,0.0018238-0.00078401i,0.0012597-0.00079933i,0.00053617-0.0013039i,-0.0004143-0.00085159i,-0.00044513+0.00031492i,-0.00062718+0.00014171i,-0.00083634-0.00042172i,-6.7637e-05-0.00088975i,0.00012362+6.9706e-05i,-8.3493e-06+0.00086842i,-0.00036907-5.3022e-06i,-0.00055863-0.00026636i,4.4431e-05-0.00024924i,0.00090799-0.00045653i,0.00060797-0.00031586i,0.00012281-9.5662e-05i,-0.00030173-0.00018423i,-0.00039587-0.00013174i,-0.0004575-1.027e-05i,-0.00016819+0.00044341i,0.00032775+0.00079748i
-0.00024237-0.0016117i,-0.0010815-0.0024989i,-0.0025812-0.00288i,-0.0036972-0.0012404i,-0.0033793+0.00058309i,-0.0024099+0.0011535i,-0.00085603-0.00012863i,0.00022242-0.0004471i,-4.0408e-06-0.00020106i,-0.00037225-0.00062768i,-0.00060134-0.00057073i,-0.00019417-0.000592i,0.00021497-0.00066009i,0.00045896-1.2182e-05i,0.00032923+0.00056063i,-0.00029019+0.00049453i,-0.00018776-0.0001799i,0.00032535+0.00012161i,0.00060845+0.0007266i,0.00053306+0.0010034i,-0.00033117-0.00026001i,-0.0006334-0.0012772i,-0.00020706+2.1785e-05i
-0.0021036-0.001571i,-0.00062233-0.00018812i,-0.00077793+7.6642e-05i,-0.0014043+0.00066217i,-0.00039798+0.0014422i,0.00037983+0.0006481i,1.9869e-05-0.00038261i,0.00058508-0.0004274i,0.00054489-0.00056929i,-0.00066101-0.00099535i,-0.00082902-0.00041956i,-0.00019737+8.8205e-05i,0.00045316+0.00013145i,0.00094326+0.00012054i,0.00029609+0.00016615i,-0.00082869-0.00032267i,-0.00043831-0.00047591i,0.00050044-0.00049937i,0.00055425-0.00028941i,0.0008459+4.491e-05i,0.00073519+2.4085e-05i,3.36e-05+0.0001577i,-0.00056708-0.00018983i
0.0012036+0.00077209i,0.00065024+0.00065459i,0.001302-0.0006157i,0.0013472-0.002006i,0.00034534-0.00090669i,-0.00080307+0.0007805i,-0.0011204+0.00073735i,-0.00040255-1.3301e-05i,0.00065363+2.9791e-05i,0.00035767+0.0012094i,-0.00017283+0.00096563i,-3.197e-05-0.00017532i,-0.00026657-0.00080834i,-0.00034475-0.00096621i,0.000266-0.00046105i,-0.00017794+0.00041466i,-0.001406+0.0009018i,-0.0016056+0.00038073i,-0.001184-0.0001266i,-4.3199e-05+0.00015906i,0.00060101-0.00041353i,0.00010609-0.001267i,0.0002784-0.00096015i
-0.001263+0.00051326i,0.0008032+0.00083013i,0.00043887+0.0012287i,-0.00092163+0.0012776i,0.00020663+0.0012934i,0.0009819+0.0010157i,-0.00042348-0.00017879i,-0.00082761-0.00048232i,0.00023548-0.00078849i,0.0011399-0.0010418i,0.00060142-0.00055943i,-2.3808e-05-0.00016701i,0.00013482-2.0051e-05i,-9.2772e-05+5.9572e-05i,-0.00087641-2.7345e-05i,-0.00070888+0.00022103i,0.00034611+0.00065831i,0.00079277+0.00087065i,0.0005395+0.00073098i,0.00026817+9.7152e-05i,-0.00042968-0.00017375i,-0.00089726-0.00023093i,-0.00045981+0.00017015i
-0.0024983+0.0018668i,-0.0018143+0.0025667i,-0.0020799+0.0034836i,-0.0013781+0.0040586i,0.00028549+0.002869i,0.00060634+0.0016577i,0.00016542+0.001203i,-0.00039737+0.00031656i,-0.00047384-0.0005881i,-0.00042173-0.00086254i,5.6846e-05-0.00072554i,0.00050828-0.00079413i,0.00026489-0.00078656i,-0.00076131-0.0007497i,-0.00074745-0.00071902i,7.1274e-06-0.00068434i,4.8706e-05-0.00016745i,-0.0005747+0.0004013i,-0.00073218+0.00038828i,-0.00027282-0.00014336i,0.00037651-0.00021194i,0.00077257+0.00030667i,0.00075942+0.00011129i
-0.00035468-0.0007799i,-0.0012401+0.0008199i,-0.0024318+0.00067033i,-0.0027236-0.00025909i,-0.0020411+2.1086e-05i,-0.0010803+0.001355i,-0.00026974+0.001687i,0.00069481+0.00084515i,0.00077683+0.00014694i,0.00047416-8.1825e-05i,0.00044882+0.00035362i,5.7422e-05+0.00050021i,0.00022083+0.00010661i,0.00011602-0.00013652i,-0.00037597+0.00024303i,7.5699e-05+0.00042898i,0.00042325+5.5547e-05i,-0.00020675-0.00016007i,-0.00060101-0.00014352i,8.9157e-05+9.0654e-06i,0.00076102+0.00030503i,-2.4114e-05+0.00050988i,-0.00011116+0.00069526i
-0.0016167-0.0011361i,-0.00074462-4.1792e-06i,-0.00042329+0.00093215i,0.00027101+0.0015162i,0.0011389+0.0013256i,0.00063395+0.0011992i,-0.00031842+0.00068383i,-0.00034337+0.0006834i,-0.00052056+0.0011424i,-0.00051568+0.00044139i,-0.00050946+0.00024165i,-0.00059679+0.00018437i,-0.00035623-0.0003169i,-0.00054194-0.00039111i,-0.00097155-0.00048898i,-0.00015423+0.00033456i,0.00012962+0.00057971i,-0.00015185-0.00025713i,-0.00010508-0.00070499i,-1.2783e-05-0.00044027i,-0.00021779-2.7628e-05i,-0.00017745+0.0002486i,2.1352e-05+0.00091105i
0.0018276-0.00014291i,0.0012642-0.0012451i,0.0016804-0.0029865i,0.0015879-0.0029273i,-0.00010877-0.001957i,-0.00069116-0.0003648i,-0.0011613+0.0010146i,-0.0011159+0.001166i,9.9368e-05+0.00047321i,0.00053129-0.0006458i,0.00045982-0.0014929i,0.00063154-0.00092596i,0.00053406+0.00030028i,0.0004771+0.00098542i,0.00087215+0.00078663i,0.00047468+0.00017219i,-0.00038736-0.00020608i,0.00043389-0.00032963i,0.0012623-0.00057361i,0.00089604-0.00067263i,0.00036312+0.00017606i,0.00052194+0.00057043i,0.00037662+0.00026939i
