0.0018568+0.00072778i,0.0030851+0.00042267i,0.0032238-0.00036935i,0.001663-0.00059727i,-0.00012482-0.00053769i,-0.00062329+0.0010568i,-0.00025306+0.0018532i,0.00046653+0.0023132i,0.0013326+0.0018315i,0.0017861-0.00011279i,0.00048034-0.0014592i,-0.00020055-0.00096291i,8.1635e-05-5.0264e-05i,-0.00049718+3.0904e-05i,-0.00055753-0.00055876i,-0.00041419-0.00020852i,-0.0007387+0.00048089i,-0.00062022+0.00036915i,-8.8494e-05+0.00048655i,0.0001801+0.0010813i,0.00052504+0.00092736i,0.0010373+0.00054361i,0.0011467+0.00060526i
0.00015252+0.0028615i,-0.00058834+0.0022843i,0.00051258+0.0022999i,0.0014556+0.0020885i,0.002153+0.0015583i,0.0013036+0.0010099i,1.398e-05+4.9794e-05i,9.5009e-05-0.00041634i,-4.4094e-05-0.00059942i,-0.00033637-0.00090093i,7.8558e-05-0.00012718i,4.0786e-05-4.9141e-05i,0.0003541-0.0001852i,0.00049676+0.00014506i,-0.00030802+0.00035426i,-0.00051978-0.00012789i,-0.00021208-0.00011009i,0.00042373+0.00058688i,0.0011088+0.00031717i,0.0013657-1.3355e-05i,0.00028717+0.00039888i,-0.0010153+0.0013162i,-0.0011688+0.00064464i
0.00015967+0.0021779i,0.0010653+0.00098341i,0.0024523+0.00060546i,0.0031703+0.00039342i,0.0027568+9.3395e-05i,0.0020187+0.00023895i,0.00089814+6.0084e-06i,9.9922e-05-0.00046903i,0.00055596-0.00040678i,0.0014251+0.00020032i,0.0011467+0.00059708i,0.00018844+0.00022849i,-0.00034258+0.00016682i,-0.00020909-0.00022692i,0.00039084-0.00058901i,-0.00013505-0.00039212i,-0.00020446-0.00029113i,0.00059748-1.914e-05i,0.00054258+0.00016891i,4.7368e-05+0.0001113i,-0.00081047-0.00080323i,-0.00084466-0.0011859i,0.00017088-0.00026573i
0.001306+0.0024023i,0.0021748+0.0016684i,0.0031078+0.0011079i,0.0030046+0.0008309i,0.0028736+0.00066412i,0.0021561+0.00014636i,0.0019014-0.00010157i,0.0015033+0.00047034i,0.0010865+0.0005957i,0.0013933-4.3042e-05i,0.00037336-0.0005715i,-0.00082232-0.00024668i,-0.00065688-0.00042133i,-0.00048133-0.00091218i,-0.00072016-0.00096236i,-0.00043112-0.0011571i,0.00028395-0.00056336i,0.00059359-3.7089e-05i,0.0010406-0.00019782i,0.0010615+8.3422e-05i,0.0010766-0.00043569i,0.00060012-0.00050464i,-0.00048966-2.2852e-05i
-0.0013226+0.0025874i,-0.0010298+0.0016096i,0.000154+0.0015019i,0.00088294+0.0011753i,0.0012723+0.0014129i,0.0015016+0.00149i,0.0013216+0.00056678i,0.00074889+0.00048982i,-0.00011259+0.00039166i,2.2098e-05+0.00020592i,-3.0117e-05+0.00077402i,-0.00030315+0.00097235i,0.00019837+0.00036245i,0.00020232-0.00013873i,-0.00095385-0.00023483i,-0.00095112+0.00020345i,-0.00019121+0.00090157i,0.00022923+0.00090653i,0.0005127+0.00081325i,0.0010343+5.8864e-05i,0.0013639-0.00053898i,0.00089579-0.00013561i,-0.00021701-0.00011482i
-0.00045921+0.0029515i,0.0011737+0.0032741i,0.0023012+0.0034259i,0.0025066+0.0025937i,0.0025263+0.0018022i,0.0023917+0.00095626i,0.0021136+0.00078886i,0.00094718+0.00084947i,0.00072493+0.00050657i,0.00090209-0.00082974i,0.00083189-0.0016288i,0.00070909-0.0010861i,2.8708e-05-0.00092869i,-0.00032285-0.00052388i,0.00025951-8.9706e-05i,0.00029189-1.4241e-05i,0.0002087+0.0003672i,0.00011172+0.00038674i,-0.00056483+0.00016681i,-0.00038373+0.00024441i,0.00024684-6.3968e-05i,0.00031085-0.00077763i,0.00046443-0.00067199i
0.0010433-0.0014869i,0.00028229-0.0012833i,-0.00050006-0.00045362i,2.6697e-05+0.00040256i,0.00076043+0.00033638i,0.0011909+0.00097259i,0.0006393+0.0013706i,-0.00012051+0.00065562i,0.00026448-0.00022696i,0.00049857-0.0012921i,0.00015255-0.0011573i,0.00016488-0.00067541i,-0.00014975-0.00033588i,-0.0010948-6.8195e-05i,-0.0011039+0.00068888i,-0.00035844+0.0010372i,0.00027246+0.00022321i,0.00080521+6.8567e-05i,0.0011035+0.00038554i,0.00056456-8.6462e-05i,8.8029e-05-0.0003338i,0.0005437+4.0112e-05i,0.00068624+0.00055325i
0.00084881+0.00076819i,0.0014198-0.00063183i,0.0013136-0.00070931i,0.00083267-0.0001076i,0.00097888+0.00076478i,0.0012959+0.00071614i,0.00077786+0.00055613i,0.00068974+0.00035778i,0.0014368-0.00010824i,0.0013793-0.000503i,0.00053726-0.00054583i,0.00019327-0.0003245i,-0.00026761-6.7919e-05i,-0.0006041-0.00047018i,-0.00016552-0.00027405i,0.00028305+0.00083074i,0.00049614+0.00063305i,0.00031006+0.00012591i,-0.00042468+0.00050966i,-0.00053245+0.00031897i,0.00010872-1.6821e-05i,0.0012292+0.0006679i,0.00044323+0.0003716i
-0.00021475+0.0026219i,-0.00013866+0.0017248i,0.00016521+0.0016307i,0.0010985+0.0022812i,0.0015516+0.0018522i,0.0014769+0.00087115i,0.00064581+8.6375e-05i,0.00054937+0.00015917i,0.00089757+0.0002243i,0.00046345+0.00031358i,0.0001374+0.00056545i,5.4073e-05-0.00029389i,-0.00021395-0.00083125i,-0.00066035-0.00019446i,-0.0010562-0.00011138i,-0.0010744-0.0003223i,-0.00098848+8.2832e-06i,-0.00023907+8.9704e-05i,0.0012089+0.00041477i,0.0014858+0.00061965i,0.00054885+0.0004331i,-0.0002384-0.00010074i,2.5833e-05-0.0010971i
0.00071465+0.0017313i,0.0012786+0.0012973i,0.0022081+0.00090839i,0.0032118+9.1775e-05i,0.0041469+0.00036777i,0.0029264+0.0011485i,0.0010285+0.00056465i,0.00093442-0.00027297i,0.0011443-0.00034556i,0.00068053-0.00052516i,0.00051459-0.00097312i,0.00061994-0.0006401i,0.00087869-0.00059677i,0.00061086-0.00076844i,0.00064928-0.00047982i,0.00091071-9.808e-05i,0.00051284-7.8708e-05i,-2.1763e-05+2.3873e-05i,0.00026562+0.00024981i,0.00092234+0.00074491i,0.0010376+0.0010583i,0.00022269+0.00080382i,-0.00054518+3.3887e-05i
0.00052154+0.0011121i,-0.00059543+0.00078726i,-0.0011415+0.00065258i,-0.00079309+0.0014307i,0.00032411+0.0011362i,0.0016616+0.00035167i,0.0020686-0.00049679i,0.0012432-0.00065253i,0.00061958-0.00080396i,0.00069983-0.00053977i,1.6694e-05-0.00023878i,-0.00090675-9.1527e-05i,-0.001615+0.0007678i,-0.0013904+0.00065842i,-0.00039304+0.00010246i,-0.00027346+0.00022055i,-0.00038647+0.00066014i,-0.00040825+0.0008289i,-0.00063707+0.00058415i,-0.00055555+0.00037169i,-0.0004423+0.00040493i,0.00016628+0.0011456i,-0.00021128+0.0012567i
