-0.0017612-0.002412i,-0.0014418-0.0015366i,-0.0011752-0.00099867i,-0.0016564-0.0010719i,-0.0017369+0.00036823i,-0.00079077+0.0016035i,-0.00064821+0.0012607i,-0.00059033+0.0012971i,0.00017583+0.0016233i,0.00055476+0.0010813i,0.00043913-0.00069878i,-0.00019303-0.00096123i,-0.0012603-0.00019404i,-0.001026-0.0001496i,-0.00036331+0.00033141i,0.00055582+0.00099398i,0.00090929+0.00097842i,-9.2989e-05+0.00076363i,-0.00049271+0.0010638i,-0.00063034+0.0010002i,-0.00077395+0.0006882i,-0.00069218-0.00010798i,-0.00039193-0.00088121i
-0.00050208+0.0035727i,0.00068945+0.0028375i,0.00053682+0.0012889i,0.00023671-5.4593e-05i,0.00055525-0.00037558i,0.0011601-0.00097477i,0.00087439-0.00098358i,0.00010869-0.00012128i,-0.00037955-4.1756e-05i,-0.00083907-0.00034572i,-0.00096932-0.00012688i,-0.00046965+0.00024617i,2.9236e-05+0.00012706i,0.00011557+2.4079e-05i,0.00020995+0.00012133i,0.00089037+0.00061559i,0.00082778+0.00054662i,-0.0003541-0.00013142i,-0.00079408+9.3345e-05i,-0.00016216+0.0005204i,8.8079e-05+0.00028623i,-0.00044232-0.00019264i,-0.00046273-0.00039636i
-0.0011945-0.00085148i,-0.00066186-0.00042423i,-0.00060797-0.00078452i,-0.0018275-0.0010469i,-0.0018584-0.00087273i,0.00010539-0.00043581i,0.0011028-0.00085905i,-2.2986e-05-0.0009625i,-0.0011891-0.00076583i,-0.00075065-0.00023332i,3.8045e-05+0.00058276i,7.407e-05+0.0011344i,5.123e-05+0.0017412i,0.0002905+0.001387i,-0.00026676+0.0010308i,-0.00035385+0.0011625i,-0.00043284+0.0012562i,-0.00047087+0.0015005i,1.672e-05+0.00097262i,0.00028463-6.9387e-05i,0.00013845-0.0007271i,-0.0002898-0.0010511i,-0.00014263-0.00033166i
-0.0012956+0.0020481i,-0.0004525+0.0020155i,-0.00072096+0.0018979i,-0.00039252+0.0011401i,0.00068657+0.00012224i,0.0014472-0.00042943i,0.0012974-0.001265i,0.00053492-0.00090221i,0.00021405-0.0002611i,-0.00018476-0.00013227i,-0.00046759-3.4911e-05i,-0.00014172+0.00054562i,0.00013811+0.00059552i,-0.00024176+0.00043714i,-0.00040993+0.00058671i,-0.00016085+0.00014772i,0.00023433+2.8789e-05i,0.0001619+8.5119e-05i,-0.00011684-0.0004142i,4.662e-05-6.4771e-05i,0.00018123+0.00060221i,-0.00035536+0.00012916i,-0.00017432+0.00014603i
-0.00098164+0.00062414i,0.00042327-0.00018219i,0.00096418-0.0011197i,0.00012529-0.0014321i,-0.001033-0.0011124i,-0.00047018-0.001308i,-0.00023065-0.0017228i,-0.00037188-0.00089385i,0.00024294+0.00060517i,-0.00042986+0.0012165i,-0.00083439+0.00038009i,0.000177-6.6596e-05i,0.00082047-0.00025316i,0.00019804-0.00013182i,-0.0006507+0.00063083i,-0.00076116+0.00095656i,0.00012617+0.00097889i,0.00047535+0.00059257i,0.0001288-0.00010834i,6.8997e-05-0.00016681i,-0.00029669+0.00069871i,-0.00036589+0.00075015i,-0.0002209-0.00022678i
0.0014026-0.00030527i,0.00086815-0.00026458i,0.00027263-0.0012714i,-0.00033228-0.0017208i,-0.00014971-0.0010626i,0.0002616-0.0013348i,0.00080099-0.0018834i,0.00061703-0.00094048i,0.00046069+0.00065228i,0.00023108+0.00062342i,-3.531e-05-7.9375e-05i,5.8552e-05+7.6867e-08i,0.00044485-0.00053716i,0.00032888-0.0006473i,-0.00029637-0.0004299i,-0.00033394-0.0001863i,0.0002694+0.0003266i,0.00018792+0.00059421i,-0.0003677+0.00048736i,-0.00049254-0.00013488i,-0.00041961-4.9269e-05i,-0.00048539+8.1138e-05i,1.1944e-05-0.00036682i
-0.0013805-0.0024675i,-0.0011778-0.0011853i,-0.0017147-0.00077242i,-0.0018108-0.0011213i,-0.00050938-0.000962i,0.00077977-0.00080261i,0.00052979-0.00068055i,-7.5355e-05-0.00046786i,-0.00031358+5.4122e-05i,-0.00095612+0.00055112i,-0.0012567+0.00080162i,-7.5029e-05+0.00014978i,0.00050674-3.4409e-05i,0.00048748-0.00018922i,0.00015165-0.0004675i,-9.9488e-05+0.00050893i,-7.7535e-06+0.0010863i,0.00039487+0.001199i,0.0006132+0.00094856i,0.0002329+0.00046844i,0.00039291+1.1502e-05i,0.00053885+0.00013119i,6.3793e-05+0.0002372i
-0.00026925+0.0024919i,-0.00030343+0.00099737i,-0.00022431-0.00073114i,-0.00049524-0.00065594i,-0.00010338+0.00030629i,0.00057072+0.00024696i,0.001034-0.00079983i,0.00032467-0.00020306i,-0.0005802+0.00067039i,-0.00094256-0.00046935i,-0.00095774-0.00074833i,-0.00047028+0.00013004i,-0.00011338+0.00051198i,-0.00043412+0.00011344i,-0.00013111+5.6336e-05i,-6.872e-05+0.00027268i,-0.00085958-0.00011992i,-0.00093885+3.9595e-05i,-0.00058109+0.00010931i,-0.00030751+0.00011207i,3.8093e-05+0.00034426i,-0.00015573+6.1726e-05i,0.00050321-0.00013162i
-0.0011045-8.1086e-05i,-0.00057624+0.00082787i,0.00094405+0.0015091i,0.00026325+0.0014029i,0.00019436+0.00014271i,0.00064339-0.00062669i,0.00041475-0.00097998i,-0.00035501-0.00070934i,-0.00059852-4.9289e-05i,8.3187e-05+4.5008e-05i,0.00023196+6.2316e-06i,9.9878e-05+2.204e-06i,-0.00054466+7.7973e-05i,-0.00073521+0.00070967i,-0.00039526+0.00055185i,-0.00018709+0.00045219i,0.00031795+0.00092508i,0.00064881+0.00064138i,0.00038246+0.00052978i,0.00040205+0.00076034i,0.00099801+0.00048402i,0.0010276-0.00046721i,1.2339e-06-0.00063078i
-5.0672e-05-0.00098309i,-0.00082336-0.00092355i,-0.0018222-0.00092804i,-0.0018103-0.001301i,-0.00063519-0.0013038i,-0.00034903-0.00067107i,-0.00010859-0.00010846i,-1.0171e-05-0.00025655i,-0.00021802-4.6901e-05i,-0.00056287+0.0002114i,-0.00053616-0.00044364i,-2.2533e-06-0.00011979i,-3.5131e-05+0.00042992i,0.00024661-3.8049e-05i,0.00082422+5.8077e-05i,0.00034154+6.3961e-05i,-0.00015242-5.3196e-05i,-0.00041898+0.00010142i,-0.00056153-0.00029078i,1.7077e-05+0.00022612i,0.00045316+0.00080005i,-0.00050594+9.6019e-05i,-0.0014697-0.00044496i
-0.0020729+0.00074536i,-0.002573+0.00084917i,-0.0021336+0.00028351i,-0.0010367-0.0002594i,-0.00034905-0.00043621i,0.00096123-0.00010376i,0.0015115-7.0006e-05i,0.00062498-0.00092344i,0.00030208-0.0012978i,2.1039e-05-0.00040169i,-0.00019969+0.00084734i,7.9291e-05+0.00078735i,-0.00055885+0.00059454i,-0.00043759+0.00084601i,0.00017607+0.0012002i,-0.00010801+0.00077421i,-0.00038394+0.00015472i,-1.4522e-05+0.00028312i,0.00053682+0.00048663i,0.00066365-0.00030221i,0.00012609-0.00038773i,-9.5367e-05+3.9524e-05i,-0.00039078+0.00040102i
