-0.0055718-0.00054364i,-0.0056725-0.0019401i,-0.0065381+0.00047583i,-0.0055885+0.0027788i,-0.003169+0.0026875i,-0.0011257+0.0024326i,-0.00038089+0.0029669i,0.00044036+0.0026583i,0.00055471+0.002106i,0.00046723+0.0017743i,-0.00014954+0.0012138i,-0.0011365+0.00081279i,-0.00059743+0.00013255i,-0.00019018-0.001368i,0.00013702-0.0015102i,-0.00026242-6.666e-05i,-0.00065568+0.00095337i,-1.984e-05+0.00056963i,0.00078697-0.00031705i,0.00086603-0.00026643i,0.00065544+0.00017555i,0.00047573-0.0005993i,-1.8922e-05-0.0009669i
0.00090426+0.00058657i,0.00068874-0.00044646i,0.0012639-0.0008897i,0.00060508-4.725e-05i,-0.0005979+0.0017845i,-0.0013106+0.0028388i,-0.00054894+0.0021769i,0.00045544+0.00094082i,0.00036672+0.0003291i,-0.00019854-0.0002676i,-0.00058541-2.141e-05i,-0.00077663+0.00082501i,-0.00047222+0.0004948i,0.00016162+0.00038079i,0.00053332+0.0002543i,0.00033512-4.392e-05i,0.00046065-5.0152e-05i,-1.1101e-05+0.0004454i,-0.00044032+0.00074962i,0.00017062+0.00050796i,0.00026458+6.3097e-05i,9.3732e-05-0.0003884i,0.00030335-0.00017201i
0.0010638-6.2328e-05i,0.0018912-0.00075217i,0.0025231-0.00034307i,0.0013822-0.00028828i,2.6351e-05+0.00049408i,-0.00022278+0.0012926i,-0.0004606+0.0014478i,-0.00022989+0.00095821i,-0.00014594+0.00040127i,-0.00070295+0.00036309i,-0.00043469+7.1743e-05i,5.1706e-05-0.00032486i,-0.00026897-0.00080706i,-0.00041798-0.00099824i,0.00032077-0.00066122i,0.00062467-0.00067635i,0.0005329-0.00044055i,-7.6323e-05+5.219e-05i,-0.00039981+0.00014618i,-0.00030963-0.00020255i,0.00029876-0.00026952i,0.0013707-4.1661e-05i,0.0008923-0.00054669i
0.0019036-0.00055233i,0.0013187+0.0002061i,0.00034524-0.00063507i,-0.0011095-0.0013228i,-0.0024023-0.00077656i,-0.0023456-0.00022414i,-0.0014761-0.00033647i,-0.00054562-0.00049645i,0.00019522-0.00011752i,0.00019968+7.3741e-05i,0.0002123-2.3726e-05i,-0.00028571+0.00037985i,-0.00045264+1.1539e-05i,-0.00032511+0.00017067i,0.00035429+0.00046276i,0.0011338+6.7405e-05i,0.0013151+0.00021151i,0.00063888+0.00040901i,-0.00084027+4.1379e-06i,-0.00094858-0.00076033i,0.00051698-0.00032162i,0.0014981+0.00043589i,0.001132+0.00022493i
0.0010215-0.00029937i,0.00049323-0.0016542i,-0.00012009-0.0022734i,-0.00071823-0.0014733i,-0.0024979-0.00036413i,-0.0039644+0.00051537i,-0.0026967+0.00025562i,-0.00087729+2.9533e-05i,-0.00060064+0.00017113i,-0.00084451+0.00011141i,-0.00092489+0.00020026i,-0.00080058-0.0001479i,-0.00039073-0.00029005i,0.0003841+0.00074934i,0.0010235+0.00061137i,0.00057194-0.00068312i,9.3889e-05-0.00045277i,-0.00051862-0.00048453i,5.338e-06-0.00033848i,0.0015308-1.3134e-05i,0.00094869-6.1433e-05i,-0.00016531+0.00049572i,-0.00027282+0.0005791i
0.0021103-0.0014331i,0.0014557-0.0012543i,-5.6506e-05-0.0014782i,-0.0019691-0.00078672i,-0.0037557+0.00087778i,-0.0031586+0.0022766i,-0.0011823+0.0025006i,-0.00016617+0.001398i,8.3977e-05+0.0016311i,0.00030044+0.0019877i,0.00038496+0.0011505i,0.00026612+0.00047732i,0.00015458+0.00026167i,0.00028949-2.5435e-05i,2.4608e-05-0.00049928i,-0.00041962-0.00041823i,-0.00058393-0.00024878i,-0.0010796+0.00012497i,-0.0010144+0.0010767i,-0.00078461+0.0013143i,-0.00086937+0.00022354i,-0.00041234-0.00041163i,7.8641e-05-0.00041752i
-0.0010252-0.0010999i,-0.0022224-0.001377i,-0.0026441-0.0015729i,-0.0026594-0.00050018i,-0.0026354+0.0012494i,-0.0012798+0.0027435i,0.00030148+0.0032109i,0.00048238+0.0017306i,0.00057543+0.00096346i,0.00070144+0.00078434i,0.00029391+0.00015794i,0.00022011+0.00040598i,0.00024278+0.0012968i,8.2286e-05+0.0010099i,-0.00023895-2.7459e-06i,-0.00083241+0.00027758i,-0.00067064+0.0012886i,0.00014513+0.0011655i,0.00055735+0.00027727i,0.0009206-0.00047968i,0.0010571-0.00067939i,0.0010437-0.00071704i,-0.00013041-0.00062328i
-0.00047355-0.00033902i,-0.00026332-0.00023595i,-0.00080355+1.2568e-05i,-0.0017513+0.0015203i,-0.0012519+0.0028193i,-5.5791e-05+0.0028351i,0.00078825+0.0010583i,0.00079639-0.00012423i,0.0006504+0.0003936i,0.00060256+0.00029058i,7.1986e-06-4.0459e-05i,-0.00028336-0.00022229i,0.00038219-0.00024817i,0.00025228+0.00016699i,-0.0012347-0.00020512i,-0.0011071-0.00040865i,-0.00045688+0.00011465i,-0.00027876+0.0003032i,0.00043737+9.6465e-05i,0.00036153+0.00010149i,0.00025228+4.6932e-05i,0.00055198+0.00068733i,-7.6371e-05+0.00086439i
-0.0015773+0.00065191i,-0.0026292-0.00043399i,-0.0023379-0.0010678i,-0.00072809-0.00088972i,0.000761+0.00018728i,0.00094482+0.00050463i,-0.00022032+0.00026238i,-0.00056793+0.00088648i,-0.00065286+0.00020109i,-0.00076585-0.0004272i,-0.00065406+0.00031423i,-0.00057825+0.00066248i,-0.00056821-8.0219e-05i,-0.00017591-0.00032239i,-3.3237e-06+0.0004245i,0.0004242+0.00057829i,0.00072021-1.483e-05i,-0.00022494+0.000337i,-0.00053759+0.00047467i,0.00027942+9.5029e-05i,0.00049685-4.6647e-05i,-0.00025479-0.0008263i,-0.00072931-0.0011557i
-0.00080096+0.0019303i,-0.00061018+0.0010979i,-0.00074718+0.0018192i,-0.00088538+0.0010938i,-0.00032835-0.00081393i,-0.00050295-0.00094665i,-0.0014448-0.00067424i,-0.00044032-0.00073953i,2.9748e-05+0.00019587i,0.00051028+0.0011015i,0.001295+0.0011526i,0.00016359+0.000414i,-0.00039293-0.00029343i,-0.0005947-0.00033589i,-0.0012941+0.00032062i,-0.0012721+0.00059049i,-0.00072543+0.00059235i,-0.00029891+0.00097566i,0.00026816+0.00081186i,-1.4049e-07+0.0001987i,-0.00051206-5.5088e-06i,-0.00013809+0.00032097i,-0.00031344+0.00047091i
-0.00021662-0.00022089i,0.00020993-0.00010154i,0.00079554-3.3989e-05i,-0.00058629-0.00053954i,-0.0025406+7.5564e-06i,-0.0035307+0.0018975i,-0.0026828+0.0021045i,-0.0012367+0.0014259i,-0.00051585+0.0012723i,0.0004119+0.0002182i,0.0010542-0.0002575i,0.00043519-0.00013709i,-0.00024653-1.9538e-05i,-0.00030301-0.00019306i,-0.00030304-0.00017821i,-0.00055307+0.00021844i,-0.0001466-2.9885e-05i,0.00044409-0.00017299i,0.00051588+0.00034006i,0.00010502+9.8613e-05i,0.00018483-0.00011002i,-0.00022136-2.4836e-06i,-0.0013064+0.00017501i
