-0.0034082+0.0016016i,-0.0023669+0.00074163i,-0.00049443+0.0019982i,-0.00047592+0.0021501i,-0.0010884+0.0014209i,-0.0018788+0.00075899i,-0.0018276+0.0012376i,6.1661e-05+0.00083576i,0.001519-0.00024692i,0.0014097+0.00013037i,0.0014558+0.00066195i,0.00066512-0.00027338i,-0.00052194-0.00082448i,-0.00016272-0.0015836i,0.00022531-0.0014179i,-6.8495e-05-2.101e-05i,-0.00026335+0.00030867i,0.00026958+0.00011396i,0.00063322+0.00058937i,0.00073527+0.00060501i,0.00072381-0.00064361i,0.00059841-0.0011481i,0.00030298-0.00043378i
0.00082255-0.0017162i,0.0008859-0.0015849i,0.00055368-0.0031884i,-0.00043924-0.0030955i,-0.0010787-0.001966i,-0.0010294-0.00089555i,-0.0011388-6.0607e-05i,-0.0004701-0.00070246i,0.00032014-0.000933i,0.00054974-0.00049493i,0.00033682-0.00049024i,0.00013921+0.00033628i,9.736e-05+0.00054815i,0.00011677+5.5069e-05i,-0.00029623+0.00053731i,-0.00042191+0.00053173i,-0.00012982-0.00040655i,0.00044252-0.00066678i,0.00063228-0.00016942i,0.00039027+0.00023925i,-0.0006532+0.00026573i,-0.00051352+0.0003275i,0.00028706+0.0003453i
0.0013962+0.00051746i,0.0017036-0.00012106i,0.0010571-0.00020869i,0.0001168-0.00052101i,-0.00079702-0.0014737i,-0.00083578-0.0007434i,-0.00041962+0.00062577i,-0.00020559+0.0001751i,0.00045559-0.00068035i,0.00079229-0.00072953i,0.00078255-0.00035546i,0.0005457+0.00055621i,0.00020527+0.0004873i,0.00014853+1.226e-06i,-0.00026307+0.00044057i,0.00013156+0.000443i,4.0097e-05+0.00050747i,-1.0212e-05+0.00050287i,0.00014864+0.00051084i,-0.00015479+0.00050026i,6.3691e-06+0.0002515i,0.00016593+0.00026171i,-0.00040951+0.00027983i
-0.00081131-0.0002378i,-0.0013841+5.697e-05i,-0.0014924-0.0008081i,-0.0014397-0.00087975i,-0.0019247-0.00027127i,-0.0022338-0.00031976i,-0.0015915-0.00086794i,-0.00060889-0.00050291i,-0.00020629-0.00053408i,9.0322e-05-0.0011625i,-0.00053137-0.00071904i,-0.0005052-0.00031868i,0.00037671-0.00045749i,0.00069239-0.00053813i,0.00047645-8.7728e-05i,3.3349e-05+0.00039716i,-0.00026323+0.0010428i,-8.0323e-05+0.0007325i,-0.00031172-0.00029612i,-0.00074312-0.0003938i,-7.4428e-05+0.00040371i,0.00032331+0.00061875i,0.00035074-3.1965e-06i
0.00010287+0.00041251i,0.0002786+0.00056469i,0.00019535+0.0011916i,0.00071191+0.00068589i,0.00062266-0.00064195i,-0.00014033-0.00058369i,0.00021446-2.9135e-05i,0.00082316+0.00025366i,0.00083262+0.00092831i,0.00058085+0.0011702i,0.00039089+0.00082284i,0.00011866-3.8197e-05i,-2.7469e-06-0.00051729i,-1.7894e-05-0.00011248i,-0.00061038-0.00066959i,-0.00042238-0.0012766i,0.00016364-0.0009143i,-0.00015512-0.0007621i,0.00013035-0.00059472i,0.00024274+0.00016491i,-0.00036146+3.8605e-05i,-0.00066982-3.8559e-06i,-0.00077971+0.00050186i
0.00036354-0.00021984i,0.000316-0.00023981i,0.00032818-0.0008979i,-0.00013288-0.0020367i,-0.0016659-0.0012936i,-0.0031373-0.00035682i,-0.0024821+0.00027871i,-0.00044918-0.00050525i,0.00050003-0.0013374i,0.00062471-0.00062982i,7.8801e-05+0.00027242i,-0.00036727+0.00053372i,-0.00033384-0.0001211i,-0.00068012-0.00064975i,-0.00050802-0.00055466i,-0.00017741-0.00028815i,0.000299+0.0001759i,0.00097153+0.00027925i,6.3436e-05+0.00077391i,-0.00041014+0.0010714i,2.1663e-05+0.00042504i,-0.00012292+6.3719e-05i,-3.1404e-05+0.00030313i
0.0024364-0.0014427i,0.00091267-0.0022786i,-0.0012318-0.0026421i,-0.0013423-0.0023123i,-0.0015664-0.00073378i,-0.002322+0.00057011i,-0.0017167+0.00076325i,-0.0005251+0.00049043i,0.00075583-0.00024413i,0.00068019-0.00072551i,0.0001297-0.00024061i,-0.00045541+0.00015622i,-0.00055973+0.0002642i,3.5523e-05+0.00020396i,0.00025876-0.00048874i,0.00038392-0.0004792i,0.00048675+0.00024287i,0.00044884+0.00043321i,0.00071122+0.00017902i,0.00043273-0.00018152i,0.00021675+0.00037818i,0.00023091+0.00084515i,0.00086941+0.00056075i
-6.2073e-05-0.00094343i,-0.00015127-0.0011692i,-0.00068366-0.0018269i,-0.00083447-0.0011034i,-0.0011045-0.00052805i,-0.0017945+0.00027328i,-0.0010903+0.0011853i,0.00020053+0.0011176i,0.0001784+0.00018356i,-0.00044025-0.00029062i,-0.00052947-0.00018901i,0.00023055-0.00026756i,0.00079805-0.00030125i,0.00044672-0.00025971i,-4.4496e-05-0.00020256i,0.00011599-0.00054612i,0.00050485-0.00044124i,-0.00016021+5.9188e-05i,-0.00061819-0.00023564i,-0.00019063-9.1324e-05i,3.3332e-05-0.00017697i,0.00049394+0.00012601i,0.00015022+0.00065621i
0.00026416-0.0027091i,-0.00017694-0.0034591i,-0.0010715-0.0024045i,-0.0015714-0.00094963i,-0.0027265-0.00052355i,-0.0027818-0.00015895i,-0.0013926+0.0001972i,-0.00031087-0.00081593i,-0.00011432-0.00087188i,-0.00045015-0.00023174i,-0.00044086-0.00022288i,-0.0003851-0.0004853i,-4.8707e-05-0.00074194i,0.00042711-0.00059662i,0.00013892-0.00055731i,-0.00013969-0.00080245i,7.4081e-05-0.00062265i,0.00087342+0.0004043i,0.00086642+0.00091314i,0.00018749+0.00039845i,-0.00013961-0.00043356i,-4.5891e-05-0.0007312i,0.00025497-0.00056165i
-0.00064368+0.0016157i,0.00060001+0.0011624i,0.00084586+0.001038i,0.00074661+3.0405e-05i,-7.6068e-05-0.0013897i,-0.0005036-0.0014223i,0.00028624-0.00042619i,0.0013392-0.00013977i,0.0015072-0.00095708i,0.0011738-0.00047694i,0.00076071+0.00071229i,0.00045614-2.5789e-05i,0.00046362-0.00084226i,0.00040829-0.00021747i,0.00026639+5.0636e-05i,0.00047612-0.00029837i,3.709e-05-0.00011849i,0.00030609+0.00021368i,0.0008666+0.00046623i,0.00019315-0.00034736i,5.4662e-05-0.0011242i,0.00059287-0.00085996i,0.0011566-0.00039476i
-0.0001282+0.0013394i,-0.00064232+0.0013587i,-0.00076532+0.00067109i,-1.1464e-05-0.00062843i,0.00047334-0.0011921i,-0.00053046-0.00070752i,-0.0010854-0.00024171i,-0.00058186-0.00019899i,-0.00028492+0.00012864i,-0.00045501+0.00018538i,-0.0003855-0.00018983i,-0.00032452+9.3316e-05i,-0.00050761+0.00038363i,-0.00010584-0.00011679i,0.00011807-0.00055802i,0.00012401-0.00043711i,0.00047582-6.9057e-05i,0.00085543+1.6322e-05i,0.00023946+2.2058e-05i,-0.00051242-4.2975e-05i,-0.00048982-0.00024636i,-0.00031788-0.00084608i,-0.00026183-0.0013352i
