-0.0029497+0.0016222i,-0.00099757+0.0023281i,-0.0029656+0.0028465i,-0.0036196+0.0020446i,-0.0022657+0.0023511i,-0.0019907+0.0036053i,-0.0017203+0.0038765i,-0.00065592+0.0027019i,-0.00030712+0.0023047i,-0.0001457+0.0019319i,0.0010878+0.0011147i,0.001665+0.00045066i,0.00096714-3.8642e-05i,0.00029357-0.0003105i,0.00096071-0.00049279i,0.0010062-0.00020828i,0.00020748+0.00019331i,-6.5277e-05+0.00043727i,0.00033369+6.6884e-06i,6.2937e-05+0.00020979i,-0.00047794+0.00040581i,0.00056469-8.0117e-05i,0.00054191+0.00016021i
0.00055103-0.0029031i,-0.00047125-0.0031884i,-0.0017913-0.0029547i,-0.0023495-0.0009317i,-0.0015452+0.0010973i,-0.00015989+0.0020831i,0.00057973+0.0022098i,0.00082411+0.0016592i,0.00048206+0.00093429i,-0.00067677+0.0010654i,-0.0012211+0.00068129i,-0.00027835+3.8382e-05i,-0.00028544+1.3762e-05i,-0.0011881+0.00022366i,-0.001116+0.0010036i,-0.00076078+0.0012303i,-7.769e-05+0.00015317i,0.00034941-0.00025012i,0.00022809-6.7965e-05i,0.00035013+6.697e-05i,0.00055679+0.0002737i,0.00015172+0.00046167i,-0.00046007+0.00072465i
0.00067816-0.00034147i,0.00073365+8.1763e-05i,0.0010626-0.00052479i,-2.8201e-05-0.00041777i,-0.0020028+0.00013416i,-0.0017713+0.00082828i,0.00082691+0.0009159i,0.0027447+4.0287e-06i,0.0018609-0.00066176i,0.00067802-0.000236i,-3.2102e-05+0.00041112i,-0.00070571+0.00020986i,-0.00064237-0.00012308i,-0.00047301-0.00041347i,-0.00010307-0.00030526i,-0.0003449+0.00026836i,-0.00045207+0.00060934i,-0.00033856+0.00048356i,-0.00025212+0.00016505i,-0.00047761-1.4416e-05i,-0.00053487-0.00028838i,-0.00023762-0.0010498i,-0.00067001-0.001141i
-0.0016357+0.00065805i,-0.0021432+0.00019378i,-0.0027256+0.0009449i,-0.0010028+0.001036i,0.00071205+0.0010454i,0.00073927+0.0012302i,0.00055787-7.92e-05i,-0.00032421-0.00086429i,-0.00053645-0.0003607i,0.00054447-0.00015386i,0.0011555+5.427e-05i,0.0013923-0.0004375i,0.0018277-0.00080285i,0.00072543-0.00045578i,-0.00023278-5.5917e-05i,0.00072847-5.977e-05i,0.00090705-0.00022787i,3.621e-05-0.00013192i,-0.0005139-0.00043718i,-0.0003078-0.00045714i,0.00027482+0.00023723i,0.00033574+0.00040283i,0.00017607+0.00033797i
-0.0022069+0.00078218i,-0.0014475+0.0008846i,0.00010096+0.00092738i,0.00089966+0.0011168i,-0.0001537+0.0022773i,-0.00070116+0.0031428i,-0.00040143+0.0022213i,-0.00094431+0.00077355i,-0.0011325-0.00026898i,-0.00056764-0.0010186i,-0.00013363-0.00081537i,-0.00024688+0.00019948i,-0.00032416+0.00015141i,0.00013201+0.00013103i,-9.5309e-05+0.0010241i,-0.00064487+0.001151i,-0.00047248+0.00037024i,0.00028474+2.8297e-05i,-0.00021794+0.00017558i,-0.0011645-5.61e-05i,-0.00057167+0.00010871i,8.1559e-05+2.4426e-05i,-1.9298e-05-7.8863e-05i
0.00073092+0.00099804i,-2.0344e-05+0.0013831i,-0.00020624+0.0017438i,-0.00089549+0.0010001i,-0.0013982+0.00041333i,-0.0010604+0.00086585i,-0.00047906+0.0014933i,-0.00051261+0.0015822i,-0.0009335+0.00097057i,-0.000851-0.00016965i,-0.00048721-0.00054791i,-0.00040896-6.9189e-05i,8.0813e-05-9.2479e-05i,0.00042488+8.7874e-05i,0.00028712+0.0004756i,-0.00011659+0.00045996i,-0.00058908+0.00048535i,-0.00071486+0.00032092i,-0.00023188+5.7334e-05i,-7.305e-05-0.00027226i,-0.00014198+0.00028964i,6.87e-05+0.00050513i,0.00055705+0.00031144i
0.00067537+0.0024971i,0.0013399+0.0012883i,0.0016278+0.00017374i,0.0011754-0.00057775i,0.00037699+0.00049176i,-0.00022264+0.0020859i,0.00043896+0.0023525i,-4.7982e-05+0.0016163i,-0.00086633+0.00076175i,-0.0012586+9.8778e-05i,-0.0010045+0.00012684i,-0.00018646+0.00017585i,7.9391e-05-0.00023695i,-0.00030477-0.00025283i,-0.00042165-0.00076463i,-0.00069655-0.0013966i,-0.0010967-0.0010754i,-0.00088048-0.00093042i,-0.00075331-0.00051443i,-0.0006585+0.00021154i,-0.00043417-1.8714e-05i,-0.0010156-0.0008866i,-0.00051563-0.0016094i
0.0015142-0.00032958i,0.00057809-0.00089752i,-0.00039689-0.00084832i,-0.0009041-0.0013864i,-0.0014004-0.0010392i,-0.0016526+0.00030972i,-0.00025716+0.00091687i,0.00077995+0.00075199i,0.00095686-0.00011806i,0.00068553-1.3352e-05i,4.061e-05+0.0008297i,0.00015172+0.00074743i,0.00017622-0.00022005i,-0.00095042-0.00059297i,-0.0011074-0.00025419i,-0.00022161+0.00035927i,-0.0001031+0.0011663i,0.00019553+0.0011776i,0.00047613+0.00048383i,0.00068775+0.00025976i,0.00024016+0.00036262i,-0.00033169+0.0002723i,-0.00034833+4.5791e-05i
-0.00045316-0.00070631i,-0.00046164-0.0010386i,-0.00029532-0.00021927i,-0.0011675+0.00064544i,-0.0020459+0.0008886i,-0.0012782+0.0016054i,0.00057463+0.0012248i,0.0012853+0.00011555i,0.00069446-0.00047439i,0.00029851-0.00029024i,0.00016564-0.00017849i,-0.0002731+0.00051337i,8.6929e-05+0.00085124i,-2.8639e-05+0.0003438i,-0.00050714+0.00016584i,-0.0001055-0.00037226i,0.00045289-0.00034143i,0.0006695+0.00037461i,0.00055183+0.000883i,0.00020245+0.00055513i,-0.00038218+0.00025533i,-0.00081193+0.00071096i,-0.0010259+0.00076846i
0.00088951+0.0013901i,0.00058931+0.0025907i,0.00077297+0.0029561i,-0.00039704+0.0019665i,-0.0022935+0.0011292i,-0.0020821+0.00093074i,-0.00036363+0.00021022i,0.00056705-0.00066108i,0.00030224-0.00062572i,5.7863e-05-0.00074195i,-0.00018966-0.00014319i,-6.7257e-05+0.00051462i,-0.0001686+0.00048017i,-0.00035384+0.00011413i,-0.00024545-1.4665e-05i,-0.00049905-0.00033759i,-0.0007014-0.000692i,-0.00036214-0.0004515i,6.1735e-05-0.00021899i,-2.6839e-05-0.0003085i,4.9983e-05-0.00035773i,0.00025167-7.2054e-05i,2.9652e-05+0.00016574i
0.0022054+0.00041762i,0.0023945-0.00045319i,0.0012197-0.0020606i,0.000344-0.00054082i,0.00034796+0.0014502i,7.9721e-05+0.0014439i,8.8274e-05+0.00053963i,-0.00044869-0.0002097i,-0.0012452-9.7572e-05i,-0.0011586-6.2486e-05i,-0.00089595-0.0003896i,-0.00095188-0.00019783i,-0.00047144+0.00038123i,8.0935e-05+0.00042354i,0.00013989+0.00018504i,0.00049591+3.2879e-05i,0.00035047-0.00034308i,7.3948e-05-0.00036386i,0.00041232-0.00020412i,0.0012738+1.7091e-05i,0.00081281+0.0004763i,-0.00082925-2.0133e-05i,-0.00046216-0.00040416i
