-0.00086022+0.00061474i,-0.00058528-0.0010189i,-0.0020605-0.0002706i,-0.0025812+0.00163i,-0.0021378+0.0029917i,-0.00037369+0.0024643i,0.0011254+0.0007224i,0.0025515+0.00029659i,0.0041348+0.00025659i,0.0050299-0.00017248i,0.0037231-0.00070399i,0.0018296-0.0010557i,0.0013297-0.00090768i,0.001428-0.00068813i,0.0012191-0.00065212i,0.00023966-0.00071455i,-4.6475e-05-0.0006987i,-0.00014428-0.00092892i,0.00030612-0.00061572i,0.00019033+0.00040804i,-0.00032927+0.00093906i,-0.00066742+5.4972e-05i,-0.00049611-0.0010782i
-0.00098692-0.00070999i,-0.0013313-0.0014213i,-0.001515-0.00148i,-0.0016998-0.0017273i,-0.00082413-0.0014182i,0.00028398-0.0010982i,0.0014646-0.0017959i,0.00091628-0.0022784i,0.00045785-0.0022837i,0.00052137-0.001719i,-1.3165e-05-0.0010602i,-0.00038749-0.0015535i,9.1549e-05-0.0016835i,0.0010576-0.00093678i,0.0013553-0.00041015i,0.00045461+0.00025943i,-0.00063875+0.00044157i,-0.00066472-5.846e-05i,-0.0005526-0.00016975i,-0.0010042-0.00014466i,-0.00043009-6.3759e-05i,0.00038759-0.00022092i,0.00063965+2.9047e-05i
-2.446e-05+0.00015373i,-0.0011787-0.00058235i,-0.002021-0.00023828i,-0.002095+0.0014269i,-0.001159+0.00095926i,2.442e-05-0.0011717i,-3.1658e-06-0.002396i,-0.00043188-0.0021986i,-0.00062053-0.0016848i,-6.437e-05-0.00072729i,-7.5695e-05+0.00010589i,-0.00084924+0.00063989i,-0.0011852+0.0014911i,-0.00035252+0.0014948i,0.00066946+0.0010055i,0.00028262+0.00073786i,-9.9935e-05-5.643e-05i,6.678e-05-0.00046341i,-0.00011124+7.2938e-06i,8.2997e-05+0.00027534i,0.00050364+0.00075295i,0.00021313+0.0011157i,9.154e-05+0.00053848i
0.00026953-3.2899e-05i,0.00063307+0.00045226i,0.0011762+0.00040154i,0.00096663-7.6414e-05i,-0.00022477+0.00051245i,-0.001103+0.00083685i,-0.0019537-0.00099722i,-0.0020203-0.0023229i,-0.0010657-0.0016365i,-0.00030779-0.0013525i,0.00037034-0.00049239i,0.00044697+0.00049536i,8.1036e-05+0.00064857i,-0.00064929+0.00042959i,-0.00085932+3.0324e-05i,0.00027253+0.00045929i,0.00075066+0.00029187i,9.882e-05-0.00061055i,-0.00046806-0.0007295i,-0.00029168-0.00035636i,0.00027845-0.00023865i,2.7327e-05+0.00039437i,-0.00031336+0.00062197i
0.00033481+4.1747e-05i,-0.00039441-0.0016079i,-0.0018726-0.0018862i,-0.0023736-0.00046887i,-0.0018294+0.0010527i,-0.0014606+0.00091882i,-0.0012082+0.0006815i,-0.0006389+0.0010171i,-0.00017731+0.001012i,0.00081823+0.00051702i,0.0012705-0.00048782i,0.0012579-0.00064745i,0.00094179-9.0174e-06i,0.00044277+0.00067576i,0.0013344+0.0013711i,0.0012522+0.00027289i,0.00037238-0.00066251i,0.00030204-0.00046098i,-0.00016152-0.0002612i,0.00061389-5.3915e-05i,0.0013795-0.00043617i,1.7583e-05+3.6035e-06i,-0.0010597+0.00078282i
-1.4227e-05-0.00086074i,-0.0002821-0.0011507i,-0.0010207-0.00058286i,-0.00097516+0.00012905i,0.0011935+0.0011414i,0.002092+0.0026303i,0.0013917+0.0025851i,0.001326+0.0018704i,0.0013286+0.0012217i,0.0014275+0.00069158i,0.0012014+0.00043022i,0.00083877-0.00065336i,0.00074713-0.0012145i,0.00095409-0.00062926i,0.00053368-7.3452e-05i,-0.00012601+0.00061419i,8.866e-06+4.3172e-05i,-0.00039172-0.00063823i,-0.00029691-0.0006043i,0.00035509-0.00015341i,0.0009942+0.00020126i,0.00089571-2.6415e-05i,-0.00010062-0.00010938i
0.000689-0.0011984i,0.00022843-0.0010038i,-0.0005416-0.0015563i,-0.00095553-0.00093969i,-0.00073313-0.00084776i,4.326e-05-0.00086565i,0.0011039-0.0011349i,0.0017373-0.0017737i,0.0013241-0.0018884i,0.00059133-0.002074i,0.00031806-0.0016631i,0.00037874-0.0013889i,0.00055135-0.0010517i,0.00057704-0.00065932i,0.00051822-0.00021094i,0.00077243+0.00018058i,0.000813+0.00023431i,0.00080531+0.0004857i,0.0011657+0.0005126i,0.0012016+3.0226e-05i,0.00087068+0.00011404i,7.2029e-05+0.0002225i,-0.00010417-0.00011027i
0.00011346-0.00056403i,0.00042775-0.00066541i,-0.00025929-0.001457i,-0.0013548-0.0012893i,-0.0018376-0.00014521i,-0.00028936-0.00049421i,0.001188-0.0020669i,0.00094043-0.0028871i,0.0006197-0.002531i,0.00050114-0.0010345i,-0.00042785-0.0004449i,-0.00058618-0.00062322i,-0.00033349-0.00030214i,-0.00053774+0.00052268i,-0.00065673+0.0009132i,-0.00046088+0.00099589i,0.00022136+0.0007654i,-0.0001342-4.9425e-05i,-0.0010409-0.00078059i,-0.00089305-0.0010483i,-0.0008706-0.0011564i,-0.00032119-0.00073019i,-0.00031617-0.00034428i
0.00023364-0.0015142i,1.1422e-05-0.0016829i,-0.0010911-0.0016855i,-0.0014689-0.0011316i,-0.0013478+0.00022845i,-0.0018604+0.00058504i,-0.0016121-0.0010108i,-0.0013694-0.0022552i,-0.0019991-0.0020323i,-0.0016961-0.00089887i,-0.0009879+0.00012986i,-0.00047434+3.6723e-05i,-0.00016388-0.00088918i,-0.00059209-0.0013157i,-0.00067218-0.00047671i,0.00022409+0.00013028i,0.00062299-0.00071206i,0.00043909-0.00082172i,0.00059854-0.00040967i,0.00095632+0.00039504i,0.00043418+0.0012512i,-2.4336e-05+0.00091368i,0.00031167+0.00039884i
0.00023399-5.7113e-05i,-0.00072646-0.0004929i,-0.0017177-0.00068209i,-0.0020739+0.00038716i,-0.0019063+0.0016383i,-0.0016948+0.001579i,-0.0017083+0.00030858i,-0.0013921+0.00032891i,-0.00065225+0.0009863i,0.00016307+0.0011556i,-0.00020485+0.0002747i,-2.7061e-05-0.00021793i,0.0007405+9.1282e-05i,-3.0689e-05+0.00044356i,-8.3635e-05+0.00079265i,0.00086107+0.0004275i,0.00080879-0.00064212i,0.00012668-0.00070013i,-0.00047725+2.1762e-05i,-2.3549e-05+0.00029016i,0.00017536-0.00036119i,7.8311e-06-0.00061543i,0.00035101-0.00044099i
-0.0002001+0.0013321i,0.00014959+0.00011637i,-0.00014805-0.00013071i,-9.9516e-05+0.00016681i,0.00052064+0.00062421i,0.00036044+0.0013965i,0.00036316+0.0019568i,0.00091536+0.0023723i,0.00079562+0.0015429i,0.0011123+0.00041362i,0.0013477+0.00033118i,0.0018107+0.00041032i,0.0015114-1.8744e-05i,0.00073425-0.00016424i,0.00056636-0.00030907i,-0.00035279-0.00031138i,-0.0010467-7.6621e-05i,-0.00074235-0.00021023i,-0.0010581+0.000151i,-0.00072608+0.00035624i,0.00078761-0.00025527i,0.0010586-0.00043023i,0.0004273-0.00048056i
