-0.001926+0.00018019i,-0.0011477-0.00026582i,-0.0018516+0.00064085i,-0.0019465+0.0014999i,-0.0019454+0.0020808i,-0.0016022+0.002289i,-0.0010262+0.0019605i,-0.00057014+0.0020216i,0.00040283+0.001386i,0.00094472+0.00014561i,0.0005396-0.00021091i,0.00013683-0.0013368i,-1.1316e-05-0.0021696i,-0.0004593-0.0016264i,-0.00052773-0.0007206i,2.3124e-05+0.00042598i,0.00016858+0.00083235i,0.00025669-0.000123i,0.00028128-0.0010881i,0.00010195-0.00037386i,-0.00010114+0.00023369i,-0.00029895-0.00019429i,-0.0007806-2.4428e-05i
0.00050745-0.00076242i,0.0013644-0.0014077i,0.0011536-0.0033608i,4.2577e-05-0.0024858i,-0.00054443-0.0013743i,-0.00079331-0.00065071i,0.00015329-0.0005671i,0.00076921-0.0010516i,0.00041619-0.00095729i,2.7679e-05-0.00012659i,-0.00051387+0.00044377i,-0.00050964+0.00039754i,-0.00026236-4.1101e-05i,-0.00024215-0.0002686i,-3.0274e-05-0.00034628i,0.00012979-0.0002598i,-0.00082123-0.00081748i,-0.00082494-0.00077609i,2.0872e-06+0.00069522i,-0.00012985+0.00084583i,-0.0004517+7.834e-05i,-0.00021864-3.1008e-05i,-5.4236e-05+0.00034074i
-0.001046+0.00088991i,5.1254e-05+0.0017371i,0.0011905+0.0021172i,0.0011289+0.0012116i,0.0011954+1.1486e-06i,0.0013909-0.00045845i,0.00047499-0.00029049i,-4.5768e-05-0.0001291i,0.00050343+0.0001498i,0.00016758-3.4327e-05i,-0.00041519-0.00071681i,-0.00023684-0.0008514i,-0.00024528-0.00068742i,-0.00041565-5.3844e-05i,-0.00046174+0.0006448i,-0.00023732+0.00062674i,-0.0003637-0.00039538i,-0.0010626-0.0010345i,-0.0010604-0.0007169i,-0.00050826+0.00017826i,-0.000326+0.00084829i,0.00011898+0.00026925i,0.00068548-7.0209e-05i
-0.00074941-9.5925e-05i,-0.00032945-0.0011666i,-0.00081292-0.00091688i,-0.00076979+0.0008545i,0.00071871+0.00090824i,0.00095628-0.00035555i,0.00046223-0.00062027i,-0.0001301-0.00084607i,-0.0012011-0.00076749i,-0.0014603-0.00045794i,-0.00040111-0.0008633i,0.00016322-0.00035163i,0.0001446-0.00011843i,0.00060058-0.00092218i,0.00064849-0.00064926i,-6.5346e-05-0.00072352i,-0.00028686-0.00091891i,0.00024-5.6753e-05i,0.00043125+0.00051356i,0.00041169-5.9682e-05i,0.00029001-0.00035721i,-0.00012219+4.2947e-05i,3.9399e-05+0.00026178i
-0.0004973+0.00070872i,0.0003347-1.7073e-05i,0.001299-0.00068322i,0.0010863-0.0012507i,0.00062795-0.00074795i,0.00041833-0.00045938i,0.00052365-0.0003244i,0.00072433+0.00021292i,0.00019139+0.00046367i,-0.00026489+9.5918e-05i,4.1194e-05-0.00051355i,-0.00021763-0.00064006i,-0.00035156+0.00013523i,-0.00066137+0.00041272i,-0.00056544+0.00053017i,-3.7058e-05+2.7191e-05i,0.00038568-0.00085726i,0.0010928-0.00099182i,0.0002915-0.00071583i,-0.0008846-0.00025345i,0.00015897+0.00025884i,0.00089162+4.1188e-05i,0.001284-0.00010055i
0.0013524-0.00012753i,0.00098623-0.00065485i,0.0012851-0.00081676i,0.0013815+0.00050965i,-0.00020402+0.00083997i,-0.0016498+8.0557e-06i,-0.0002976+0.00040161i,0.00080662+0.00070737i,0.00027726-8.7883e-05i,8.8258e-05-0.00018814i,0.0002088+6.0358e-05i,-0.00038674+0.00050966i,-0.00053682+0.00032512i,-0.00026462+0.00051224i,5.3117e-05+0.0003529i,0.00054425-0.00062866i,0.00047485-0.00020133i,-0.00016389+0.00080999i,-0.00068816+0.00097844i,-0.00013118+0.00026764i,0.00020511-0.00064629i,-0.00033741-0.00019673i,0.00026963-9.2639e-05i
0.00051599-0.0014167i,0.00069451-0.00095676i,0.00048186-0.0010125i,-0.00037328-0.00092918i,-0.00090444-0.00052322i,-0.00015881-0.00020645i,0.0004625-1.7539e-05i,0.00084785+0.00038254i,0.0012705+0.00016473i,0.0005646-0.00025448i,-0.00055804+6.4118e-05i,-0.00076642+0.00059893i,-0.00081679+0.00046424i,-0.00074783+0.00017309i,0.0002077+0.00016702i,0.00077171+0.00014386i,-0.00012193+0.00032923i,-0.00090811+0.00081893i,-0.0010674+0.00030871i,-0.00076249-0.00023134i,-0.00021966-0.00035228i,-0.00020995-0.00025306i,-0.0002163-7.3601e-05i
-0.00073656-0.00025641i,-0.00023487-0.00081207i,0.00015917-2.3309e-05i,0.00018436+0.0014526i,0.00036363+0.0021124i,8.1005e-05+0.0015619i,0.00069579+0.00086689i,0.0010567+0.0010089i,0.00013626+0.00091476i,0.00030227+0.0003897i,0.001011+0.00075833i,0.00063519+0.0010158i,0.00046573+0.00030962i,0.0002726+0.00060371i,0.00025708+0.00087271i,0.00017061-0.00010501i,-7.078e-05-0.00011353i,-0.00056647+0.0002489i,-0.0010552+0.00014595i,-0.00083919+2.9434e-05i,-0.00051883-0.0001781i,-0.00060488+0.00057317i,-0.00070334+0.00074984i
-0.00035624+0.00058047i,-0.0012334+5.9504e-05i,-0.0018496+0.00023048i,-0.00084+0.00083993i,0.00027492+0.0014296i,0.00031466+0.0011211i,0.00084943+0.0015889i,0.00068137+0.0017827i,-0.00030599+0.00052715i,-0.0006869+0.00039826i,-0.00021899+0.00099905i,0.00051918+0.001177i,0.0011053+0.0012136i,0.00045921+0.00073788i,-0.0001828+0.00057931i,-0.00070709+0.00018376i,-0.00061978+0.00029406i,6.259e-05+0.00061136i,0.00028105-0.00011192i,8.2492e-05+1.9718e-06i,0.00032577+0.00054923i,0.00070272+0.0012144i,0.00029572+0.0020088i
1.3266e-05+0.00098042i,3.3413e-05+0.00080102i,0.0011697+0.0010207i,0.0019909+0.00097306i,0.0018178+0.0014359i,0.001287+0.0014185i,0.00064179+0.00022972i,0.00064845-0.00057401i,0.00046424-0.0001168i,-0.000418+0.00028782i,-0.00040122+6.5129e-05i,0.00033362+0.00052446i,0.00023546+0.00044527i,-0.0004683+0.0002615i,2.9602e-06+0.00048254i,0.00016824+0.00065424i,-0.00061803+0.00058915i,-0.00088056+0.000339i,-0.00030866+0.00026421i,0.00054681+0.00038781i,0.00099445+0.00072862i,0.00067985+0.00096944i,0.00037495+0.0011566i
1.9045e-06-0.00053164i,2.1251e-06-0.00099153i,-0.00075874-0.00139i,-0.00051191-0.0011573i,-0.00084411-0.0008548i,-0.001391-5.6371e-06i,-0.0011539+0.00072441i,-0.00053241+0.0010382i,0.00047919+0.00084382i,0.00029685+0.00061506i,1.903e-05-0.00027952i,0.00051077-0.0007489i,0.00040606-0.00089611i,0.00079612-0.00022313i,0.0012308+8.2742e-05i,0.00077752-0.0005166i,0.00045687-0.00067261i,7.4558e-06-0.0010542i,-0.0002368-0.001038i,-0.00021375-0.00035702i,-0.00067458+0.00014009i,-0.00092356-5.5466e-05i,-0.00043181-2.3599e-05i
