-0.0012967+0.00082773i,-0.0014354+0.0010265i,-0.0021695+0.0011025i,-0.0023484+0.0010195i,-0.002374+0.0015031i,-0.0019531+0.0017119i,-0.0015267+0.00097432i,-0.0008278+0.00053566i,0.00056595+0.00022782i,0.0018303+3.6835e-05i,0.001706-0.00039061i,0.0003673-0.00089869i,-0.0011759-0.00082733i,-0.0017728-0.00076836i,-0.0011608-0.00069722i,-0.00021707-0.00044407i,9.751e-05+0.00059934i,0.00048472+0.0015102i,0.00073665+0.0013869i,0.00042533+0.00031728i,0.00019517-0.00021115i,0.00039949-0.00021122i,0.00015305-0.001086i
0.00039859+0.00058376i,-0.00036991+0.0004907i,0.00033732+0.00010358i,0.00071041-0.00068571i,0.0011896-0.0014858i,0.00077205-0.0012764i,-6.857e-05-0.0004484i,-0.00054949-0.00040443i,-0.00088415-0.00080988i,-0.00031256-0.00027872i,0.00014922+0.00030867i,7.2464e-05+0.000241i,6.2768e-06-8.7864e-05i,-5.5688e-05+2.6617e-05i,0.00025257+0.00024207i,0.00083832-0.00011345i,0.00075554-0.00053256i,0.00031838-0.000674i,0.00035597+2.3199e-05i,0.00016198+0.00058606i,-3.1477e-05+0.00080799i,0.00017292+0.00058176i,-0.00010439-7.5069e-05i
-0.00089216-0.00042451i,-6.9824e-05+6.3786e-05i,0.00077345-0.00021478i,0.00019878-0.0014548i,-0.00062284-0.0016803i,-0.0015297-0.00084394i,-0.0014961-0.00047762i,-0.0010537-0.0009613i,-0.0010093-0.0014578i,-0.00093596-0.001119i,-0.0010727-0.00042239i,-0.00039528-5.6674e-05i,-2.1973e-05+0.00053818i,-0.00020657+0.00058158i,0.00064114+0.00013551i,0.00088728+1.7475e-05i,-7.3396e-05-9.0145e-05i,-0.0009146+7.21e-05i,-0.0011385+0.00059973i,-0.00041629+0.00031978i,-2.2303e-06-0.00052283i,-0.00017807+7.544e-05i,-4.9987e-05+0.00097985i
-0.0019643+0.00029344i,-0.0016694+0.00095548i,-0.0022369+0.0014539i,-0.0015129+0.0014751i,0.00025919+0.0011164i,0.00054968+0.00041571i,5.8755e-05-0.00067037i,-0.00011287-0.0014559i,-0.00056476-0.00095114i,-0.0010548-0.00019641i,-0.00089762+0.0002938i,-0.00082291-3.0995e-05i,-0.0010695-0.00035636i,-0.0014299-0.00080095i,-0.0013894-0.0013086i,-0.00067604-0.00099846i,0.00052694-0.00046794i,0.0013868-0.0001754i,0.0014002+0.00011227i,0.00091493+0.00059253i,0.00030041+0.00027695i,-0.0001634-0.00045845i,-8.4642e-05-0.0009187i
-0.0013697+0.0007679i,-0.0010887+0.00071729i,9.7543e-05+0.00039279i,0.0005284+0.00021584i,0.00052146+0.00076763i,-0.00022819+0.00066273i,-0.0014046-0.00020921i,-0.0013616-0.00091961i,-8.4125e-05-0.0010665i,-0.00014728-0.00053106i,-0.00046552-4.2085e-05i,0.00047795-0.00020164i,0.00064494-0.001107i,3.4361e-05-0.0012067i,-0.00034298-4.8618e-05i,0.00039183+0.00029221i,0.00094059+0.0001304i,0.0012444+0.00014804i,0.0013126-0.00025013i,0.0006386-0.00015394i,-9.5659e-05+0.00019832i,-0.00033172+0.00053244i,-0.00013007+2.7397e-05i
-0.00076074-0.00021847i,-0.00067911+0.00050907i,-0.00092222+0.00051255i,-0.0009738+0.00024773i,-0.00075162+0.00047636i,-0.00060907-0.0002722i,-8.9946e-05-0.00096372i,0.00021616-0.00053019i,-0.00075049-9.5222e-05i,-0.00074286-0.0005525i,0.00038048-0.00086636i,0.00034809-0.00056543i,-0.00057175+3.0185e-05i,-0.00027114-0.00010398i,-0.0002098-5.8656e-05i,-0.00046044+0.00017901i,-0.00020642-0.00023055i,-0.00042061-0.00044855i,-0.00058122-0.00048344i,-7.4344e-05+0.00013256i,0.00045758+0.00091211i,0.00079461+0.00053629i,0.00050507-2.9217e-06i
-0.0010668-5.4213e-05i,-0.00065561-0.0012865i,-6.3809e-05-0.001979i,-0.00042242-0.0011244i,-0.00068864-0.00036612i,-0.00083035-0.00021018i,-0.0007848+7.1467e-05i,-0.00085507-0.00030401i,-0.0010409-0.0010664i,-0.0010235-0.0012306i,-0.00097704-0.0010585i,-8.5048e-05-0.00075479i,0.00057437+3.5422e-05i,7.1982e-05+0.00010475i,-8.7133e-05-0.0012191i,-0.00039303-0.0010424i,-0.00056464+5.0286e-05i,-0.00023856+3.4857e-05i,-1.2727e-05-0.00050208i,3.1393e-05-0.00016503i,3.6196e-05-0.00037428i,-9.5221e-05-0.00058068i,-0.00052079-0.00062529i
-0.0010815+0.00010868i,-0.00079462+0.00063082i,-7.5565e-06+0.0016391i,5.4842e-05+0.002478i,-0.00012197+0.0010103i,0.00083453-0.00040459i,0.00019754-0.0013047i,-0.0012429-0.001785i,-0.00092767-0.00060665i,-0.00077104+0.00019024i,-0.00093456-7.191e-05i,-0.00018662+0.00020814i,0.00066029+0.0010055i,0.00065286+0.00045796i,0.00046766-0.00036652i,0.00057978-3.145e-05i,7.7283e-05+0.00037517i,-0.0012842+0.00033596i,-0.00084+0.00027291i,0.00025265+0.00067444i,0.00039099+0.00065015i,0.00016033+0.00034723i,0.00037787-0.00010129i
-0.00051215-0.00057495i,-0.00052884-0.00084911i,0.00055395-0.0014815i,0.00040342-0.00093331i,-0.0006559-0.00051591i,-0.00073948-0.0004531i,-0.00070946-0.00029303i,-0.00068965-0.00010458i,-0.00081818+0.00018172i,-0.00099167+8.6912e-05i,-0.00055854-0.00055948i,-7.245e-05-0.0012626i,-0.00040624-0.00097211i,-0.00027494-0.00081748i,-2.862e-05-0.0008624i,-5.5856e-05-0.00082246i,-0.00016075-0.00065602i,-0.00012118-0.00011117i,0.00058458-0.00050028i,0.00073336-0.001239i,-0.00035677-0.00083103i,-0.00081585-0.00057163i,-0.00024267-0.00019269i
-0.00084228+0.00094278i,-0.0010212+0.0016621i,-0.0011454+0.0023048i,-0.00034+0.0033114i,0.00065444+0.0032132i,0.00067859+0.0018489i,-0.00069347+0.00054967i,-0.0015654-0.00023217i,-0.001423-0.00064049i,-0.0010398-0.00082857i,-0.00010617-0.00039966i,1.834e-07-3.4963e-05i,-0.00046725-0.00056551i,-0.00048006-0.0012519i,-0.00029898-0.0014248i,-0.00054875-0.0013418i,-0.00056337-0.0016149i,0.00029552-0.0015198i,0.00052373-0.00072702i,-0.00023836-0.0002565i,-0.00055506-0.00049583i,-0.00017012-0.00025166i,0.00026843+0.00075181i
-0.0014581+4.3942e-05i,-0.0018645+0.00068449i,-0.002024+0.0018007i,-0.0014771+0.00083948i,-0.00013638+0.00015132i,0.00037018-0.0001507i,-0.00068502-0.00057896i,-0.0011265-0.00098118i,-0.00034965-0.0009594i,9.1474e-05-0.00036429i,-0.00020187+9.1688e-05i,-4.4633e-05+0.00022595i,9.3355e-06-0.00066862i,-0.00059246-0.00087607i,-0.00023279-0.00074489i,-0.00029275-0.0009065i,-0.0010819-0.0008359i,-0.0012221-0.00053168i,-0.00074919+3.5618e-05i,0.00015259+0.00053327i,-0.0001463+0.00035169i,-0.00054013+0.00087026i,-0.00016553+0.00053733i
