-0.0016638+0.0015425i,-0.00070797+0.0015357i,-0.0011333+0.001451i,-0.0012985+0.00086286i,-0.0014519+0.00085344i,-0.0025421+0.001941i,-0.0020229+0.0024279i,0.0001144+0.0026056i,0.0020887+0.0020367i,0.0024582+0.00072213i,0.0012798-0.0002009i,-5.1887e-05-0.00020977i,-0.00037302-0.00031508i,-0.00073265-0.0012592i,-0.0011702-0.0013371i,-0.001374-0.0011938i,-0.0016485-0.0012374i,-0.0016704-0.00066378i,-0.00098469-0.00041422i,-0.00022181-0.00047962i,-0.00033686-0.00076856i,-0.00086899-0.00043042i,-0.0012688+0.00026528i
-0.0033376+0.0011962i,-0.0016728+0.0003625i,-0.0010816+0.0015654i,-0.0004635+0.0019427i,0.00010174+0.0010975i,0.00037061+0.00046775i,0.00044732+0.00033893i,0.00021514-2.3947e-05i,0.00033525-0.0006904i,0.00076107-0.00061183i,0.0010785-0.00010607i,0.00081318+0.00011092i,1.2626e-05-0.0011972i,-0.00054935-0.00151i,-0.00068644-3.682e-05i,-0.00095447+0.00078352i,-0.00096336+0.00071167i,-0.00052517-0.00017898i,-0.00042756-0.00048876i,-0.0002454-0.0002787i,0.00025182-0.00026131i,0.00032501-9.0739e-05i,0.00043807+0.0007901i
0.00030903-0.00042051i,0.00074651-1.7054e-05i,0.00082949-0.00078157i,0.00053042-0.001197i,0.00033583-0.00075764i,0.00040825+1.0659e-05i,0.0006536+0.00064062i,0.0010478+0.00072808i,0.0011171+0.00032204i,0.00064366-0.00018695i,0.00033172+0.00017586i,-2.7198e-05+0.0003945i,4.9333e-05-1.7718e-05i,0.00037293-0.00024625i,-8.631e-05-0.00058208i,-0.00021642-1.4773e-05i,-0.0001837-6.3829e-05i,-0.00056589-0.00051721i,-3.8708e-05-0.00064726i,0.00071832-0.00043839i,0.00015424-0.00056068i,-0.00036698-0.00085113i,-0.00022309+0.00055789i
-8.3246e-05+0.00078801i,0.00029186+3.3457e-06i,0.0011964-0.00015478i,0.0010822+0.00021472i,0.00071487-0.0003927i,0.00041074-0.00047693i,0.00031933+0.00010905i,0.00085506+0.00089008i,0.00052858+0.00084222i,-0.00036509-0.00042349i,-0.00048117-0.00075403i,-0.00030255-0.00018782i,-0.00050418-0.0002784i,-0.00069252-0.00015159i,-7.2577e-05+0.00081256i,0.00047273+0.0016259i,-1.2712e-05+0.00068983i,2.0019e-05-0.00060769i,0.00042618-0.00095401i,0.00066165-0.00044721i,0.00051205+1.0164e-05i,0.00019758+9.6995e-05i,0.00011643-0.00035811i
-0.00020522-9.296e-05i,-0.00055038-0.00074064i,-0.0011758+0.00019469i,-0.0011293+0.00074489i,-0.00072839-0.00016372i,-0.00063184+0.00012998i,-0.00030961+0.00057257i,0.00081183+0.00055138i,0.0012306+0.00016995i,0.0002232-0.00010125i,-9.8177e-05+9.509e-05i,0.00079339-0.00012497i,0.0012675-0.00035733i,0.00073208+0.00020044i,0.00036629+0.00044308i,0.00035175+0.00047325i,-0.00010545+0.00042904i,-0.00059567-5.7563e-05i,-0.00082556-0.00046436i,-0.00073843-0.000739i,-0.00070256-0.00061136i,-0.00044872-0.0006747i,-0.00044324-0.0012714i
0.00060091-0.0019222i,0.00054282-0.002385i,-0.0010919-0.0022049i,-0.0013754-0.0012063i,-0.00075052+3.7543e-05i,-0.001458+0.0011824i,-0.0012283+0.00089226i,0.00033719+0.00036415i,0.00073506+0.00037268i,0.00053286+9.9294e-05i,0.0004463-9.9766e-05i,0.00027677-7.2716e-05i,-5.2794e-05-0.0003977i,-0.00038795-0.00072227i,-0.00030317-0.00071726i,-0.000697-0.00065281i,-0.0009414+5.1522e-05i,-0.00040025+0.00084853i,-0.00029616+0.00028586i,-0.00076633-0.00040721i,-0.00052627-0.00035207i,-0.00053806+0.00034582i,-0.00040553+0.00016971i
-0.0010028+0.00032377i,-0.0013091+0.00098914i,-0.0017275+0.0013572i,-0.0011779+0.0013711i,-0.00035857+0.00061989i,-0.00042381+7.0941e-05i,-0.00019926-4.3641e-05i,-0.00032348-0.00026797i,-0.00056117-0.00047905i,-0.00021816-0.0003924i,-0.0004446-0.00022833i,-0.0010162-8.0407e-06i,-0.00082745-5.2858e-05i,-0.00032788-0.00035573i,-0.00097196-0.0005166i,-0.001061-0.0003559i,-0.00048445+0.00030112i,-6.7078e-05+0.00022095i,-0.00060876-0.00023367i,-0.00088507-0.00032586i,-2.9721e-05-0.00011464i,9.3698e-05+0.0002223i,-0.00028607+0.00034527i
-0.0020144+0.00023025i,-0.0025594-0.00016983i,-0.0018898-0.0004665i,-0.0010077-0.00010963i,-0.00076937+0.00041699i,-0.00053972+0.00024793i,0.0006397+0.00012755i,0.0016895-0.00011027i,0.0013147-0.00044612i,0.0007054-0.00066788i,0.00037144-0.00043982i,0.00071481-0.00056267i,0.0009045-0.00081183i,-4.7801e-05-0.00031384i,-0.00015773-5.0798e-06i,0.00025056-6.6904e-05i,-0.00033021+0.00013916i,-0.0010494+0.00033292i,-0.0009059+0.00059421i,-0.00038243+0.00044412i,7.123e-05-9.1105e-06i,-9.0013e-05+0.00023311i,-2.2129e-06+0.00047936i
0.0021672-0.00085134i,0.0021035-0.00065786i,0.0004846-0.001859i,-0.00070321-0.0030041i,-0.00093966-0.0022334i,-0.0015985+9.5699e-05i,-0.00095826+0.0016778i,0.00066701+0.0012507i,0.00063835-0.00047928i,0.00026762-0.0014018i,-0.00035769-0.0011464i,-0.00060229-0.00015168i,0.00038098+0.00024372i,0.00056913-0.00032463i,-0.00011617-0.0006301i,0.00032348-0.00040396i,0.00074406+0.00027551i,0.00066938+0.0004915i,0.00044089+0.00040149i,1.5137e-06-0.00010884i,0.00033198-0.0011641i,0.00077862-0.0015299i,4.098e-05-0.0006264i
0.00011683+0.0011204i,-0.0004016-0.00017769i,-0.00090053-0.0012435i,-0.0011276-0.0010284i,-0.0008099-0.00041206i,3.5112e-05+0.000391i,0.00038213+0.001006i,0.0011711+0.00033551i,0.0019279-0.0010676i,0.0011814-0.0014802i,0.000485-0.00069781i,0.00012384+0.00026966i,-0.00067533+0.00017287i,-0.0005569-0.00038926i,-2.1632e-05-0.0005356i,-8.1845e-05-0.00084676i,-0.00023867-0.00092107i,-1.5848e-05-0.00080515i,-0.00017571-0.00052104i,-0.00045831-0.0007199i,-0.00026359-0.00013588i,-5.4616e-05+0.00034802i,-0.00031785+0.00049227i
-0.0017095-0.0016906i,-0.0013434-0.0012355i,-0.0010975-0.0013512i,-0.00114-0.00037992i,-0.0012802+0.00040913i,-0.00070604+0.00084894i,0.00024133+0.0010039i,0.00063761+0.00027527i,0.00073966-0.00010443i,0.0010052-0.00011651i,0.00097342-1.1239e-05i,0.0012649-4.8404e-05i,0.00121-0.00046064i,0.00056008-0.00077305i,-1.0895e-05-0.0005725i,-0.00083512-0.00020955i,-0.0016446-0.00045719i,-0.0011201-0.00036323i,-0.00014899+0.00012556i,8.0489e-05+0.00023722i,0.000198+0.00016023i,0.00032653+0.00033067i,0.00038458-0.00028458i
