-0.0023193+0.0011328i,-0.0014502-1.4128e-05i,-0.0013349-0.00062885i,-0.0017503-0.0010339i,-0.0019906-9.4185e-05i,-0.0017492+0.00077523i,-0.0009242+0.00098115i,-0.00044636+0.0009588i,0.0004632+0.0011443i,0.0014501+0.0014062i,0.0016813+0.00041884i,0.00071435-0.00024942i,-0.00035478-9.2177e-05i,0.00038593+0.00041124i,0.0011869+0.00053204i,0.00086161+0.00020286i,0.00049167-0.00014408i,0.00047227-0.00026743i,0.00023745+0.00036678i,0.0002522+0.0004888i,0.00064137+0.00011889i,0.00021333+0.00019394i,-0.00034085+0.00013262i
-9.9662e-06-0.0015093i,-0.00067301-0.0011596i,-0.00034469-0.0011616i,0.00014095+0.00026386i,0.00060656+0.0015631i,0.001112+0.0016616i,0.0003812+0.0011621i,-0.0009039+0.00066393i,-0.00053432+0.00082651i,0.00018001+0.0012054i,-2.8748e-07+0.00026484i,-0.00056552-0.00044231i,-0.0013253-0.00040091i,-0.0012743-2.8869e-05i,-0.00067865+0.00074656i,-2.7087e-05+0.0005666i,0.00036539-0.00038216i,0.00052735-0.00034554i,0.00023724-0.00016896i,0.0001561-0.00026742i,0.00059362-7.7885e-05i,0.00096205-0.00029881i,0.00050323-0.00053255i
-0.00045263-0.00093767i,-0.00026491-0.001095i,-0.0014316-0.0012606i,-0.0023288-0.0010009i,-0.001993-0.00080459i,-0.00087027-0.00016391i,-0.00047551+1.8299e-05i,-0.00046842+0.00024787i,-7.0221e-05+0.00052264i,0.0002632+0.00011998i,0.00024595+9.3205e-05i,0.00038495+0.00071538i,0.00024528+0.00064836i,-0.0001601-0.00014184i,-5.9684e-05-0.00031619i,0.00050511-6.3915e-05i,0.00056522-0.00017885i,0.00033682-0.00018746i,0.00062025+2.3863e-05i,0.00079798+0.00030043i,0.0010106+4.5248e-05i,0.0011657+0.00048583i,0.00058117+0.0012795i
8.2876e-07+0.00023817i,0.00037657+0.00073183i,0.00058454+0.0022309i,0.00053303+0.0021808i,0.00045545+0.0006694i,-0.00013368-0.00086109i,-0.00043913-0.0009039i,-0.0001923+9.8297e-05i,8.9504e-05+0.00023969i,0.00065013-9.4525e-05i,0.0011208-0.0005306i,0.0010425-0.00038192i,0.00042448+0.00042872i,-0.00042202+0.0006761i,0.00066316+0.00051121i,0.0011847+0.00020345i,0.00015057+5.1833e-06i,-2.4088e-05-0.0003203i,0.00065618-0.00097186i,0.00017155-0.00096781i,-0.00054619-0.00042199i,-0.00055063-0.00021391i,-0.00023713-2.6468e-05i
0.0014695-0.0016319i,0.0007524-0.0022466i,0.00048919-0.0030427i,-0.00046524-0.0016389i,-0.0014281-0.00043552i,-0.0014288-0.00013131i,-0.00016279+0.00031545i,0.0010431-2.3252e-05i,0.0011732-9.4985e-05i,0.00061476+0.00060708i,-0.00045487+0.0011998i,-0.0013842+0.0010898i,-0.00077599+0.00084036i,0.00036495+0.0011341i,-0.00038107+0.0010196i,-0.00051179+0.00082801i,0.00029678+0.00042946i,-0.00016974-0.00058306i,-0.0010964-0.0010771i,-0.00079987-9.5301e-05i,-0.00028924+0.0007216i,-9.3055e-05+0.00051195i,0.00055064+0.00012918i
-0.0029969+0.00064042i,-0.0024675+0.00089109i,-0.001693+0.0032462i,-2.9429e-06+0.004515i,0.00072392+0.0028229i,0.0016075+0.00069378i,0.0011924-0.00035666i,-0.00058751-0.00041922i,-0.00099862+0.00018001i,-0.0002077+0.00058399i,0.00064773+0.00057158i,0.00081062+0.00022859i,0.00080018+0.00042504i,0.00035535+0.00044412i,-2.2587e-05+0.00025474i,-0.00051959-0.00014667i,-0.00077966-0.00047357i,-0.00036855-0.00066537i,6.8121e-05-0.00068061i,0.00019814-0.00031549i,0.00069055-4.1689e-05i,0.00072702-0.00024527i,0.00054154-0.0009422i
-0.00067546-0.0010164i,-0.00092824-0.0024382i,-0.0015035-0.0016229i,-0.001757-0.00018415i,-0.0012798+0.00043838i,-0.0001277-0.00032802i,0.00046799-0.00099486i,-0.00028331-0.00061497i,-0.00084598+4.0436e-05i,-0.00034422+0.00092019i,0.00039046+0.00050171i,0.00059757+0.00064216i,0.00095521+0.00085602i,0.0011957+0.00086147i,0.0012206+0.00065338i,0.0010132+0.00024667i,0.00046522+0.00015802i,1.565e-05+0.00035325i,-0.00010481-0.00019332i,-0.0001947-0.00032714i,-0.00052966+0.00030564i,-0.00040997+0.0008537i,-0.00021601+0.0010864i
-0.00032508+0.0022229i,-0.00036197+0.0028977i,0.0010407+0.0014825i,0.0017867+0.00090069i,0.0011999+0.0010054i,0.00097164+0.00073514i,0.00080195+0.00012897i,0.0002042-3.1187e-05i,-1.8356e-05+0.00039068i,0.00063199+0.00028744i,0.00097299+2.5437e-06i,0.00072291+0.0003254i,0.00038979+5.3492e-05i,0.00050807-1.9331e-05i,0.00086423+7.9238e-05i,0.0013045-0.00015341i,0.0010296-0.00025752i,0.00025619-0.00026521i,2.8151e-05+6.7188e-05i,0.00016265+0.00058406i,0.00019225+1.3626e-05i,-0.00024622-0.00058031i,1.9757e-05-0.00038616i
-0.00023129+0.001294i,-0.000345+0.0019303i,-0.00073594+0.0017633i,-0.00012491+0.0016448i,-9.8832e-05+0.0017067i,-8.2029e-05+0.0011267i,-0.00011493+0.00052967i,-0.00048552+0.00064254i,0.00029954+0.00065578i,0.0017858-0.00017833i,0.00146-7.5297e-06i,0.0009033-2.2879e-05i,0.0008275-0.00061635i,0.00069532-0.00044693i,0.0005567-0.00035097i,0.00051837-0.00057715i,0.00027581-0.0009923i,0.00021586-0.00081853i,0.00031116-4.2813e-05i,-0.00043877-0.00063562i,-0.00020529-0.00087131i,0.0005119-0.0002059i,0.00037247+7.0483e-06i
0.0035401+0.0019419i,0.0028356+0.0013588i,0.0029148+0.00089404i,0.002787+0.00021715i,0.0011826-0.00057947i,-8.5632e-05-0.00094957i,0.00018147-0.00065777i,0.00012973+0.00016401i,0.00025298+0.00034074i,0.00034237-8.7328e-05i,-0.0005977-0.00057669i,-0.0012014-0.0004715i,-0.0010723+0.00016229i,-0.0014886+0.00086146i,-0.00093326+0.0012352i,0.00019492+0.00053152i,0.00010393-0.00034366i,-0.00033583-0.00092802i,-0.00064138-0.00076936i,-0.00085708-0.00042861i,-0.00022189-0.00059559i,0.00035348-0.00031334i,0.00042064+1.5382e-05i
0.00086415+0.002748i,0.0014853+0.0026408i,0.0024702+0.0022754i,0.0023794+0.0011193i,0.0013265-0.00044578i,0.0003512-0.001414i,-0.00015847-0.0011398i,-0.00028765-2.4867e-05i,5.832e-05+0.00047572i,0.00086979+0.0004927i,0.0015123-0.00017169i,0.0014081-0.00067198i,0.0003542-0.00054454i,0.00037536-0.00096337i,0.00093887-0.0012294i,0.00013774-0.00087447i,-7.6434e-05-0.00048264i,0.00020184-0.00029382i,0.00033594+0.00033857i,0.00043756+0.0011436i,0.00047386+0.00090858i,0.00084266+8.4251e-05i,0.00020452-0.00094187i
-9.3772e-05-0.0014982i,0.00016608-0.0018716i,-0.00069381-0.0023677i,-0.0014708-0.0013385i,-0.0011749+6.6997e-05i,7.4935e-05-0.00022368i,0.0010617-0.00024762i,0.00048819+0.00020154i,-0.00058236+0.00024762i,-0.00097805-0.00027012i,-0.00087938-0.00052982i,-0.00096174+4.4779e-05i,-0.00081818+0.0011016i,-0.00024777+0.0012747i,0.0010653+0.0011988i,0.00095686-3.159e-05i,-3.3308e-05-0.00077621i,-0.00022488+0.00056128i,-3.7856e-06+0.00096996i,-0.0001522+0.00029984i,-0.00040632-0.00052895i,-0.000332-0.00034445i,-0.00024539+0.00010301i
-0.00010562+0.00056848i,0.00060389+0.00090808i,0.00092961+0.0011563i,-0.00026567+0.0012654i,-0.00070953+0.00022607i,9.2701e-05-0.0010104i,0.00070323-0.001774i,0.00053707-0.0013011i,0.00090491+0.00046005i,0.0011264+0.00098181i,0.0006763-1.4133e-05i,0.00078903-5.3966e-05i,0.0013334-0.00011895i,0.00059467-0.00049257i,-0.00029093-0.00090478i,-0.00040235-0.00051098i,-0.00059926-0.0001018i,-0.0004487+0.00052934i,9.5375e-06+0.00087466i,-0.00019248+0.00028015i,0.00020671+0.00042847i,0.00081861+0.00044527i,0.0004284-1.9593e-05i
-0.0002696-0.0021591i,-0.0009207-0.0014881i,-0.0014686-0.0021558i,-0.001248-0.001496i,-0.00078766-0.00042688i,-0.00059553-2.2617e-05i,-0.00053986+0.00015069i,0.00020399+0.00028684i,0.00050511+0.00043623i,-1.6749e-05+0.00049273i,0.00021881+4.1733e-05i,0.00094823-0.00011601i,0.00099748+0.00064312i,0.00030072+0.0012297i,0.00020723+0.00083281i,0.00037933-2.2775e-05i,0.00020354-0.00021259i,0.00054962-0.00050078i,0.0013887-0.00027363i,0.0013442+0.00063178i,0.00068757+0.00030576i,0.00066427-0.00066868i,0.00098594-0.00029406i
-0.00021994-1.2092e-05i,-0.00011324+0.00055888i,-0.00019169+0.0014983i,-0.00049887+0.0019616i,-0.00020851+0.0011667i,0.00059314+0.00019391i,0.00011473-0.00024959i,-0.00053168-0.00023045i,2.4287e-05-0.00028165i,-1.9398e-05+0.00018448i,-0.00036406+0.0002686i,-0.00053917-0.00018781i,-0.0004402+0.00020608i,-0.00026387+0.00011141i,-0.00018486+0.00021421i,-4.8027e-06+0.00027195i,-0.00020433-0.00033462i,-0.00026059-0.00012818i,3.1872e-05-6.9531e-05i,8.7397e-05+0.00062891i,-0.0001758+0.001443i,-0.00054982+0.0010289i,-0.00041468-0.00028703i
-0.0014807-0.00079733i,-0.00119-2.9833e-06i,-0.0018329+0.0001385i,-0.0019107+0.00054008i,-0.0010648+0.001112i,0.00033016+0.0016619i,0.0010383+0.0011528i,0.00060506+0.00040407i,0.0005786+0.0011618i,0.00054421+0.0012479i,0.00040277+0.001017i,0.00076209+0.00028737i,0.00068924-0.00031991i,0.00045096+0.00020914i,0.0009006+5.8334e-05i,0.0010916+8.9277e-05i,0.00059296+6.005e-05i,0.00017895+7.985e-05i,0.00025023+0.00052195i,0.00010916+0.00075015i,-4.531e-05+0.0010892i,5.5611e-05+0.0010142i,-3.1543e-05+0.00030698i
0.00022094+0.0016087i,0.0013541+0.00068828i,0.0011954+0.00067392i,0.0012291+0.00053475i,0.00058707-1.3395e-05i,-0.00036761-9.1863e-05i,-3.004e-05-0.00023193i,-0.00013834-0.00037681i,-0.00010483-0.00061769i,9.9792e-05-0.00085485i,-0.00010647-0.00063703i,-0.00037202-0.00020211i,-0.00015676-0.00015848i,-0.00033982-0.00024992i,-0.0009184+0.00035981i,-0.00052373+0.00057538i,0.00023904+8.9922e-07i,-0.00019825-0.00048226i,-0.00048071-0.00033205i,-0.00089633+2.0185e-05i,-0.0011939-0.00015836i,-0.00036735-0.00025742i,-7.5019e-05-0.00046513i
0.001203+0.00053612i,-0.00032512+0.00047827i,0.00015275-0.0001433i,0.0006757-0.00052687i,0.00047318-0.00032202i,-0.00017392-0.00014177i,-0.00048387+0.00027084i,0.00076049+0.00039914i,0.00063329+0.00072183i,8.75e-05+0.00096426i,0.00011976+0.00045386i,-0.00028325+1.6994e-06i,-0.00075838+0.0002674i,-0.00059317+0.00062061i,-0.00053615+0.0006687i,-0.00025102+0.00036547i,0.00039426-0.00047826i,0.0003322-0.00059182i,0.00023139-0.00024015i,0.00014971+0.00012941i,-8.7983e-05+0.00014881i,0.00061352+0.00072649i,0.0009064+0.00035414i
-0.00028978-0.00094353i,9.0561e-05-0.0010913i,-0.00030263-0.0011925i,-0.00036771-0.0009401i,-0.00018419-8.4171e-05i,-6.0447e-05+0.00070164i,0.0003648+0.0006337i,0.00014519-3.5344e-05i,-0.00029321-0.00018107i,-0.00023959+5.2683e-06i,5.335e-05-0.0005581i,-0.00019632-0.0010105i,-0.00023942+0.00034564i,-8.3923e-05+0.00086552i,0.00038055+0.00039102i,0.0003054+0.00071022i,0.00022716+0.00026407i,0.0007075-0.00047797i,0.00034071-0.00063861i,-0.00030935+3.8978e-05i,-0.0010755+0.00016251i,-0.0010171+0.00011296i,-0.00011613+0.00044346i
-0.00018792-0.0009056i,-0.00093427-0.0011911i,-0.0024727-0.00095468i,-0.0026503-0.00020722i,-0.0014014-0.00012385i,-0.00039965-0.00056598i,0.00019629-0.0010351i,6.382e-05-0.0012624i,-0.00069018-0.0007992i,-0.00074759-0.00021145i,0.00018749-0.00067888i,0.00095647-0.00083549i,0.0010016+0.00039597i,0.0010445+0.00069507i,0.00068339-0.00021765i,8.9589e-05-0.00053726i,0.00025868-4.9388e-05i,0.00027877+0.00044337i,-3.8853e-05+1.1926e-05i,0.0003721-0.00036833i,0.00073943+0.00014491i,5.1022e-05+0.00049943i,-0.00022301+0.00011498i
0.00055148+0.0020919i,0.0013563+0.0022954i,0.0012824+0.00072535i,0.00058967+0.00057539i,-5.2938e-05+0.0015147i,-0.00025185+0.0010049i,5.7764e-05+0.0005471i,0.00013721+0.00088546i,-7.2169e-05+0.00083616i,-0.00022015+0.00083724i,-4.4986e-05+0.00019133i,-0.00032765-0.00051582i,-0.00083185-0.00052025i,-0.00015229-0.00050502i,0.00027081-0.00060764i,-0.00053677-0.00012589i,-0.00060902+0.00023617i,-6.2885e-05+0.00027036i,-0.00036609+0.0003603i,-0.00019045+0.00049465i,0.00064395+0.00025352i,0.00046361+3.2525e-05i,1.015e-05+0.00027472i
-0.00067005-0.0017012i,-0.00093334-0.00047281i,-0.00082073-0.0001003i,-0.0010398-0.00068233i,-0.0012073-0.00056064i,-0.0007372+9.2829e-06i,-5.9886e-06+0.00063945i,0.00029646+0.00087144i,4.1049e-05+0.00035782i,-0.00059552+0.00052904i,-0.00082912+0.0010751i,-0.00026065+0.00085942i,7.2559e-05+0.00011234i,-2.1953e-05-0.00011804i,-0.00011532-0.00017165i,0.00024937-0.00023382i,0.00040962-0.00028924i,-0.00034242-0.00051409i,-7.5789e-05-0.0006357i,0.00054757-0.00015704i,0.00043114+0.0008987i,6.5903e-05+0.00030915i,0.0004174-0.00035996i
-0.0015292-0.0020952i,-0.0021139-0.0019457i,-0.0022552-0.00082581i,-0.0021127+0.00066416i,-0.0012861+0.0014859i,0.00032192+0.00086275i,0.00049167-0.00025173i,9.0481e-05-0.00053031i,-9.9756e-05-0.00028694i,-0.00051239-0.00011309i,-0.00044662+0.00052541i,-0.0006938+0.0011329i,-0.00062877+0.00087363i,-0.00056395-0.00015449i,-0.00015289-0.00063423i,0.00059168-0.00041294i,0.0005025-0.0001539i,9.2183e-05-8.0988e-05i,-0.00055915+6.2561e-05i,-0.00080561+0.00043969i,-3.0603e-05+0.00069482i,0.00049209+0.00034516i,-0.00016803+0.00028478i
