-0.0022109-0.00042748i,-0.0016309-0.0012709i,-0.0023246-0.0010195i,-0.0039999+0.00014577i,-0.0045547+0.00097845i,-0.0025182+0.0013084i,-1.1808e-05+0.0012143i,0.00083115+0.0014786i,0.0010295+0.0012677i,0.0016144+0.000788i,0.0011935+0.00053079i,0.00017079+0.00027307i,-0.00034595+7.9185e-05i,-0.0010079-0.00061638i,-0.0006544-0.0013252i,3.1503e-05-0.00085941i,8.9212e-05-0.00030058i,-0.00032323-0.0002334i,-0.0017428+0.00012131i,-0.0016519+0.00022813i,-0.00013335-4.6942e-06i,0.00065306-0.00020628i,0.00037928-0.00043868i
-0.0025004+0.0016149i,-0.0022873+0.0016952i,-0.0020041+0.001509i,-0.0016994+0.0014788i,-0.00073134+0.00096625i,0.00026451-0.00018664i,0.00064782-0.00090134i,0.00079978-0.00077668i,0.00084097-0.00059203i,0.00067764-0.0003358i,0.00048121+0.00019084i,-3.6623e-05+0.0001913i,-0.00013502-0.00043424i,0.00036242-0.00038865i,0.00063021+0.00011582i,-6.7126e-05+0.00052879i,-0.00071156+0.00069234i,-0.00017657+0.00074751i,0.00021779+0.0012864i,0.0006998+0.0010497i,0.00080218+0.00011752i,0.00028267-9.5817e-05i,0.00015036-8.9461e-05i
-0.0029541-0.0015001i,-0.0028312-0.0014158i,-0.0034827-0.00024872i,-0.0026306+0.00050714i,-0.0011642+0.00099135i,0.00074035+0.00080741i,0.0015772+0.00037799i,0.00075196-7.8414e-05i,0.00046195+4.7918e-06i,-0.00015446+0.00050103i,-0.00063593+0.00023992i,-9.203e-05+0.0006162i,-1.454e-05+0.00076412i,-0.00014889+0.00050736i,0.00053124+0.00038241i,0.00049165+9.2408e-05i,-0.00034829-0.0005094i,-0.0010492-0.00096405i,-0.0003148-0.00021275i,0.00086654+0.00067313i,0.0015114+0.0013096i,0.0010941+0.0013365i,0.00069042+0.0011453i
0.0011954+0.00079613i,0.00065605+0.00095918i,-0.00012374+0.00098983i,-0.00060788+0.00056411i,-0.0014558+0.00017886i,-0.0014397-8.9698e-05i,4.0772e-05-0.00060723i,0.00079735-0.00080416i,0.00055187-0.00032889i,-0.00015792-4.2476e-05i,-0.0003449-0.00028903i,0.00024204-0.00012749i,0.00031846+3.5608e-05i,0.0001998+0.00032588i,-0.0003299+0.0006413i,-0.0012313+0.00040518i,-0.0010369-0.00032622i,-0.00051104-0.00028186i,-0.0004951-6.7175e-06i,-0.00047927+0.00030228i,-0.00038637+0.00063295i,-0.00016625+7.0041e-07i,0.00026586-0.00023114i
-0.0012658+0.00097122i,-0.001087+0.00076189i,-0.0013105+0.00019323i,-0.00074548-0.00015739i,0.00017982-0.00074751i,0.00016655-0.00063431i,-0.00050888+6.4158e-05i,-0.00033603-0.00019526i,0.00030116-0.00040239i,0.00018046+2.3429e-05i,-0.00024521-0.00014587i,-0.00017161-0.00023649i,0.00045927+0.00015695i,-0.00018546-0.00021557i,-0.00063779-0.00035101i,-0.00020544-0.00013085i,0.0003283-0.00059775i,0.00087432-0.00050568i,0.00033136-0.00027193i,-0.0001912-0.00037602i,0.00067484-2.3838e-05i,0.0011388+0.0006119i,0.00020591+0.00034441i
-0.0010596-9.5236e-05i,-0.0013224-0.00026274i,-0.0010708+0.00021805i,-0.0011138+0.00086109i,-0.00035761+0.00082138i,0.00047765+0.00035254i,0.00025696-0.00042361i,9.1983e-05-0.00070967i,0.00040069-0.00027022i,0.00057591-0.00015962i,0.00038858-6.8653e-05i,-0.00012768-6.2427e-05i,0.00033934-0.00053807i,0.0011216-0.00036229i,0.00031554+0.00058209i,-0.00074852+0.00086161i,-0.00059256+5.9427e-05i,0.00059716+0.00039205i,0.00098587+0.00088743i,-0.00015474-0.0005242i,-0.0005817-0.0014677i,-0.00028819-0.0011908i,-0.00038755-0.00078325i
0.00017627-0.0017001i,-0.00094253-0.0019083i,-0.0019241-0.0011687i,-0.0024186-0.00038247i,-0.0016431-0.00039108i,-0.00070784-0.00035609i,-0.00043492-0.00017406i,0.00033427+0.00015595i,0.00030018-8.6605e-05i,0.00026335-0.0006377i,0.0007218-0.00030769i,0.00036222+0.00041773i,-0.0005949+0.00094131i,-0.00055969+0.00056066i,0.00014774-0.00021551i,0.00070492-0.00047565i,0.00024187-0.00056858i,-0.00031773-0.0010014i,-0.00084585-0.00038546i,-0.00078361+0.00043826i,-0.00033671+0.00034171i,-0.00074602-7.5995e-06i,-0.00027096-2.4353e-05i
-0.00072573-0.00083071i,-0.00054779-0.0011093i,-0.0024435-2.3388e-05i,-0.0029768+0.00092i,-0.0012144+0.0011291i,-0.0007965+0.00086198i,-0.00080158+0.00040237i,-0.00036042+0.00021859i,-0.00010153+0.00053385i,0.00024691+0.0007596i,0.00019304+0.00069832i,-0.00013652+0.0010329i,0.00028821+0.00055169i,0.001012+8.3898e-05i,0.0010199+0.00013894i,0.00052747-0.00025299i,0.00016717-0.00019445i,-0.00052884-0.00026006i,-0.0014184-0.00055948i,-0.0012719-8.4e-05i,-0.00069536-0.0001371i,0.00014701+0.00015475i,0.00055353+0.00059986i
4.006e-06+0.00040893i,-0.00010941+0.00067278i,-0.00069267+0.00096368i,-0.0015877+0.00080421i,-0.0010249+3.0718e-05i,-8.6738e-05-0.00036052i,0.00045933-0.00022038i,0.00037361-0.00031798i,-0.00054794-0.00087433i,-0.00052789-0.00051729i,-0.00052666+0.00083388i,8.5192e-05+0.0012562i,0.0011744+0.00038017i,0.00080438-0.00033087i,-0.00021914+7.6411e-05i,-0.00053094-1.2828e-05i,-0.00091305-0.00048412i,-0.00080097-6.0865e-05i,-5.4758e-05+0.00048361i,8.2172e-05-0.00021101i,0.00033952-0.00082118i,-0.00014336-0.00013085i,-7.7488e-05+0.00059965i
0.00063475-0.0026233i,5.9745e-05-0.0026047i,-0.0024249-0.0024371i,-0.0034094-0.0016581i,-0.0024662-0.00040391i,-0.0013433+0.00062649i,-0.0005553+0.00079807i,1.3278e-05+0.00052508i,-8.5704e-05+0.00059126i,-0.00055826+0.00059863i,-0.00038726+0.0008437i,-0.00012884+0.0010625i,0.00048812+0.0011632i,0.00082322+0.00038372i,0.00052834-0.00090488i,0.00032965-0.00095336i,0.00065244-0.00031815i,0.00033267-0.00032697i,-0.00079953-0.00061806i,-0.00078083-0.00036119i,8.8945e-05+0.00015411i,5.4036e-05+0.0004483i,0.00034675+0.00062526i
0.00013829+8.7896e-06i,-5.7256e-05+0.00013699i,-0.00064994+5.4716e-05i,-0.001325-0.00036635i,-0.00074521-0.00032105i,-0.00072971-0.00042174i,-0.00062703-0.00083384i,-4.6794e-05-0.0010278i,0.00085257-0.00026201i,0.00085257+0.00025817i,-5.9147e-05+6.5111e-05i,-0.00030536+9.4433e-05i,7.6515e-05+2.0482e-05i,6.0749e-05-0.00036595i,-0.00022484-0.00028992i,-0.0007638-9.566e-05i,-0.00091421-2.2125e-05i,-0.00016346-0.00052159i,-0.00031027-0.00045815i,-0.00067075+0.0001753i,0.00023148+0.00097627i,0.00046332+0.00083263i,-8.7568e-05+0.00010229i
