-0.0023873-0.00088321i,-0.0011667-0.00072983i,-0.0021589-2.4334e-05i,-0.0022385+0.00027271i,-0.0021447+0.00013493i,-0.0018811+8.6046e-05i,-0.00076606-5.2555e-05i,0.00070746+0.00051618i,0.0012525+0.00082342i,0.0014584+0.0011881i,0.0020137+0.0007375i,0.0012863-0.00052432i,0.00022816-0.00085783i,5.2383e-06-0.00049292i,-0.00017519-3.3935e-05i,-0.00038328+0.00078354i,-0.00048782+0.00053662i,0.00030007-0.00022688i,0.00071146+0.00018739i,0.00026289+0.00020902i,0.00063974+0.00014099i,0.00071313-0.00010173i,0.00030785+0.00025133i
0.0006989-5.7701e-05i,0.00094432+0.0012149i,0.0005054+0.00080275i,-0.00013512-0.00043828i,-0.00066867-0.0010101i,-0.00056782-0.00022333i,-0.000469+0.00070751i,-0.00030622+0.00020032i,0.00033679-0.00020472i,0.00096061+0.00017403i,0.001035+9.4862e-05i,0.0011448-0.00014913i,0.0012551+0.00019068i,0.0010858+0.00079319i,0.0012082+0.0010696i,0.00099454+0.00051222i,0.00030388-0.0003326i,-0.00010753-0.00053454i,-0.00010911-0.00063723i,3.4517e-06-0.00051489i,-0.00055001-0.00036312i,-0.0012141-0.00043614i,-0.00099332-0.00069015i
-0.0010931+1.1506e-05i,-0.001037-0.00043138i,-0.0011414-0.00016789i,0.00030307+0.0003711i,0.00049785+0.00052402i,-3.0299e-05+0.00064916i,-0.000186+4.6414e-05i,-0.00074095-0.00090232i,-0.00018935-0.00073037i,-0.00016556-0.00013571i,-0.00024129-6.6528e-05i,8.2139e-05+0.00047973i,9.8271e-05+0.00065542i,0.00065306+0.0001192i,0.00053434-0.00018767i,-0.00038894-0.00054481i,-4.6322e-05-0.00065326i,0.00040218-0.00092099i,0.00033987-0.0011121i,8.4904e-05-0.00065413i,0.00012399-7.7053e-05i,0.00025267-0.00019566i,6.5975e-05-0.00070102i
0.00023384+0.00072329i,8.8758e-05+0.00050888i,0.00091567+0.00050692i,0.0013014+0.00034214i,0.0012186-0.00039593i,0.0016358-0.00071053i,0.0012567-0.00091339i,0.0010239-0.0005105i,0.00083335+5.952e-06i,0.00024053-0.00021563i,-0.00010835-0.00041314i,-8.2969e-05-1.5361e-05i,0.00012928+0.00040742i,0.00039879+0.0003921i,0.0011536+7.1337e-05i,0.0017525-0.00064914i,0.0014127-0.0010899i,0.0010547-0.0009084i,0.0012613-2.1656e-05i,0.0010569+0.00029947i,0.00031235+0.00045632i,0.00031746+0.00030424i,0.00066876+0.00015328i
-0.00013242-0.00080513i,-0.0012434-0.00061118i,-0.0014361-0.00047947i,-0.001397-0.0010601i,-0.0010336-0.0013052i,0.00010402-0.00045286i,0.00065209-0.00014022i,0.0004481-0.00043159i,0.00024916-0.00064606i,0.00056726-0.00082938i,0.00037766-0.00063771i,0.0005485+2.4069e-05i,0.00080265+0.00079178i,0.0010568+0.00047077i,0.0011412-2.4466e-05i,0.00078553+0.00011083i,0.00091328+0.00055189i,0.00060452+0.0010235i,-0.0001167+0.00049552i,-9.9628e-05+0.00028949i,-0.00012085+0.00056815i,-0.0004337+0.00033116i,-0.00095033+0.00089294i
-0.00035061+0.00085172i,0.00055209+0.00094119i,0.0022007+0.00082624i,0.0025142-0.00011723i,0.0012909-0.0011442i,0.00027942-0.0011643i,0.00020898-0.00092479i,0.00033342-0.0014628i,6.2492e-05-0.0016728i,-0.00015124-0.00088478i,0.00076752+8.6392e-05i,0.0014022+0.00068446i,0.0008829+0.0011788i,0.00050838+0.00061405i,0.00029942+1.1396e-05i,-0.00066866+0.00032009i,-0.00096323+0.00047565i,-6.9379e-05-0.00041059i,0.00053014-0.00066869i,0.00021511+6.5584e-05i,5.9438e-05+0.0006759i,0.0001229+0.0011826i,0.00049616+0.0010878i
0.00033234-0.00041465i,4.7546e-06+5.9985e-05i,-0.00048506-0.00092589i,0.0001014-0.001359i,0.00066684-0.0017522i,0.00094594-0.0012143i,0.00059897-0.00037244i,0.00060825-0.00050502i,0.0008058-0.0010969i,-9.7075e-05-0.0012171i,-0.00049685-0.000483i,7.5064e-05-0.00013269i,0.00024235-0.00015606i,0.00049265+9.269e-05i,0.00096532+0.00012669i,0.0010377-0.00031104i,0.00060013-0.00042645i,2.6825e-05-0.00026603i,0.00011592+0.00030799i,3.9579e-05+0.0007529i,-0.00022994+0.00055545i,-0.00043681+0.00015267i,-0.0001609-2.834e-05i
0.0020101-0.0002805i,0.0012881-0.00071353i,0.00081558-0.00070171i,0.0011031-0.00041622i,0.0010321+0.00018942i,-0.00020031+0.00037207i,-0.00063349-7.2159e-05i,-0.0005483-0.00052718i,-0.0010624-0.00030871i,-0.0006743-0.00035253i,-3.9055e-05-0.00014278i,7.8422e-06+0.00042655i,3.7366e-05-0.00013606i,6.4317e-05-0.00025166i,4.9686e-05+0.00010969i,0.00029325+0.00010268i,0.00010335-0.00020955i,-0.00015961-0.00054492i,-0.00061068-0.00054143i,-0.0007613-0.00047359i,-0.00033784+5.2824e-05i,-0.00051441+0.00061216i,-0.00054786+0.00036693i
0.001062-0.00084448i,0.0013567-0.0010326i,0.0016274-0.0012654i,0.0013055-0.0011845i,0.00058572-0.0018022i,2.6272e-05-0.0020061i,0.00028057-0.0011334i,0.00021342-0.0002728i,-0.00033397+0.00010645i,-0.00081288-0.00038826i,-0.00055145+0.00023426i,-0.00021714+0.00057569i,-0.00061889-0.00054855i,-0.00034703-0.00076071i,0.00015344-0.00038763i,-7.6612e-05-0.00015318i,-0.00044228-9.8061e-05i,-0.00089267-1.1752e-05i,-0.0011488-0.00064912i,-0.00059621-0.00070845i,5.9312e-05-4.7287e-05i,0.00053478+0.00015357i,0.00028625+0.00059233i
-2.6e-07+0.00010581i,0.00021685-9.1608e-05i,0.0011382-0.00023617i,0.0010081-8.3172e-05i,-0.00016788+0.00013074i,-0.00069706+0.00021296i,-0.00090637-0.00060296i,-0.00052765-0.0014702i,-0.00085462-0.0015761i,-0.00088504-0.00063453i,-0.00032534+0.00054778i,0.0001116+0.00029721i,0.00056114+0.00024518i,0.00069354+0.00068732i,0.00064016+0.00045678i,0.00029363+0.00031259i,0.00016198+0.00058152i,-7.7858e-05+0.00024419i,-0.00075294+7.5732e-05i,-0.00074218+0.00035223i,-0.00037246+0.00020139i,-7.0257e-05+0.00021277i,2.6779e-05+6.842e-05i
0.00015522-0.0012742i,-0.00061797-0.0014451i,-0.00082432-0.0011053i,0.00019014-2.4285e-05i,0.00064767+0.00030628i,0.00029169+0.00031398i,-0.00021766+8.7359e-05i,-0.00052678-0.00082894i,0.00024914-0.00076172i,0.00077517+3.3014e-05i,0.0002841+0.00011418i,-2.1675e-05+2.128e-06i,-5.5883e-05+0.00010102i,-0.00014262+0.00050375i,0.00017119+0.00061911i,0.00018584+0.00034908i,0.00019697+0.00032139i,0.00016872+2.01e-05i,-0.00014215-0.00013986i,0.0001167+0.00027492i,0.00026252+7.8966e-05i,-0.000362-0.00057117i,-0.00033391-0.00020346i
