-0.0055102+0.00059515i,-0.0048373-0.00015363i,-0.0054033+0.0021934i,-0.0045956+0.0047266i,-0.0019178+0.0049249i,-0.00030974+0.0031406i,0.00021283+0.0021593i,0.0013288+0.0021484i,0.0011716+0.0020873i,0.00050559+0.0017842i,0.0011753+0.0011874i,0.0011362+0.00065912i,0.0006458+0.00076907i,0.00094768+0.00056345i,0.00093341-0.00014888i,0.00045867-4.4361e-05i,0.00021909+0.000484i,8.5954e-05+0.0004231i,-0.00012065-0.00022252i,-0.00028641-0.00067078i,-0.00025207-0.00029909i,0.00048051+0.00016759i,0.00067696+1.2647e-05i
-0.00055852+0.00075676i,-6.9282e-05+0.00091364i,0.00032951-0.00032494i,0.00020065-0.0010306i,0.001156-0.00033715i,0.0020764+0.00091328i,0.0010379+0.0011355i,0.00013033+0.0003582i,0.00049204-9.8589e-05i,-0.00015455-0.00032038i,-0.00085127-0.00047616i,-0.00045759+3.9018e-05i,-0.0005553+0.00065144i,-0.00010713+0.00071781i,0.00039414+0.0010986i,-0.00028487+0.0012943i,-0.00083052+0.00076317i,-0.00046752-9.2456e-05i,-0.00017457-0.0010752i,7.7701e-05-0.00088936i,-2.8486e-05-0.00026109i,-0.00068279-0.00014834i,-0.00088247+5.4699e-05i
-0.00036888+0.00047022i,-0.00016847-0.00013712i,0.00044952+0.00012298i,0.00061067+0.00068143i,0.00034849+0.00064173i,-0.00013233+0.0002889i,0.0001258-2.7318e-05i,0.00031738+0.00077988i,9.3149e-05+0.0012456i,-0.00036455+0.00043279i,-0.00057269-0.00019101i,-0.00046613-1.5584e-05i,-0.00061491+0.00010936i,-0.00075158+0.00095824i,-0.00052764+0.0017128i,-0.00061551+0.0013171i,-0.00022017+0.00034583i,0.00010988-0.00035061i,-0.00028203+0.0001778i,-0.00022165+0.00086811i,-0.00024239+0.0010546i,-0.00051934+0.00054626i,-0.00046285-1.3024e-05i
0.00020083+2.2997e-06i,-0.00018955-0.00047179i,-0.00081604-0.00090983i,-0.00089359-0.0013184i,-0.0010878-0.00097315i,-0.00077497+0.00013445i,-0.00011162+0.0010683i,-0.00016299+0.00084872i,-0.00074659-0.00027367i,-0.0012092-0.00025099i,-0.00091714+0.00056533i,-0.00047519+0.0010998i,-0.00032434+0.0015188i,0.00037158+0.0017379i,0.001365+0.00057206i,0.0014922-0.00020035i,0.00046257+7.9779e-05i,-0.00097715-1.7522e-06i,-0.0018971-0.00011691i,-0.0017539+0.00015291i,-0.0005165+0.00057745i,0.00038826+0.0004i,0.00024817-5.9278e-05i
-0.0015683-0.00048176i,-0.0016383-0.00057717i,-0.0013943-0.00042177i,-0.00077439-0.00011404i,-0.0003056+0.00054785i,-0.00010075+0.00060855i,0.0005137-0.00023542i,0.00013292-0.00060092i,-0.0005818-0.00016849i,-0.00050409+0.0010421i,-0.00017522+0.0016264i,6.3994e-07+0.0014667i,-0.0001007+0.0010763i,0.00034109+0.0005639i,0.00068798+0.00022481i,-3.0807e-05-9.8091e-05i,-0.00019051-0.00026937i,0.00049579-0.0005986i,0.00042761-0.00035561i,-0.00077233+0.00036063i,-0.0011809+0.00031512i,-0.00036619-0.00011513i,0.00036807-0.00040609i
6.5089e-05-0.00086229i,0.0014223-0.00078952i,0.00091602-0.00054171i,0.00017707+0.00052213i,0.00053981+0.0011552i,0.0012599+0.00019208i,0.0010604-0.00048063i,-0.00038354-0.00076678i,-0.00074678-0.00066863i,-0.0010186-0.00018144i,-0.0013578-0.00018112i,-0.00074261+7.4237e-05i,0.00028923+0.000407i,0.00062701+0.00011005i,0.00025063-0.00024422i,9.9517e-05+0.00024209i,-8.8054e-05+0.00027959i,-6.8954e-05-0.00026842i,-1.5374e-05-0.0001533i,-6.894e-05+0.00052099i,-0.00011359-3.4017e-05i,-0.00056509-0.0013872i,-0.00081193-0.0009461i
0.00070215-9.7324e-05i,0.00033628+0.00033238i,0.00023281+0.00019989i,0.00024799-0.00076723i,0.00020893-0.00088365i,-0.00014296+0.00036601i,-0.00023697+0.00059759i,0.00035349+0.0003254i,0.00014536+0.00063346i,0.00019671+0.00072603i,0.00026762+0.00044381i,-0.00078147+0.00026111i,-0.0011253+0.0005432i,-0.00079614+0.0006009i,-0.00058092+0.00012524i,-0.00060451-0.00043119i,0.00012339+0.00016398i,0.00013757+0.000738i,-0.00052192+4.4628e-05i,-0.00014225-7.3549e-05i,1.2027e-05+0.00084268i,-0.00073347+0.00062777i,-0.00044428-0.00028884i
-0.0031836-0.00076972i,-0.0035709-0.00069772i,-0.0035481+0.00057763i,-0.0026507+0.0020502i,-0.0014648+0.0020452i,0.00022037+0.0011263i,0.00048562+0.0010883i,-0.00017348+0.0017884i,-0.00077929+0.0013776i,-0.00062433+0.00076221i,0.00017085+0.0010853i,9.5721e-05+0.00063047i,-0.00010448+0.00042096i,0.00029129+0.00054655i,0.0010522-0.00025361i,0.0013186-0.00030615i,0.00089624+0.00067146i,0.00047089+0.0006197i,0.00056559+0.00019211i,0.000572+0.0012316i,0.00020107+0.0012799i,0.00022062+0.00083295i,0.00020584+0.00085817i
-0.0023002-0.00098486i,-0.0023296-0.0010614i,-0.0022914+0.00023403i,-0.0019118+0.0016477i,-0.00090374+0.0021943i,0.000101+0.0012949i,0.00057754+0.00036349i,0.00064545+0.00023702i,-0.00018192+0.0010022i,-0.00060879+0.0014811i,-0.00051228+0.00097172i,-0.0002005+0.00088883i,-2.6996e-05+0.0012369i,-0.00039273+0.0009408i,-0.00032855+0.00051439i,0.00042638+3.3457e-05i,0.00099553-0.00030776i,0.00096022+0.00010659i,0.00051044-8.4041e-05i,0.00097503-0.00083943i,0.0014706-0.00043095i,0.00041201+0.00031024i,-0.00078847+0.00040054i
-0.00065291-0.0013142i,0.00028361-0.0012346i,3.8773e-05-0.0018343i,-0.00038824-0.0016686i,-0.00091138-0.00020387i,-0.0011016+0.00067995i,-0.00061719+0.00053303i,3.8986e-05+0.00039335i,0.00064979+9.7163e-05i,0.00042588-0.000142i,-9.3952e-05+0.00013514i,-0.00040941+0.00031108i,-0.00023009-0.00045142i,-0.00021892-0.00077858i,-5.6954e-05-0.00013413i,0.00038047+0.00033583i,0.00074414-0.00024869i,0.0012412-0.00021378i,0.00062728+0.00024754i,-0.00019012+0.00041838i,-5.064e-05+0.0003917i,0.00041232-1.6507e-05i,0.00036832-0.00013491i
0.00061617+0.00070521i,0.0015145+0.0006544i,0.0021412+0.00055448i,0.002048-0.00027077i,0.0015743-0.0012078i,0.0010987-0.00072981i,0.00055195+0.00057585i,0.00018148+0.0004014i,0.00020345-0.00013245i,0.00067118-0.00015098i,0.00076955-0.00036785i,0.00021999-0.00058975i,-0.0002966-2.9935e-05i,-0.00056794+0.0005753i,-0.00067876+0.0005474i,-0.00030372-2.1881e-05i,0.00079189-0.00051731i,0.0010106-0.0004742i,0.00063026-0.00010768i,0.00068963-0.00025471i,0.00011585-0.00014728i,6.9819e-05-0.00014372i,0.0010882-0.00050547i
