-0.0020933-0.00052057i,-0.0013427-0.0012715i,-0.001471-0.00046603i,-0.0012166-3.7287e-05i,-0.0011985+5.1356e-05i,-0.0015566+0.00091336i,-0.0014296+0.0016954i,-0.00053191+0.0019749i,2.4534e-05+0.0017731i,-8.3057e-05+0.00057659i,0.00025713-0.00066254i,0.00037051-0.00076056i,-0.00013783+9.4171e-05i,-0.00021038+0.00028911i,0.00072008+0.00035399i,0.0012169+0.00059673i,0.00070393+0.00040886i,0.0011904-0.00010728i,0.0015142-3.0013e-05i,0.00047758+0.00050855i,-0.00012147+0.00035269i,-0.00025669-0.00030865i,-0.00091389-0.00015734i
-0.0036671-0.0013807i,-0.0022717+0.00013884i,-0.0029368+0.00089052i,-0.001801+0.001021i,-1.8466e-05+0.00085851i,0.00021415+0.00040294i,0.00032035+0.00028255i,0.00023297+8.0365e-05i,-0.00014966-2.3271e-05i,-0.00037316+0.00094594i,-0.00032039+0.0012689i,0.00048045+0.00089737i,0.00096606+0.00073059i,0.0011693+0.00034352i,0.0012403-0.00019032i,0.00038848-1.8821e-05i,8.5343e-05+0.000132i,-2.9129e-05+0.00012117i,-0.00042945+0.00019026i,-0.00048831-8.3482e-06i,-4.9836e-05+0.00019727i,0.00058785+0.00050198i,0.00015964+0.00053514i
-0.00084529-0.0032246i,-0.0009444-0.0022012i,-0.0020294-0.00032727i,-0.0014488+0.00071549i,-0.00015001+0.0014601i,0.00041212+0.00094756i,0.00048744-0.00052504i,0.0004346-0.0012069i,-4.5519e-05-0.0012082i,-0.00040582-4.9232e-05i,-0.00046279+0.0010433i,0.00016705+0.00068315i,0.00052566+0.00047057i,-0.00026612+0.00020278i,-9.6861e-05+0.00035506i,0.00064271+0.00096243i,0.00071821+0.00078501i,0.00086753-0.00010454i,0.0009408-0.00052527i,0.00047821+8.4923e-05i,-2.1707e-05+0.00056967i,-0.00047219-0.00032175i,-0.001065-0.0012381i
-0.00083133-7.4538e-05i,-0.00027762+3.3101e-05i,-0.00024517+0.00019369i,-0.00014246+4.8435e-05i,-0.00013636+0.00062423i,-2.7179e-05+0.00099282i,0.00023702+0.00028557i,0.00058905-0.00040608i,-0.00023412-0.00055543i,-0.0012954+0.00034789i,-0.00092755+0.00087683i,-0.00026315+0.00065484i,-0.00055919+0.00032015i,-0.00043059+0.00027242i,0.00027342+0.00033996i,0.0001742+0.000638i,-0.00048233+8.9562e-05i,-0.00051042-0.00095157i,-0.00047131-0.00018977i,-0.0010377+0.00099086i,-0.00083783+0.0010157i,6.3266e-05+0.00068684i,0.00069166+5.9338e-05i
-0.00012634-0.00070701i,-0.00013744-0.0015933i,0.00027286-0.0015525i,0.00017142-0.00059403i,-0.0003109+0.00033245i,-0.00052843-0.0001828i,-0.00028626-0.0008491i,-2.8228e-05-0.00053427i,9.1207e-05-1.0739e-05i,-0.00048922+0.00082164i,0.00016885+0.00055749i,0.0016273-0.00047982i,0.0015039-0.0010656i,0.00062128-0.0010165i,-0.00026874-0.00058113i,-0.00022-0.0004101i,-5.7541e-05-0.00024006i,-0.00011185+0.00043328i,-0.0002922+0.00058679i,-0.00082482+1.3383e-05i,-0.00061561-0.00028534i,0.00011535-0.00056169i,-0.00018682-0.00037589i
0.00094402-0.00031066i,0.0014818-0.0014579i,0.001782-0.002693i,0.0016329-0.0025928i,0.0014692-0.0017854i,0.00083785-0.0014493i,0.00052509-0.00065382i,0.00013277+0.00011552i,-0.00043778+0.00019647i,-0.0010573+0.00036846i,-0.0011195+5.1071e-05i,-0.00057742+2.2476e-05i,-0.00015866+0.00054104i,-5.6857e-05+7.1714e-05i,-7.6248e-05-0.00021332i,-0.00022269+0.00045541i,-0.00075654+0.00054863i,-0.00071473+0.00015094i,-0.00084688+0.00043798i,-0.0013054+0.00027766i,-0.00087729+0.00022213i,-0.00067391+0.00051726i,-0.0003436+0.00095656i
-0.00059943+0.0018312i,0.0007711+0.0022122i,0.0012035+0.0019432i,0.0013513+0.001008i,0.0015263+0.00069871i,-3.902e-05+0.0010311i,-0.00082299+0.00047386i,-0.0008276-0.00047938i,-0.00078445-0.00056359i,-0.00017829+5.7845e-05i,3.9481e-05-0.00023106i,3.2066e-05-0.00089487i,-0.00025822-0.0013693i,-0.00073622-0.0007129i,-0.00081266-0.00049126i,-0.0010184-0.00058009i,-0.00060892+0.00044559i,-2.5894e-05+0.00087429i,-8.7581e-05+0.00043593i,0.00015982-1.0699e-05i,0.00018723-0.00012495i,3.0022e-05-0.00035453i,-0.00010592-0.00026377i
-0.001142-0.0013871i,-0.0018084-0.0020559i,-0.0014703-0.0017817i,-0.00032566-0.00092483i,0.00047742+0.00060855i,0.00036395+0.00051902i,0.00021673-0.00028977i,-0.00018011+0.00017297i,-7.3695e-05-3.0753e-05i,-4.3117e-05-0.00087325i,-0.00042005-0.00080983i,-0.00054784-0.00049158i,-0.00018149-5.766e-05i,2.0368e-05-9.4371e-05i,0.00014893-0.00057887i,0.00010538-0.0010283i,-0.0005548-0.00072194i,-0.00071472-0.00035756i,-0.00035565+0.00045584i,-0.0001132+0.00066467i,-0.00012885+0.00029069i,-6.2966e-05-0.00019845i,-0.00018534-0.00067739i
0.0025884-0.0017627i,0.002927-0.0026666i,0.0027771-0.0027291i,0.0013406-0.0019613i,-0.00035884-0.0013733i,-0.00035991-0.00034804i,0.00066382+0.0012039i,0.0006941+0.001296i,-0.00047272+0.00057371i,-0.0011186+0.00042015i,-0.0014824+0.00063262i,-0.0014871+0.0009767i,-0.00035769+0.00071593i,0.00049212+0.00044326i,0.00079303+0.00010538i,0.00058446-0.00030597i,-0.00039126-6.8146e-05i,-0.00037571+9.8112e-05i,0.00045925+0.00038143i,0.00017922+0.0010671i,9.1656e-05+0.00079215i,0.0010038+0.00041357i,0.00033176-7.111e-05i
0.000863-0.00010844i,0.00085095+0.0015501i,0.0018991+0.00049321i,0.0023071-0.00028312i,0.0013231-0.0011577i,0.00011521-0.0015164i,0.00036735-0.00036198i,0.0005723-4.5824e-05i,0.00083059+0.00010617i,-3.9302e-06-0.0001631i,-0.00091828-0.0010301i,-0.0004658-0.00049064i,2.3729e-05+0.00020255i,-0.00068454+0.0004162i,-0.0009436+0.00016597i,-5.8162e-05+0.00062723i,0.00019643+0.00091608i,3.1596e-05-0.00019965i,0.00081882-0.0010482i,0.0016235-0.0013938i,0.00058093-0.00065269i,-7.0171e-06+0.00043411i,0.00016284+0.00054208i
0.00011505+0.000743i,0.0006214+0.0019609i,0.00073655+0.0023236i,0.0017663+0.0013762i,0.0012445+0.00088428i,-0.00029275+0.00088302i,-0.00057286+0.00097721i,3.9949e-05+0.00058682i,-0.0005887-1.8103e-05i,-0.0010959+2.69e-05i,-0.00076406+0.00047877i,-0.00052544+0.00064594i,-0.00069534-1.2384e-05i,-0.00073056-0.00080119i,-0.00070951-0.00041996i,-0.00069482+0.00026172i,-0.00016353+0.00011541i,-7.335e-05+0.00014968i,-0.00033926-0.0002143i,0.00017009-0.00056329i,0.0003896-0.00065691i,0.00063779-0.00059932i,0.00062198-0.00032295i
