-0.0027814+0.00012969i,-0.0021645-0.001044i,-0.00196-0.0013272i,-0.001671-0.00035444i,-0.0014362+0.00025335i,-0.00048211+0.0011176i,0.00060038+0.002741i,0.00099482+0.0028441i,0.00059569+0.0012493i,0.00076376+0.00023538i,0.00067144-0.00018825i,1.8591e-05-0.00098418i,0.00040731-0.00095383i,0.00077388-0.0011366i,2.9083e-05-0.0009468i,-0.00084833-0.0005199i,-0.00061797-0.00082955i,-0.00010881-0.001054i,0.00054573-0.0010283i,0.00074908-0.00022866i,0.00010021+0.00052966i,-0.00049166-0.00052961i,-0.00079267-0.00073775i
0.00084926-0.0006655i,0.0014056-0.000531i,0.0017895+5.8258e-05i,0.0010323+0.00058025i,0.00055854+0.00063873i,0.00036921+0.00081158i,0.00024772+0.00028082i,0.00039188+4.7399e-05i,0.00023154+0.00035437i,0.00055623-9.0459e-05i,7.3274e-05-0.00044798i,-0.00098101-0.00017908i,-0.00071755-0.00034225i,-0.00059487+0.00010559i,-0.0006185+0.00046404i,-0.000597-4.3552e-05i,-0.0011808-0.00022671i,-0.00084261-0.00022788i,-0.00018985-3.2084e-05i,-7.0887e-05+0.00020054i,-0.00065368-0.00050849i,-0.0011878-0.00048771i,-0.0010871+0.00050736i
0.00017379-0.00082726i,0.0003912-0.00086436i,-0.00026423-0.00044492i,-0.00067667-6.2675e-05i,-0.00078782+0.00048469i,-0.00092696+0.00029488i,-0.0002408+1.6018e-06i,7.6214e-05+0.00012349i,-0.00049421+0.00046033i,-0.0007308+0.00041614i,-0.00066928-6.107e-05i,-0.00062846-0.00054837i,-0.00010366-0.00063467i,0.00012777-0.00054321i,2.6153e-05-0.00028846i,0.00059039+0.00010998i,0.0001949+0.00025495i,-0.00039201-0.00048621i,-0.00048394-0.0013011i,-0.00072222-0.00098015i,-0.00084809-0.00079434i,-6.3707e-05-0.00070583i,0.00070386-0.00055031i
0.00043339-0.0011822i,5.1859e-05-0.001145i,-0.00048749-0.0018556i,0.0001233-0.00036401i,-8.5308e-05+0.00054284i,5.8087e-05+0.00096923i,0.00013104+0.0013033i,-7.9764e-05+0.00066782i,-7.7407e-05+0.00021754i,-0.00051868+0.00024821i,-0.0011844+0.00019753i,-0.00055647+0.00066844i,-0.00012286+0.00056473i,0.00014204-0.00017404i,0.00039772-0.00013672i,0.00027265+0.00058302i,0.00016828+0.00028757i,0.00016217-0.00051556i,0.00031097-0.00033709i,0.00056214-0.00069872i,0.00070388-0.0013146i,0.00076232-0.0012756i,0.00075693-0.00037953i
-0.00084798-7.9522e-05i,0.00055476-0.0001138i,0.0011198-0.00092956i,0.0005017-0.00056666i,0.00016409-0.00073349i,0.00028798-0.0017755i,8.6503e-06-0.0015378i,-0.0001953-0.00073831i,-9.0859e-05-0.00040957i,-0.00030613-0.00013862i,-0.00093728+0.0002913i,-0.001869+8.9351e-05i,-0.0017916-0.00082708i,-0.00043411-0.0012078i,0.00018782-0.00012361i,-0.00020863+0.00092287i,-0.0001835+0.00057653i,0.00021675-0.00042368i,5.5686e-05-0.0010192i,-8.687e-05-0.00090401i,-0.00044696-0.00097547i,-0.00029948-0.0013629i,0.00010486-0.0015441i
-0.0013039-0.00099388i,-0.00079899-0.0011663i,-0.00046871-0.00055222i,3.7639e-05-0.00019365i,-0.00011503+0.00018375i,-0.00032477+4.747e-05i,7.9066e-05-0.00016312i,0.00015053-6.7357e-05i,0.00013558-0.00021562i,-0.00045296-0.00048808i,-0.0012925-6.4215e-05i,-0.00096885+0.00036992i,-0.00014713+0.00065027i,0.00013077+0.00021536i,-0.00054083-0.00049122i,-0.000212-0.00062809i,0.00037463-0.0001794i,8.5813e-05+0.0002554i,-0.00037853-3.8957e-05i,-0.00043431-0.00041631i,-0.0003737+0.00016583i,-0.00047377+0.00069431i,-0.00031978+0.00095255i
0.0013496-0.00017377i,0.00097359-0.00057692i,0.00073958-0.00080324i,0.00026032+7.6767e-05i,0.00037238+0.00088998i,-6.9176e-05+0.001012i,-0.0005801+0.00073353i,0.00021833+0.00084749i,0.00051638+0.00079586i,-0.00032046+0.00025278i,-0.001339-0.00056904i,-0.0010429-0.00057005i,-0.00020313-0.00029285i,-0.00071356-0.00035549i,-0.0010687-0.0002461i,-0.00032093-0.00026171i,-0.00050055-0.00085348i,-0.00070047-0.0011826i,-8.4684e-05-0.00052738i,0.0012273-0.00010774i,0.001372-0.0002794i,-0.00030575-0.0005323i,-0.00029565-0.00062049i
0.0025409+0.00034393i,0.0020735+0.00011689i,0.0019214-0.0011274i,0.0014434-0.0013878i,4.1005e-05-0.0011591i,-0.00069051-0.00071266i,-0.0002581+0.00010565i,-2.1414e-05+0.00072439i,0.00012065-0.00063003i,-0.00027314-0.0013499i,-0.0002046-0.00085198i,-3.3643e-05-0.00042563i,-0.00067549+0.0001136i,-0.00079892+0.00040615i,-0.00038875+0.00048321i,-0.00011645+0.00032581i,-0.00085408-0.00058176i,-0.00069702-0.00099024i,-4.8079e-05-0.00055832i,-6.7463e-05-0.00033139i,-0.00019395-3.9933e-05i,-0.00031628-0.00031292i,-0.00041413+9.2897e-05i
0.00040968+0.00098385i,0.0012513+0.0010659i,0.0014593+0.0013802i,0.00074237+0.00055426i,0.00018315+8.2913e-05i,0.00011481-0.00016975i,-0.00055418-0.00016914i,-8.3883e-05-0.00015193i,0.00094015-0.00034431i,0.00079698-0.00043374i,-0.00020338-0.00047542i,-0.00074162-0.00089981i,-0.00072732-0.00097857i,-0.00011863-0.0005034i,0.00027141-0.00019175i,-0.00011433+0.00019001i,-0.00047634+0.0012482i,-0.00026078+0.001367i,0.00014988+0.00075988i,0.00061992-0.00047038i,0.00030675-0.0014579i,-0.00047615-0.0010509i,-0.00012311-0.00032132i
0.00033188-0.00015379i,-0.00032034-0.00014506i,-0.00090335-0.00036689i,-0.00032+0.00025974i,0.00063876+0.00050678i,0.0011691+0.0001717i,0.00081828+0.00029506i,7.6541e-05+0.00043326i,-0.00067254+0.00041527i,-0.00037389+3.6055e-05i,8.3699e-06-0.00017292i,0.00027537+0.00010122i,0.00071957-9.419e-05i,0.0003256-0.00045257i,-5.1422e-05-0.00072005i,-0.00010077-0.00036074i,-0.00018381+0.00041527i,0.00014697+0.00066948i,0.00062313-0.00013044i,0.00064204-0.00054717i,0.00054093-9.3425e-05i,0.00045664+8.8321e-05i,0.00062803-0.00053189i
0.00073013+0.0026406i,0.00036246+0.0023953i,0.00046298+0.001953i,0.0010571+0.00078056i,0.0011012+0.00024883i,0.00053295+0.0005655i,0.00028953+0.00094812i,8.2886e-05+0.00065401i,0.00048726-1.8713e-05i,0.00056927-0.00064051i,-3.7406e-06-0.0013245i,0.00096854-0.0010014i,0.0012861-0.00064592i,0.00064199-0.00030624i,0.00028831+2.7096e-05i,-0.00043848-0.00096939i,-0.00021071-0.0011494i,0.00047091-0.00019448i,0.00026206+0.00060201i,5.8558e-05-0.00023083i,0.0002206-0.001557i,0.00021892-0.0015122i,0.0002651+5.7954e-05i
