-0.0027394-0.00020184i,-0.0024271+0.00053487i,-0.0024938+0.0011766i,-0.0024188+0.002084i,-0.0018075+0.0021662i,-0.00062374+0.0019931i,-0.00044218+0.0020602i,-0.00036495+0.0020262i,0.00047468+0.0021042i,0.0012788+0.0011903i,0.0012278-0.00095638i,0.0009739-0.0013839i,0.00027055-0.00021862i,-0.00084911+5.8349e-05i,-0.00071456+0.00045569i,0.00026543+0.0013151i,0.00059136+0.00085347i,0.00019877+0.00046703i,0.00088135+0.0008023i,0.0013961+0.0010528i,0.00088319+0.00045114i,4.0477e-05-0.00038294i,-5.94e-05-0.00079468i
5.1043e-05+0.0014719i,2.5957e-05+0.0012587i,0.00060901+0.0019645i,0.0016064+0.0019323i,0.0029152+0.0012878i,0.0019669+0.00086049i,0.00025641+0.00066165i,-5.4681e-05+0.00093891i,0.00027348+0.0010509i,0.00065835+0.0010514i,0.00062904+0.00052873i,0.00032263-0.00042009i,-0.00010353-0.00045015i,-0.00038596-5.8441e-05i,-0.00012151+0.00073934i,0.00041491+0.00078599i,0.00061628+0.00053913i,0.00081389+0.00079185i,0.00081928-0.0001197i,0.00092043-0.0012062i,0.0003586-0.0012231i,8.607e-05-0.0001128i,0.00045504+0.00037292i
0.0022176+0.0009201i,0.0015147-0.00019956i,0.0011971-0.00080086i,0.0013304-0.0014801i,0.0015183-0.00059596i,0.00058615+0.0010685i,0.00025246+0.00053945i,0.0012723-0.00013477i,0.0016461+0.00054203i,0.00097456+0.0011371i,0.00056034+0.00045591i,0.00030571+1.8698e-05i,-0.00041443+0.00054816i,-0.00029065+0.0010101i,0.00037291+0.00030243i,0.00077883-0.00016596i,0.00026607-0.00038869i,-0.00053395-0.00037684i,-0.00056158+0.00026337i,-0.00049204-0.00045595i,-0.00035173-0.0013089i,0.00038195-0.00038262i,0.00077874+0.00023161i
-0.0011969+0.00044774i,-0.0017216+0.0019659i,-0.0018485+0.0013922i,-0.0008874+0.0012115i,-2.3459e-05+0.0018665i,0.00040411+0.0013787i,0.00078699+0.00063415i,0.00091041+0.00038627i,0.0010152+0.00028866i,0.0012323+0.00022785i,0.0013353-0.00017482i,0.001179-4.6744e-05i,0.00098299-0.00021988i,0.00052955-0.00079643i,-0.00057712-0.00069962i,-0.00076487-0.00027529i,0.00011125-6.2445e-05i,0.00044202+0.00012891i,0.00049305-0.00015901i,0.00049456-8.6154e-05i,0.00042276+0.00053152i,-4.8823e-05+0.00052225i,-0.00046864+0.0005997i
0.00068273+0.001698i,0.00036742+0.0014021i,0.00018632+0.00037467i,-0.00040237+0.00099265i,-0.00057194+0.0019475i,0.00023416+0.0021054i,0.00094259+0.0016519i,0.00091341+0.00099972i,0.00077187+0.00077305i,0.0010871-5.0234e-05i,0.0012483-0.0012945i,0.00064819-0.0013974i,5.6335e-05-5.7345e-05i,3.3355e-05+0.0013178i,0.00039737+0.00082978i,0.00062249+0.00026738i,0.00032012+0.00058105i,0.00022211+0.00077133i,0.00037454+0.00032039i,0.00063172+0.00010152i,0.00073603+5.3473e-05i,0.00036454-0.00042119i,0.00039778+2.9496e-05i
-0.00041947-0.0014683i,-0.0012557-1.2565e-06i,-0.0018503-4.8175e-05i,-0.0017809+0.00010276i,-0.0015424+0.0010241i,-0.00024869+0.0018104i,0.0010561+0.0014434i,0.00081013+0.0010217i,3.0329e-05+0.00045181i,0.00015731-0.00039693i,0.00032462-0.00092182i,0.00022063-0.0004489i,0.00027355+0.00045381i,0.0001348+0.00026666i,-0.00022042+0.00021989i,0.00055104+0.00097524i,0.00074666+0.0011568i,0.00078295+0.00081115i,0.00089979+0.0008189i,0.0001628+0.00019734i,-0.00041776-0.00066894i,-0.00043442-0.00051165i,-5.8602e-05+0.00018292i
0.00098493-0.0012111i,0.00064489-0.0010538i,0.00023391-0.00053097i,0.00083352+2.2798e-06i,0.00051996+0.00038511i,-4.6963e-05+0.000834i,0.00017008+0.0009438i,0.00040118+0.00040972i,0.00071238-0.0004528i,0.00036034-0.00076721i,4.5e-05-0.00079546i,0.00049976-0.00036233i,0.00033248+0.00012248i,-0.00022125+8.337e-05i,0.00016122+0.00016285i,0.0013613+9.1871e-05i,0.0014272-0.00021552i,0.001311+0.0006661i,0.0014288+0.0010141i,0.00085855+0.00052821i,0.00062945+0.00010132i,0.00065933-0.00048285i,9.9426e-05+1.9808e-06i
0.0022447+0.00066642i,0.0018125+0.00074034i,0.0020886+0.00034094i,0.0015794-0.0006364i,0.00069455-0.00047977i,-0.00016693+0.00086397i,-0.00047709+0.0014567i,0.00057696+0.0013082i,0.0010174+0.0014001i,0.00044037+0.00058657i,8.8753e-05-0.00011816i,-0.00072422+9.8678e-05i,-0.0012001+0.00025092i,-0.00047152-9.7189e-05i,0.00056761+1.07e-05i,0.00089248+0.00050229i,0.00016915+0.00055891i,0.0001818-0.00043495i,0.0003703-0.00041829i,-0.00062909+0.00036584i,-0.0010034+0.00031372i,-0.0007636-0.00010429i,-0.00069222-0.00015262i
-0.00089376-0.0014421i,-0.00091031-0.00041693i,-0.00092967+0.00017958i,-0.0012557+0.00092332i,-0.0010298+0.0018502i,-0.00013709+0.0018926i,0.00091547+0.0015732i,0.0018522+0.00092072i,0.0019494+0.00011874i,0.0013492+0.00022594i,0.00074092+0.00055289i,0.0010775+0.00068893i,0.00095005+0.00066785i,0.00067778+0.0002212i,0.00057639-0.0005362i,-0.00033097-0.00017392i,-0.0006972+0.00047528i,-0.00015938+0.00018519i,0.0007442-9.0929e-05i,0.0011633-0.00016833i,0.0015921-0.00034608i,0.00082799-0.00040902i,0.00017139+0.00013633i
-0.00029986+0.00075797i,0.0011111+0.0012453i,0.0015197+0.0017739i,0.00058806+0.0015167i,0.00068479+0.0016415i,0.00064131+0.0019215i,2.9482e-05+0.0013116i,4.0741e-05+0.00054184i,0.00065751+0.00043606i,0.0014578+0.0010034i,0.0013485+0.00013727i,0.00041656-0.00052582i,-0.00020603-1.4096e-05i,-0.0004797+0.00051003i,-0.00043265+0.00094995i,6.803e-05+9.0724e-06i,0.00020121-0.00059921i,0.00032968+0.00048916i,0.00079104+0.00074386i,0.0010606+4.8466e-05i,0.00041345-0.00017404i,0.00014767-0.00049342i,0.00017034-0.0010342i
-0.0024604+0.0019005i,-0.0019845+0.0012019i,-0.00047706+0.0016609i,0.0011831+0.0018233i,0.0013734+0.0013196i,0.00073072+0.001707i,0.00069767+0.0016305i,0.00078044+0.0011923i,0.00058034+0.0012684i,0.00031709+0.00020689i,0.00027989-0.0010242i,-0.00010928-0.0014209i,-0.00042254-0.0013966i,-0.00069968-0.00039149i,-0.00084351+0.00030629i,-0.00089567+0.00034433i,-0.0005907+0.00071307i,-0.0003117+0.00064729i,0.00010705+0.0002156i,0.00054676-0.00025859i,0.00047892-0.00051858i,0.00017657-0.00087466i,-0.00025561-0.00044671i
