0.0009195-0.00053381i,0.0012767-0.00076521i,0.0002929-0.0015116i,-0.00099745-0.0020189i,-0.0024691-0.0019159i,-0.0035436-0.0014586i,-0.0033128-0.00050614i,-0.0021575+0.00053289i,-0.0011962+0.00063447i,-0.00046014+4.2141e-05i,0.00034443-0.00023405i,0.00035435-0.00050751i,-0.00083302-0.00072843i,-0.0014076-0.00014723i,-0.0010085+0.00026054i,-0.00081621+0.00012871i,-0.0010765+0.00049045i,-0.00073262+0.00082624i,-0.0001497+0.00052133i,-0.00032323-0.0002407i,6.823e-05-0.00085778i,-4.7764e-05-0.00083973i,-0.00074071-0.0010911i
0.00090121+0.0010717i,0.00050098+0.0010073i,0.00095076+0.00015684i,-7.1342e-06-0.00030799i,-0.0015172-0.0016341i,-0.0020579-0.0016766i,-0.0019183-0.00014157i,-0.0013976-0.00035604i,-0.0011297-0.00056787i,-0.0007689+0.00036966i,-0.00056102+0.00080106i,-0.00074799+0.00040956i,-0.0006759+0.00014715i,0.00050613+0.00029819i,0.0011108+0.00041503i,0.00022723+0.00084686i,0.00037548+0.0012548i,0.00077929+0.0009195i,0.00081493+0.00060603i,0.001218+0.00053823i,0.0011833+0.00017814i,0.00079046-4.4242e-05i,0.00014783+0.00010999i
0.00010107-0.0018051i,-4.1626e-05-0.0019178i,-0.00018149-0.0023364i,-0.00020199-0.0018072i,-6.4991e-05-0.0010578i,-0.00056783-0.0012179i,-0.0010556-0.001498i,-0.00050188-0.0012588i,-4.8396e-05-0.0014454i,-0.00028511-0.0015269i,6.6083e-05-0.00013791i,-0.00040093+0.00065197i,-0.00074302-0.00011927i,3.8678e-05-0.00060919i,-0.00010346+0.00011387i,-1.0917e-05+0.00037183i,0.00033062+0.00082686i,0.00015862+0.0017623i,0.00042694+0.0015706i,0.0010919+0.00074586i,0.001066+0.00015483i,-0.00032389-0.00014037i,-0.00071176-0.00076348i
-0.00093052-0.00080823i,-0.0010879-0.00028057i,-0.00034147-5.6711e-05i,0.001155-0.0001147i,0.0011623-0.001036i,0.00012658-0.002788i,-0.00094696-0.0017843i,-0.0015996-7.9835e-05i,-0.0013156-7.9852e-05i,-0.0006491-0.00020236i,0.00060907-0.00019195i,0.00097896+9.2166e-05i,6.7893e-05+0.00064044i,-0.00079941+0.00044387i,-0.00088426-0.0004928i,4.3638e-05-0.00048148i,0.00041033+0.00073531i,0.00056658+0.00079707i,0.00065338+0.00037792i,6.979e-05+0.00077881i,-0.00039487+0.001012i,-0.00043553+0.00049384i,-0.00017316-0.00028676i
-0.00064062-0.00019551i,5.2997e-05+0.00033283i,-2.5829e-05+0.00062218i,-0.0010193-0.00044962i,-0.0016773-0.00086746i,-0.0012188-0.00070782i,-0.00050761-0.0009893i,-0.0011624-0.0010341i,-0.0015027-0.00023997i,-0.0010875+0.00042525i,-0.0010914+0.00037794i,-0.00097497+5.0892e-06i,-0.00070894-1.4793e-05i,-0.00076036+0.000391i,-0.00040399+1.3149e-05i,-0.00054134+8.1445e-07i,-0.00056255+0.00092962i,-0.00019873+0.0012213i,-0.00020856+0.00032479i,-0.00019751-0.00034483i,3.4477e-05-0.00037587i,-1.3083e-05-4.6438e-05i,-0.00059824-6.1495e-05i
0.0013222+0.00013882i,0.0010384-0.0010653i,0.00042734-0.0015907i,0.00020282-0.0014601i,0.00010034-0.0016275i,-0.00046199-0.0022707i,-0.00060979-0.0022862i,-0.001268-0.0015853i,-0.0014634-0.00090902i,-0.00074005-0.00020869i,-0.00043921+0.00081608i,-0.00017548+0.0010644i,0.00048965+0.00086022i,0.00092568+0.00048152i,0.00052993+0.00017016i,0.00038984+0.00076613i,0.00040386+0.0011077i,0.00050193+0.00018205i,0.0010144-0.00036237i,0.00065581+0.0002614i,-0.00076398+0.00020581i,-0.0012882-0.00027297i,-0.00040593-0.00056639i
0.00085942-0.0008442i,0.0013054-0.0012697i,0.0018726-0.0010113i,0.0010423-0.0012987i,-0.00035823-0.0020248i,-0.00098488-0.0023509i,-0.0016918-0.0021337i,-0.0012138-0.0019811i,-0.0004699-0.0015801i,-0.00050735-0.0007077i,-0.00029283-0.00012296i,0.00059793-3.7813e-05i,0.00098309+2.6597e-05i,0.00080719-0.0002142i,0.00042716-7.8765e-05i,-0.00020595+0.00022878i,-0.00054045+0.00022377i,-3.7504e-05-0.00012088i,0.0011726-0.00024589i,0.00038706-4.6335e-05i,-0.00029582-2.5436e-05i,-8.3014e-05+0.00029917i,-0.00018276+0.00037109i
-0.0009663-0.0002832i,-0.0002193-0.00062753i,0.00030732-0.00067446i,0.00065319+5.3954e-05i,0.00098264+5.2027e-05i,0.00039825-0.0015555i,-0.00019825-0.0022307i,-0.00040562-0.0012444i,-0.00080826+0.0001855i,-0.00043621+0.00059301i,0.00052228+0.00067645i,0.0010848+0.00064783i,0.00034618-0.00025289i,-0.00023388-0.00056097i,-6.6863e-05+0.0002194i,0.0001257+0.00030757i,1.1726e-05+0.00014406i,-0.00058895-1.8603e-05i,-0.00079491-0.00021676i,-0.00043025+6.7803e-05i,0.00012837-0.00036704i,0.00053297-2.8918e-06i,0.000241+0.0011759i
0.00102+0.0009917i,0.001467+0.00094157i,0.0023054-0.00031595i,0.0035082-0.0017319i,0.0027407-0.0027092i,0.0002368-0.0029843i,-0.0012977-0.002163i,-0.0016736-0.001299i,-0.001401-0.00094189i,-0.001458-0.00026652i,-0.00092373+0.00014633i,0.00055833+0.00030897i,0.00078286+0.00054937i,0.00081386+0.00057487i,0.00048065+0.00055191i,-6.7281e-05+0.0010376i,-7.0138e-05+0.0011338i,-0.00012008+0.00091452i,0.0001359+0.0009452i,0.00030375+0.00085185i,7.9355e-05+0.000895i,-0.00018587+0.00010867i,-8.2187e-05-0.00044118i
0.0017971-0.0019357i,0.00011048-0.0017767i,-0.0012842-0.0019863i,-0.001264-0.0020725i,-0.0014498-0.0023457i,-0.0015611-0.0022148i,-0.0010974-0.0010858i,-0.0011235-0.0012902i,-0.0015396-0.0011477i,-0.0015122-7.1149e-05i,-6.7879e-05+0.00060063i,0.00037008+0.00083628i,4.0305e-05+0.00032382i,0.00018491-0.00040219i,0.00026856-0.0011677i,0.0002997-0.0006458i,0.00088471+0.00045513i,0.00093302+0.0011006i,0.00044651+0.00046834i,0.00042929+0.00019316i,0.00044478+0.00027018i,0.00084439-4.5502e-05i,0.00071983+0.00021951i
-3.4907e-05+0.0013265i,-0.00029833+0.00014017i,-0.00041572-1.7682e-06i,-0.00035195-0.0004146i,-0.00080057-0.0012088i,-0.0015853-0.00090529i,-0.0024452-0.00019408i,-0.0027835+0.00040225i,-0.0019654+0.00072731i,-0.00030808+0.0012688i,0.00023888+0.00080354i,-0.00025187+0.00058852i,0.0004089+0.00097192i,0.001317+0.0013286i,0.00059679+0.0013777i,-0.00074248+0.00086862i,-0.00041114+0.00097083i,0.00045275+0.0012557i,7.6668e-05+0.00083886i,-8.2759e-05+0.0004156i,0.00043153+0.00035089i,0.00041909+0.00031012i,-0.000214-9.4654e-05i
