0.0010504-0.0002238i,0.0016503-0.00040563i,0.0021299-0.00078528i,0.00015552-0.0011123i,-0.0018603-0.0020104i,-0.0024247-0.00095476i,-0.0010929+0.0011899i,1.0878e-05+0.0012387i,0.00045335+0.00056182i,0.00076722+0.00079476i,0.0011176+0.00027405i,0.00093958-0.00030358i,0.0006604-4.8176e-05i,0.00068995+0.00049763i,0.00023948-6.3548e-05i,-0.00013335-0.00058553i,0.00022554-0.0010346i,-5.8522e-05-0.0010302i,-0.00075451-0.00051204i,-0.00053151+0.00025806i,0.00035749+0.00020535i,0.00050857-0.00043584i,-5.049e-05-0.0002539i
-0.00083268-0.0014691i,-0.00021997-0.0011098i,-0.00027609-0.0010882i,-9.0472e-05-0.00075921i,0.00044637-0.00088119i,0.00058997-0.00057731i,0.00051324+0.00033465i,0.00075991+0.00013086i,0.0010248-0.00052892i,0.00076537+0.00040259i,0.00037521+0.00094151i,0.00015625+0.00059261i,-0.0004868+0.00084553i,-0.00035378+0.0005078i,-0.00064938+3.6524e-05i,-0.0016286-3.2202e-06i,-0.0016061-0.00028129i,-0.00055876-0.00067144i,0.00027421-0.00080214i,6.038e-05+5.9817e-05i,-0.00030975+0.001012i,-0.00079342+0.0011025i,-0.001129+0.00024011i
0.00024705+6.4018e-05i,-0.00014767-0.00081846i,-0.00069671-0.0018615i,-0.00083468-0.0016428i,-0.0004392-0.00059983i,4.7794e-05+0.00027954i,0.00025465+0.00034627i,-0.00013629+0.00070328i,-0.00023823+0.00097031i,5.9026e-05+0.00024537i,2.543e-05-0.00041469i,0.00014779+0.00041648i,0.00059298+0.00019296i,0.00069106-0.0001439i,0.00055714+0.00043368i,0.00053933-0.00013658i,0.00043102-0.00050169i,0.00048107-0.00057445i,0.0001149-0.00084096i,-0.00049158-0.00057687i,-0.0001993-4.5465e-05i,0.00067958-0.00026805i,0.00050666-4.6757e-06i
0.00055764+0.00039331i,0.00058831+0.00081325i,0.00030762+0.0010991i,0.001057+0.00016559i,0.00094403+0.00036944i,0.00037466+0.0010488i,8.3207e-05+0.00092346i,-0.00011774+0.00045997i,-0.00043097+0.00040178i,-0.00077741+0.00076628i,-0.00065469+0.00051562i,-0.00052878-0.00025265i,-3.3947e-07-0.0004305i,-5.0286e-05-0.00014682i,-0.00041813+0.00048049i,-0.0009311+0.00081522i,-0.00099749+0.00070292i,-0.00047573+0.00052658i,-0.00041974+0.00011443i,-2.1147e-05-0.00041097i,-5.2643e-05-8.8244e-05i,-0.00084359+7.2505e-05i,-0.00079964-5.1973e-05i
0.00096051+0.0013104i,0.0021102+0.0012991i,0.0017365+0.00056482i,0.0011499-0.00054207i,0.0011527-0.0013854i,0.00097417-0.00070648i,0.00060216+0.00070081i,0.00041995+0.00081819i,0.0004675+0.00039871i,0.00042574+0.00060773i,0.00031601+0.00091241i,0.00038824+0.00065154i,0.00034277+0.00047975i,-3.994e-06-0.00014583i,6.0358e-05-0.00024328i,0.0005169-0.0004456i,0.00031947-0.00085206i,-0.00034682-0.0013294i,-0.00041532-0.0012977i,-0.00071246-0.00025813i,-0.00072174+0.00011723i,-0.00057191-7.9527e-05i,-0.00061624-3.069e-05i
-0.001152-0.00056692i,-0.0012607-0.00028769i,-0.0013784-0.0010783i,-0.00072725-0.00048773i,-0.00040159+0.00052514i,-0.00025134+0.0011423i,0.00022749+0.00065472i,0.00031364+8.3405e-05i,-0.00019149+0.00080315i,-0.00060841+0.00093114i,-9.1397e-05+0.00043641i,0.00021959-2.8443e-05i,0.00017367-0.00033655i,-3.2197e-05-0.00013844i,-0.00045995-0.00049588i,-0.00034831-0.00089333i,-0.00079213-0.0011581i,-0.00093743-0.0012022i,-3.1815e-05-0.0012902i,0.00042301-0.001125i,0.00016087-0.00047406i,9.5001e-05+0.00012304i,0.00011157+0.00038693i
-0.00028444+0.0019129i,-0.00029195+0.0018107i,0.00097372+0.0011055i,0.0019892+0.00032724i,0.0018414+5.0643e-05i,0.001155-0.00016726i,0.0010074+0.00089297i,0.00076122+0.001161i,0.00080991+0.0008076i,0.00076975+0.00064442i,1.9564e-05-0.00046419i,-0.00089009-0.00058635i,-0.00078014-0.00053521i,-0.00050931-0.00045982i,-1.8773e-05+1.394e-05i,0.0003083-0.00017468i,0.00013087-0.00034282i,-3.5732e-05-0.00030455i,-0.00072667+5.7984e-05i,-0.00056906+0.00041623i,9.8507e-05-9.7391e-05i,-0.0004731-0.00038629i,-0.00040926-0.00044592i
0.00078023-0.00013685i,0.000707-8.6394e-05i,0.00061201+5.682e-05i,0.0011131-0.00055508i,0.0010086-0.0019628i,0.00049449-0.0016256i,-3.2586e-05-0.00047216i,-0.0004319+0.00027137i,0.00012933+0.00027856i,0.00038127-0.00024253i,0.00013791-0.00067817i,-9.281e-05-0.00041737i,-0.00037055+0.00022546i,-9.5284e-05+0.00047342i,7.1645e-05+0.00067798i,2.5946e-05+0.00053559i,-3.6797e-05-3.4919e-05i,-0.00016376+9.2197e-06i,-0.00044733+0.00021025i,-0.00098942+0.00013653i,-0.0012767-0.00058869i,-0.0017151-0.00050886i,-0.0014422+0.00037571i
0.00084762-0.0021274i,0.0005728-0.0014997i,0.0010904-0.0007307i,0.0001769-0.00062811i,-0.00070763-6.1308e-05i,0.00011968+0.0010108i,0.00068577+0.00098608i,0.00081+0.00055191i,0.0012047+0.00018373i,0.00085743-3.3041e-05i,0.00023795-0.00016391i,0.00033956-0.00033007i,-0.00014157-1.4122e-05i,-0.0002741-0.00056248i,-0.00015978-0.00044623i,-0.00038472+0.00016425i,-0.00013321-0.00018973i,0.00015198-0.00042185i,0.00030331-0.00087477i,0.00016182-0.00077168i,1.1155e-05-0.0003047i,3.824e-05-0.00055185i,-3.4796e-05-0.00041712i
-0.0014902-0.00092803i,-0.0017261+0.00032102i,-0.0018915+0.0013707i,-0.0022148+0.0005017i,-0.0015819-3.0725e-05i,-0.00034996-0.00010904i,0.00064038+0.00016408i,0.0010911+0.00019636i,0.00010413-0.00086111i,-0.00057066-0.0012114i,-0.00023941-0.00066697i,0.00014322-0.00041379i,0.00050339-0.00052117i,0.00021038-0.00087074i,-0.00051558-0.00074112i,-0.0010103-0.00072655i,-0.00092406-0.0007943i,-0.00064683-0.0007037i,-0.0010002-0.00052624i,-0.00090796+0.00020906i,-0.00063282+0.00058428i,-0.00070853-0.00010192i,-0.00017766+1.9367e-05i
-0.00052791+0.00052898i,0.00033379-0.00014775i,0.00031333-0.0011083i,4.7279e-05-0.00079537i,-0.00028882+5.9369e-05i,-0.00053674-0.00024191i,-0.00050188-0.00092438i,1.8136e-05-0.00075312i,0.0006662-0.00080682i,0.00092423-0.00048944i,0.00055493+5.5376e-05i,0.00043169-8.9436e-05i,0.0001254-0.00055044i,-0.00062885-0.0005942i,-0.00099524-0.00015165i,-0.00064764+0.00013528i,-0.00042548-0.00044595i,-0.00014504-0.00084419i,0.00042099-0.00045303i,0.00010764-0.0010056i,0.00055426-0.00089251i,0.00080617+0.00024317i,8.1824e-05+0.00051258i
0.00045167-0.00051659i,-0.00038694-0.00074095i,-0.00066474-0.0012588i,-0.00077073-0.0016983i,-0.0012257-0.0016232i,-0.00054563-0.00031386i,0.00094336+0.00065066i,0.0014154+0.00049231i,0.00093736-0.00011765i,0.00075526-0.00035766i,0.00076521-0.00042471i,-0.00047034-0.00066383i,-0.0012198-0.00013716i,-0.00046546+0.00098127i,0.00054927+0.00094665i,0.00063598-8.967e-05i,-4.7044e-05-0.00083234i,-0.00021048-0.0014667i,-0.00030202-0.0011887i,-0.00037061-0.0003559i,-0.00028647-0.00023525i,-0.00051604-0.00021383i,-0.00024158-5.7184e-05i
-0.0013027+0.00015715i,-0.00017255+2.4415e-05i,0.00073149+4.9823e-05i,0.00011628-0.0003136i,0.00019547+0.00013273i,0.00032772+0.00067112i,0.0004956+0.0005366i,0.00030927+0.00036588i,-0.0002427+7.008e-05i,0.00054279+0.000186i,0.00078353+0.00025397i,-0.00027147-5.8978e-05i,-0.00028518-0.00060167i,-0.00043204-0.00032846i,-0.00097855+5.3805e-05i,-0.00036341-0.00069368i,-0.00035159-0.0015379i,-0.00037579-0.00089601i,-6.0433e-05-0.00041663i,-0.00029604-0.0010743i,-0.00036617-0.00096235i,-3.0654e-05-0.00036361i,4.6779e-05-0.00079549i
-0.00078585+0.00017579i,9.1565e-05+0.00025707i,0.00015163-0.00047925i,-7.3366e-05-0.0011617i,-0.00089586-0.0011234i,-0.0010911-0.00080609i,-0.00074218-0.00032237i,0.00035306+3.4679e-05i,0.00045056+0.00084184i,-0.0005284+0.00020201i,-0.00051128-0.0010495i,-0.00042076-0.00017862i,-0.00090153+0.00053956i,-0.00078706+0.00026688i,-0.00070942+0.00062363i,-0.00037382+0.000549i,-0.00034657-0.00033168i,-0.00045238-0.00069142i,-0.00024969-0.00062298i,-0.00018536-0.00019532i,-0.00068135+0.00040008i,-0.00036187+0.00069578i,-0.0002481+2.414e-05i
0.0021422-0.00095049i,0.0023636-0.0014i,0.0012181-0.002502i,-0.00022513-0.0028894i,-0.0011225-0.0026419i,-0.0017657-0.0015215i,-0.0013057-0.00045147i,-0.00020186-0.00015539i,0.00067147-9.0393e-05i,0.00092631+0.00026317i,0.00030291-4.0354e-05i,0.00059305+5.4857e-05i,0.0011002+0.00067791i,0.00020414+0.00041902i,-0.00029221+8.6141e-05i,0.00016427-8.7344e-06i,0.00015879-9.7042e-05i,-0.00029276-0.0006384i,-0.0001172-0.0010241i,0.00023689-0.0009351i,6.7558e-05-0.0010813i,-0.00041465-0.0007703i,-0.0003537-0.00054344i
-0.00054937+0.0011044i,5.9355e-05+0.00112i,0.00029306+0.0019789i,-0.00053307+0.0023792i,-0.0010712+0.0011363i,0.0002009-9.8985e-06i,0.001191+0.00011803i,0.0014635+0.00047556i,0.00097809+0.00040738i,0.00080357+0.00026392i,0.00069204-1.1609e-05i,0.00061777-0.00065552i,0.00044354-0.00040609i,0.00065667-0.00021581i,0.0007701-0.00073326i,0.00054335-0.00069272i,0.00040404-0.00029687i,0.00011381+6.0353e-05i,-9.6912e-05-3.9211e-05i,0.00036958+7.3449e-05i,0.00081803+6.4115e-05i,0.00018756-0.00028943i,0.00016387+0.0001522i
-0.00092935-0.00061988i,0.00029438-0.0010593i,0.0007637-0.001206i,0.0020158-0.00087593i,0.0025466+0.00012147i,0.0012889-3.5495e-05i,0.00061082-0.00025978i,-1.7606e-05+0.00042977i,-0.0005712+0.001258i,-0.00080378+0.0010789i,-0.00010493+0.00028i,0.0005887-0.00015062i,5.4198e-05-0.00016146i,-7.499e-05+0.00027131i,-0.00016949+0.00053972i,-0.00036632+0.00063181i,-0.00058074-2.2673e-05i,-0.0011913-0.00057473i,-0.0010836-0.00062336i,-0.0006873-0.00023118i,-0.00039371+0.00026563i,-8.8845e-05+0.00042104i,-0.00053131+0.00073275i
