-0.0019339-0.00016513i,-0.0027939+3.399e-05i,-0.0030533-0.00071113i,-0.0023667-0.0010855i,-0.0021364-0.00086896i,-0.0024155-0.00047351i,-0.0011096+0.00014334i,-0.00018216+0.00051615i,-7.3521e-05-4.9505e-05i,0.00054642-0.00041191i,0.00035412-0.0011366i,0.00032499-0.0019832i,0.00089606-0.0018342i,0.00076303-0.001475i,0.00023701-0.0011771i,0.00014368-0.00049711i,0.00017773+0.00033051i,-0.00026312-2.7685e-05i,-0.00012879-0.00057771i,9.4345e-05-0.00046344i,0.00028327+0.00024579i,0.00033137+0.00027627i,-7.9678e-05-0.00014569i
-0.0016542+0.0012027i,-0.00071778+0.00097128i,0.0005212+0.0017119i,0.000804+0.0022808i,0.001027+0.00048447i,0.0014527-0.0014444i,0.0014434-0.0015518i,0.00065671-0.00034707i,0.00011647+0.00031789i,8.6569e-05+6.3774e-05i,0.00045489-0.00027034i,0.00024424-0.00074365i,-0.00017923-0.00067676i,-0.00025532-0.00037421i,-0.00073125-0.0006129i,-0.00083741-0.00012931i,-0.00082133+0.00020623i,-0.00082033-1.8092e-05i,-0.00066111-5.2732e-05i,-0.00015756-0.0002531i,2.6205e-05-0.00067048i,-0.0007376-0.000857i,-0.00047169+0.0001078i
0.00071635-0.001009i,0.0010339-0.00046319i,0.00014034+0.00096115i,-0.00091831+0.0015769i,-0.0016441+0.002114i,-0.0011593+0.0012377i,-0.00032875+0.00022237i,-0.00062659-7.3421e-05i,-0.00086626-0.00057634i,-0.00044951-0.00070753i,0.00038548-0.0010257i,0.00078171-0.00111i,0.00018861-0.00093337i,0.00019333-0.00072628i,0.000327-0.00064628i,0.00062094-0.00020307i,0.00029239+0.00037363i,-0.00090356+0.00032302i,-0.00080431+0.00063245i,-0.00011898+0.00094663i,-0.00022341+0.00078526i,0.000283-8.3177e-05i,0.00058748-0.0010532i
4.3156e-05-0.00019481i,-0.0003178-0.0010381i,-0.00040461-0.0013619i,0.00011668-0.00026629i,0.00095413+0.00036657i,0.0011042-6.1221e-05i,0.00049388-0.00010731i,-0.00050107-7.5592e-06i,-0.0012555-8.484e-05i,-0.0013024-0.00090674i,-0.00021172-0.0011802i,0.00054897+5.6107e-05i,0.00018483+0.00071252i,-0.00037741+0.00052134i,-0.00035342+6.7347e-05i,-0.00024301-0.000516i,0.00044705-0.00059088i,0.00075803-0.00033902i,0.00010467-0.0003119i,-8.5951e-05-0.00091581i,0.00063895-0.00066798i,0.0010441-7.8142e-05i,0.00080906-1.085e-05i
-0.0010088-0.001519i,-0.0010172+6.7044e-05i,-0.0019455+0.0016014i,-0.0021327+0.0014019i,-0.00081602+0.0010927i,0.0001487+0.0015812i,0.00055038+0.00088363i,0.00032809-0.00017103i,-9.5046e-05-8.3583e-05i,-0.00014129-0.0003318i,0.00035453-0.00070979i,0.000235-0.00090459i,0.00041324-0.00030701i,0.00028291+0.00024286i,-0.00029775+0.00033598i,-0.0003609+0.00015224i,-0.00036681-2.7598e-05i,-0.00036909+0.00042037i,-2.9702e-05+0.00023801i,0.00022329-0.0005847i,0.0004668-0.00031828i,-4.4023e-05-7.3131e-06i,-0.0011965+0.00051173i
-0.00041253+0.0019249i,0.0011717+0.0018265i,0.0026726+0.00094318i,0.0033153+6.4779e-05i,0.0031755-0.00075593i,0.0023914-0.0013322i,0.00035897-0.00090557i,-0.00079499-0.00071573i,-0.00090141-0.00087583i,-0.00041326-0.00075744i,0.00025151-0.00072009i,0.00016784-0.0011229i,-0.00044895-0.0013766i,-0.0010708-0.00074829i,-0.00095346-6.5619e-05i,-1.3404e-06-1.7178e-05i,0.00056078-0.00045817i,0.0004283-0.00068155i,-0.00024207-0.00070998i,-0.00043322-0.00074506i,-2.5961e-05-0.00067702i,0.00021104-0.00012966i,0.00015109+0.00048799i
-0.00034627-0.00076904i,-0.0002353-0.0005238i,-0.0014662-0.00064122i,-0.0024172-0.00062727i,-0.0028046-0.00045017i,-0.0016707+5.4604e-05i,-0.00034413+0.0010062i,-0.00043968+0.00049869i,-0.00042473-0.00063633i,-0.00028303-0.0006729i,-0.00029098-0.00068427i,-7.1071e-05-0.00079056i,-8.7632e-05-0.00064275i,-0.00034254-0.0010067i,-0.00021806-0.00076331i,-0.00078351+0.00038271i,-0.0008075+0.00066294i,-0.00010685-2.7084e-05i,5.5413e-05-0.00074945i,0.00019052-0.00075067i,9.5046e-05-0.00021523i,-0.00020934+0.00038334i,-0.00063295+0.00075594i
0.00049517-1.1079e-05i,0.00062188-0.00019527i,0.0023187+5.6534e-05i,0.0027794+0.00035931i,0.0013371-0.00038855i,0.00016402-0.0016038i,-0.00040208-0.00075463i,-0.00024042+0.00018772i,0.00032764+3.0295e-05i,-6.8188e-07-5.3948e-05i,-8.3782e-05-8.0909e-05i,-0.00042979-0.00030007i,-0.0006286-0.0005238i,-0.00023518-0.00050233i,-2.68e-05-0.00016835i,-0.00030501+0.00020857i,-0.00052225+8.9717e-05i,4.8421e-05-0.00032538i,0.00031602+0.00017977i,0.00037724+0.00049486i,0.00095417-0.00010841i,0.00073894-0.00017362i,0.00012878-0.00030203i
-0.00060178-0.0007734i,-0.0013894-0.00011537i,-0.0015783+0.0011417i,-0.00078982+0.0021781i,-0.00011378+0.0018142i,-0.00046545+0.00054841i,-0.00037884+3.7541e-05i,-0.00014015-8.9934e-05i,-6.1192e-05-0.0003112i,0.00086977-0.00037863i,0.00076867-0.00026153i,0.00029343-0.00054212i,-3.0645e-05-0.0014319i,-0.00012982-0.0013198i,-1.2559e-05-0.0008508i,-0.00053952-0.00049545i,-0.00049798+0.00027224i,0.00017995+0.00033798i,0.00046121+0.0001865i,-0.00030047+0.00021799i,-0.00038802-0.0004013i,0.00017987-0.00039199i,-0.00030335+0.00033973i
0.0010328-0.00060364i,-0.00035046-0.0016893i,-0.001626-0.0025897i,-0.0015091-0.0026894i,-0.00030758-0.0016013i,-0.00014487+0.00055947i,-0.001027+0.0011777i,-0.0011482-2.6235e-05i,-0.00082257-0.00053035i,-0.00045193-0.00054552i,-5.3642e-05-0.0012545i,0.00017842-0.00118i,0.0001886-0.00010688i,0.0001991+0.00042544i,5.4581e-05+0.00010606i,-0.00025396-0.00084417i,-0.00011983-0.00061615i,-0.00019405+0.0010847i,-0.00016539+0.0013223i,0.00053122+0.00051468i,0.0007721-0.00027975i,-0.00020644-0.00029228i,-0.00063033-0.0003445i
-0.00057297+0.0017507i,-0.00049717+0.0016991i,-0.0001434+0.0020529i,-0.00029567+0.00091186i,-0.00030816-0.00076299i,-0.00043381-0.00073467i,-6.2459e-05+0.0006635i,0.00046105+0.0010925i,0.00025297+6.2412e-05i,6.3007e-05-0.00056605i,-0.00011968-0.0012984i,-0.0005883-0.001511i,-0.00090532-0.0013731i,-0.00038011-0.00082076i,0.00031718-0.00028532i,-0.00019037+0.00049028i,-0.00075589+0.00074718i,-0.00019507+0.00083918i,-0.00071+0.00080866i,-0.00068707-0.00049395i,0.00041654-0.0013403i,4.1097e-05-0.00095347i,-0.00059741-0.00054225i
