0.00015936-0.00026264i,-0.00076111-0.0010707i,-0.0009283-0.0012361i,-0.00051666-0.001226i,-0.0011741-0.0015986i,-0.0017383-0.0001995i,-0.0011278+0.0013459i,-0.00043049+0.0016879i,0.00065256+0.00055847i,0.0011872-0.000296i,0.00084252-0.00080762i,0.00019692-0.0011514i,-8.0943e-05-0.0011755i,-0.00045843-0.0007281i,-0.00077854+0.00021744i,-0.00091268+0.00077253i,-0.00077154+0.00042092i,-0.00048212+0.00025235i,-0.00084673+0.00015412i,-0.0011208+0.00013049i,-7.5663e-05-7.1859e-05i,0.00055777-4.4094e-05i,-0.00047529+0.00012518i
0.0011713+6.612e-05i,0.00027379+0.00060666i,1.6443e-05-0.00010025i,0.00040777+1.9005e-07i,0.00060423-0.00058252i,-7.3982e-05-0.0013237i,-0.00067372-0.00060104i,-0.00054473+0.00050332i,-0.00014347+0.00064639i,-0.0001764+0.00061202i,-0.00059555+0.00056285i,-6.8598e-05+0.00058221i,-9.5102e-05-5.9752e-05i,-0.00037675-0.00057199i,0.00014983-0.00069313i,0.00045431-0.00037177i,-6.8094e-05-0.00034516i,-0.00023694-0.00042973i,0.00026497-1.9034e-05i,0.00023833-8.924e-05i,0.00036979-7.0678e-05i,0.00017339+0.00050213i,-0.0007203+0.00039774i
0.000382+0.00087414i,0.0013471-0.00024722i,0.0011434-0.0015694i,0.00094624-0.0018938i,0.0008131-0.0014265i,-6.7433e-05-0.0010169i,-0.0002753+0.00045433i,-0.00033529+0.00067267i,0.00046617-0.00050105i,0.0010504-6.8015e-05i,0.00052281+7.2054e-05i,8.2404e-05-0.00016188i,-0.00094166+0.00042457i,-0.0015517-5.7311e-05i,-0.00087207-0.00068562i,0.00017127-0.00010468i,0.00053689+0.00074117i,0.00071073+0.00065086i,0.00047238-0.00028687i,0.00040844-0.00076747i,0.0006861-0.00079146i,0.00033878-0.00058502i,-0.00044695-9.3423e-05i
0.00086215+0.002691i,0.0014697+0.0023988i,0.002155+0.0010903i,0.0021797-0.00043747i,0.0012633-0.001121i,0.0009611-0.0014718i,0.0003065-0.0011246i,0.00023519-0.00082138i,0.0011561-0.00042688i,0.00072819-0.00022812i,0.00038863-0.00026319i,7.7704e-05-0.00032561i,-0.0011155-0.00057992i,-0.0011445-0.00035361i,-0.00023523-0.00019954i,3.4467e-05+2.7753e-05i,-0.00014031+0.00060084i,-0.00023827+0.00096256i,-0.00022678+0.00052808i,0.00015608-0.00033613i,0.00038367-0.00012154i,0.00048726+0.00010836i,9.9371e-06-0.00010914i
-0.00011665-0.00026842i,-0.00045105-0.0003467i,-0.00070476-2.032e-05i,-0.00072511-0.00021507i,-0.00011613-0.0011684i,0.0008002-0.0015838i,0.00074843-0.00076727i,0.00057048-0.00016795i,0.00053617-0.00026271i,-2.2199e-05-0.00034299i,-0.00013265-0.0002745i,-2.6528e-05-9.1803e-05i,0.00051726-0.000387i,0.00053781-0.00071097i,-4.5149e-05-0.00074941i,-1.8964e-05-0.00057166i,-1.7588e-05-0.0003644i,0.00015358-6.4643e-05i,0.00020941+0.0003865i,5.5393e-05+0.00052163i,0.00084874+7.4742e-05i,0.00093026+9.6862e-05i,0.0001328+0.00063002i
0.0027248+0.0014294i,0.0031678-0.00035371i,0.003317-0.0022063i,0.0018896-0.0031182i,0.001186-0.0026902i,0.00092244-0.0021665i,-0.00052186-0.0013118i,-0.001638+0.00084024i,-0.00093941+0.0014605i,0.00045067+0.00013356i,0.00077071-0.00093908i,-3.8369e-05-0.00036602i,-0.00064803+0.00049463i,-0.00037395+0.0010198i,-0.00029908+0.0011542i,-0.00013111+0.0010278i,0.00047419+0.00068073i,5.6977e-05+0.00052896i,-0.00030178+0.00063636i,-0.0001828+9.8206e-07i,-0.00043524-0.00081852i,-0.0010624-0.00066082i,-0.00065411-0.00046708i
0.00010874-0.00090853i,-0.00014591-0.00082822i,-0.0009259-0.0010271i,-3.533e-05-0.0016164i,0.0010492-0.0012215i,-0.00032156-0.00035293i,-0.0010044+3.5627e-05i,-0.00045255+0.00078419i,-0.00055224+0.00063274i,-0.00049949+0.00013438i,-0.00035759-0.00069152i,8.2967e-05-0.0011838i,0.00038822-0.00054043i,0.00050626+0.0001476i,0.00040689-7.9098e-05i,0.00015846-0.00048728i,0.00047097+7.0344e-05i,0.00030942+0.00055176i,-0.00050831+0.00049257i,-0.00039426+0.00035045i,-6.4379e-05-0.00031407i,2.7958e-05-0.00078978i,0.00024617-8.4366e-05i
-0.00068937+0.00051383i,8.5175e-05+0.00047024i,0.00050111+0.00051655i,0.00088177+0.00015298i,0.00082155-0.00068079i,6.0842e-05-0.00073591i,0.00014852-0.00054667i,0.00057237-0.00028744i,0.00056648-6.553e-05i,-0.00023153+0.00027426i,-0.0014588+0.00024822i,-0.0012871-0.00034093i,-0.00069165+2.4677e-05i,-0.00083462-4.5376e-05i,-0.00087697+0.00048912i,-0.00076909+0.00053935i,-0.00042955-0.00044803i,-0.0006741+0.00018343i,-0.0011258+0.0012156i,-0.00087458+0.00071849i,-0.0003112-0.00033062i,-3.2083e-05-0.00016783i,-0.00026874+0.00043975i
0.0002026+0.0012083i,0.00075715+0.0002991i,0.001056+0.00075622i,0.00095988+0.00059914i,0.00063991+0.00017672i,9.2677e-05+0.00010404i,-0.00028494+0.00012253i,-0.0010675+0.00090757i,-0.001175+0.0012068i,-6.1186e-05+0.00047279i,0.00016194-0.00022493i,-0.0003237+3.3432e-05i,-0.00029811+0.0002916i,-1.3065e-05+0.00072916i,0.00050095+0.00067625i,0.00028546+0.00040862i,-0.00039103+0.00036737i,-0.0006091-3.5728e-05i,-0.00040448-0.00039105i,0.00016901-0.0010797i,0.00030675-0.00020861i,-9.7372e-05+0.0013079i,7.8151e-05+0.00099067i
-0.0015819+0.00043519i,-0.002891+0.0019479i,-0.0028948+0.00053996i,-0.001293-0.00024412i,0.00049133+6.4195e-05i,0.0010288-0.00016034i,0.00091989+0.00053731i,0.00039815+0.00063449i,-0.00066405+0.00010459i,-0.00092187+0.00041762i,-0.0010305+8.4702e-05i,-0.00078906-0.0006049i,1.2514e-05-0.00045355i,0.00017415-0.00060594i,-0.00046453-0.0010714i,-0.00016577-0.00065808i,0.0003436-0.00026066i,0.00018361-0.00025566i,0.00051479-0.00015563i,0.0013293-0.0003473i,0.0010357-0.000427i,0.00071074-0.00044072i,0.00086597-2.1414e-05i
-0.00069161-0.0016792i,-0.001004-0.00048876i,-0.0012911-0.00039141i,-0.0011229-0.0011084i,-0.0010279-0.0013556i,-5.5372e-05-0.00068272i,0.00064639+0.00021681i,2.9544e-05+0.00052119i,-0.00021374+0.00060622i,0.00028024+0.00012212i,-8.7284e-05-0.00049183i,-0.00067119-0.00061188i,-0.0004095-0.0007849i,0.00050757-0.00085383i,0.00087548-0.00039865i,0.00024928+5.0307e-05i,-4.7546e-05-0.00029352i,-0.00010787-0.00037978i,-5.092e-05-0.0006088i,0.00037489-0.0010538i,0.00033033-0.0011053i,-3.6753e-06-0.00084509i,-0.00011327-0.00032835i
0.00010854+0.00097508i,-0.00048197+0.0015278i,9.8453e-05+0.0021351i,0.0012295+0.0017636i,0.0012925+0.00040994i,0.00056957-0.00097727i,-0.0003273-0.00087903i,-0.00081088+0.00023436i,-0.00051453+0.00018807i,0.00024977+0.00030809i,0.000237+0.00017236i,0.00014852-0.00065868i,0.00023599-3.7848e-05i,0.00017164+0.0012642i,0.00088331+0.001213i,0.00029564+0.00040513i,-0.00034349-4.6659e-05i,-0.00050273+0.00013109i,-0.00056382+0.00013704i,0.00017998-0.00033297i,0.00023466+8.5776e-06i,-3.3382e-05-0.00019033i,1.4371e-05-6.8783e-05i
-0.00029039-0.0021176i,-7.5821e-05-0.0021265i,-0.00047512-0.0025504i,-0.0013247-0.0015539i,-0.0015174-0.0010959i,-0.0014152-0.00041106i,-0.00090237+0.0010855i,-0.00051454+0.00063363i,-0.00054429-0.00018016i,-0.0011367-0.00038877i,-0.0013039-0.0006923i,-0.00039783-0.00080533i,0.00043989-0.00054778i,0.00057659+0.00044132i,4.199e-05+0.00046673i,1.4988e-05-0.0001221i,-0.00028363+0.00039513i,-0.00095715+0.00086646i,-0.00095329+0.00088895i,-0.00015824+0.00024598i,0.0010696-0.00024469i,0.0016049-0.00041912i,0.0006372+1.2971e-05i
5.0292e-05+0.0021306i,0.00032959+0.0013444i,0.0014832+0.00096873i,0.0017791-0.00084001i,0.0016721-0.0031406i,0.0014617-0.0028714i,0.00056284-0.00025765i,-0.0001989+0.00067825i,-7.4083e-07+0.00021345i,0.000387+0.00065646i,0.00017842+0.00060174i,-0.00014124+8.32e-05i,-0.00018595-0.00035096i,-0.00075021-0.00028997i,-0.00076606-0.00016894i,-0.00028578-0.00044625i,0.00027729+1.6226e-05i,0.00078895+0.00035768i,0.0003711+0.00039937i,0.00047327+0.0006278i,0.00033391+0.00076007i,-0.0004679+0.000396i,-0.00029694-3.2702e-05i
0.0011719+0.0016915i,0.0013299+0.00010572i,0.00067628+0.00015142i,1.428e-05+0.00059533i,0.00021974-0.00064677i,4.5022e-05-0.0017683i,0.00015456-0.00093044i,0.0005656+0.00082778i,6.7249e-05+0.0013515i,-0.00013669+0.00044539i,0.00056272-0.00055016i,0.00072884-0.0011064i,0.00097391-2.8096e-05i,0.0010563+0.0015285i,0.00047254+0.0014098i,8.5279e-05+0.0001699i,1.7202e-05-0.00063494i,0.00011839-0.00031587i,-0.00041804+0.00045731i,-0.00053632+0.00017907i,0.00029348-0.00014384i,0.00051407-0.0001809i,6.0588e-05-0.00020275i
-0.00060089+0.00012102i,-6.8433e-05+0.00097004i,-0.00059464+0.00051206i,-0.0005386+0.00023819i,0.00051211-0.00013343i,0.00023578-0.00079354i,8.7248e-05-0.00021429i,0.00051512+0.00039027i,0.00033466-0.00012962i,-9.6302e-05-0.00053358i,-0.00038469-0.00083784i,-0.00036607-0.00082543i,-0.00010044-0.00034396i,0.00017379-0.00015732i,-0.00010738-0.00034172i,-9.6148e-05-0.00021083i,-0.00018317+0.00061919i,-0.00087124+0.0011506i,0.00010098+0.0010928i,0.00076895+0.00077379i,0.00038628-1.3744e-05i,0.00051309-0.00032105i,0.00077667-0.00016466i
-0.00080523+0.00014227i,0.0002221-0.00054039i,0.00065675-0.00021129i,0.00064626+2.6519e-05i,0.00051923+0.00017594i,0.00048079-0.00040071i,0.00038195+9.8663e-05i,-0.00029277+0.0010493i,-0.00065273+0.00048754i,-0.0010398-0.0005033i,-0.0010401-0.00044332i,-0.00018628-2.244e-05i,0.00022753-0.00048114i,0.00034632-0.00030304i,0.00083396+0.00038582i,0.00085528+0.00039345i,0.0007427-0.00016747i,0.0009978-0.00076157i,0.001264-0.00066124i,0.00085551+0.00016276i,0.00031233+0.00062142i,-0.00028306-3.1534e-05i,-0.00079879+0.00012987i
0.001267+0.00026567i,0.00013888+0.00044366i,-0.00054333+0.00023635i,0.00010559+2.2533e-05i,0.00038309-0.00047501i,0.00050966-0.00076926i,0.00063849-0.0004224i,0.00040968+0.00042845i,0.00066305+0.00037594i,0.00066873+0.0001093i,-9.3352e-05+0.0004232i,-0.00060174+0.00010893i,-0.00049184-0.00028976i,-0.00015108-0.00023437i,0.00071874+0.00011653i,0.0014057+0.00055351i,0.00094661+0.00048689i,0.00053008-4.7892e-05i,0.00032551-0.00065796i,-9.7141e-05-0.00032041i,-7.419e-05+0.0003166i,0.0003598+0.00027307i,0.00049028+0.00085563i
