0.00062887-0.00019348i,0.00063681-0.00066615i,0.0013793-0.0017631i,0.00042549-0.0029899i,-0.0024867-0.0027721i,-0.0042198-0.0010323i,-0.0036995+0.00079286i,-0.0018332+0.0013024i,0.00096521+0.0011841i,0.0015863+0.00088646i,0.00075642+0.00063899i,-2.6608e-05+0.00098761i,-0.00083739+0.0015362i,-0.00065116+0.0012233i,1.7647e-05+0.00036422i,4.3216e-05-0.00012115i,2.3377e-05-5.0012e-05i,-0.00020562+0.00061259i,-0.00077763+0.00044717i,-0.00094785-0.00067615i,-0.00026475-0.00041403i,-0.00054065+9.2656e-05i,-0.00067193-0.00013364i
-0.0014366-0.0019222i,-0.0016251-0.0024125i,-0.0029224-0.0011739i,-0.0023719+0.00082761i,-0.0009957+0.00092352i,-0.00059316+0.00044956i,-0.00028144-0.00011737i,0.00045408-7.4487e-05i,0.00059669+0.00045994i,0.00021248+0.00019932i,-0.00026406-0.00026264i,-5.887e-05-0.00020191i,0.00042375+0.00023776i,0.00024411+0.00055626i,-2.0836e-05+0.00044781i,-0.00023291+0.0012429i,-0.00048452+0.00052029i,0.00050682-0.00096259i,0.00077495-0.00088131i,0.00021453-0.00024344i,0.00026951+0.00063518i,0.00030239+0.00090879i,0.0002485+0.000698i
0.0017086+0.00073504i,0.0011403-0.00073534i,0.001845-0.0019844i,0.0020459-0.0023856i,0.00053862-0.0019692i,-0.0013505-0.00092279i,-0.0017149-0.00017642i,-0.0011589-0.00042936i,-0.00013162+0.00017063i,0.0004927+0.0005518i,0.00038536+0.00025931i,-0.00019858+0.00029092i,-0.0004141-9.4685e-05i,-0.00029355-0.00015522i,0.00029142+0.00039462i,0.00056741+0.00087881i,0.00099598+0.00095603i,0.0016198+0.00083459i,0.00087928+6.7768e-06i,-6.4906e-05-0.00029644i,-0.00019405+8.2841e-05i,0.0002755+0.00019989i,9.7649e-05+0.0003071i
0.0010667-0.0011674i,0.0014503-0.001418i,0.00011418-0.0019385i,-0.0012643-0.0014611i,-0.0014141-0.00017399i,-0.0015494+0.00076314i,-0.00084342+0.0008681i,0.00013696+7.6129e-05i,-0.00011036-0.00028019i,-0.0007769-0.00038998i,-0.00010852-0.00056711i,0.00030757-0.00048612i,0.00050786-8.5023e-06i,0.00071318+0.0009757i,0.00015454+0.001509i,-9.9638e-06+0.00081331i,0.00045554-0.00036129i,0.00070701-0.00075959i,0.00051883-0.00042085i,0.00055853-0.00067904i,0.00055002-0.00077086i,0.00072273+0.00031397i,0.00060345+0.00052809i
-0.00043713-0.00078547i,-0.0010175-0.0010213i,-0.00093911-0.0013709i,-0.00032372-0.00096061i,-0.00047645-0.00083457i,-0.00075407-0.00054337i,-0.00062716+9.8369e-06i,-0.00071276+0.00045248i,-0.00071443+0.00069705i,-9.2657e-05+0.001423i,9.0141e-06+0.0012913i,0.00025544+0.00020562i,0.00048281-0.00032596i,6.511e-05-0.00063041i,0.0002184-0.00018375i,0.00034996+0.00031937i,-0.00022767+7.2857e-05i,0.00036535+0.0002794i,0.0011237+0.00075728i,0.00075014+0.00038408i,0.00011524-0.00013322i,-0.00035056+0.00032482i,-0.00045421+0.00066623i
0.00016466+0.0014813i,0.0017929-0.00015222i,0.0025422-0.00094637i,0.0016091-0.00099832i,0.00048271-0.0017286i,-0.00066164-0.0020827i,-0.0011438-0.0012312i,-0.00048673-0.00049675i,-2.3985e-05+9.5403e-05i,8.5258e-05+0.00050095i,-9.3247e-05+0.00027053i,-0.0004668-0.0007596i,-0.00057486-0.00044405i,-0.00072362+0.0013447i,-0.00047762+0.0015215i,0.00049911+0.00055485i,0.00055839+7.6424e-05i,-0.00018392+8.7644e-05i,-0.00042074-4.3993e-05i,0.00019573+0.00031113i,0.00046677+0.00093636i,-0.00025264+0.00084076i,0.00023436+0.0006675i
-0.00069263-0.00016947i,-0.0009868+0.0011224i,-0.0010637+0.0014965i,-0.00080722+0.0011854i,-0.00064511+0.00065569i,-0.00052369-0.00019179i,0.0001799-0.00057025i,0.0004879-0.00075352i,6.1033e-05-5.7951e-06i,0.00040616+0.00074601i,0.0012684+0.00026911i,0.0010489-8.8641e-05i,0.00070886-0.00040589i,0.00051484-0.00085263i,-3.2769e-05-0.00089657i,0.0001175-2.4932e-05i,0.0008705+1.1525e-05i,0.00093307-0.00062876i,0.00061738-0.00028781i,0.00050355-0.00034605i,0.00017268-0.00013686i,0.00071218+0.00062489i,0.00026398+0.0004505i
0.00054389-0.00017084i,0.00020017+7.2079e-05i,-0.00056112+0.00079813i,-0.00135+0.00019436i,-0.0013589-0.00091145i,-0.0011709-0.0012657i,-0.00064547-0.00096026i,-0.0006336+6.708e-05i,6.9827e-06+0.0011943i,0.00068926+0.00098092i,0.00085663-0.00012165i,0.0011226-9.9676e-05i,0.00086642+5.5612e-05i,-9.9826e-05-2.4788e-05i,-0.0004937-0.00044542i,8.1376e-05-0.0011919i,0.00057834-0.00075339i,0.00054446-0.00028368i,0.00031095-7.1393e-05i,-0.00014954+0.00033715i,-0.00011878+9.1129e-06i,-0.00032825-0.00073915i,0.0001061-0.00085604i
0.0029692-0.00022252i,0.0033633-0.00045038i,0.0031414-0.0014884i,0.0016259-0.0029041i,-0.0010399-0.0035833i,-0.0026827-0.0021367i,-0.0024931-0.0007756i,-0.0013646-0.00030709i,-0.00017227-0.00036053i,0.0003299-0.0008262i,0.00090926-0.00033286i,0.00084495-0.00052824i,5.1577e-05-0.0008349i,-0.00028806-0.00016204i,-0.00055796+0.00019615i,0.00011155+0.0002681i,0.00065223+0.00022937i,0.00057944+0.00025616i,0.00033376+0.00027473i,0.0003166+0.00029169i,0.00033422+0.0003785i,0.00063936+0.00041629i,0.0010304+0.00035583i
-0.001112+0.00087945i,-0.00020696+0.0014823i,0.00038882+0.0024749i,0.00078473+0.0022134i,0.0011254+0.00065857i,0.00053817-0.00040281i,5.1365e-05-6.9752e-05i,0.000136+0.00056981i,-0.000194+0.00053439i,-0.00013206+0.00073331i,-0.00036046+0.0011594i,-0.00040376+0.00070643i,7.2106e-05+0.00036728i,0.00026847+0.00056698i,-0.00053638+0.00025775i,-0.0013605-0.00087991i,-0.0016223-0.00071268i,-0.00063527+0.00057718i,-0.0003422+0.00098391i,-0.00075159+0.0006939i,0.00031937+0.00087648i,0.00089678+0.00074647i,0.00028528+0.0006938i
0.0003835-0.00042597i,0.00026428-0.0010717i,0.00075197-0.0021412i,0.00075285-0.0017093i,-0.00056749-0.0012361i,-0.0009257-0.00098438i,-0.001224-0.00028161i,-0.001234-0.00041686i,-0.00039115-0.0007584i,0.00030203-0.00026417i,0.00077949+0.00054557i,0.00053644+0.00071191i,0.0002118+0.00049104i,0.0007332+0.0004921i,0.00083204+6.4908e-05i,0.00051206-0.00010272i,-0.00042919+0.0003472i,-0.0009159+0.00021735i,5.227e-05+0.00012631i,0.0011007+0.0002505i,0.00038834+0.00070783i,-0.00087738+0.0012967i,-0.00037905+0.0011758i
-0.0014053+0.0017134i,-0.00090171+0.0023223i,-0.00016697+0.0030371i,6.8486e-05+0.0024532i,0.00073027+0.0007203i,0.0015929-0.00038851i,0.00086506-0.00031288i,0.00019313-0.00024215i,-9.6073e-05-0.00019971i,0.0001889-1.9527e-06i,0.00052341-0.00027853i,3.0213e-05-0.00071445i,0.00016737-0.00047125i,0.00028718-0.00039934i,5.7197e-05-0.0005747i,-0.0005235-0.00039903i,-0.00010821-0.00065895i,0.00060088+0.00010159i,0.00011704+0.00088637i,7.2242e-05+0.00011557i,1.0325e-05-0.0003981i,1.4928e-05-0.00029144i,0.00017074-0.00023988i
