-0.00082298+0.00055359i,-6.7166e-05+0.00040491i,-0.00067872+0.002119i,-0.00081048+0.0020371i,-0.0017246+0.00097124i,-0.0016543+0.0012766i,-0.00105+0.0011339i,-0.00077577+0.00060873i,0.00023554+0.00091357i,0.0011064+0.00086359i,0.00062469+0.0006996i,0.00039471+4.4122e-05i,0.00030806-0.00055206i,0.00028777-0.00069629i,4.2737e-05-0.0003694i,0.00032253+0.00023785i,0.0011196+0.00048129i,0.00087978+5.1075e-05i,0.00010894-0.00025246i,0.000524+0.00023784i,0.0013486+0.00061812i,0.00023199+0.00069424i,-5.791e-05+0.0007021i
0.0014579-0.00046384i,0.00083321+0.0012291i,-0.00056266+0.0018693i,-0.00048065+0.0017655i,-0.00064854+0.00078868i,-0.0020732-0.00019319i,-0.0016029-0.00066877i,-0.00014055-0.0004366i,0.00088611-0.00057303i,0.00072637-4.4664e-05i,-5.8871e-05+0.00032726i,0.00045884+1.6052e-05i,0.00057616-0.00088453i,-0.00015583-0.0015883i,-0.00030213-0.00087547i,-7.0732e-05-0.00049329i,0.00020867-0.00088496i,0.0001292-6.2644e-05i,-0.0003601+0.00040204i,-0.0010991-0.00018754i,-0.00062307-0.00067559i,-0.00014663-0.00049806i,-0.00017359+5.1119e-05i
-0.0015857-0.00092574i,-0.0020827-0.00055247i,-0.0024375+0.00051372i,-0.0026322+0.0022517i,-0.0024436+0.0021944i,-0.0011005+0.00035614i,9.6295e-05-0.0010616i,0.00034083-0.0010143i,0.00045836-0.00087529i,0.00054281-0.00029407i,-0.00010458+0.00058633i,-0.0011384+0.00082684i,-0.0011049+0.00060347i,-0.00024492+3.2961e-05i,8.9592e-05-0.00082924i,-7.3327e-05-0.00030132i,0.00017327+0.0005825i,0.0008043+0.00039235i,0.0008979+0.00024508i,0.00037026+0.00028743i,-1.4987e-05+0.00029668i,0.00048472-0.00043388i,0.00084274-0.00058597i
0.00070565+0.00099975i,0.0015772+0.0016978i,0.0025893+0.0017435i,0.0020964+0.00084328i,0.00062888+0.00013525i,9.0443e-05-0.00045169i,0.00038932-0.00079943i,0.0004767-0.00062431i,0.00025911-0.00051768i,-0.00027235+0.00060793i,-0.00015641+0.00072959i,0.00021221-0.00062361i,0.00038658-0.00067583i,0.00017729-4.0688e-05i,-0.00014372-0.00083634i,-0.00022334-0.0012287i,0.00025427-0.00020099i,0.00043965-0.00042364i,0.00057454-0.0011709i,0.00036447-0.00071985i,0.00022129-5.1001e-05i,0.00061498+7.8513e-05i,0.0013463+0.0003874i
-0.00094812+0.0010958i,-0.0016597+0.0024633i,-0.0016423+0.0043572i,-0.001601+0.0045614i,-0.0021174+0.003037i,-0.0018872+0.0014567i,-0.0015234-0.0002614i,-0.0012007-0.0010035i,-7.3488e-05-0.00061383i,-0.00012093+0.00079438i,2.7812e-05+0.00093786i,0.001127+0.0006432i,0.001054+0.0012111i,0.00054291+0.00013713i,0.00063713-0.001032i,-2.5947e-05-0.00072345i,-0.00042539+3.2052e-05i,-0.00026288+0.00049285i,-0.00027708+0.00019122i,-0.00061921+0.00010754i,-0.00040278+0.00070384i,-5.4012e-05+0.00052696i,0.00036402-6.7972e-06i
0.00049108-0.00047274i,0.00019078-0.00042445i,0.0010292+0.00021491i,0.00024722+0.00024716i,-3.2543e-05-0.0014404i,-5.8799e-05-0.0018841i,-0.00034331-0.00034761i,-2.0585e-05-0.00042132i,0.00028538-0.0010519i,0.00055382-0.00066224i,0.00049651-0.00011866i,0.00069224+0.00038123i,0.0014887+0.00042275i,0.0010084-0.00045033i,0.00069951-0.0014097i,0.0010124-0.00069202i,0.00060807+0.00043812i,0.00012221+0.00022173i,-2.969e-06+0.00038062i,-2.6155e-05+0.00015804i,0.00038269-0.00019633i,9.0667e-05-1.0786e-05i,0.00012174+0.00021811i
-0.00068298+0.0017426i,-0.0006519+0.0026752i,-0.0013168+0.0041365i,-0.0017182+0.0041971i,-0.0011689+0.0030037i,-0.00098084+0.0011662i,-0.0006707+0.0001772i,0.00037223+0.00010764i,0.00089938-8.4536e-05i,8.939e-05-0.00021413i,-0.00039794+3.7938e-05i,0.00025859+0.00026398i,0.00045981-0.00028388i,-0.00040635-0.00041076i,-0.00073229-0.00018202i,0.00011994-0.00029891i,0.00010216-4.9854e-05i,-0.00082613+0.00039205i,-0.00018009+0.00050293i,0.001002+0.00013457i,0.00077004-0.00056644i,0.00057887-0.00058462i,0.00068359-8.1652e-05i
0.00023058+0.0006245i,-0.00029963+0.00035608i,-0.00090984+0.00074289i,-0.0023323+0.0013201i,-0.0029253-8.5122e-05i,-0.0018994-0.00052789i,-0.0010832+0.00011977i,-0.000566-0.00064712i,-0.00014746-0.00096883i,-8.9236e-05-0.00048905i,7.9549e-05-0.0001899i,0.00045406-0.00010928i,-0.00015188-0.00038617i,-0.00067095-0.00074663i,-0.00058715+9.0073e-06i,-0.00054713-0.00015151i,-0.00030484-0.00095571i,5.734e-05-0.00064485i,0.0002231-0.00034275i,2.1629e-05-0.00014732i,0.00054153+0.00031196i,0.0012378+0.00055139i,0.00056635+0.00083207i
-8.7861e-05+0.00159i,0.00038018+0.0025027i,0.001466+0.0031776i,0.0014545+0.0030987i,0.00064298+0.001625i,-0.00052554-0.00023002i,-0.00055486-0.00054444i,5.8057e-05-0.00049236i,0.0001236-0.00054662i,-0.00016107+8.8266e-05i,0.0003901+0.00051403i,0.00079255+0.00072345i,7.0213e-05-6.9194e-05i,-0.00037449-0.00045746i,-0.0011037+7.7024e-05i,-0.0017965+5.7042e-05i,-0.0015432-0.00038533i,-0.00041788-0.00051827i,0.00042644+0.00010095i,0.00038435+0.00065636i,0.00028874+0.00099769i,0.00022646+0.0011067i,8.1018e-05+0.00080746i
0.0010881-0.00028498i,0.00028219-0.00039445i,-0.0011864-8.203e-05i,-0.0017467+0.00043086i,-0.0022036+0.0013391i,-0.0021607+0.0015961i,-0.0014137+0.00080466i,-0.0010762-5.2172e-06i,-0.00066301+0.00015077i,-0.00015619+0.0010434i,0.00067422+0.00088826i,0.0011593+0.0008168i,0.00089772+0.00095607i,7.2591e-05+0.00045452i,2.3256e-06+0.00017315i,0.00041271-5.5229e-05i,0.00019357-0.0010601i,-0.00027097-0.0014455i,-0.00063393-0.00070931i,-0.00020602-0.00056931i,-0.0004341-0.00015032i,-0.00090909+0.0003418i,-0.00038043-0.00082079i
0.0017059+0.00059773i,0.0023512+0.0011818i,0.0026675+0.0014724i,0.0022859+0.0015213i,0.00055662+0.0001844i,-0.00085438-0.00022852i,-0.00055527-0.00036342i,-8.7926e-06-0.00060786i,4.9829e-05-0.00053021i,-0.00048267-0.00068916i,-0.00047935-0.0010312i,5.1062e-05-0.0012711i,0.00028003-0.0010519i,0.00038513-0.00035586i,0.00054553+0.00016102i,-4.5895e-05-3.9242e-05i,-0.00061025-0.00063408i,-0.00048961-0.00037587i,-5.0387e-05-2.2934e-05i,3.6904e-05+5.8096e-05i,-0.00016565+0.00043377i,2.1075e-06+0.00033938i,0.00050208-0.0002727i
