-0.00040804+0.00070572i,0.0015668+0.00024892i,0.001506-0.0014077i,0.00032291-0.0026265i,-0.00098811-0.001594i,-0.0013251+0.0011942i,0.00046303+0.0024903i,0.0014181+0.0019254i,0.00094832+0.0002762i,0.00069873-0.0010819i,0.00086324-0.00090722i,0.00053609-0.00026866i,-0.00053683-0.00024147i,-0.0016295-0.00035838i,-0.0014247-0.00057788i,-0.00040701-0.00028943i,-4.6488e-05-3.2712e-06i,0.00031476+0.00022285i,0.0007619+0.00017224i,0.00079644-0.00075007i,0.0010021-0.00075112i,0.00048375-0.00011989i,-8.2005e-05+0.00016275i
0.00017772+0.00030276i,-4.0207e-05+0.00033351i,-1.324e-05-0.00096799i,-0.0010106-0.0012504i,-0.0016187+0.00023844i,-0.00091411+0.0017127i,0.00032624+0.002048i,0.0012454+0.00097553i,0.0005149-0.00083916i,-0.00038614-0.0015837i,-0.00031143-0.0011637i,0.00034338-0.00010829i,0.00070289+0.00041932i,0.00010924+0.00056138i,-0.00057152+0.00039391i,-0.00020895+0.00020022i,0.00011527-0.00013807i,0.00018879-0.00031035i,0.00051351-0.00034638i,0.00071392-0.00013707i,0.0002608+0.00044191i,0.00017982+0.00085153i,0.00053621+0.0003757i
0.00020223+0.00056886i,-0.00024497-0.00082136i,-0.00043116-0.00014665i,0.00018806-7.4074e-05i,0.00093175-0.00037896i,0.0013057+0.0002522i,0.0014332+0.001069i,0.0014678+0.00034368i,0.0008656-0.00032625i,-7.0361e-05-0.00018378i,-0.00018281-8.6173e-05i,-0.00011767+0.0004276i,-0.00041504+0.00057278i,-0.00092628+4.8739e-05i,-0.0011154-0.00015616i,-0.00085837+5.1844e-05i,-0.00085995+0.00026198i,-0.00039085+0.00053492i,2.3966e-06+0.00060789i,0.0004365+0.00048195i,0.00042516-0.00018314i,0.0002592-0.00043661i,0.00011791+0.00017794i
-4.1999e-05-0.00047735i,-1.4916e-05-0.0006394i,-8.2356e-05-0.0018595i,9.4945e-06-0.0021207i,-0.0011659-0.0015419i,-0.0020061-0.00017349i,-0.00034854+0.00058681i,0.0011912+3.6167e-05i,0.0010875-9.0265e-05i,0.00032808-0.00078137i,-0.00054172-0.0013008i,3.8651e-05-0.00036924i,0.00040849-0.00011634i,7.4408e-06-0.00049958i,0.00038459-0.00057028i,-7.9213e-05-0.00011635i,-0.00076007+0.00066078i,-0.00073514+0.00020919i,-9.6462e-05-0.00028706i,-0.000176-0.00027556i,-0.0001443+8.1591e-05i,0.0005905+0.00044621i,0.00074256+0.00029729i
-0.0011126-0.0010231i,-0.00090761-0.0012572i,-0.0013584+0.00023242i,-0.0020896+0.00029414i,-0.0021764+0.00078677i,-0.000911+0.002143i,0.0004356+0.002538i,0.0013268+0.0020392i,0.001124+0.00017002i,-1.8652e-05-0.0016026i,-0.00016573-0.0016311i,-6.8671e-05-0.00018384i,-0.00063991-3.4253e-05i,0.00022973-0.00051808i,0.00069676+5.4363e-05i,0.00048515-0.00039712i,0.00036435-0.00069865i,9.6412e-05-0.00018519i,0.00021176+0.00084938i,0.00020565+0.0010812i,0.00055067+0.00033723i,0.00070139+0.00029542i,0.00052693+0.00060024i
0.00013416+0.00046984i,0.0010172-1.1023e-05i,0.0014052-0.00066167i,0.0011072-0.00031168i,0.00088498+0.00064639i,0.00074996+0.0011613i,0.0015156+0.0011754i,0.0022291+0.00016649i,0.0009997-0.0011063i,-0.00028972-0.0015506i,-6.5162e-05-0.0011642i,0.00084306-0.00087066i,0.00098185-0.00079415i,0.00058434+0.00021916i,-0.00017209+0.00060381i,-0.0011285+0.00043023i,-0.00040488+0.0006794i,0.00036255-1.7541e-05i,0.00061238-2.0355e-05i,0.0010981+0.00090308i,0.0008763+0.00075137i,0.00067337+8.0535e-05i,0.00057921+0.00028332i
-0.0013989-0.00013482i,-0.00072666+0.00019471i,-0.00010546-0.00045516i,-0.00023452-0.00067496i,-0.00023247+0.00068346i,0.00058371+0.0024351i,0.00046141+0.0021822i,0.00066299+0.00050547i,0.00074805-0.00031106i,0.00036938-0.00012708i,0.00016383+0.00038628i,-0.00038862+0.00034283i,-0.00044113-0.0004496i,0.00032286-0.00043076i,0.00046879+0.0004063i,0.00059137+0.00076227i,0.00089943+0.00076592i,0.0003106+0.00028735i,-0.00049511-0.00030298i,-0.00040427-2.3777e-05i,0.00012289-0.00022626i,0.00031718-0.00019888i,0.00031478+0.00049028i
-0.00077359+5.4586e-05i,4.8183e-05-0.00058698i,-1.0155e-05-0.00046307i,-3.4831e-05-0.00017639i,-0.00065685+0.00057111i,-0.0018398+0.0018585i,-0.0010029+0.0023711i,0.00025068+0.0014476i,0.00074027-0.00033701i,0.00061405-0.0017695i,-4.0961e-05-0.0013486i,-8.0206e-05-4.8959e-05i,-0.00031458-0.00010653i,-0.00051268-4.3199e-05i,-0.00038955-0.00027897i,-0.00051917-0.00042477i,-0.00074566+0.00054502i,-0.0005834+0.00048404i,-0.00018125+8.6376e-05i,-0.00019602+0.00063242i,-0.00042848+0.00053135i,0.0002078+8.6361e-05i,0.00067826+1.6083e-05i
0.00040896+0.00043159i,0.00065924+0.00082688i,0.00076773+0.0010096i,0.00028962+0.0004422i,0.00033011+0.00053478i,0.00024509+0.00045727i,0.00092123+3.1836e-05i,0.0018955+0.00012125i,0.00098259-0.00034333i,0.00096058-0.0011594i,0.0012481-0.00072153i,0.00046681+0.00024401i,-3.1817e-05+0.00054976i,0.00049942+0.00086847i,0.00087647+0.0012369i,0.00038295+0.0009546i,-0.00080711+0.00083544i,-0.001615+1.5437e-06i,-0.0010246-0.00056248i,-0.00050841-1.7652e-05i,-0.00045833-0.00022288i,8.5298e-05-0.00037244i,0.00010826+3.7939e-05i
0.00089081+3.2104e-06i,0.0011749-0.00065555i,0.0022599-0.0013683i,0.0019818-0.0014133i,0.00074767-0.00089321i,0.00049644+0.00029727i,0.00053538+0.001376i,0.00063549+0.00055754i,0.00067531-0.0010911i,-0.00024482-0.00096325i,-0.00049448-0.00038365i,-0.00039011-0.00032331i,-0.0003864-0.00077845i,-0.00040697-0.00064071i,-0.00070224+0.00024783i,-0.00093227+0.00060222i,-0.00067623+0.00069319i,-0.00020343+0.00014675i,-0.00039442-0.0001309i,8.3467e-05+0.0001689i,0.00074392+0.00010157i,0.00014571-0.0007952i,-0.00015216-0.0011775i
-3.7031e-06-2.8386e-05i,0.00043359-0.00045135i,1.9676e-05-0.00098763i,-0.00031688-0.00080896i,-0.00023414-0.00024323i,-0.00019483+0.00079348i,0.00069088+0.0012664i,0.0015034+0.00047155i,0.00068534-0.00034913i,-0.0001595-0.00087277i,-0.00037057-0.00065636i,-0.00038206-0.00094403i,-0.00044244-0.0012719i,-0.00046081-0.00059223i,-0.00064099-0.00051766i,-3.6108e-05-0.00026385i,0.00087713+0.00031477i,0.00094271+0.00017196i,0.00050393+0.00013533i,-1.1475e-05+0.00010146i,-0.00033695-6.5996e-05i,-0.0004481-0.00036778i,-0.00022345-0.00088572i
0.00027501+0.00092674i,-0.00010798-0.00030019i,0.00024923-0.00051644i,0.00030549-0.0003097i,5.4601e-05+0.00048678i,-0.00026262+0.0010729i,0.00047479+0.00085066i,0.0011655+0.00042332i,0.00056204+8.208e-05i,-0.00045262-9.2365e-05i,-0.00055009-0.00036708i,-0.00014375-0.00068041i,-0.00010194-0.00076019i,-0.00016572+4.8897e-05i,-0.00025379+0.00064657i,-0.00031663+0.00051223i,-0.00013639+0.0005814i,0.00037478+0.00090515i,0.00020718+0.00080268i,0.00016763+0.00030699i,-8.1769e-05-0.00053467i,-0.00014739-0.00041744i,0.0002635+6.2346e-05i
-0.00096566+0.00031193i,-0.00053533+4.3418e-05i,0.00019202+0.00017362i,0.0012452-0.00013765i,0.001226+0.00064224i,-0.00021967+0.0018978i,-0.00045433+0.0021928i,0.00039816+0.0018109i,0.00066385+0.00054138i,0.00026811-0.00031159i,-0.00033363+0.00023075i,-0.00059434+0.00019144i,-0.001135-0.00097539i,-0.0012236-0.00083009i,-0.00054013+0.00058002i,-0.00014427+0.0015119i,0.00023767+0.00083042i,0.0006793+0.00051333i,0.0001955+0.00056902i,0.00010729+1.3572e-05i,0.00070202-0.00023153i,0.00071682+0.00032706i,0.00031327+0.00051807i
