-0.00070001-0.00017177i,0.0010472-0.0015136i,0.0003585-0.00028045i,-0.00072897+0.0017155i,-0.0010567+0.0035083i,-0.00023895+0.0037516i,7.9707e-05+0.0032224i,0.00054753+0.0023901i,0.0011047+0.0012564i,0.0013464+0.00041605i,0.0012038-8.8375e-05i,-8.9491e-06-0.00028758i,-0.00065039-0.00075232i,-0.00096353-0.0014656i,-0.00058877-0.0010796i,3.9812e-05-0.00039467i,-1.0398e-05-5.8628e-05i,0.00028132+0.00035394i,0.00072875+0.00057172i,0.00077407+0.00020471i,0.00059531-0.00031479i,0.00020761-0.00012829i,-0.00021038-6.5155e-06i
0.0011002+0.00091423i,0.00026328+0.0011018i,-9.6159e-05+0.0014351i,0.00056484+0.0011421i,4.0556e-05+0.0011871i,-0.00073238+0.0010782i,-0.00034876+0.00053035i,-0.00025194-7.7304e-05i,-0.00037688-0.00055608i,5.7234e-05-0.0010426i,0.00021896-0.00097879i,-0.00057366-0.00053017i,-0.00042696+0.00017415i,-0.0001254+0.00091337i,-6.3816e-05+0.00033403i,0.00030727-0.00039123i,0.000701+0.00034718i,0.0014137+0.00067975i,0.0018886+0.00022221i,0.00083496-0.00026257i,0.0002953-0.00061925i,0.0011821-0.0008271i,0.00044514-0.00055726i
-0.00091529-0.0016536i,-0.0010365-0.0021451i,-0.0006866-0.0011043i,-0.00087554-0.00024834i,-0.0012801+5.072e-05i,-0.00061926+0.00071001i,-0.00052287+0.0013449i,-0.00035085+0.00067569i,0.00011831+9.9813e-05i,2.1004e-05+0.00019183i,-0.00058062+1.6119e-05i,-0.0015833-0.00018048i,-0.0018713-0.00057947i,-0.00102-0.00041977i,-0.00056317+0.00027391i,-0.00013832+0.00033679i,0.00075719+0.00023326i,0.0010679+0.00083593i,0.00055343+0.00093567i,-0.00013509+0.00062979i,2.244e-05+0.0014007i,0.00044765+0.0017718i,0.00052847+0.0011272i
-0.0013457+0.00046474i,-0.00067319-0.00016432i,-0.00012586+0.0005927i,-0.00030772+0.0018285i,-0.00019198+0.0024496i,-0.00026386+0.0016702i,-0.00020079+0.0005313i,-3.9274e-05+0.00042245i,5.1648e-05+0.00063297i,0.000766+0.00054759i,0.00076207+0.00039288i,-0.000375-0.00028499i,-0.00094668-0.00011428i,-0.00096652+0.00047361i,-0.0010079-0.0001447i,-0.00029466-0.00068252i,0.00074096+3.8675e-05i,0.00075345+0.00049781i,-0.00019325+0.00020392i,-0.00037814+0.00010595i,-0.000436-0.00017437i,-0.0009223-0.000228i,-0.0010489+0.00044516i
2.8882e-05+0.00035722i,0.00087779+0.0012105i,0.0016758+0.001876i,0.00037661+0.0022263i,-0.0004116+0.0017987i,-0.00052332+0.00070977i,-0.00051343-9.9884e-05i,0.00032344-0.00052466i,0.00051298-0.00087842i,0.00053326-0.00066744i,0.00016005+0.00014795i,-0.0001455-0.00032526i,-0.00023918-0.00058362i,-0.00036513-0.00011934i,-7.4239e-05+0.00031769i,3.0632e-05+0.00042694i,0.00027161+0.00036248i,0.00087099+6.9033e-05i,0.00054927-0.00043137i,0.00040692-0.00092417i,4.8197e-05-0.0005548i,-0.00018165-0.00025369i,0.00023668-1.1697e-05i
-8.5355e-05-0.00076128i,0.00034094+0.0001049i,-0.00087581+0.00054634i,-0.00085789+0.00057823i,-0.00032417+0.0010795i,-0.00041792+0.0013313i,0.00028621+0.0003131i,0.00015458-0.00027918i,-0.00050865+6.2225e-05i,-0.00072527-0.00035061i,-0.00054743-0.0012559i,3.4449e-06-0.00094901i,0.00018264+1.6264e-05i,-0.00018639+0.00086423i,0.00046937+0.0011006i,0.0010464+0.00080597i,0.00073617+0.00051788i,0.00042654+0.00092682i,0.00044258+0.00097527i,0.00061539+0.00082684i,-3.9841e-05+0.00061903i,-0.00061556+0.00041333i,-6.5356e-05+0.00023489i
-0.00040206-0.00029381i,-0.00018632-4.6026e-05i,-0.00032221-0.00016935i,-0.00084615+0.00056916i,-0.00048917+0.0016056i,0.00094506+0.0018928i,0.0016697+0.001055i,0.0017858+0.001124i,0.0013715+0.00077089i,0.00090437-0.00019464i,4.9547e-05+1.8256e-05i,-0.00052738-0.00028736i,-0.00044179+3.2014e-05i,-0.0004666+0.00033132i,2.9326e-05+0.00035473i,0.00028607+0.00069357i,0.00019596+0.0011063i,0.00019792+0.00047036i,4.8396e-05-0.00040714i,-0.00019964-0.00029943i,-9.5203e-05+0.00059175i,0.00018833+0.00078436i,-0.00033575-0.0001737i
-5.0391e-05+0.00018479i,0.00025893+0.00084386i,-7.8755e-05+0.00098966i,0.00065632+0.00086766i,0.0012904+0.0011189i,0.00103+0.00045788i,0.00061695-0.00011163i,0.0004679+0.00025051i,0.00048935+0.00039951i,0.00098784-0.00056271i,0.001137-0.00084019i,0.00036695+9.6582e-05i,-8.1446e-05+5.2818e-05i,-0.00069414+0.00031278i,-0.00049168+0.00075552i,0.00035255-0.00020486i,0.0010941-0.00034843i,0.0014319+0.00047106i,0.00082756+0.00086675i,3.7004e-05+0.00070263i,6.149e-05+0.00055821i,-0.00013011+0.0010433i,-0.00013179+0.0011178i
6.4424e-05+0.00061263i,0.0012051+1.5804e-05i,-0.00014717-0.00077813i,-0.0017871-0.0012286i,-0.0016422-0.00054841i,-0.0011018+0.00057534i,-0.00052438+0.00086965i,-0.00098959+0.0004646i,-0.00072732+0.00032941i,0.00054798+0.00078024i,0.00029705+0.00098865i,-0.00033437+0.0008549i,-0.000296+0.00010729i,0.00045747-0.00063985i,0.00089335-0.00046969i,0.00049382-0.00035345i,-0.00015996-0.00033608i,-3.3722e-05-0.00055378i,-0.00017884-0.00082776i,-4.7111e-05-0.00079808i,0.00038852-0.00011657i,-9.3362e-05-0.00045929i,-0.00050066-0.0006751i
-0.0011028-0.0010743i,-0.00051766-0.00072508i,-0.0013011+0.0017396i,-0.0010654+0.0031063i,-0.00052283+0.0023993i,0.00039114+0.0014586i,0.00092241+0.00085724i,0.00093764+9.9787e-05i,0.00091568-0.00020557i,0.00028325-9.1822e-06i,0.0002143+0.00036304i,0.00068416+0.00091393i,0.00063279+0.00015758i,0.00036378-0.00037428i,-0.00027725+0.00051755i,-0.00039265+0.00091408i,-0.00013092+0.00043275i,0.00017224+0.00051942i,0.0001753+0.00065536i,7.1903e-05+0.00039704i,0.00015727+0.00055532i,7.2868e-05+0.0002521i,-0.00026149+0.0003186i
-0.0010805+0.00031103i,4.505e-05+7.4187e-05i,1.7398e-05+0.00024307i,0.00011228-0.00012141i,0.00030801+0.00030277i,8.0788e-05+0.00063667i,0.000382-2.2603e-05i,0.00048037-0.00030048i,0.00027426+7.4925e-05i,0.00027335-0.00042473i,0.00026109-0.00074201i,-0.00015857-0.00087267i,0.00032232-0.00026221i,0.00053184+0.00027287i,-1.1424e-05-0.00022522i,0.00060469-9.9208e-05i,0.00086016+6.7965e-05i,-8.0468e-05-0.00026768i,-0.00010145-0.00040631i,0.00051421-0.00018556i,0.00036604-0.00051131i,-1.4703e-06-0.0007426i,-5.6862e-05-0.00037763i
