0.0037761+0.0022832i,0.0030492+0.0016909i,0.0024458-6.9599e-05i,0.0015083-0.0011464i,-0.0001969-0.0015626i,-0.0016014+0.00037328i,-0.0007686+0.0028438i,0.00070878+0.0029111i,0.0011304+0.00077977i,0.00067871-0.00061173i,0.00054167-0.00084155i,0.00075333-7.0357e-05i,0.00018368+0.00069039i,-0.00039403+0.0004804i,-0.00047058+0.00061442i,-0.00046199+0.0008142i,-0.00088042+0.00039802i,-0.0012317+0.00019935i,-0.0010936-2.2752e-05i,-0.0013962-7.4599e-05i,-0.0010233-7.7737e-05i,-1.4135e-05+0.00026709i,0.00016808+0.00049389i
-9.5377e-05-0.00059912i,0.00089447-0.00058033i,0.00099243-0.00045362i,0.00046986+3.2581e-05i,0.00023875+0.0011295i,0.00026176+0.0015134i,0.00069441+0.0010677i,0.00051999+0.00072643i,0.00025775+2.6588e-05i,0.0001887-0.00036596i,-0.00030242-0.0001733i,-7.7646e-06+0.0002727i,0.00057684+0.00089444i,0.00042974+0.00054351i,-0.00045703+0.00013787i,-0.0012712-5.6276e-07i,-0.0014773+0.0002548i,-0.00092682+0.00069118i,0.00023404+0.0010327i,0.00048492+0.00013802i,0.00014061-0.00054379i,0.00071433-0.00036517i,0.0005508-0.00022586i
0.00050089+0.0012846i,0.0013958+0.00062643i,0.0024115+0.00035231i,0.0020854+0.0004146i,0.0011577+0.00057377i,0.00047276+0.00094167i,-0.00014777+0.00074767i,-7.9168e-05+0.00023651i,0.0002935-7.5832e-05i,0.0006359+0.00026477i,0.00026293+0.00023508i,-0.00010142-0.00012463i,-0.0001003-0.00014075i,-0.00080344-0.00041034i,-0.0010422-0.00099323i,-0.00049399-0.00058204i,-0.00039845+0.00023985i,-0.00045377+0.00042081i,-0.00072432-9.4252e-05i,-0.00037193-0.00039167i,0.00041498-0.00028882i,-6.4813e-05-3.1783e-05i,8.7466e-05-2.5468e-05i
-0.00031655-0.00077485i,0.0013401-0.0016763i,0.001717-0.00058587i,0.0013994+0.00085443i,0.0011447+0.0010987i,0.0009123+0.001309i,0.0010038+0.0012677i,0.00091774+0.00066609i,0.00016199+0.00025754i,-0.00019683+0.00018467i,-0.00059615-0.0001753i,-0.00014447-0.00011245i,0.00037554-0.00068824i,0.00027047-0.00099194i,-0.00042487-0.00071251i,-0.00088493+0.00025677i,-0.00059779+0.00082333i,-0.00030737+0.00082153i,-0.00024075+0.00084825i,-0.0011372+0.0011975i,-0.0012327+0.0015198i,-0.00059546+0.00064465i,-0.00014674-0.00019481i
0.0012534-0.00021682i,0.0017702-0.00045832i,0.0010457-0.00078588i,0.00048105-0.00027691i,1.4813e-05+0.00039986i,-0.00074033+0.0010725i,-0.00015268+0.0011407i,0.00075868+0.0012i,0.00030095+0.0013472i,-0.00011759+0.00072113i,9.8959e-05+0.000177i,0.00027297+0.0001754i,0.00024551+0.00032962i,-0.00047615+0.00032943i,-0.00057333-0.00017132i,-0.00026574-0.00054721i,-0.0007856-0.00035284i,-0.00085596+0.00063053i,-0.00057569+0.0012716i,-0.00035298+0.0010345i,-1.848e-05+0.0015048i,-0.00010387+0.0012823i,-0.0004604+0.00069016i
0.0014551+0.0022031i,0.0012249+0.0019557i,0.0019167+0.0015536i,0.0018232+0.00060447i,0.00092642+0.0001065i,0.00033479+0.00017189i,0.00073309+0.00047087i,0.0012204+0.00076674i,0.0012503-3.0942e-05i,0.00073625-0.00027333i,-8.0959e-05-0.00035908i,-0.00020672-0.00089511i,1.4922e-05-0.00036486i,0.00041547+0.00043562i,0.00059904+0.00034486i,-0.00043051-0.00022871i,-0.00098355-0.0007059i,0.00015797-0.00042189i,0.00085673+0.00030714i,0.0001745+0.00061516i,-0.00033765+0.00063398i,-0.00031545+0.00046542i,-0.00082275+0.00064947i
0.0018491-0.00069718i,0.0017832-0.00083961i,0.00098017-0.0010776i,8.8003e-05-0.00074369i,-0.00064049+0.00043935i,-0.0013867+0.0015417i,-0.00072291+0.0023886i,-0.00010294+0.0017537i,-5.4018e-05+0.00040488i,-8.7037e-05-0.00015498i,-0.00035076+5.3497e-05i,-0.00013879+4.475e-05i,9.5559e-05+0.00030542i,0.0001218+0.00057957i,0.00017372+0.0002388i,0.00045817+0.00031832i,0.00042387+0.0004422i,0.00035008+0.00035522i,0.00029655+0.00020586i,0.00037183+0.00013928i,0.00017444+0.00019803i,-0.00048206+6.4205e-05i,-0.00062298-0.00034331i
3.0098e-05+0.0022048i,0.0013447+0.0014766i,0.001713+0.0010022i,0.0018983+0.0014231i,0.0018331+0.0013269i,0.0013887+0.0011424i,0.00092826+0.0012271i,0.00077251+0.00065338i,-9.3897e-05-1.1914e-05i,-0.00089438-0.00030958i,-0.00032083-0.00023214i,4.4467e-05-0.00024158i,-1.6933e-05-0.00023486i,0.00029251+0.00045069i,7.8571e-05+0.0010842i,-0.00016021+0.00056816i,-9.3858e-05+0.00053152i,0.00016874+0.00059567i,0.00039193+0.00030123i,0.00013323+0.00033667i,-2.3958e-05+0.00028167i,0.00022763+0.00086804i,-2.248e-05+0.00098219i
0.00033185-0.0007881i,0.0011528-0.0002984i,0.0012628-0.0012839i,0.0013708-0.0013485i,0.0012967-0.00019072i,0.00068234+0.0015595i,0.00030439+0.0023278i,0.00088198+0.00092474i,0.00098125+0.00012997i,0.00064933+0.00083081i,0.00058052+0.00083906i,-0.00016629-5.828e-05i,-0.00063621+0.00010066i,-0.00016785+0.00060902i,-1.0937e-05-4.6793e-05i,-5.4212e-05-0.00019675i,3.4944e-05+0.00095055i,0.00042672+0.0013396i,0.00030318+0.00086503i,0.00011021+0.00043598i,-0.00019675+0.00016718i,0.00011382+0.000298i,0.0010288+0.00064363i
-0.00079445+0.00063019i,-5.4297e-05+0.000856i,0.00025688+0.001128i,0.0012337+0.0015466i,0.0014588+0.0019792i,0.0010496+0.0012497i,0.00079713+0.00067747i,-6.8595e-05+0.00014029i,-0.0007619-0.00054168i,-0.00082611+0.00024932i,-0.00055035+0.0010097i,-0.00031871+0.0007293i,-0.00073534+0.00026167i,-0.00093372-5.3478e-05i,-0.0012426+0.00049473i,-0.0013781+0.0011534i,-0.0010856+0.00050943i,-0.00051356+0.00070858i,-0.00078109+0.00069315i,-0.0011302+0.00035379i,-0.0011472+0.00038174i,-0.00057431+0.00034199i,0.00011156+0.00018873i
0.0017067+0.00036405i,0.0027939+0.0011036i,0.0030874+0.00096141i,0.0012029-0.00020282i,0.00077695-0.00027104i,0.0005148+0.00091118i,0.00022487+0.0013965i,0.0012855+0.00097053i,0.0010301+0.00027427i,-0.00062959-4.0214e-05i,-0.00086764-0.00012986i,0.00028939-0.00038962i,0.00018318-0.00019561i,9.7056e-05+0.00043365i,0.00066401-0.0002886i,1.3936e-07-0.00041608i,-0.0014119+0.00077431i,-0.0012998+0.00088273i,-0.0009241+8.1071e-05i,-0.0010832-0.00046376i,-0.0002398-0.00083752i,3.5353e-05-0.0002376i,8.0773e-05+0.00022678i
