-0.0016357-0.0008362i,-0.001502+0.00020156i,-0.0024479+0.0011603i,-0.0021967+0.0016357i,-0.0010689+0.0018064i,-0.00023878+0.0014337i,0.00021804+0.0015855i,0.00046916+0.00050748i,0.00026312-0.00075138i,0.00094832-0.00093551i,0.0010129-0.00066332i,5.5091e-05-0.00032499i,-0.00047744-0.00011273i,-0.00053509-0.00051123i,0.00013965-0.0010588i,0.00039999-0.00099429i,0.00034979-0.00012393i,8.1579e-05+0.00055321i,-0.00037851+0.00067625i,-0.00053728+4.5345e-05i,-0.00074422+9.8507e-05i,-0.00098175+0.00041383i,-0.00031956-0.00020876i
0.0016745-0.0016917i,0.0013298-0.0022854i,0.00057116-0.0022133i,0.00025089-0.0016089i,-0.00026193-0.00097243i,0.00057141+0.0002747i,0.0021973+0.0010426i,0.0021667+0.00057751i,0.0014217+0.00016136i,0.00060055-0.00049572i,-0.00012638-0.00075426i,-0.00033907-0.00033713i,-0.00083275-0.00019742i,-0.00089031-0.00036437i,-0.00032653-0.00018133i,-0.00042645+0.00013371i,-0.00066874-9.2114e-05i,-0.00060001-0.00033209i,-0.00039227+4.1258e-05i,9.761e-05+0.00036476i,-0.00034772+0.00040568i,-0.00063438+0.00030308i,-0.00046469-2.6645e-05i
0.00044334+0.00040918i,0.00034946-0.00034248i,0.00041205-0.00082154i,0.00059086+0.00015009i,0.00092078+0.00069252i,0.00080146+0.0016089i,0.0013857+0.0016823i,0.001289+0.00016815i,0.00083493-0.00085364i,0.0001508-0.00061103i,-0.00010011-2.742e-05i,0.00056748+0.00058907i,0.0001405+0.00027783i,-0.00045274-0.00044479i,-0.00076069-0.00064659i,-0.00052622-0.0004873i,7.2146e-06+0.00020908i,-0.00030668-0.00056599i,-0.00033072-0.00055768i,-0.00052844+0.00034949i,-0.00053242+0.00023464i,-0.00044677+6.3392e-05i,-0.00018864-0.0002795i
0.00010783+0.00024034i,-0.00033321-0.00057655i,-0.0011837-0.00045098i,-0.00084534-0.00051701i,0.0010495-0.00037614i,0.0020169-0.00010116i,0.0018488-0.00040382i,0.0010542-0.00011943i,0.00021941+0.00015661i,0.0003617+8.3117e-05i,0.00040263+0.00010272i,-0.00034302-0.00030102i,-0.00046937-0.00055856i,-0.00016886-0.00043841i,0.00013299-0.00029447i,5.5418e-05-2.9404e-05i,0.00019594+0.00031693i,4.8193e-05+0.00094659i,-0.00065636+0.00075294i,-0.00036483+0.00074873i,0.00035774+0.00088303i,0.00029621+0.00035726i,-0.00042793+0.0003838i
0.0011584-0.0019513i,0.00092482-0.0010914i,0.00055354+0.00018865i,0.00010609+4.2162e-05i,0.00042283+4.7372e-05i,0.00052495+0.00075684i,0.00054995+0.0014068i,0.00082381+0.00057795i,0.00094183-0.00077613i,0.00099188-0.00060123i,0.00063416-0.00026284i,-0.00022841-0.0005514i,-0.0007393-0.00073251i,-0.00036368-0.00025823i,4.7636e-05+0.00024734i,-0.00037919+0.00058963i,-0.0001257+0.000445i,0.00021249+5.752e-05i,0.00081454-0.00059013i,0.0011149-0.00092351i,7.2839e-05-0.00073317i,-0.00097516-0.00063969i,-0.001489-0.00012624i
-7.9483e-05+5.8419e-05i,-0.00086342-0.0013751i,-0.00032963-0.0021794i,-0.00012171-0.0013486i,3.1182e-05-0.00039648i,0.00046683+9.5989e-05i,0.00084583+0.00055983i,0.00089929+0.0001922i,0.00060621-0.00065508i,-0.00027807-0.00084577i,-0.00079094-0.00036827i,-0.0003954+0.00062538i,-0.00017775+0.00068158i,-0.00020928+0.00027135i,-0.00047749+0.00018784i,-0.00077891+0.00038531i,-0.00038367+0.00018267i,9.4346e-05-0.00036863i,0.00048728-1.8137e-05i,0.00048671+0.00024538i,0.00035718+0.00011103i,0.00048552+0.00040331i,0.00030227+0.00065648i
-0.00083832-0.00049826i,-0.00086158+4.7724e-06i,-0.00062892+0.00063981i,0.0005925+0.00030742i,0.0014596-0.00049248i,0.0012682-5.8556e-05i,0.0010642+0.00075267i,0.0013912+0.00048485i,0.0011198-0.00050879i,0.00053634-0.00056728i,0.00022731-0.00066236i,0.00017267-0.00058083i,-0.0002927-0.00053137i,-0.00049233-0.00075164i,0.00032138-0.00031635i,0.00024433+7.203e-05i,-0.00036901-0.00071784i,-0.00029064-0.00050845i,-0.00055276+0.00053048i,-0.00067618+0.00017363i,-0.0002719-0.00027771i,0.00050106-0.00024877i,0.00070238+0.00033577i
0.00089475-0.0016974i,0.0012254-0.0016314i,0.00047846-0.00087549i,-0.0012072+9.3626e-05i,-0.00094095+0.0012147i,0.00057942+0.0016063i,0.00062322+0.00127i,0.0004333+0.0006758i,0.0009085-0.00022826i,0.0014318-0.00032234i,0.00070602+0.00068628i,-0.00034752+0.00055448i,-0.00063035-8.0533e-05i,-0.0004401+0.00025616i,0.00037865+0.00012738i,0.0002644-0.00051316i,-0.00015774-0.0007416i,0.00029625-2.0599e-05i,0.00055117+0.00059064i,0.00010374+0.00018595i,-0.00024765-0.00034957i,-0.0004832-3.4849e-05i,-1.4405e-05+0.00030919i
0.00049039+0.00035844i,-6.5889e-05-0.00011364i,0.00054585-0.00013709i,0.0012038-0.00013552i,0.001298-0.00014888i,0.0020459-0.00068885i,0.0027682-0.00051428i,0.0028291-7.3966e-05i,0.0018307+0.00017279i,8.8994e-05+0.00069582i,-0.00054935+0.00030526i,-0.0012895-0.00015639i,-0.0012544-0.00032109i,-0.00074593-0.00045583i,-0.00071558-0.00011614i,-0.00079927+0.00023946i,-0.00066726+0.00026973i,-0.00078332+0.00031767i,-0.00068252+6.2762e-05i,-0.00056291+0.00036517i,-0.00025085-0.00043274i,0.00043833-0.0015622i,0.00020461-0.00049525i
0.00094511-0.0018434i,0.00026604-0.0027983i,-0.0012446-0.0024736i,-0.0017864-0.0016414i,-0.00065298-0.00082984i,0.00055278+0.00064829i,0.001049+0.00098164i,0.0012072+0.00055284i,0.00059788+0.00068987i,9.7917e-07+0.00068435i,-0.00012998+0.0002569i,0.0002075-0.00023041i,-0.00011844-4.5267e-05i,-0.0006969+0.00051737i,-0.0011691+0.00041776i,-0.001082-2.2998e-05i,-0.00067364-0.00025884i,-0.00060146-0.00064926i,-0.0005826-0.00048398i,-0.00034165+0.00050889i,-0.00066086+0.0010094i,-0.0010059+0.0001719i,-0.00073427+0.00011179i
0.00077223+0.0015962i,0.0022645+0.0013459i,0.0031588+0.00093737i,0.0020518-0.00038049i,0.001099-0.0011222i,0.00076074-0.00040861i,0.00030804+0.001054i,0.00054226+0.00169i,0.00071476+0.00057363i,0.00045949-0.00041429i,0.00056928-0.00014256i,0.00016164-0.00020803i,-0.00066251-0.0008922i,-0.0014426-0.0015246i,-0.0012719-0.0013597i,-0.00022381-0.00068265i,0.00011751+4.1978e-05i,-0.00068767+0.00037273i,-0.0011994-0.00016861i,-0.0010879-0.00094878i,-0.00022866-0.00024224i,0.0011842+0.00037722i,0.0011125+0.00038058i
