-0.00041767+0.00014303i,-0.0012351-0.00043189i,-0.0023176-0.0018979i,-0.0018505-0.002024i,-0.0024512-0.00026441i,-0.0025808+0.0006328i,-0.0015277+0.0011892i,-0.00077596+0.0016808i,0.00081295+0.00070036i,0.0017471-0.00021647i,0.00091516-0.00043041i,0.0001932+1.7166e-05i,-0.00075366+0.00044326i,-0.00085514+0.00033484i,-0.00026841-6.9849e-10i,-6.3656e-05-0.00056667i,-4.0678e-05-0.0001351i,-6.799e-05+0.00064942i,0.00012388+0.00021495i,-0.00018709-0.00052097i,-0.00064719-0.00052053i,-0.00012526-0.0006541i,0.00036912-0.00034435i
3.7737e-05-0.00084412i,-0.0010834-0.00035307i,-0.0018733-4.8018e-05i,-0.0013884-1.2437e-05i,-0.0014869+8.9275e-05i,-0.0014941-0.00033667i,-0.00094807-0.00081517i,-0.00042449-0.00038211i,-0.00060519-0.00014706i,-0.0012895-6.7764e-05i,-0.00047771+0.00022946i,0.00023904+0.000432i,-0.00011312+0.00050928i,-0.00045483-0.00028937i,-0.00060506-0.00027138i,-0.00089676-0.00020973i,-0.00023645-0.00040121i,0.00037389+0.00020986i,-9.9326e-05+0.0003181i,-9.5091e-05-0.00038496i,7.7912e-05-0.0004539i,5.2457e-05+0.00074316i,0.00077479+0.00085182i
-0.0012641+0.001746i,-0.0015288+0.0017797i,-0.0016887+0.0003152i,-0.0010231-3.3457e-05i,-0.0005967+0.00048171i,-0.00098675+0.00066485i,-0.0013515+0.00049309i,-0.00093334+0.00063453i,-0.00056937+0.00095874i,-0.0004821+0.00024239i,0.00011945-0.00040268i,0.0011905-0.00022891i,0.0016252-0.00043814i,0.00099407-0.00082322i,0.00017987-0.000144i,0.00021773+0.0002876i,0.00063169-0.00073942i,0.0012024-0.0011563i,0.0015663-0.00055395i,0.0013845-8.4184e-05i,0.0004269+0.00068219i,-2.3816e-05+0.00097465i,0.00014721+0.00028677i
-0.0015739-0.00030686i,-0.0018937+0.0005916i,-0.0019302+0.0014304i,-0.0017883+0.0012061i,-0.0013833+0.00066262i,-0.0007555-0.00033873i,-0.00062609-0.0010667i,-0.00047859-0.00077423i,-0.00036252-0.00045014i,-0.00018105-0.00048238i,-7.4734e-05-0.00025457i,2.3085e-05+0.00014125i,0.00074431+0.00062992i,0.0012896+0.00070267i,0.0017221+0.0006128i,0.0012735+0.00055403i,0.00065711+0.00046264i,0.0003146-1.434e-06i,-5.123e-05-0.00014558i,0.00042617-0.00053816i,0.00074657-0.00074109i,0.00046582-0.00040591i,0.00014515-0.00044399i
-0.0026618-0.0011273i,-0.0031912-0.0003845i,-0.003038+0.00026702i,-0.0016855+0.00027681i,-8.9148e-05+0.00099999i,0.00038038+0.0011018i,-0.00034344+0.00046836i,-0.0010757+0.00062759i,-0.0012689+0.00044061i,-0.00041732+0.0010174i,0.00087067+0.001447i,0.00084694+0.00019801i,0.00065873-0.00049809i,0.00078193+0.00057035i,0.00056792+0.0010892i,-0.00013188+0.00026145i,-0.00074786+8.2423e-05i,-0.0006174+0.00043251i,-0.00034672-7.1205e-06i,-0.00032183-0.00030774i,-0.00069629-0.00026947i,-0.00096069-0.00061825i,-0.0005857-0.00064895i
0.00024465+6.0577e-05i,-2.912e-05+0.00071371i,0.00012035+0.00065599i,0.00072215-0.00033535i,0.00029884-0.00063716i,-0.0010601-0.00031798i,-0.0018155-0.000282i,-0.0020597-0.00028554i,-0.0013009+0.00025986i,-0.0007504+0.00071731i,-0.00072149+0.00034471i,-0.0001783-0.00098348i,0.00086433-0.0010953i,0.0014333-0.00013731i,0.0010414-0.00028552i,0.00038166-0.00042095i,8.9e-05-0.00054788i,-0.0001379-6.504e-05i,-9.4949e-05+2.9324e-05i,0.00012517-0.00065457i,6.3547e-05-0.00032471i,0.00029996+0.00012623i,0.00085778-0.00063855i
0.0001854+8.9604e-05i,1.3628e-05+0.00026124i,-0.00017353+0.00017281i,0.00012+0.00038908i,8.9015e-05+0.00017823i,-0.00050078-0.00050186i,-0.001318-0.0011264i,-0.00098607-0.0009579i,-7.4197e-05-0.0006109i,-4.5963e-05-0.00090689i,4.1101e-05-0.00035788i,8.4237e-05-3.9722e-05i,-0.00035802-4.0135e-05i,-0.00020085+4.2766e-05i,0.00010433-0.0001621i,-4.3776e-05-0.00011124i,0.00012531-0.00073487i,0.00028891-0.0008282i,-0.00010171+0.00049631i,7.5292e-05+0.00042437i,0.00028163-0.00038168i,-0.00028248+4.99e-06i,-0.00028292+0.00047853i
-0.00074738+0.00078314i,-0.0013038+0.0002549i,-0.0017256-0.00071214i,-0.0012215-0.0014774i,-0.00058511-0.0013185i,-0.00062688-0.0008452i,-0.00068201-0.00073057i,-0.0011009-0.00014829i,-0.0011347+0.00065706i,0.00023429+0.00056515i,0.0010709+0.00016672i,0.00064981-6.1318e-05i,-3.559e-05-0.00016633i,-0.00047681+9.4608e-05i,0.00020577+1.426e-05i,0.00072123-0.00044082i,0.00083933+0.00010095i,0.0012786+0.00042336i,0.00080675-0.00038581i,-0.00014857-0.00073759i,-0.00033596-0.0002064i,-0.00044494+0.00011122i,7.8728e-06+0.00017945i
-0.0012995+0.00013689i,-0.0024828+0.00066604i,-0.0017997+0.0011812i,-0.00046796+0.0012286i,-0.00012162+0.00031142i,-0.00029267-0.00072416i,-0.00051041-0.00044065i,-0.00026848+4.7451e-05i,2.1907e-05+0.00026398i,9.3157e-05+0.00045224i,0.00016979+0.00074235i,0.00014116+0.00099971i,0.00019863+0.0004904i,0.00062064-0.00011557i,0.0007017-0.00030084i,-1.8908e-06-4.125e-05i,0.00032917-0.00025356i,0.00050046-0.00050553i,-8.7424e-05-0.00048211i,-0.00016715-0.00075982i,0.00025695-0.00051253i,0.0010194+0.00069635i,0.00059186+0.0011086i
-0.00028397+0.00079655i,0.00028385+0.00056014i,-6.4449e-05+6.8828e-05i,0.00064026-0.00015367i,0.00058551-0.0008596i,-0.00063988-0.0014431i,-0.0014589-0.0007148i,-0.001581+0.00017598i,-0.00042666+7.1143e-06i,0.0013481-0.00023967i,0.0015975-0.00032663i,0.0013414-0.00037741i,0.00094526-0.0003839i,0.00011174-0.0003132i,-0.0004185+8.7689e-05i,0.00016197+0.00015667i,0.00084496+0.00044463i,0.0001256+0.00047759i,-0.00048117+0.00051959i,-0.00050075+0.00042764i,-0.00088918+7.1126e-05i,-0.00082276+0.00081284i,-0.0003536+0.00080545i
-0.0010252+0.0021004i,9.4811e-05+0.0019504i,0.0012088+0.0013512i,0.0013762+0.00066981i,0.00056025-0.00052352i,-0.00053455-0.0012528i,-0.0011183-0.00075473i,-0.0010073+1.5224e-05i,-0.00052427+0.0010083i,0.00013144+0.00060289i,0.00036465+9.9149e-05i,0.00018231+0.00015044i,-0.00012506-0.00071769i,-0.00070272-0.00096945i,-0.0012123-0.00021299i,-0.00083622-0.00016282i,-1.3025e-05-0.00019556i,0.00016391-6.7333e-06i,-0.00047824-9.4629e-05i,-0.00077223+0.00054308i,0.00069168+0.0012552i,0.00080224+0.00077239i,-0.00055299+0.00043549i
