-0.0017231+0.00096723i,-0.0012535+0.0013376i,-0.002193+0.0016541i,-0.0022036+0.0012523i,-0.00068954+0.0015881i,0.00065525+0.0020031i,0.00076371+0.0017221i,0.00087615+0.0010994i,0.0011444+0.001049i,0.0010767+0.00039213i,0.00065292-0.00038959i,0.00013304-0.00031713i,0.00066313+4.8976e-05i,0.00079182+0.00066719i,0.0004129+0.0010922i,-0.00053793+0.00086697i,-0.00073217+0.00050819i,1.9813e-06-0.00024741i,-0.00024357-0.00072302i,-0.00028776-0.00085909i,0.00022035-0.00070887i,-8.3362e-05+0.00018733i,-0.0002089+0.0005841i
-0.00066846+0.0029889i,-0.0014194+0.0020215i,-0.00099033-0.0004416i,-0.00023324-0.00087956i,0.00035728+0.00054942i,0.00055171+0.0015071i,0.00057481+0.00093544i,0.00072632+0.0003502i,0.00089602+0.00091079i,-0.00010243+0.00071023i,-0.00056918-0.00048215i,0.00027391-0.00097638i,-0.00018974-0.00064554i,-0.00066114-5.2087e-05i,-0.00052397+0.00044739i,-0.00011243+0.00054669i,0.00014147+0.00025408i,-0.00012417-5.1989e-05i,-0.00020613+0.00038444i,-0.00058456+0.00073041i,-0.00059617+0.00025937i,-0.00037949+8.4119e-06i,-0.00029068-0.0002243i
0.00081029-0.00045703i,0.00054442-0.0003082i,-0.00066113-0.00099851i,-0.00086034-0.0017201i,-0.0011163-0.00058885i,-0.00059829+0.00050947i,0.00066389+0.00036425i,0.00074745+0.00085747i,-0.00029896+0.00080665i,-0.00052835-0.00017303i,-6.2803e-05-0.00043901i,-0.00044899-0.00036497i,-0.00039647-0.00016331i,0.00011196+0.00084669i,0.00019118+0.00092313i,0.00023308+0.00055699i,0.00077688+0.00038914i,0.0011533-4.655e-05i,0.00081045-0.00019389i,0.00030132+5.3549e-05i,0.0001486+6.2629e-05i,-4.1125e-05+0.00053624i,3.5751e-05+0.00062109i
-0.0016166-0.00085954i,-0.0012137-0.00019833i,-0.0012042+0.0008403i,-0.001568+0.00031732i,-0.00054571-0.00073387i,0.0012135+0.00027097i,0.0014282+0.0011423i,0.00067711+0.0002189i,-5.0651e-06+0.00023565i,6.9248e-05+0.00011382i,0.00069073+0.00024905i,0.00095071+9.8554e-05i,0.00077005-0.00049576i,-0.00018663-1.4003e-05i,-0.00088839+0.00048963i,-0.00061588+0.00051437i,-0.00077269+7.0633e-05i,-0.00074747-0.00068001i,-0.00048364-0.00057923i,0.00020246-0.00025816i,-8.7072e-05-0.00016314i,-0.0007193-7.8756e-05i,0.0001981-0.00032819i
-0.001478+0.001823i,-0.00065305+0.0025677i,0.00040341+0.0024329i,0.00055587+0.0014645i,0.00096938+0.00049565i,0.0010347+0.00034i,0.00048905+0.00029782i,8.9979e-06+8.3566e-05i,0.00021786-0.00015654i,0.0010258-0.00072438i,0.0007036-0.00083965i,0.00024883-0.00062146i,0.00013907-6.2772e-05i,-0.00051004+0.00071128i,0.00016961+0.0010475i,0.0007423+0.0010444i,0.00063332+0.00013985i,0.0003903+0.00013069i,0.00051786-9.3235e-05i,0.00059191-0.00057006i,-0.00023229-0.00025049i,-7.4776e-05+3.2139e-06i,0.00054016-0.00025585i
-0.002072+0.001759i,-0.001319+0.00078074i,0.0004491-0.00030875i,0.00072827-0.00077778i,0.00090294-0.00053186i,0.0004149-0.00024987i,1.3275e-05-0.00016257i,-2.1307e-05+0.00011694i,4.0136e-06-0.00018787i,-0.00019834-0.00071587i,-0.00039456-0.00066574i,-0.00096698-0.00011946i,-0.0011484+0.00018634i,-0.0011076+0.00020181i,-0.00070089+0.00031584i,0.00022259+4.0608e-05i,0.00053183+0.00024977i,0.00010887+0.00035616i,-0.00042822+0.00021181i,0.00028761+0.00021067i,0.00082601+0.00021777i,0.00012625-0.00036593i,-0.00081542-0.00078364i
-0.00081619-0.0008669i,-0.00098248-0.00089331i,-0.0018199-0.0015948i,-0.0016579-0.0014157i,-0.00088384+0.00022445i,-0.00046022+0.00099551i,0.00027514+3.7255e-05i,0.00023341+0.00014918i,0.00023494+0.00037857i,0.00089848-0.00076107i,0.00065223-0.00082212i,-0.00048502-0.0005542i,-0.00087272-0.00037013i,-0.00023847+0.00032399i,-0.00015456+0.0012326i,-0.00053894+0.0012816i,-0.00049739+0.00063477i,-0.00015414+0.00023331i,8.7933e-05-0.00026097i,-0.00060418-0.0002561i,-0.00078251+1.4735e-05i,-0.00063007+0.00032988i,-0.00054107+0.00046363i
-0.0018158+0.00012118i,-0.0018911+0.00037925i,-0.0013424-9.0691e-05i,-0.00036884+7.4097e-05i,0.00073479+0.00094854i,0.0019396+0.0015046i,0.0022711+0.0016692i,0.0012638+0.0012831i,0.00021215+0.00022702i,-0.00029818-0.00012916i,-0.00025958+0.00032377i,0.0004297+0.00014472i,0.0013071-0.00049124i,0.000964-0.0002434i,0.00018454-2.5749e-05i,-0.00011455+0.00035725i,0.00046316+0.00042004i,0.00078507-0.00062245i,0.00025124-0.0012497i,0.00015255-0.00077426i,8.7313e-05-4.4162e-05i,-5.1312e-06+0.00043294i,-0.00046159+0.00041519i
0.00018408+0.0020649i,0.0015957+0.0010807i,0.0017815-0.00061377i,0.00018428-0.0011793i,-0.00037606-0.00085894i,0.00043622-0.00074179i,0.0002383+8.3332e-05i,-0.00047766+0.00069377i,-0.00015414+0.00017954i,-0.00019363-0.00068149i,-0.00060483-0.00081697i,-0.00088155-0.00031571i,-0.00096461-0.00028622i,-0.00067379-0.00056844i,-0.00048527-0.00042488i,-0.00013686+7.3545e-06i,-0.00056544+0.00027723i,-0.00096479-0.00024339i,-0.00030458-0.00017914i,0.00090767+0.00076271i,0.0005923+0.0011558i,-0.00066892+0.00037283i,-0.00033094-0.00010005i
-0.00054903-0.00075993i,-0.0010232-0.00043817i,-0.00043864-0.00016761i,-0.00027333-0.00027449i,-0.00082373+0.00016815i,-0.00037987+0.00081376i,0.00058668+0.00070527i,0.00064981+0.00049095i,0.00060502+0.00034557i,0.0011447-0.00045625i,0.00045008-0.00069092i,-0.00043306-9.6276e-05i,0.00012775+7.1536e-05i,-0.00073386-0.00011174i,-0.0015826+0.00015714i,-7.8321e-05-0.00023598i,0.00072656-0.0006529i,0.0002663-0.00087024i,4.0413e-05-0.00051358i,0.00029932+0.00072732i,-0.00050818+0.00048646i,-0.001055+4.1794e-05i,-0.00062125+0.00038688i
-0.0013408-0.0010049i,0.00010024-0.00095871i,0.00068508-0.00043453i,0.00062539+0.0002417i,0.00086187+0.0005764i,0.0013727+0.00057729i,0.00098408+1.8339e-05i,1.3017e-05-0.00045516i,-8.4625e-05-0.00060906i,0.00016698-0.00025327i,-0.00033278+0.00054254i,-0.00019339+0.00068218i,0.00022739-0.00015247i,0.00028678+0.00015985i,0.0002455+0.00071625i,-0.00017392+0.00052593i,-0.000518+7.7224e-05i,-0.00050257-3.9286e-05i,-0.00053961-9.2223e-05i,-0.00037928-0.00010871i,-0.00055473+0.00027279i,-0.00037568+0.00043115i,-6.0441e-05+9.4574e-05i
