0.0015975+0.0011936i,0.00041507+0.00097728i,-0.00065528-0.00020304i,-0.00053876-0.00038306i,-0.0010719+0.00020291i,-0.0017531+0.00067569i,-0.0005024+0.00056518i,0.0011245-0.00021683i,0.0015017-0.00098679i,0.0011805-0.0020323i,0.0010165-0.0023413i,0.00032311-0.001281i,-0.00017071-0.0011469i,-0.00063656-0.0010885i,-0.00098981-0.0003617i,-0.0013379+0.00010377i,-0.00085863+8.7232e-05i,0.0004367+0.00024994i,0.00040371+0.00013368i,0.00014952-0.00045631i,-0.00023013-0.00081456i,-0.00084255-0.00037944i,-0.001066-6.3243e-05i
-0.00037099+0.0027056i,0.00058145+0.0034484i,0.0016583+0.0033101i,0.0011236+0.0016335i,-0.00040223+9.3504e-05i,-0.00093018-0.0010238i,-0.00029738-0.0006596i,-0.00023798-0.00042221i,-0.00052347-0.00040471i,-0.00069472-0.00044822i,-0.0013294-0.0015765i,-0.0012595-0.0018096i,-0.00099121-0.0012068i,-0.0013237-0.0012282i,-0.00099448-0.00098123i,-0.00057268-0.00061529i,-0.00065105-0.00025559i,-0.00067043+0.00021521i,-0.00020186+0.00044812i,0.00058092+0.00029069i,0.0010479+7.3531e-05i,0.00093668-0.00015808i,0.00044306-0.00061604i
-0.0010568+0.0031739i,-0.00036223+0.0026418i,0.0010619+0.0024082i,0.0020807+0.0021082i,0.0015974+0.0015773i,-2.5469e-05+0.0012253i,-0.0013437+0.00075795i,-0.001886+0.00042266i,-0.0019019+5.0487e-06i,-0.0011835-0.00057574i,-0.00089335-0.00032758i,-0.0010406-0.00061656i,-0.0016013-0.00024753i,-0.0019272+0.00080186i,-0.0011223+0.00046895i,-0.00030399-0.00020725i,0.00064677+0.00010966i,0.0011256+0.00074363i,0.00068613+0.00058863i,0.00074893+0.00043849i,0.001027+0.00064478i,0.0011079+0.00026252i,0.00070897-5.5386e-05i
0.003192+0.00056504i,0.0036029+0.00084166i,0.0025821+0.00015711i,0.00065965-0.00057707i,-0.00090518+9.158e-05i,-0.00031208+0.0016327i,-0.00016551+0.0028431i,-0.0011516+0.0025826i,-0.0013234+0.0024787i,-0.0013641+0.0017294i,-0.0017285+0.00072671i,-0.0010503+0.00073266i,-0.00045169+0.0009362i,-0.00084086+0.0012102i,-0.001021+0.00063945i,-0.00037293-0.00019707i,-0.00010652-0.00027557i,-0.00019413-3.9022e-05i,-0.00011255+0.00010239i,-0.00039103+0.00025671i,-9.8534e-05+0.00014907i,-0.00041291-0.00048672i,-0.00034401-0.0010411i
-0.0011249+0.0010626i,-0.00060163+0.0022469i,-0.00019905+0.0025581i,0.00047904+0.0013662i,0.0012016-9.2869e-06i,0.00067407-0.00029133i,-0.00010395+0.00010076i,-0.0006469+0.00098388i,0.00034681+0.001811i,0.001475+0.0017268i,0.00098531+0.0013446i,0.00070561-1.8201e-05i,0.0008067-0.0011242i,0.0013891-0.0009539i,0.001219-6.8584e-05i,0.00050856-6.3579e-05i,0.00018448-0.00050261i,0.00011664+0.00030496i,-0.00026993+0.00093638i,-0.00038594+0.00093854i,-0.00013909+0.00063232i,-0.00035024-1.6824e-05i,-0.00042775-0.00022249i
0.0014903+0.0010759i,0.0009555+0.0016145i,0.0011576+0.0019287i,0.0014068+0.00055967i,0.00047111+0.00013213i,-0.00021417+0.000448i,-0.00036216+0.00057942i,0.00031751+0.00079888i,0.00098512+0.00031791i,0.0010709+0.00019752i,0.00099514-5.3625e-05i,0.00064392-0.00084659i,-0.00038812-0.00051476i,-0.00056316-0.00031882i,0.0004219-0.00048281i,0.00015545-9.0967e-06i,-0.00075792+0.00011461i,-0.0007163-0.00017356i,2.2118e-05-0.0007851i,0.00051308+2.3703e-05i,-0.00051986+0.00079874i,-0.00054779+5.4453e-05i,0.00028432-0.00026733i
0.00067893+0.0027265i,0.0012003+0.0023207i,0.0019002+0.0018412i,0.00010003+0.00057169i,-0.0013712-0.00078408i,-0.0016146-0.000784i,-0.00080912-0.00059481i,3.9662e-05-0.0010029i,0.00096368-0.0016602i,0.0013202-0.0017797i,0.00043213-0.0011843i,0.00011332-0.00043611i,-0.00027148-5.1828e-05i,-0.0011553-5.3607e-06i,-0.0015175+1.3905e-05i,-0.0003343-0.00015901i,0.00073727-0.00016206i,0.00026108-9.5416e-05i,-0.00041256-0.00021148i,-0.00054319+0.00027514i,-0.00013443+0.00084542i,0.00029749+0.00072191i,0.00017271+0.0001582i
0.00094644+0.0025212i,0.0016241+0.0022886i,0.0027641+0.0022231i,0.0027609+0.0011436i,0.0015435+0.00035486i,0.00033563+0.00048098i,-0.00038351-0.00026198i,-0.0011362-0.00063555i,-0.00078832-0.00037129i,8.5545e-05-0.0011127i,0.00060973-0.00086504i,0.00046431-0.00063719i,-0.00011009-0.00065419i,-0.00057834-0.00050754i,-0.0012363-0.0010333i,-0.0010732-0.00081858i,-9.0356e-05-0.00043293i,0.00050389-0.00080072i,0.000408-1.9458e-05i,-0.00024428+0.00060062i,-0.00015902+0.00022206i,0.00027916+0.00039041i,-7.0062e-05+0.00021643i
-0.0014042+0.00077245i,-0.0012724+0.00067929i,-0.0019063+0.0015178i,-0.0024462+0.001647i,-0.0018126+0.00089716i,-0.00072909+0.00042286i,-0.00075626-0.00036219i,-0.0013091-0.00094232i,-0.001664-0.001314i,-0.0017576-0.00095564i,-0.0013689-0.00045641i,-0.00066877+8.4158e-05i,-0.00083491+0.0009892i,-0.00076328+0.00058391i,-6.5422e-05+0.00021547i,0.00052428+0.00021085i,0.0005646+0.00053532i,0.00018797+0.00068407i,4.0747e-05+0.00031342i,-0.00024041+0.0012132i,-0.00060183+0.0015671i,-0.00011747+0.00070956i,0.00040687+6.9334e-05i
0.0011051+0.00020795i,0.0014399+0.0010642i,0.0013238+0.00097806i,0.0010001+0.00050344i,0.0010885+0.00037594i,0.0010412+0.00081153i,-0.00042647+0.00088274i,-0.001463+0.00071674i,-0.0014185+0.00089091i,-0.0012553+0.0012742i,-0.0010109+0.0010749i,-0.0013976+0.0013759i,-0.0018634+0.001313i,-0.0011206+0.00045284i,-1.6484e-05+0.00042151i,0.00027086+0.0012037i,-0.00045908+0.00096485i,-0.00078323+4.201e-05i,0.00024162+0.00021044i,0.00031083+4.856e-05i,-0.00062751+1.1934e-05i,-0.00040108-0.00014095i,-0.00015307+2.6892e-05i
0.00048557+7.9379e-05i,0.00087405+0.00097725i,0.0010546+0.0012139i,0.00048258+0.0014527i,-0.00017062+0.0018217i,-0.00050819+0.0016922i,-0.00055021+0.0012294i,-0.00061756+0.0014934i,-0.0004416+0.0020384i,-5.2044e-05+0.0019137i,0.00023506+0.00087764i,-3.9071e-06-0.00020404i,0.00032238-0.00012313i,0.0012225+0.00026237i,0.00075147+0.00010802i,0.00062381-0.00052249i,0.0010543-0.00072856i,0.0010586-0.00048658i,0.0010411-0.00067329i,0.00042761-0.0007329i,-0.00081975-0.00027682i,-0.0013995+0.00072346i,-0.00052839+0.0011195i
