0.00070659-0.00042765i,-0.00050967-0.0012527i,-0.0015073-0.001206i,-0.0014167-0.00096007i,-0.0020309-0.00096712i,-0.0025499+0.00066015i,-0.0011045+0.002375i,-0.0001186+0.0022406i,0.00064247+0.00084125i,0.00077863-0.00061845i,0.00056082-0.00072559i,0.00050129-0.00022114i,0.0004252+0.00020649i,0.0009614+0.0010683i,0.0008369+0.0012976i,0.0004359+0.0011548i,0.00083408+0.00052492i,0.0016392-0.00048532i,0.0017042-0.00083798i,0.00094506-0.00029325i,0.00023119+0.00012034i,-0.0001907-0.00056725i,-0.00012683-0.0010503i
-0.0010032-0.0017617i,-0.0023536-0.0011342i,-0.0016525+0.00040758i,0.00042492+0.0014578i,0.00068939+0.00172i,0.00042283+0.0012303i,0.00070318+0.00046078i,0.0011305-0.0002826i,0.0010975-0.00096741i,0.00072793-0.00074165i,0.0001408+0.00046057i,0.00018037+0.0010161i,0.00075284+0.00076968i,0.0014006+0.00011599i,0.0020131-6.3706e-05i,0.00070058+7.8701e-05i,-0.00068408-0.00034341i,-0.00066179-0.00071033i,-0.0001012-0.00062313i,0.00073584-0.00086948i,0.00085798-0.00093966i,5.5769e-05+0.00011479i,-0.00055917+0.0011551i
-0.00052292-0.003118i,-0.00070161-0.0023898i,-0.0011408-0.00019023i,-0.00027023+0.00084199i,-0.00055123+0.00094625i,-0.0014846+0.0011085i,-0.0011426+0.0014666i,-0.00031668+0.0010474i,-0.00033079+0.00028911i,-0.0005169+0.0010106i,-0.00018149+0.001727i,-0.00022284+0.0011591i,-0.00044457+0.00096199i,0.00049519+0.0014037i,0.0011995+0.00076607i,0.00081816+2.8747e-05i,-7.1051e-05-0.00032096i,-0.00016055-0.00069757i,0.00020919-0.0016557i,0.00020847-0.001221i,0.00012204-0.00026148i,0.00079467-0.00084952i,0.0010144-0.0013567i
-0.00046134+7.0081e-05i,-0.0006426+0.00012591i,-0.00013659+0.0012068i,0.00057181+0.0017182i,-0.00017137+0.00076644i,-0.00056148-0.00032013i,-0.00071125-0.00055911i,-0.00066569-0.00097634i,-0.00051077-0.0014079i,-3.6873e-05-0.00047016i,9.8101e-05+0.00026868i,0.00038822+0.00035532i,-1.132e-06-0.00056586i,-0.00045479-0.001186i,3.4788e-05-0.00059015i,0.00013041+0.0001929i,0.00030902+0.00062909i,-0.0002454+0.00051363i,-0.00036753-0.00025957i,0.00012275-0.00090693i,-0.00045011-0.00070056i,-0.00043094-0.00037022i,-0.00044561-0.00041862i
-0.0012646-0.00031408i,-0.00061379+0.00078798i,-0.00057028+0.0020193i,-0.0006874+0.0014411i,0.00029645-8.3834e-05i,-0.00023372-0.00079268i,-0.00067873-0.00080914i,-9.3128e-05-0.00091445i,0.00039292-0.00068759i,0.0003732+2.1905e-05i,-6.0973e-05+0.00068913i,-0.00016998+0.0010078i,-0.00017246+0.00097831i,-0.0001615+0.00092625i,-0.00011571+0.0011096i,-0.00020856+0.00051816i,0.00017999+0.00030262i,0.00034347+0.00027183i,-0.00033669-0.00016022i,-0.00057021+8.3505e-06i,-0.00021892+0.00015882i,-0.00024964-5.9552e-05i,-0.00023168+1.7336e-05i
0.00016571-0.00050684i,0.00029838-0.0010407i,-0.00050535-0.00095343i,-0.001207+8.0589e-05i,-0.0022353+0.00064336i,-0.002268+0.00086226i,-0.0012871+0.00045182i,-0.00075057-0.0005552i,-0.0002868-0.00076551i,-9.579e-05-0.00026855i,-0.00065258+0.00026832i,-0.00051286+0.00047718i,0.00038497+0.00035904i,0.00040972+0.00046666i,0.00016251+0.00076773i,0.00078506+0.00072747i,0.00072037+0.00037981i,0.00051157+3.5804e-05i,0.00087206-0.0003005i,0.00066892-0.00032717i,0.00054222+0.00011933i,0.00010013-0.0002018i,-0.00021478-0.0003626i
-0.0010109-0.001529i,-0.0019823-0.00099919i,-0.0015225+0.00020466i,-0.0002557+0.00061352i,0.00012175-0.00014016i,-0.00025776-0.00050503i,-0.00077344+0.00028854i,-0.00067132-0.0003602i,-6.1025e-05-0.0008224i,-0.00010924-0.00065371i,0.00036305-0.00076382i,0.00071009-0.00047006i,-6.5284e-05-4.9067e-05i,0.00077807+0.00021831i,0.0016576+0.00014874i,0.0010228-0.00045181i,0.0005814+1.2349e-05i,0.00029201+0.00087546i,0.00010023+0.00083598i,-0.00021042+0.00020209i,-0.00010033-0.00041092i,0.00022355-0.00054636i,0.00032234-0.00010431i
-0.0008245-0.0017388i,-0.00093967-0.0010534i,-0.00057838-0.00044792i,-0.00011173-0.00019124i,-8.576e-05-0.00074519i,-0.0002575-0.00038843i,0.00025138-0.00014786i,0.00032618-0.0010687i,-0.0001933-0.0013125i,-0.00040222-0.00088747i,-0.0005118-1.9719e-05i,-0.00068995+0.00076114i,8.5252e-05+0.00069149i,0.00071787+0.00085276i,0.00072593+0.0014058i,0.00029369+0.00054376i,0.00029566+0.00022i,0.00022929+0.00071261i,0.00020261+0.00075947i,0.00023649+3.8113e-05i,0.00042089-0.00051591i,0.00016505-8.1229e-05i,-0.00052572+0.00083119i
-0.0011824+0.00030095i,-0.0016461+0.00044785i,-0.0013807+0.00066207i,-0.00055544+0.0008654i,-0.00045629+0.00060357i,-0.0012622-0.00042422i,-0.0011139-0.00056331i,-0.00063743-0.00042503i,-0.0010073-0.00069336i,-0.0010719-0.00012477i,-0.00036905+0.00087371i,-0.00016094+0.00041701i,5.2801e-05+7.1484e-07i,0.00045553-0.00014967i,0.0012802-0.00019997i,0.0010091+0.0011733i,-0.00032563+0.0014729i,-0.00017471+0.00049109i,0.00027025-0.00048184i,-0.00016729-0.0011687i,-0.00012171-0.00067662i,-7.0077e-05-0.00014199i,-0.0001388-0.00033482i
0.00035468-8.4456e-05i,-0.00018614-0.00012724i,-0.00016198+0.0013406i,0.00064792+0.0019769i,0.00037122+0.00079787i,0.00014538-4.3388e-05i,4.6177e-06-0.0003474i,-0.00069432-0.00048867i,-0.00073597-0.00016024i,-0.00049081-0.00041659i,-5.075e-05-0.00026294i,0.00019422-0.00010359i,-0.00021868-0.00015069i,-0.00044114-5.6739e-05i,-0.00028568+0.00024004i,1.0034e-05+0.00013941i,0.00031754-0.00054529i,5.765e-05-0.00060144i,5.6042e-05+5.2857e-05i,-0.00081566+0.00016583i,-0.0014155+0.00023206i,-0.0006402+0.00077567i,-0.00056038+0.00059681i
-0.0008813-0.00014411i,0.000616+0.0001052i,0.00098457+0.00096428i,0.00025357+0.00084176i,-0.00054599-0.00032245i,-0.00021784-0.00032038i,0.00054774+0.0010526i,0.00063946+0.00070069i,0.00048422-0.00011473i,0.00014258-0.00031768i,0.00024343-0.0008908i,0.00059245-0.000555i,0.00079774+0.00072046i,0.00039766+0.0011368i,0.00049008+0.00062541i,0.00079039+0.00026544i,-3.2699e-05+0.00018615i,-0.00057312+0.00021373i,0.00018052+0.00052505i,0.00098982+0.00044989i,0.00062675-0.00020371i,0.000499-0.00019079i,0.00064696-0.00035911i
