-0.0020566-0.00066537i,-0.0029886+0.00016254i,-0.0032476+0.0016668i,-0.0023473+0.0010613i,-0.0013851+0.00033664i,0.00027514+0.00051834i,0.00087417+0.0013762i,0.0012449+0.0013965i,0.0019774+0.00075077i,0.0018917+0.00063636i,0.00082475-0.00016502i,-0.00051474-0.0012015i,-7.5889e-05-0.0014811i,0.0010527-0.001352i,0.00022643-0.0011036i,-0.00089908-0.00085856i,-0.00036571-0.00057199i,-1.7606e-05-0.00032019i,5.5265e-05-0.00038266i,6.6248e-05-0.00018721i,0.00019094+0.00051577i,8.6527e-05+0.0014832i,-0.00050521+0.0012253i
0.00043441-0.00013444i,0.00049722+0.00043627i,0.0004431+0.00077161i,0.00076295+0.00055583i,0.00090254-0.00076215i,0.00011274-0.00091806i,0.00021601-0.00039199i,0.00061936-0.00016251i,0.0011534+0.00041412i,0.0015584+0.00021678i,0.00093434-0.00081115i,0.00077325-0.0015456i,0.00047909-0.0010866i,-0.00032027-0.00015272i,-0.00048022-8.7719e-05i,-0.00028648+1.532e-05i,-0.0003713+0.00033396i,-0.00046826+0.00065959i,-0.00043559+0.00022909i,-0.00039124-0.00015263i,-0.00083853-0.00061645i,-0.00032177-0.00064283i,0.00063492-0.00029617i
-0.00051689-0.0011384i,-0.0011778-0.00022637i,-0.0014174+0.00089675i,-0.00020184+0.0011225i,0.00064832+0.00063593i,0.00076974+0.0001673i,0.00059636+0.0004162i,-0.00038524+0.00038968i,-0.00092297+7.6177e-05i,-0.00063867+0.00026468i,0.00062297+0.00036503i,0.0013077+0.0004136i,0.00097214-5.0103e-06i,0.00070629+6.7748e-05i,3.9375e-05+0.00047019i,-0.00052124+0.00037367i,-0.000315+0.0003177i,6.7196e-06+8.4842e-05i,0.00011207-0.00041032i,0.00011517-0.00061193i,0.00030631-0.00073218i,0.00058143-0.0012598i,0.00059763-0.001032i
-0.0013621-0.0026136i,-0.0021762-0.0021774i,-0.0023772-0.0013405i,-0.0023019-0.00028234i,-0.001807-0.00020699i,-0.00059813-0.00016977i,-0.00038432-0.00013205i,-0.00068173-0.0001143i,2.336e-05+0.00012028i,0.00086488-0.00023391i,0.00074177-0.00011009i,-0.00030614+0.00033543i,-0.00062313+0.00017004i,-0.00057085-0.00049333i,8.0592e-05-0.00070378i,0.00094092+5.2899e-06i,0.00047104+0.00035322i,0.00030283+8.0664e-05i,0.00058674-0.00037584i,0.00064677-0.00077991i,0.00046896-0.00029467i,-0.00014374+0.00040222i,-0.00026579+2.3149e-05i
-0.00027383-0.0019311i,0.00058787-0.00099526i,0.0012375+0.00026658i,0.0010754-0.00010079i,0.00025434+0.00015085i,-0.0001076+0.00043948i,0.00044183-0.00054743i,0.00068161-0.0010412i,0.00082885+0.00026723i,0.00065728+0.0011691i,0.00034841+0.00034592i,0.0004597-3.8785e-05i,-0.00030092+0.00018945i,-4.0565e-05-0.00025327i,0.000626-0.00055871i,0.00036252-0.00017621i,0.00012823+3.1187e-06i,0.00016496-0.00053787i,4.6089e-05-0.0004492i,0.00043423-5.619e-05i,0.00083944+0.00025109i,0.00083345+0.00051381i,0.00089649+0.0009781i
0.001239-0.00095922i,0.00075285+0.00035374i,0.0002688+0.0012587i,-0.00013207+0.00082095i,-0.00069602+3.025e-06i,-0.00078816+0.00012473i,-8.2699e-05+0.00046234i,0.00066613+0.00081339i,0.00058817+0.0007273i,0.0003679+0.00069247i,-0.00041476+0.00090306i,-0.001003+0.00054911i,-0.00065349+0.00026214i,-0.00018559+0.00038947i,-0.00015815+0.00086932i,-0.00010465+0.0006492i,-0.00017645+5.5425e-05i,-0.00016332-0.00020286i,0.00022637+6.2384e-05i,0.00040264+0.00019187i,0.00016744+0.00045584i,-0.00034297+0.00062441i,-0.00059968+0.00028824i
-0.00088723-0.0014393i,-0.0021515-0.00047896i,-0.0035192-0.00026647i,-0.0033392+0.00042493i,-0.0019735+0.0012298i,-0.00039544+0.00079036i,0.00057554+0.00033673i,0.00082613+0.00080747i,0.00068181+0.0012445i,-9.639e-06+0.00078968i,-0.00078216-0.00018503i,-0.00065942+0.00015372i,-0.00089474-1.7882e-05i,-0.00040454-0.00081859i,0.00083074-0.00029223i,0.00050413+4.9358e-05i,1.4464e-05-0.00019368i,0.00017088-0.00011478i,0.00031594+8.2212e-06i,0.00040756-9.2029e-05i,0.00021581-6.0936e-05i,-0.00041321-0.00045968i,-0.0012529-0.0015186i
-0.0012642-0.001549i,-0.0014118-0.0013328i,-0.0015062-0.00034643i,-0.0012199+0.00013464i,-0.0003341+0.00025317i,0.00090197+8.1812e-05i,0.0014946-0.00037758i,0.0012219-0.00050504i,0.00024136+8.3656e-05i,-0.00041627-0.00018097i,-0.00035995-0.00039015i,-0.0006285-0.00010865i,-0.00073295-2.6628e-05i,0.00021063-0.00019125i,0.00089603-0.00014709i,0.0012421+0.0002207i,0.0012028-0.00048719i,9.6851e-05-0.001042i,-0.0005208-0.00086825i,-0.00092143-0.00061094i,-0.0010096+0.0001291i,-0.00034458+0.00069475i,0.00028898+0.00057319i
-0.00057678-0.0023041i,-0.0013454-0.0015947i,-0.0022473-0.00033816i,-0.0012646+0.00048419i,0.00080671+0.00056164i,0.0017879+0.00095124i,0.001279+0.001199i,0.0001728+0.0006949i,4.615e-05+0.0003627i,0.00020165+0.0004699i,0.0001416+0.00043545i,0.00020957+0.00094554i,3.0662e-06+0.0010154i,-0.00018083+0.00028585i,0.00043516-0.00040981i,0.0004981-0.0010306i,0.00040353-0.00067736i,0.00035995+0.00035358i,0.00023079+0.00039005i,0.00054958+0.00010857i,0.0009659-0.0003552i,0.00062462-0.00076288i,-0.00042221-0.00051498i
0.00038768-0.00020983i,-0.00046957+0.00022109i,-0.00098677+0.00067041i,-0.0010897+0.00036784i,-0.00039338-0.0011719i,-0.0001118-0.0015733i,0.00012418-0.00084484i,-0.00037155-0.00032652i,-0.001335+0.00053147i,-0.00047788+0.00060167i,0.00040045+1.4695e-05i,-6.2001e-05-0.000485i,-0.00070624-0.0011575i,-0.0015143-0.0010461i,-0.00097779-0.00099321i,-0.00033501-0.00099501i,-0.0004012-0.00028006i,0.0001858+0.00058103i,0.00033578+0.00063022i,3.8861e-05-0.00055331i,-0.00011101-0.0012404i,-0.00085972-0.00091013i,-0.00060026-0.0006849i
-0.0017447-0.0022232i,-0.0021714-0.00010933i,-0.0020865+0.0019141i,-0.0010585+0.002229i,0.00050038+0.0014936i,0.0017853+0.00023588i,0.0016129-0.0007138i,0.00057827-0.00088496i,-0.00054607+0.00027241i,-0.00036517+0.00022519i,9.878e-05-0.00059794i,0.00050096-0.00044338i,0.0012651-0.00087265i,0.0014174-0.00074922i,0.001337+0.00045222i,0.00064513+0.00050915i,-0.00018889-5.1519e-05i,-0.00013642-0.00033674i,-0.00043884-0.00091417i,-0.00079922-0.00059132i,-0.00091663-0.00012637i,-0.00062034+0.00012328i,-0.0006158+0.00072829i
-4.4258e-05-0.0020517i,-0.00065136-0.0020931i,-0.0011639-0.00052857i,-0.0013195-0.00015233i,-0.00072003-0.00089374i,-0.00047801-0.0012506i,-0.00013344-0.00085051i,0.00084122+0.00065559i,0.00041778+0.002095i,-0.00038481+0.001445i,-0.00066288-0.00039235i,-0.00096017-0.0014878i,-0.00052451-0.001139i,0.00012962-0.00047289i,-0.00020127-0.00022487i,-0.00035919+0.00026717i,0.00035928+0.001369i,0.00077917+0.0011423i,0.0012067+0.00068387i,0.001303+0.00079357i,0.00050603+0.00061619i,0.00060453+0.00028321i,0.00052714+0.0001048i
0.00030548-0.00050856i,-0.0012675-0.00071804i,-0.0013983+0.00063582i,-0.00086874+0.0013395i,0.00022904+0.0015977i,0.001163+0.00099888i,0.0011551-0.00034115i,0.00048733-0.00012487i,-1.6254e-05+0.0011104i,-6.3744e-05+0.0012371i,-0.00046859+0.00064947i,0.00010006+0.00017615i,0.00018733-0.00035146i,0.00012751-0.00020973i,0.00078674+0.00019309i,0.00025889+0.00055763i,-0.00019055+0.00026061i,8.1907e-05-0.00069759i,0.00021628-0.00076087i,-0.00048104-0.00064349i,-0.00036326-0.00046677i,4.1621e-06+0.00012045i,0.00040696+0.00039475i
-0.00073005-0.0023937i,-0.0013297-0.0021244i,-0.0023998-0.0012325i,-0.0027015-0.00028162i,-0.0023264+0.00034315i,-0.00089305+7.4308e-05i,2.336e-05-0.00092823i,0.00013408-0.00083432i,1.2081e-05+0.00032311i,-0.00017192+0.00046216i,0.00016134-0.00020949i,0.0012004-0.00038403i,0.0015208-0.0001321i,0.0010954+0.00014226i,0.0011069+0.00047834i,0.001357+0.0003645i,0.0008068+0.00019909i,0.00026941+0.00065767i,0.00046108+0.00054793i,0.0011248-9.4109e-05i,0.0012145+4.1961e-05i,0.00019208+0.00037982i,-2.1205e-05+0.00045053i
-0.0019382-0.002149i,-0.0015414-0.00060273i,-0.00089603+0.00085419i,-7.8379e-05+0.001144i,0.0010617+0.00050714i,0.0021805+0.00047195i,0.0026668+0.00075664i,0.0014264+0.00077002i,0.00019466+0.00072357i,0.00012821-0.00014506i,0.00018167-0.00064816i,9.2005e-05+6.0772e-05i,0.000419+0.00028502i,0.00086163-0.00070415i,0.00061794-0.0005449i,0.00072157+0.00077884i,0.00032084+0.0013885i,-0.00015461+0.00040782i,0.00013634-0.00029406i,-0.00064132-0.00070465i,-0.0010033-0.00093504i,-0.00035549+0.0002158i,-0.00050754+0.0009271i
0.0018178-0.001094i,0.0013427-0.00045159i,-0.00033076+0.00021277i,-0.0011869+0.00042632i,-0.001057+0.00038232i,-9.569e-05+0.00022131i,0.0014864+0.00012768i,0.0012419+0.00080462i,0.00018927+0.00098226i,-3.1658e-06-1.3541e-05i,0.0003149-0.0012857i,0.0002892-0.00091025i,-0.00033083-0.00019689i,-0.00078417-0.00010057i,-0.00052545+0.00045154i,-0.0001408+0.00066086i,0.00045547+0.00064823i,0.00030838-7.0597e-06i,4.4687e-05-0.00012893i,0.00053993-3.0041e-05i,0.00095438-0.00027949i,0.00057374-8.9134e-05i,0.00073188+0.00036744i
-0.0014777-0.0031968i,-0.0020573-0.0028735i,-0.0031393-0.0020436i,-0.0027227+5.5822e-05i,-0.0010329+0.0016005i,0.00037614+0.0011348i,0.0010993-3.6322e-05i,0.00035619-0.0011071i,-0.00037009-0.00053876i,-5.4761e-05+0.00090375i,0.00040481+0.00017234i,0.00077763-0.00033906i,0.0010034+0.00017018i,0.00073869+0.00058339i,0.00062837+0.00086773i,0.00049601+0.00068959i,0.0002837+0.00048036i,0.00020453+0.0005984i,0.00022592+0.00023568i,-5.5943e-05-0.00064194i,-0.00013903-0.0012408i,3.6594e-05-0.0003647i,0.00024615+0.00041035i
6.2471e-05+8.5727e-05i,0.00089405+0.00037889i,0.00090075+0.0012995i,0.0002013+0.0012976i,-0.00047239+0.00011099i,-0.00031738-0.00033005i,0.00071584-0.00039561i,0.00085896-0.0003736i,-0.00020813+0.00015126i,-0.00065767+0.00090659i,-0.00077372+0.00082279i,-0.00083593-0.00011433i,-0.00059403-0.00087012i,-0.00010195-0.00035217i,-0.00017055+0.00024068i,-0.00079983+0.00013549i,-0.00042648-2.1817e-05i,0.00056933+0.00061556i,0.00068077+0.00045366i,0.00045175-0.00030102i,0.00020996+0.0001138i,-0.00023656+0.00072703i,-0.00057049+0.00038332i
0.0011526-0.00064786i,0.00037542+0.0004004i,0.00020692+0.0014814i,0.00016076+0.0011792i,0.00025875+0.00060061i,0.00053688+3.7317e-05i,0.00052073-0.0007252i,0.00066697-0.00024223i,0.00052477+0.00065253i,0.00014502+0.00050215i,-0.00015233+0.00027067i,-0.0010015+0.00020141i,-0.0015099+0.00035084i,-0.00043195+0.00070354i,0.00014356-1.5613e-06i,-1.893e-05-0.00066756i,0.00041146-0.00034605i,7.5378e-06-0.00024638i,-0.0010516-0.00063024i,-0.0010961-0.00074316i,-0.0010149+0.00010652i,-0.00085862+0.00063917i,-0.00039278+0.00042343i
0.00016685-0.00038046i,-9.6379e-05+0.00025342i,-0.00076211+0.00094501i,-0.001121+0.0003486i,-0.00039661-0.00022524i,0.00013249+0.00019437i,-0.00038069+0.00031773i,-0.00042656+0.00043698i,0.00021837+0.00065288i,-0.00023363+0.00080784i,-0.00042781+0.0003793i,0.00019894-0.0002232i,6.8364e-06+0.00042485i,-0.00022759+0.00065865i,-3.4949e-05+0.00078561i,0.00036191+0.00081845i,0.00048099+0.00044058i,0.00044022+0.0001297i,0.0004205-0.00010892i,-0.0005004-0.00050801i,-0.00054561-0.00095839i,6.5836e-05-2.5878e-05i,0.00019869+0.00044414i
-0.00090155-0.0010377i,-0.0024561-0.0012966i,-0.0018248-0.00086602i,-0.0012775-0.00081003i,-0.00084763-0.00095856i,-0.00032187-0.00089522i,-0.00040645-0.00089234i,-0.00050229-0.00054369i,-0.00051032+8.5899e-05i,-0.0006276+0.00044451i,-0.00016077-8.3361e-05i,0.00038765-0.00090031i,0.00050611-0.0011714i,0.00065725-0.00064645i,0.00096578-0.000444i,0.00088651-0.00080241i,0.00014699-0.00074726i,-0.00031314-7.0615e-06i,-0.00079021+0.00037103i,-0.00086777+0.00012108i,0.00035035-0.00035174i,0.0010537-0.00042856i,0.00019844-0.00025009i
0.0020261-0.0041267i,0.0009455-0.00394i,-0.0010865-0.0029515i,-0.00077135-0.0010195i,-0.00024977+0.001111i,0.00017586+0.0014896i,0.00074429-5.6326e-05i,0.00071787-0.00027784i,0.00052664-2.1209e-05i,0.00046274-0.00032755i,0.0011191-0.00045486i,0.00056525-3.5062e-05i,-0.00050508+0.00040518i,6.8605e-05+0.00074969i,0.00078001+0.00067787i,0.00073846+0.00044789i,0.00066984+0.00031803i,0.00097917+0.0004858i,0.00054089+0.00012765i,0.00016764-0.00099503i,0.00041838-0.00058732i,-7.6072e-05+0.00042455i,-0.0008711+0.00054114i
0.00037562+0.0010333i,0.00049873+0.0021743i,-7.285e-06+0.0030754i,-0.00046378+0.0023095i,-0.00013046+0.00056246i,-0.0002114-0.00014109i,-0.00021927-0.00050686i,-0.00047339-0.00011876i,-0.00033206+0.00052572i,0.00072505-0.00020466i,0.00033872-0.00076087i,-0.00045664-0.00042766i,-0.00018681-0.0010287i,0.00030779-0.0016213i,0.00012568-0.0010552i,0.00081233-0.00017935i,0.00084817+0.00082054i,0.00046657+0.00082458i,-5.7506e-05+0.00030478i,-0.0011649-4.8526e-05i,-0.00071075+0.0001111i,0.00073833+0.00097452i,0.00058505+0.00074076i
-0.000566-0.00048785i,-1.7361e-05-0.00094823i,0.0001446-0.00072686i,0.00023479-0.00069568i,4.9619e-05+9.7087e-05i,0.00063272+0.00030768i,0.00099477+2.4933e-05i,0.0010841-0.00031952i,0.00069689-0.00018096i,-1.6715e-05+0.00038864i,-9.4998e-05+0.00046122i,-0.00040065+0.00028127i,-0.00059312-0.00057686i,0.00036298-0.001553i,0.00098086-0.00080102i,0.00032258+0.00014175i,6.515e-05-0.00030183i,0.00045221-0.0010331i,0.00058748-0.00087281i,2.9188e-05-0.0012546i,-0.00029815-0.0010529i,-0.00075906-0.00033947i,-0.00033589+0.00047321i
0.0003785-0.0010703i,0.00039859-0.0010466i,0.00033409-4.176e-05i,0.00021098+0.00036616i,8.737e-05+0.00024727i,0.00099962+0.00034449i,0.0012185+0.0010447i,0.00057313+0.0010516i,-2.2839e-05+0.00058667i,-0.00071376+0.00047923i,-0.00065052+0.00060113i,-0.00096084+0.00060178i,-0.0014117+0.00018876i,-0.0012716-1.9245e-05i,-0.00083172+0.00035546i,-0.0004955-6.2974e-05i,-0.00010922-0.00079718i,0.00018196-0.00076277i,-9.9537e-05-0.00034419i,0.00020716-0.00011507i,0.00028831-0.00029378i,0.00024795-0.0003006i,-0.00027269-0.00037138i
-0.0003414+0.0004253i,-0.00077904+0.0012337i,-0.0011384+0.0018487i,-0.0012396+0.00083983i,-0.00074801-0.00068712i,-0.00057896-0.00089899i,-0.00078635-0.00031351i,-0.00077036+0.0005135i,-2.5395e-05+0.0010901i,0.00058739+0.0010224i,0.00047347+0.00021279i,-0.00035274-0.00039078i,-0.0012543-1.1243e-05i,-0.0014878+5.3761e-05i,-0.0013358-0.00041932i,-0.00099752-0.00021084i,-0.00045188+0.0003555i,-0.00012217+0.00016048i,-5.928e-06+3.5567e-05i,0.00011817+0.0002355i,0.00061135-4.9846e-06i,0.0012-0.00016952i,0.00062995+0.00077143i
0.00029382-0.00040356i,-0.00026753+0.00087353i,-0.0018419+0.00060616i,-0.001064-0.00023591i,-4.4562e-05+0.00025112i,8.8177e-06+0.00064699i,0.00064+0.00042918i,0.00028818+0.00043029i,-0.00059347+0.0010929i,-0.00071521+0.00097557i,-0.00022166+0.00058652i,0.00019391+0.00016336i,0.0003122-5.6436e-05i,0.00018105-0.0004291i,5.2086e-06-0.0011424i,0.00039809-0.0003977i,0.00069721+0.00020987i,0.00083184-0.00046968i,0.00074696-7.286e-05i,0.00023725+0.00044753i,-0.00035044+0.00031459i,-0.00032459+0.00019115i,0.00046826+1.9441e-05i
-0.00053509-0.0021605i,-0.00083431-0.0025004i,-0.00042983-0.0016911i,-0.00044207-0.00059348i,-0.0012946+2.2739e-05i,-0.0016298+0.00016364i,-0.00018102-0.00018334i,0.00033078-0.00051264i,-0.00034443-0.00029906i,-0.00089663+0.00017389i,-0.00077671+6.7883e-06i,0.00027968+0.00015845i,0.00031741-0.00065422i,0.00044281-0.00098239i,0.0011004+0.00024621i,0.00086067+0.00062637i,-0.00024981-0.00021724i,-0.00084356-0.0011025i,-0.0004065-0.00076832i,-0.00053015-0.00019513i,-0.00041837+8.5166e-05i,-0.00013751+5.5267e-05i,-0.00037448-0.00047081i
0.00066584-0.00038682i,0.00066922-0.00041868i,-0.00013221+0.00070069i,-0.00095633+0.0015491i,-0.00081665+0.00070935i,-0.00083021-4.9823e-06i,-0.00096245-0.00013618i,-0.00066795-7.1777e-05i,-0.0001251-0.00018867i,0.00064838-0.00044213i,0.00093027+0.00023148i,0.00013408+0.00088851i,-0.0010726+0.00087423i,-0.0013556+0.00050265i,-0.0008125+6.2309e-05i,-0.00061768-3.2064e-05i,-0.00028458-0.0002388i,0.00050458+0.00034152i,0.0009633+0.0012138i,0.00074218+0.0011202i,-0.00024831+0.00088251i,-0.00037536-5.223e-05i,-2.5903e-05-0.00048621i
-0.00075639-0.0020664i,-0.0017539-0.0027064i,-0.0013528-0.0016045i,-0.00060908+0.0001716i,0.00022418+0.00054648i,0.00068576+0.00035205i,0.0011408-0.00049857i,0.0011721-0.00095208i,0.00097423+0.00016926i,0.0013477+0.00087942i,0.00098162+0.00010041i,6.978e-05+9.8323e-05i,-0.00049476+0.00078262i,-0.00084427+0.0005221i,-0.00068186+1.4571e-06i,-1.2169e-05-0.00019309i,-1.2524e-05-0.00060874i,-0.00045958-0.00095762i,-0.00018156-0.00090733i,-0.00013665-8.1655e-05i,-0.00049354+0.00011305i,-0.00047096+0.0001775i,-0.00032399+0.00096811i
8.2157e-05-0.0011496i,-0.00014974-0.00068965i,0.00035313-4.8912e-05i,0.00078457-0.0012833i,0.00050706-0.001974i,5.6405e-06-0.001096i,0.00018914+6.3345e-05i,-7.2845e-05+0.00059037i,2.081e-05+1.7502e-05i,0.00053154-0.00066792i,0.00050145-0.00056486i,3.1091e-05-0.00031512i,-5.5021e-05-0.00026252i,0.00035986-4.2275e-05i,-9.7251e-05-0.00010503i,-0.00095876+0.00022584i,-0.00047894+0.0002783i,-0.00028536-0.00066901i,-0.00040433-0.00083753i,0.00010345-1.4408e-05i,5.1235e-05+0.00052354i,3.338e-05+3.9059e-05i,-0.00032371-0.00069843i
