-0.00059003+0.00080088i,-0.00025462-0.0012283i,-0.0023751-0.0015186i,-0.0022845-0.00020713i,-0.0013874+0.0015709i,-0.001324+0.0023012i,-0.00021137+0.0021585i,0.0010239+0.0015797i,0.0014616+0.00030721i,0.0010922-0.00098747i,0.00035511-0.0017968i,-0.00022829-0.0017869i,-0.00080533-0.00090853i,-0.00043489-0.00083186i,0.00018877-0.0010462i,-0.00032335-0.00029385i,-0.00058119-0.00024765i,-0.000483-0.00093917i,-0.00058554-0.00047275i,-0.00066696-0.0001076i,-0.00060283-0.00048401i,-0.00049022-0.00049732i,-3.1542e-05-4.6993e-05i
-0.00062071-0.00097164i,-0.00101-0.00097619i,-0.0015204-0.00063134i,-0.0010589-0.00031002i,-0.0006918+7.8001e-05i,-3.1312e-05+0.00048874i,-0.00049638+8.3653e-05i,-0.00036468-0.00071967i,0.00064352-0.00045317i,0.00033459-9.1585e-05i,-0.00022873+0.00031116i,-0.00032734+0.00056247i,7.7526e-05-4.543e-06i,0.00066635-0.00027551i,0.00017146-0.00085485i,-0.00028641-0.001191i,-0.0001468-0.00024603i,-0.00028454+0.0001762i,-0.00026825-0.00071485i,-0.00013889-0.00055095i,-0.00049351+6.1739e-05i,-0.00033964-0.00017639i,0.0002126-8.9961e-05i
-0.00037252+0.0011103i,-0.0013018+0.0012485i,-0.0015102+0.0019794i,-0.00071352+0.0026724i,0.00058588+0.0019925i,0.0016174+0.00093923i,0.00072307+0.00044405i,-5.0618e-07+0.00029055i,4.6873e-05+0.00018695i,0.00092283-0.00019872i,0.00074143+0.0002016i,-0.00015329+0.00048599i,-0.00042971-0.00014172i,-0.00075985-0.00028352i,-0.00057127+0.00011907i,-0.00031945+0.00043048i,-0.00063135+2.7544e-05i,-0.00047173+0.00020644i,-0.00050242+0.00030374i,5.9949e-05-0.00068986i,-9.2995e-05-0.0004293i,-0.00040031-0.00013534i,-9.3973e-05-0.00029416i
-0.0007792+0.0012752i,-0.0016243+0.0012664i,-0.0013075+0.0003089i,-0.00029995-0.00023432i,-0.00063572+9.6035e-05i,-0.0011309+0.000527i,-0.00055035+0.00061194i,8.107e-05+0.00025404i,0.00025108+1.6954e-05i,-0.00056064-0.00058981i,-0.00070181-0.00042214i,-0.00087545+9.456e-05i,-0.00053808-0.00054511i,0.00011564-0.00043701i,-0.00020534-6.2068e-05i,-2.5997e-05-0.00042821i,0.0004499-0.0010384i,0.00042874-0.00060008i,1.7691e-05+0.00051756i,0.00012237+0.0010116i,0.00049605+0.00026265i,2.7338e-05-0.000278i,-0.00040105+3.7629e-05i
-0.0010022-0.00070488i,-0.00096808-0.00048244i,-0.0001684+1.5226e-05i,0.00067993+0.00053938i,0.00081373+0.0012227i,0.00029738+0.00089062i,-0.0001185-0.00029058i,-0.00030141-0.00088107i,-0.00090952-0.00030819i,-0.0011688+0.00035415i,-0.00079203+0.00058386i,4.1988e-05+0.00013831i,0.00056543-0.0002076i,0.00039435-0.00018376i,0.00058403-0.00051361i,0.00022919-0.00019615i,-0.00040392-5.822e-06i,-0.00039112+0.00026027i,-2.4626e-06+0.00072244i,-0.000281+0.00088352i,-0.0012133+0.00028461i,-0.00086866-0.00040684i,-0.00019216+0.00017545i
-0.0012235-0.00027911i,-0.0017591+0.00034379i,-0.0021282+0.00094175i,-0.0013867+0.0021976i,-0.00061653+0.0030697i,8.2526e-05+0.0027608i,0.00019883+0.0017909i,0.00026485+0.00061133i,0.00048325-0.00013298i,-0.00015478-0.00018827i,-0.00057571+0.00015495i,0.00018845+0.00080757i,0.00090634+0.0010124i,0.0010904+0.00069583i,0.00036573+0.00064547i,-0.00014183+0.00052041i,-0.0001039+0.00039766i,-0.00042266-0.00010365i,-0.00075847-0.00076361i,-0.00036945-0.00072183i,0.00027403-0.00042011i,9.239e-05+0.00014912i,-0.00030266+0.00053658i
-0.00029961+0.00013677i,-0.00042644-0.00052414i,-0.00092859-0.0016209i,-0.00036428-0.0019708i,0.0011352-0.0011514i,0.0010584-0.00015771i,0.00047213+0.00048157i,0.00050511+0.00084945i,0.00047513+0.00035064i,-0.00012692-7.1319e-05i,-0.00094113-8.6877e-05i,-0.0013537+0.00043648i,-0.0015912+0.0012435i,-0.00094567+0.00046911i,-0.00016313-0.00022119i,0.00035657+0.00060784i,0.00043612+0.00077645i,8.6851e-05+0.00037195i,0.0003627+0.00031508i,0.00025322-0.00021515i,0.0001226-0.00026475i,0.00018188-9.1159e-05i,0.0005106+0.0001883i
-0.0011795-0.00039369i,-0.0011328+0.00061201i,-0.00020959+0.0014155i,0.00096642+0.001939i,0.0010083+0.0021565i,0.0008171+0.0014024i,0.0004568-8.1841e-06i,1.1466e-05-0.00047752i,-0.00030424-5.7594e-05i,6.0864e-06-0.00027792i,-0.00018292-0.00038662i,-0.00052999-7.1283e-05i,-0.00051587-0.00076655i,0.00037867-0.0015383i,0.0010008-0.0013249i,-0.00014436-0.0010493i,-0.0014997-0.00065067i,-0.0010154-0.00031036i,-0.00053803-9.9481e-05i,-0.00016099+0.00020958i,0.00012255+0.00039337i,0.00029531+9.191e-07i,0.00037899-1.3961e-05i
0.00064214+0.00086709i,0.00099701+0.00055005i,0.00045868-0.00032008i,-0.00067851-0.0010689i,-0.0013508-0.00067678i,-0.0010092+0.00012343i,-0.00020619+0.00077711i,-0.00033345+0.00080305i,-0.00039991+5.3006e-05i,4.8402e-05-0.00048935i,0.000312-9.6772e-06i,5.0933e-05+0.00012425i,-0.00090537-0.0003491i,-0.0011539-0.00056573i,-2.1472e-06-0.00050656i,0.00017974-6.6861e-07i,-0.00037257+2.0197e-05i,-0.00069275-0.00038826i,-0.00011687-0.00014763i,4.6485e-05+0.00018351i,0.00016597-0.0002261i,0.0010902-0.00034953i,0.0008924+0.00025067i
0.00039261-0.000604i,0.00094323-0.0016346i,0.0016552-0.0017939i,0.0012933-0.00085892i,0.0010157+2.4324e-05i,0.00063785+0.00047872i,-0.00015731+0.00017639i,-0.00050189+4.7637e-05i,-0.00066115+0.00063378i,-0.00089283+0.00044819i,-6.2447e-05-0.00018504i,0.00014569+0.00048079i,-0.00059111+0.00090122i,4.3359e-05+0.00051071i,0.00023326-0.00056638i,-0.00029844-0.0010808i,-0.00023858-0.00061042i,-0.0002703+0.00047432i,-0.00062172+0.00046977i,-0.00033837-0.00051288i,0.00020203-0.00091433i,-0.00019737-0.00019765i,-0.00019571+0.00028838i
-0.00037393-0.00072299i,0.00021555+1.6648e-05i,0.00016506+0.0010852i,0.00059529+0.0024388i,0.00072229+0.0024796i,-0.00037719+0.0015786i,-0.00080148+0.0010208i,-0.00064094+0.00042621i,-0.00087947-0.00056533i,-0.00056001-0.0012589i,-0.00039269-0.00071986i,-0.00083311-0.00073377i,-2.5961e-05-0.00083572i,0.00059718-0.00059806i,-0.00010758-0.00064818i,-0.00064294-4.3991e-05i,-0.0007822+0.00086474i,-0.0004644+0.00067487i,-0.00071515+0.00021111i,-0.00093928+0.00041607i,0.00021092+0.00024872i,0.0010206+0.00033016i,0.00014335+0.00083022i
