0.002032+0.00033522i,0.0016984+6.929e-05i,-0.0010267-0.0010784i,-0.002755-0.00090129i,-0.0032768+0.0004866i,-0.0036018+0.0019681i,-0.0020531+0.0026429i,0.00012861+0.0020278i,0.0012397+0.0004209i,0.00090356-0.00085786i,-0.00044815-0.0013242i,-0.00084525-0.0015784i,-0.00013158-0.00094401i,-0.00041113+0.00045222i,-0.00069782+0.0011238i,-0.00051739+0.00065826i,-0.00069311+0.00026128i,-0.00043332+6.5623e-05i,0.00041499+0.00059934i,0.00049161+0.00048153i,0.0007394-4.0982e-05i,0.00094291+3.8643e-05i,0.00019832-0.00026461i
0.00054032-0.0031719i,-0.00020044-0.0018919i,-0.0012582-0.0004281i,-0.0015355-0.00067628i,-0.0016395-0.00036134i,-0.0013774+0.0014004i,-0.0012287+0.0024614i,-0.00084028+0.0019502i,-0.00010369+0.00059007i,3.9097e-05+2.6944e-05i,-0.00071559-0.0003303i,-0.00030297-0.00060774i,0.00063565-0.00017348i,0.00020592+8.6366e-05i,-0.0002023-0.00043541i,7.4503e-06-0.00015698i,-0.0003035+0.00078636i,-9.3917e-05+0.00064951i,0.00028567+0.00030353i,9.1931e-05+0.00041719i,0.00011187-7.9068e-05i,-2.8073e-05-0.0002064i,0.00014798-0.00082674i
0.0016303-0.00082567i,0.00024302-0.00098279i,-0.0011156+0.00030617i,-0.0015188+0.00060434i,-0.0017959+0.00019296i,-0.0019866+0.00079085i,-0.0016031+0.001724i,-0.00066844+0.0014124i,-0.00037557+0.00012888i,-0.00025881-4.4544e-05i,0.00036872+0.00066768i,0.00011659-0.00045841i,5.0622e-05-0.00092272i,0.0003855+0.00033112i,-4.9781e-05+0.0008761i,-0.00013379+0.00084i,0.00069472+0.00099349i,0.00028928+0.00056128i,-0.00015573-6.9666e-05i,-0.00010667+7.897e-06i,-0.00047614+5.4362e-05i,-0.00025312-0.00058096i,-0.00074258-5.6882e-05i
0.00099808+0.00095647i,0.0011312+0.00018216i,0.00096903-0.00011395i,0.00019715+0.00061294i,-0.00042+0.00094957i,-0.000948+0.00063405i,-0.001594+0.0010351i,-0.00082727+0.0012276i,-0.00024826+0.00016498i,-0.00040497-0.00028953i,0.0003028+0.00039359i,0.00039535-9.7487e-05i,-0.00088036-0.00031184i,-0.0019733-1.6707e-05i,-0.0021576+1.0866e-05i,-0.0012476-0.00035005i,7.634e-05-0.00076705i,0.00022932-0.00028009i,-0.00035449-1.6642e-05i,-0.00028852-7.3444e-05i,-3.8265e-05-0.00011248i,0.00045026+0.00023798i,0.00076896+0.00030385i
0.00035214-4.8019e-05i,-0.00034234+0.00016041i,-0.0017141+0.00028417i,-0.0013301+0.00044758i,-0.00084665-0.00021611i,-0.0010162-0.00020729i,-0.00090636+0.00097627i,-0.00080499+0.00099743i,1.2027e-05+0.00075776i,-0.00025048+0.0004095i,-0.00055748+0.00022264i,0.0001748-7.3081e-05i,0.00018605-0.00052992i,-0.00082496-0.00060715i,-0.0010434+4.3767e-05i,-0.00028409+0.00017137i,-0.00017548-0.00024825i,0.00011854-0.00012955i,0.0004052+0.00040785i,-0.00063153+0.00062565i,-0.00096731-5.2513e-05i,0.00019552-0.0004662i,0.00072744-0.00040992i
-0.0008665+0.0011948i,-0.00031666+0.00030893i,0.0003883+0.0011489i,0.0011867+0.00081768i,0.0015007-0.00063082i,0.00036741-0.00074709i,-0.0010712+0.00094561i,-0.00152+0.001685i,-0.00096032+0.001332i,0.0002615+0.00094254i,0.00086916-0.00053712i,0.0002116-0.0016149i,9.5673e-05-0.0014947i,0.00061644-0.0010593i,0.00048271-0.00063683i,0.00065841-0.00042724i,0.00027906-9.9494e-06i,-0.00018294+0.00023536i,-0.00065399+0.00050836i,-0.001457+0.0008655i,-0.00083685+0.0010088i,9.6835e-05+0.00023062i,0.00062153-0.00057584i
-4.9916e-05-0.0021744i,0.00050013-0.001572i,0.00050704-0.00039019i,-0.00023959+0.0011978i,-0.00086031+0.0016452i,-0.0015248+0.00201i,-0.001618+0.0022194i,-0.00064852+0.0013913i,0.00029518+0.00024458i,0.00025908-7.5336e-05i,-5.2687e-05+0.00019401i,-0.00031446+0.00073446i,-0.000864+0.00053294i,-0.0008835+0.00060416i,-0.00078157+0.00077082i,-0.00037297+8.2868e-05i,0.00027503-0.00021855i,0.00020687-3.9395e-06i,0.00032367+2.1651e-05i,0.0010182+0.00012683i,0.0011031+0.00021938i,0.00033055-0.00017423i,-0.00018237-0.00036634i
0.0019909-0.00066349i,0.000471-0.0011825i,-0.00059893-0.001091i,-0.0010182-1.1182e-05i,-0.0017312+0.00084749i,-0.0023912+0.0019871i,-0.0012342+0.0025976i,0.00029028+0.0017629i,0.00013782-2.7551e-07i,-0.00034066-0.00053568i,-0.00023717-0.00045316i,5.0048e-06-0.00036529i,0.00035641+5.6657e-05i,0.00050839+0.00038294i,0.00023469+0.00070453i,0.0002848+0.00023902i,0.00026011-0.00057018i,6.9584e-05-0.00083761i,-0.00020839-0.00055266i,2.8864e-05-0.00026754i,0.00063148-0.00039979i,-5.9093e-05+7.238e-05i,-0.00090787+0.00010806i
0.00078334-0.0019347i,-0.00082154-0.0021237i,-0.00091575-0.0017536i,-0.00040868-0.0006004i,-0.00026006-1.9737e-05i,-0.00056267-0.00046911i,-0.00085858-0.00046003i,-0.00051545+0.00046422i,0.00029204+0.00065678i,0.00031348+0.00038776i,5.9601e-05+7.6683e-05i,0.00038024-0.00033423i,0.00073933-0.00026583i,0.00082646+0.00016734i,0.00033659+0.000637i,7.3427e-05+0.00041944i,-1.5558e-05-0.00010588i,0.00052344+0.00014289i,0.00017417+0.00020256i,-0.00057937+0.00010384i,-0.00023661+4.0496e-05i,0.00013915+4.5596e-05i,0.00044752+6.8065e-05i
0.0011423-0.00062333i,0.00031222-0.00023102i,-0.00026234+0.0015366i,0.00038858+0.0022247i,-4.9446e-06+0.00076057i,-0.0011557+0.00019336i,-0.0010448+0.0015005i,1.1829e-05+0.0014639i,-1.8236e-05+0.00085475i,-0.0010113+0.00067287i,-0.0011975+0.00014767i,-0.00071614-0.00060967i,-0.00057859-0.00025992i,-0.00064137+0.0010003i,-0.00050371+0.0010885i,-0.00045581+0.0010662i,-7.7506e-05+0.0011864i,0.00041152+0.00074279i,0.00074946-0.00039341i,0.00095246-0.00048552i,0.00047077-3.7738e-05i,3.3986e-05+0.00045815i,-0.00070639+0.00043605i
0.00038752+0.00093788i,-0.00054567+0.00040394i,-0.0021835+0.0006446i,-0.0022013+0.00089172i,-0.0017937+0.00039181i,-0.0016315+0.00059717i,-0.0013807+0.00091651i,-0.0012064+0.00059745i,-0.00098994+0.00050241i,-0.00028033+0.00025315i,0.00033315-0.00076762i,0.00040483-0.00081688i,7.1027e-05-0.00047565i,0.00025896-0.00030114i,0.00020615-0.00017696i,0.00021248-0.00064034i,-7.7266e-05-0.00045936i,-0.00014721-5.9011e-05i,-0.00037447-0.00015871i,-0.00083593-0.00037077i,-0.00058779-0.00041494i,7.2428e-05-0.00035542i,0.00059508-0.00051644i
0.0014296-0.0013976i,0.00046999-0.0010255i,-5.2576e-05-0.00073469i,0.0002524-9.7217e-05i,0.00024707+0.00016499i,-0.00051961+0.000615i,-0.00051519+0.0012351i,0.0001236+0.00092627i,0.00082294+0.00052769i,0.00087813+0.0013873i,0.00051779+0.001203i,0.00096901+0.00020399i,0.0012569+0.00019097i,0.00067209+0.00078129i,0.00032949+0.0012768i,-0.00032878+0.00061119i,-0.00053924-0.00015324i,0.00030805+3.8305e-06i,0.00059678+0.00061184i,0.0004906+7.5274e-05i,-6.6856e-05-0.00068767i,-0.00038844-0.00050447i,0.00022115-0.00021498i
-0.00044586-0.00071723i,-0.0013188-7.4046e-05i,-0.0012539+0.0013935i,-0.0012755+0.0024589i,-0.0012616+0.0020244i,-0.00046505+0.0014262i,-0.00016827+0.0010737i,-0.00014018+0.0003774i,-0.00035768-0.00025576i,-0.00045104-0.00033798i,-0.0001566+0.00017364i,-4.6216e-05+0.0002314i,0.00049393+2.4339e-05i,0.00115+0.00010277i,0.0010528-0.00039198i,0.00094779-0.00049474i,0.00087368+0.00034049i,0.00069256+0.00035212i,0.00073657-3.8505e-05i,0.00054313-0.00011613i,-0.00037966+0.00028918i,-0.00077994+0.00022102i,-0.00014635-0.00013025i
-0.00018075-0.0017426i,-0.00099689-0.00080894i,-0.0010893+0.00022178i,-0.00096635+0.00079994i,-0.0018509+0.00081792i,-0.0029109+0.00059992i,-0.0024469+0.00077522i,-0.0008585+0.00075834i,-0.00037867+0.0003002i,-0.0005489+0.0002273i,9.591e-05+0.00022919i,0.00021593+0.00044532i,-0.00020216-0.00017809i,-0.00060497-0.00068983i,-0.00074259-0.00036723i,-0.00079131-0.00043402i,-0.0004717-0.00058782i,-0.00055086-0.00027731i,-1.3596e-05+0.00057602i,0.00024649+0.00074092i,-0.00036551+0.00049307i,-0.00075288+0.00017796i,-0.00082058+0.00013755i
-0.00020133-1.8197e-05i,-0.001035-0.00089015i,-0.0030279+7.5681e-06i,-0.0032149+0.0019518i,-0.0015433+0.0020153i,-0.00034691+0.00048112i,-0.0014695+0.0007364i,-0.0019495+0.0014267i,-0.0014765+0.00132i,-0.00067214+0.0011764i,-4.6399e-05+0.0006926i,-0.00016115-0.00056391i,0.00020753-0.00089257i,0.00062622-0.00024112i,0.0012671-4.1601e-05i,0.0008437-0.00024759i,-0.00012484-0.00053385i,-0.00042369-0.00064742i,0.00019753-0.00097771i,0.00033363-0.00062715i,-9.7496e-05+0.00047519i,4.8171e-05+0.0012295i,0.00049297+0.00068134i
0.00095689+0.00012365i,0.00029117+0.00013421i,-7.1251e-05+0.00037928i,-0.00026978+0.00036202i,-0.00052923+0.00072455i,-0.00067337+0.00061714i,-0.00096281+0.0009113i,-0.00084846+0.0013548i,-0.00046909+0.00064882i,-0.00032314+5.5475e-05i,-2.0824e-05+0.00056221i,0.00014194+0.00056247i,-0.0003917+0.00042688i,-0.00095464+0.00046859i,-0.00023283+0.000518i,-0.00032457+0.00088588i,-0.00070677+0.0010862i,-0.00023922+0.00072649i,-0.00038597+0.00033615i,-0.0002684+0.00040522i,-6.2087e-05+0.00023578i,-0.00042535+0.00010484i,-0.00056986+0.00027105i
-0.0001796+0.00040012i,-0.0008351+0.00097673i,-0.0018422+0.0026295i,-0.0014506+0.0035441i,-0.00086372+0.0022892i,-0.00065869+0.0021412i,-0.0010275+0.0027483i,-0.00067209+0.0014508i,-0.00039766-0.00040162i,-0.00030176-0.00084518i,-0.00016931-9.7711e-05i,-0.0001727-0.00025153i,0.00025738-0.00029589i,0.00040025+0.00082703i,3.5452e-05+0.0011873i,-0.00030939+0.00041169i,-3.3804e-05+0.00013075i,0.00043146-0.00012972i,0.00030494-0.00026477i,-0.00028826-0.00026407i,-0.00057807-0.00085971i,-0.00042701-0.00078669i,-7.131e-05-0.00057662i
-0.00013833-9.0278e-05i,-0.0010947-0.00045527i,-0.0020275-0.00013264i,-0.0021973+0.00036839i,-0.0019076-3.0771e-05i,-0.0020654+8.8419e-05i,-0.0021604+0.0008958i,-0.0013123+0.0012538i,-0.00056693+0.00047775i,-0.00019225-3.0348e-05i,0.00028411+0.00036253i,0.00070403+0.00027213i,0.00019598-0.00041111i,0.00038209-0.00077776i,0.0009005-0.00027022i,-9.3278e-05+7.0188e-05i,-0.00035291-0.00027428i,-0.00014736-0.00021564i,-0.00027222-7.6428e-05i,-0.00013806-0.00049519i,0.00040597-0.00073202i,0.0003883-0.00043937i,-0.00039495-0.00018181i
0.0011066-0.0010181i,0.00052321-0.00075637i,0.00040684-0.00015945i,0.00023338+0.00069603i,-0.00038218+0.0013714i,-0.00068136+0.0014518i,-0.00066918+0.0013953i,-0.00051302+0.0012007i,0.00024773+0.00037016i,0.0010307-0.00020289i,0.00098408+0.00033443i,0.0005134+0.00058169i,-2.2659e-06+0.00072572i,-0.00023943+0.001058i,5.1265e-05+0.0013829i,0.00054833+0.00096914i,-5.9467e-07+0.00041938i,-0.00039732+8.5361e-05i,-0.00014614-0.00042455i,0.0001454-0.00034428i,0.00025361+0.00012468i,8.5488e-06+0.00025663i,-0.00021537-0.00030474i
0.0016791+0.0011826i,0.00088802+0.0020066i,-0.00010313+0.0025469i,-0.0014446+0.0017196i,-0.0017386-0.00031444i,-0.001273-0.00068324i,-0.0010369+0.00011146i,-0.0007893+0.00019773i,-0.00043807+0.0002569i,0.00039493+0.00054268i,0.00038207+0.0004527i,-0.00014885-0.00020827i,-0.00044388-6.6947e-05i,-0.0012044+4.3764e-05i,-0.0014541+0.00042575i,-0.00079+0.00096316i,-0.00054214+0.00068239i,-0.00080171+0.00022182i,-0.0004831+0.00062367i,1.7865e-05+0.00087337i,0.00046298+0.00012494i,0.00043777-0.0004228i,-7.6929e-05-0.00039392i
-0.00087379-0.00089666i,-0.0010084-0.0014104i,-0.00014837-0.0005028i,-7.567e-05-0.00069251i,-0.00047611-0.00085754i,-0.0014516+0.00043658i,-0.0020551+0.0021575i,-0.0014659+0.0025952i,-0.00039328+0.0014663i,-0.0003671+8.6251e-05i,-0.00069914-0.00077334i,-0.00011728-0.00045057i,6.9806e-05+0.00031124i,-0.00044617+7.1758e-05i,-0.00094548-0.00053224i,-0.00072507+0.00035751i,-0.00049616+0.0010734i,-0.00031151+0.000504i,0.00018078-4.8385e-05i,0.00053349-0.00021436i,0.000473-0.00043329i,0.00051363-0.00011317i,5.1941e-05+0.0002744i
-0.0012479-0.0020823i,0.00017316-0.0010898i,0.00097486-0.00055738i,0.00052404-8.2576e-05i,-0.0010352+0.00041787i,-0.0017821+0.00080839i,-0.0012758+0.00054762i,-0.00046202+0.00043061i,0.00010247+0.00053604i,-0.00033416+0.00032862i,-0.0005855+0.00016354i,-1.2526e-05-0.00026793i,0.00020591-0.00063635i,0.00042534-0.00074174i,0.00075753+0.0001939i,0.0004553+8.731e-05i,0.00023938-8.5363e-05i,0.00074898+0.00088856i,0.00083321+0.0013015i,0.00022537+0.00060882i,-5.5311e-05+0.00032548i,7.419e-06+0.00014504i,0.00013951-0.00071944i
0.0011819-0.00044136i,0.0008088+5.8102e-05i,0.00018757+0.00043755i,-0.00051775+0.00086846i,-0.00056119+0.00038733i,-0.0015394+0.00073457i,-0.0018637+0.0016322i,-0.00035556+0.0009851i,0.00031101-0.00017139i,0.00036561-0.00025633i,0.00035295+0.00043314i,-0.00032046+0.00052381i,-0.001325+0.00053329i,-0.0018601+0.00039293i,-0.00037633+6.0835e-06i,0.0010346+3.5163e-06i,0.0001542+0.0002476i,3.0978e-05+0.00019899i,0.00083908+1.2691e-05i,0.00030033+0.00048644i,4.3745e-05+0.0005715i,0.00025679+0.00056327i,0.00018+0.00050985i
-0.0012398+0.00029693i,-0.0014941+0.0010101i,-0.0011092+0.0013525i,-0.00064828+0.001764i,-0.00037311+0.0018997i,-0.0007166+0.0016372i,-0.0013047+0.00072704i,-0.00158-3.4497e-07i,-0.0011203+3.0171e-05i,-8.547e-05+0.00017732i,5.2226e-05-0.00043837i,0.00045143-0.00085041i,0.00084097-9.9039e-05i,0.00030335+0.00058565i,-0.0002194+0.00053246i,-9.245e-05+0.00020768i,0.00047843+0.00031178i,0.00016613+3.4024e-05i,-0.00041938-0.0006688i,-0.00072582-0.00047683i,-0.0003452+7.8117e-05i,-0.00026503+0.00061372i,-0.0005939+0.0007806i
-0.00046545-0.0008378i,-0.0011864-0.00065582i,-0.00086336+0.00041558i,-0.00048127+0.0010029i,-0.00044699+0.00034021i,-0.00081256+0.00028307i,-0.001099+0.0010524i,-0.0015464+0.0010133i,-0.0012866+0.0005025i,-0.00012946+0.00067626i,0.00049765+0.00068263i,0.00029548+0.00026642i,0.00011394-0.00030509i,-0.00074011-0.00058637i,-0.0006666-0.000465i,0.00014366-0.00045158i,0.000442-1.0062e-05i,0.00062328+0.00015353i,-9.5728e-05-0.0002333i,-0.00032302-0.00040317i,-0.00011109-0.00017567i,-2.0355e-05+0.00028945i,0.00061154+7.9105e-05i
0.0014042-0.00071622i,1.3262e-06-0.00053156i,-0.001192-0.0004934i,-0.0013352-0.0005521i,-0.0012149-0.00054897i,-0.0011281+0.00048205i,-0.00085896+0.0011379i,-0.0007995+0.0012269i,-0.0010346+0.00084186i,-0.0011627+0.00052054i,-0.00074442+0.00059463i,-0.00013578+0.00080227i,-0.00049174+0.0010479i,-0.00092804+0.00069819i,0.00027816+0.00054819i,0.00070354+0.00094091i,0.0001544+0.00021687i,-0.00041644-0.00063354i,-0.00022081+0.00010836i,0.00074077+0.00055187i,0.00014323-0.00010275i,-0.00048069-0.00023384i,-0.0002242-0.00025776i
-0.00065555+0.00063072i,-0.00072151+0.0007293i,0.00013469+0.0018896i,0.0009848+0.0020921i,0.0012229+0.00079298i,0.00039525+3.6423e-05i,-4.8012e-05+0.0010214i,0.00042605+0.0012396i,0.00047774+0.00031624i,0.00054553-0.00019037i,0.0011557-0.00023351i,0.00062237-0.00050902i,0.00026255-0.000738i,0.00031834-0.0010637i,0.00020666-0.00077055i,0.00022885-0.00011413i,-0.00014547+1.1671e-05i,-0.00062984+0.00031706i,-0.0001645+0.00014986i,0.00055871+9.5912e-05i,0.00067197-0.00012286i,0.00072832-0.00092146i,0.00052434-0.00098146i
0.0017607-0.00015926i,0.0011606+0.00057987i,-0.00050725+0.00071161i,-0.00045629+0.00031989i,-0.00049445+0.00058712i,-0.0015926+0.00094126i,-0.0016102+0.0014644i,-0.0017161+0.002022i,-0.00049686+0.0016443i,0.00062523+0.00086911i,0.00041231+0.00051379i,0.000353+0.00025461i,0.00021819+0.0005095i,-4.3829e-05+0.00041105i,-0.00022907+0.00033411i,-0.00041389+4.4164e-06i,0.00049277+2.1629e-05i,0.0013771+0.00053671i,0.0015596+0.00071682i,0.0011497+0.00072858i,0.00040026+0.00085592i,0.00023573+0.00076978i,-0.00028714-5.9911e-06i
0.0038256+0.00071234i,0.0027427-0.0001274i,0.0011978-0.00086866i,0.00069708-0.00053562i,-0.00033024+0.00014271i,-0.0019441+0.0016805i,-0.0013625+0.0028256i,-0.00061851+0.0016586i,-0.00024482-0.00035988i,0.000273-0.00080532i,0.00014946-0.00020367i,-0.00024241+0.000241i,-0.0011115+0.00055335i,-0.0022952+0.0015621i,-0.002487+0.001733i,-0.00064783+0.0011847i,0.00062605+0.0010281i,0.00019502+0.00069418i,0.00066842+0.00051862i,0.0015152-9.9002e-05i,0.00088438-0.0006695i,0.00037805-8.3594e-05i,-3.4979e-05+0.00014491i
0.0015626+2.7001e-06i,1.0947e-05-0.00012309i,-0.0014106+0.001101i,-0.00084789+0.0013808i,-0.00070557+3.8814e-05i,-0.00082045-0.00058625i,-0.00066203+0.00035685i,-0.00063328+0.0012974i,-0.00065646+0.0010264i,-0.0003822-5.7909e-05i,8.3753e-05-0.00044316i,-8.8297e-06-0.00053547i,-0.00023047-0.0007328i,-0.00082416-3.0165e-05i,-0.00096097-0.0003804i,-0.00031368-0.00073213i,-0.00027471-3.8897e-05i,-0.0004666+0.00033536i,5.3355e-05+0.0006584i,0.00049916+0.00023217i,0.00041736-0.00050786i,1.6213e-05-0.00030333i,-0.00022213-0.00041756i
0.0011511-0.00013507i,0.0002516-6.9473e-05i,-0.0001582+0.0003328i,-0.00021458+0.00045184i,-0.00056439+0.00029161i,-0.00082937-0.00046273i,-0.0013504+0.00015437i,-0.0015456+0.00093597i,-0.0010252+0.00041064i,-0.0013203-2.6992e-06i,-0.0014804-0.00012416i,-0.00073871+6.0059e-05i,-0.00066176+0.00084574i,-0.00087028+0.0015633i,-0.00031682+0.0016908i,0.00040315+0.00093901i,0.00047803+7.921e-05i,-6.5981e-05-0.00049447i,-0.00039316-0.00018696i,-0.0012053+0.00018499i,-0.00075096-0.00016975i,0.00011199-0.00013445i,8.7218e-05-8.5281e-05i
-0.0004033-0.0010488i,-0.00034404-0.0011467i,-0.00091248-0.00027395i,-0.00095173+0.00081076i,-0.00080769+0.00047582i,-0.00056743-0.00025864i,-0.00071671+0.00043618i,-0.00075692+0.00044062i,-0.0001106-8.1176e-05i,0.00043318+6.3661e-05i,0.00020666+0.00017072i,0.00032325-0.00042451i,0.00066478-0.00068003i,0.00050776-0.0006572i,-0.00011916+0.00040897i,-0.0009017+0.0011678i,-0.00091608+0.00079732i,-0.00069846+0.000288i,0.00039869-0.00015745i,0.00097334-0.00060138i,9.4562e-05-0.0006916i,-0.00060254-0.00016356i,-0.00058502+0.00028105i
-0.00047535+0.0012606i,-8.502e-05+0.0001931i,-0.00037298+0.00067876i,-2.171e-05+0.0014458i,0.00040393+0.00082587i,-0.00083974-9.9564e-05i,-0.0022167+0.0011819i,-0.0018662+0.0020136i,-0.00047942+0.00099129i,0.00023066+0.0004766i,0.00031131+0.0003858i,-3.2153e-05+4.7386e-05i,-0.00017555-0.00017813i,0.00030787-7.8372e-05i,0.00036709-0.00012938i,-0.00023347-0.00062132i,-0.00013175-0.00093897i,-0.00011712-0.00053181i,-0.00011956+0.00045825i,0.00024711+0.00082947i,0.00074752+0.00073168i,0.00067607+0.00058318i,-0.000122+0.00055002i
0.00047822-0.00085523i,0.0001957-0.00041624i,-0.00068781+2.954e-05i,-0.0011819+6.9993e-05i,-0.00056363+0.00064214i,-0.0012029+0.00026064i,-0.0017113+6.0557e-05i,-0.00094977+0.00052133i,-0.00038279+0.00025014i,-0.0011953+0.00044908i,-0.0011875+0.00045954i,5.5532e-05-0.00031503i,7.902e-05-0.0011163i,-0.00044598-0.0016426i,-8.5253e-05-0.0012406i,0.00056139-0.00047041i,0.00081796-0.00018441i,0.00097438-0.00028836i,0.00022089-0.00059838i,0.00023377-0.0008999i,0.00023441-0.00026719i,0.00013039+0.00026485i,6.3617e-05+0.00020541i
0.00088253+0.00062646i,0.00019346+0.0011388i,-0.00011881+0.0016307i,-0.00019487+0.0011491i,-0.00073902+0.00034865i,-0.0015179+0.00034473i,-0.0016768+0.00092578i,-0.0013086+0.00035459i,-0.00042505-0.00044701i,6.0584e-05+0.00057055i,3.8757e-05+0.00060168i,0.00067956-0.00035615i,0.00067249-0.0004193i,-0.00031319-0.0003049i,-0.00042122+0.00012783i,-0.00020267+0.00030453i,-4.1969e-05-0.00025272i,-0.00042847-0.00049622i,-0.00037348+3.1457e-05i,4.4685e-05+0.00051494i,-0.00029587+0.00014414i,0.00022641-0.00066225i,0.00066477-0.00038804i
-0.0029984+0.00012116i,-0.0028828+0.00063043i,-0.0022614+0.0016885i,-0.0014591+0.0031589i,-0.00042709+0.0018681i,-0.00061093+0.00021229i,-0.0012257+0.00072746i,-0.00069788+0.00091798i,-1.9493e-06+4.1222e-05i,0.00031487-0.00087368i,0.00047365-0.00094827i,0.0002634-0.00087632i,-0.00028074-0.0010407i,-0.00059098-0.00137i,-0.00069601-0.00078969i,-0.00031429-1.3577e-05i,0.00013807+0.00019441i,0.00028781-0.00012759i,-0.00023409+0.00021455i,-0.00030364+0.0010444i,0.0001602+0.0014443i,0.00016908+0.0012069i,-0.00031896+0.00064368i
-0.00032661-0.0018493i,-0.00091866-0.0012574i,-0.0022394-0.00064141i,-0.0021832-0.00011958i,-0.0014418+0.00067858i,-0.0014432+0.00093531i,-0.0019393+0.00058768i,-0.0019663-0.00018398i,-0.0010722-0.0004942i,-0.0003732+0.00013215i,-7.0069e-06+0.00029647i,0.00048634+0.00023902i,0.00081055-5.7375e-05i,0.00074371-0.00050794i,0.00058323-0.0009187i,0.00028785-0.0001659i,-0.0004539+0.00016318i,-0.00045572-0.00027043i,0.00013951+3.045e-05i,8.8425e-05-0.00010431i,-0.00010073-0.00054106i,-0.0003596-0.0004849i,-0.00056389-0.0006857i
0.00061803+0.0015992i,0.00033465+0.001392i,-3.0256e-05+0.0012509i,-0.00042213+0.0010688i,-0.0003614+0.00022192i,-0.00096572-0.00021892i,-0.0011981+0.00023099i,-0.00091705+0.00089587i,-0.00070591+0.000353i,-9.4849e-05-0.0005447i,0.00072613-0.00058799i,0.00065834-0.00047599i,0.00010481+2.4495e-05i,-0.00034499+0.00082435i,-0.00054251+0.00089561i,-0.00052074+0.00016958i,-0.00046927-5.2693e-05i,-0.00018937+0.00015703i,-7.7594e-05+0.0002137i,3.1335e-05-0.00016734i,0.00023937-0.00035018i,0.00015142-0.00018431i,-0.00038576-0.00077942i
