-0.0056356+0.00063609i,-0.0031581+0.0016856i,-0.0032969+0.0025816i,-0.002563+0.0038595i,-0.00093809+0.0048871i,-0.00015296+0.0033342i,-0.0003483+0.0014617i,-0.00055687+0.00067862i,0.00014993+0.00035394i,0.0015549+0.00037384i,0.0018051+0.00053598i,0.0016213-0.00040227i,0.0011582-0.0017346i,0.00018155-0.0023405i,-0.00024009-0.0009582i,-0.00028018+0.00075329i,-0.0003397+0.0011191i,2.5824e-05+0.00065425i,0.0004496+7.4758e-05i,0.00054146+4.8407e-06i,0.00076027-1.0651e-05i,0.0002853+0.00026953i,-0.00018666+0.0003868i
-0.00057697+0.00031055i,-0.00061836+0.00016326i,-0.00020987+0.00044781i,0.00041822+0.0011072i,0.0006439+0.00052047i,0.00059626-0.00013465i,0.00052572+3.5109e-06i,0.00033026-2.5044e-05i,0.00020828-0.00019771i,2.6507e-05-0.00050891i,-9.3623e-05-0.00046061i,-4.0561e-05-0.00065979i,0.00044303-0.0011776i,0.00038542-0.00082058i,-0.00021056-1.3734e-05i,-0.00073033+0.00049461i,-0.00073943-0.0001962i,-0.00046241-0.00057607i,-0.00041285+0.00019738i,-0.00048639+0.00048441i,7.7556e-05+0.00027414i,0.00052453+0.000217i,0.00028936+0.00021923i
0.00017498+0.0012051i,0.00072361+0.00075245i,0.00086379+0.00073122i,0.0010798+0.00063635i,0.00080094+0.00015521i,-0.00017345-0.0006972i,-0.00016349-0.00030881i,-0.00031659+0.00084256i,0.00043829+0.0010486i,0.0012769+0.00015864i,0.00050881-0.00053269i,-0.00016966-0.00022687i,-0.0011088+0.00031718i,-0.0011561+0.00050514i,-0.00018558-6.8123e-05i,0.00053177-0.00046797i,-2.485e-05+0.00014307i,-0.00039688+0.00010417i,0.00020425+8.3033e-05i,0.00038199+0.00078412i,0.00042904+0.001386i,-1.0055e-05+0.00083191i,0.00016262-0.0002821i
-0.0018737+0.0014104i,-0.0013126+0.0020154i,-0.00096652+0.0020541i,0.00055914+0.0008669i,0.0014108-0.00010735i,0.00068012-0.00060984i,-0.00018777+4.9856e-05i,-0.00040248+0.00068024i,0.00072673+0.00071375i,0.0011057+0.00052383i,0.00026714-0.00014876i,-0.0008297-0.00065294i,-0.0004551-0.00034798i,-0.00016595+0.00050046i,-0.00073189+0.0010052i,-0.00022242+0.0012528i,0.00045232+0.0015954i,0.00017998+0.0013923i,-0.00027854+0.00020731i,-0.0008204-0.00092782i,-0.00097921-0.00080871i,-0.00046566-3.4933e-05i,0.00042343+0.00052925i
-0.0002847-0.00055309i,-0.00058771-0.00051016i,-0.00085149-7.6448e-06i,-0.001001-3.0628e-05i,-0.00040856-0.00061153i,-0.00041044-0.00015353i,-0.00059084+0.00047851i,0.00045377+0.00034309i,0.00121+0.00040733i,0.00074231-0.00020046i,0.00055269-0.0006921i,0.00085476-0.00086804i,0.0010481-0.00094276i,0.00085004-0.00032655i,0.0003757+3.0953e-05i,2.668e-05+0.0003258i,-8.7582e-05+0.00041389i,-0.0001395+0.00018154i,-0.00032342+0.00048612i,-0.00013327+0.00055294i,-0.00072539+0.00017023i,-0.00082347+1.3135e-05i,3.3694e-05+0.00032877i
-0.00030946-0.00012641i,0.0010854+0.0003427i,0.00087832+0.00073649i,0.00015427+2.936e-05i,0.00035468+0.00014963i,0.00039383+0.00028122i,-0.00013952+0.00046979i,-0.00040872+0.0011154i,-0.00019604+0.00057851i,8.4061e-06-0.00024745i,0.00021095-0.00043154i,0.00038428-0.00038362i,0.00025236+1.8278e-05i,-0.00029011+0.00026133i,-5.153e-05+0.00011274i,0.0004748+0.00026745i,0.00053866+0.00011771i,0.00082318-0.0004064i,0.0011583-0.00056736i,0.00068915-0.00036512i,0.00043379+0.00036555i,0.00015985+0.00081664i,-0.00022189+0.00019529i
-0.00042443+3.5224e-05i,-0.00048712+0.00079658i,-0.00051862+0.00084875i,-1.9265e-05+0.0012447i,-0.00014037+0.0014009i,-0.00014132+0.00029466i,0.00016309-0.00026102i,0.00041801-0.00017369i,0.00038415-3.3014e-05i,-0.00031051-0.0003842i,-0.00063968-0.00051822i,-0.00039453-0.00014963i,-0.00018977-0.00032005i,-0.00016188-0.00057947i,-0.00075254-0.00041944i,-0.00098303+5.9722e-05i,-0.00036683+0.00023535i,0.00014163+0.00014682i,0.00041374-0.00058325i,0.00051759-0.00067592i,0.00017893-0.00013464i,0.00024097+0.00010646i,-6.7516e-06+0.00029147i
-0.00014526-0.00035812i,-0.00091129-0.0015186i,-0.0017731-0.0010816i,-0.0019964-0.00096494i,-0.0012133-0.0008027i,-0.00036139-0.00027716i,-0.00073898-9.9618e-05i,-0.0005919+0.00028348i,-0.0002372+0.00042612i,-0.0003666+0.00066889i,8.88e-05+0.00044094i,4.7061e-06-0.00021775i,-0.00018268+0.00040533i,-7.9592e-05+0.0007124i,0.00022249-6.2975e-05i,0.00075045+8.8027e-05i,0.00056016+0.00044717i,0.00024688+0.00018069i,0.0001554+0.0001589i,-4.4147e-06-0.0003794i,0.00031878-0.0003358i,-2.1922e-05-6.354e-05i,-0.00024599+0.00065002i
0.0005133+0.00036776i,0.0009269+4.1225e-05i,0.0015615-0.00095568i,0.00082981-0.001238i,-0.00077624-0.0011391i,-0.00095925-0.0011767i,-0.0007044-0.0008331i,-0.00023284-3.013e-05i,0.00048918+0.00028296i,0.00027384-0.00017612i,-5.2999e-05-6.4336e-05i,-0.00059445+0.00087628i,-0.0010557+0.0013361i,-0.00073753+0.00053639i,-0.00025853+0.0005544i,0.0003779+9.0544e-06i,0.00049721-0.00089951i,-0.00051537-0.00048625i,-0.0012042-0.00040413i,-0.00094947-0.0012793i,-0.00085675-0.00076103i,-0.00031215-4.0112e-06i,0.00042279-0.00013695i
-0.00038745-0.00069644i,0.00011677+0.00074142i,0.00057299+0.0016107i,0.00025494+0.0012724i,5.2367e-05+0.00064651i,0.00034337+0.00078217i,0.00039053+0.00062447i,0.00031868-7.5867e-06i,0.00051116+3.2395e-05i,0.0012156+0.00041475i,0.00096884-0.0001164i,0.00048185-0.0009319i,0.00055195-0.00086994i,0.00021711-4.2238e-05i,-0.00080068+0.00032375i,-0.0011721-3.5807e-05i,-0.00091537-0.00019736i,-0.00067859+0.00034469i,5.9977e-05+0.00051314i,0.00084025+0.00074865i,0.0012975+0.00059543i,0.0014009-0.00034228i,0.0008508-0.00029476i
-2.3144e-05+0.00049091i,-0.00039286+0.00011056i,2.7044e-05-0.00026576i,0.00078924-0.00051797i,0.00047446-0.00057227i,-0.00010679-0.0002723i,-0.0007404-0.00026858i,-0.0008127-0.00017769i,-1.2885e-05+9.8315e-05i,0.00054015-1.405e-05i,0.0001185-0.00019992i,-6.7197e-05-0.00069076i,0.0007549-0.00072902i,0.00077138+3.9229e-05i,0.0003758+0.00038692i,0.00017166+0.00027833i,6.1462e-05+0.00034863i,-0.00022011+0.00051576i,-0.00042384+0.0004012i,7.1938e-05-6.786e-06i,0.00029657+0.00011879i,-9.0573e-05+0.00027905i,-0.00037678+0.00045266i
