-0.0034168+0.0012029i,-0.00089897+0.0009915i,-0.00088641+0.0016845i,1.5331e-06+0.0018816i,0.00085143+0.0017255i,0.00041414+0.000976i,-0.00010962+0.0011548i,0.00026156+0.0015748i,0.00044707+0.0010025i,0.00018644+0.00055183i,0.00044198-9.1859e-05i,0.00015311-0.00076388i,-0.00041662-0.00039747i,-0.00076976-8.8401e-05i,-0.00012506+0.0001295i,-0.00046778+0.00029244i,-0.0013242-0.0001415i,6.6475e-05-0.00055454i,0.00078427-0.0010533i,0.00040375-0.0011485i,-4.9839e-05-0.00082308i,-0.00040497-0.0003119i,0.0002385+0.00042187i
0.00043374-0.00076627i,0.00056103-0.00085819i,0.00028045-0.0011536i,0.00059509-0.00078572i,-0.00061325-0.00087891i,-0.0016745-0.00024267i,-0.0015881+0.00091999i,-0.0012182+0.00099416i,-0.0004894+0.0010064i,-0.00015903+0.00062851i,-0.00028971-0.00031413i,-0.00022096-0.0003529i,0.00011083+0.00013916i,0.00086372+0.00060499i,0.0011394+0.0005937i,0.0017049+3.0943e-05i,0.0010493+6.9154e-05i,-0.00022091+0.00090103i,-0.00086311+0.0013586i,-0.0011775+0.0016503i,-0.0008257+0.0011555i,-0.00032282+0.00037002i,0.00046892+7.5514e-05i
0.00056057+0.0011557i,0.00052201+0.0015969i,-0.00035131+0.0025921i,0.00014532+0.0024567i,0.00097928+0.0010878i,0.00042975-0.0010287i,-0.00023675-0.00177i,-0.00083373-0.00048268i,-0.00077003+0.00067512i,-0.00023859+0.001123i,0.00033051+0.00085651i,0.00017259+0.00035303i,0.00037119-0.00029437i,-4.1616e-05-0.00074155i,-0.00074017-0.00038971i,-0.00096485+0.00013563i,-0.00085097-0.00023407i,0.0003955-0.00032242i,0.00070318+9.2996e-05i,0.00072424-2.1453e-05i,0.00067626-0.00047602i,0.00028509-0.00035819i,0.00022941-0.00033334i
0.00023734+0.00018099i,0.0011222+0.0015539i,0.00038807+0.0021228i,4.5609e-05+0.00092105i,0.00010445-0.0003672i,0.00031876-0.0005766i,0.00036407-0.00026673i,-0.00027936+0.00029759i,-0.00061897+0.00086508i,-0.00032748+0.00069289i,-3.0599e-05+0.00048411i,-0.00028562+0.00060589i,-0.00049004+0.00067228i,0.00051749-1.862e-05i,0.00084912-0.00075274i,0.00048603-0.00050235i,0.0003852-0.00059175i,-8.952e-05-0.00043254i,-0.00062068+0.00057482i,-0.0010494+0.0004524i,-0.0014669+0.00010494i,-0.00093266+0.00033814i,-2.9158e-05+0.00030151i
0.00079021+0.00068603i,0.00041044+0.00094543i,-9.4403e-05+0.00093514i,-0.00057983-0.00051171i,-0.00048727-0.0014703i,-0.00097014-0.0004009i,-0.001802+0.00012622i,-0.0016356-2.8262e-05i,-0.0010368+2.1977e-05i,-0.00050326+0.00017066i,0.0004109-0.00023827i,0.00055405-0.00034262i,-5.5603e-05+0.00014304i,-9.2659e-05+0.00051856i,-0.00014483+0.00049566i,-0.0001353+0.0002837i,7.7825e-05-1.8468e-05i,-0.00082447-0.00071969i,-0.0012514-0.00076154i,-0.00043897+0.00021656i,-0.00026442+0.00032731i,-0.00069844-0.00031085i,-0.00081202+0.00031203i
0.001205-7.3351e-06i,0.0011132+0.0014054i,-0.00023133+0.0012833i,-0.00048321-0.00012989i,-0.00010165-0.0011376i,-0.00043104-0.00076697i,-0.0011555-0.00040359i,-0.0013733-0.00015981i,-0.00096489+0.00036108i,-0.00080331+0.0010658i,-0.00064074+0.00056664i,-0.00042234-0.0006189i,0.00059433-0.0005765i,0.0011131+0.00028602i,0.0010669+0.00056737i,0.0015198+0.00033251i,0.0013401+3.4402e-05i,0.00060381+0.0002613i,-0.00052342+0.00077894i,-0.00089304+0.00065294i,-0.0010836-0.00033894i,-0.00091577-0.00027625i,0.00027802+0.0010278i
-0.00021909-0.00014039i,-0.00092394+0.00051928i,-0.00015837+0.0015552i,0.00050492+0.0008825i,0.001115-0.00041509i,0.0019791-0.0006164i,0.0010456-0.00074491i,1.238e-05-0.00066545i,-0.00023456+0.00032189i,-0.00017739+0.0005001i,0.0003499+0.00052299i,0.00033307+0.00057747i,0.00013685-0.00018763i,0.00056591-0.00037962i,0.0008433+5.506e-05i,0.00038191+1.1427e-05i,-0.00069223-0.0010281i,-0.00037456-0.001349i,5.0824e-05-0.00075171i,0.0001113-0.00016938i,3.7002e-06+5.7628e-06i,0.00011448+0.00037936i,-4.2853e-05-6.4e-05i
-7.5951e-05+0.00023202i,-2.1587e-05+0.00077281i,0.0012106+0.00071431i,0.001823+0.00019102i,0.0013697-0.0004792i,0.00030902-0.0003234i,-0.00029387+0.00036657i,-0.00093098+0.00038625i,-0.0013417+0.00073356i,-0.00079485+0.0010901i,-1.6292e-05+0.0012155i,0.00034719+0.0008231i,0.00067202+0.00035229i,-3.7416e-05+0.00035744i,-0.00049088+0.00023837i,-0.00021997+0.00036382i,-0.00017582-0.00010599i,0.00057769-0.00034937i,0.00063192+3.4562e-05i,-1.7258e-05-4.2976e-05i,-0.00025966-0.00048084i,-0.00039962-0.00026716i,-0.00025212+0.00035057i
-0.0013752-0.00028106i,-0.00015929+0.001129i,0.00022231+0.0025749i,0.00053378+0.0026643i,0.000893+0.0016067i,0.00026358-0.00015056i,-0.00060289-0.00086078i,-0.00052348-0.00026718i,7.6818e-06+0.00060264i,0.00044998+0.00042941i,0.00081714+5.3186e-05i,0.00050705+0.00035088i,0.00020794+0.00021995i,-7.0262e-05-0.00039044i,0.00021182-0.00062319i,0.00057226-0.00032972i,0.00038599-0.00026143i,0.00023586-0.00069745i,2.1929e-05-0.0012591i,-0.00023349-0.0013099i,5.2805e-05-0.00063642i,0.00063238+0.00017299i,0.00029019+0.00012695i
-0.00051855+0.0032351i,0.0011464+0.0024058i,0.0015713+0.0021868i,0.001523+0.001691i,0.0013936-9.6403e-05i,0.00065568-0.00093615i,-0.00057307-4.3821e-05i,-0.00082289+0.00012801i,-0.00073234+0.00030188i,-0.0013351+0.00055386i,-0.0015505+0.00020659i,-0.0010529-0.00061153i,-0.00020322-0.00031653i,0.00030039+0.00065631i,0.00055487+0.00082008i,0.00013806+0.00047838i,0.00025539+0.00013474i,0.0012887-0.000252i,0.0017523+0.00013824i,0.0010417+0.00033998i,0.00012525-0.00033001i,-0.00028184-0.00026908i,0.00040839+1.9571e-06i
0.00054037+0.00042121i,0.00036742+0.00065192i,0.00065729-0.00047816i,0.0012095-0.0011713i,0.0011766-0.00090737i,0.00031897-0.0008251i,0.00032712-9.9814e-05i,0.00037455+0.00021863i,0.00083286-0.00016506i,0.00073443-0.00034929i,0.00084948-0.00047777i,0.0016949-0.00076681i,0.0018085-0.0003479i,0.00070311+0.00057301i,-1.7744e-05+0.00076631i,0.00039739+0.00017548i,0.00013861+1.4334e-05i,-0.00076977-1.3551e-05i,-0.0009259-5.0758e-05i,-0.00084394+0.00052237i,-0.00075038+0.0011828i,-0.00046014+0.0011261i,-0.00045745+0.00032265i
