-0.00062715-0.0010701i,0.00029978-0.0018689i,-0.00054353-0.0021131i,-0.0011167-0.00046863i,-0.0020375+0.0014659i,-0.0019663+0.0020663i,0.0001223+0.001945i,0.0011356+0.0016279i,0.00064381+0.0010572i,0.00068724-7.8588e-05i,0.00096787-0.0010886i,0.00038957-0.00059704i,-0.00027399+0.00024183i,-0.00029608+0.00054489i,-0.00050476+0.00046097i,-0.00049454+8.9412e-05i,-0.00065079-0.00026221i,-0.00053029-0.00031257i,-0.00055453+0.00023785i,-0.00011118+0.00085359i,0.00089492+0.00072146i,0.0010676+0.0004942i,0.0008526+8.0516e-05i
-0.00328+6.3358e-05i,-0.0029936+0.0017341i,-0.0012287+0.0034415i,0.00052695+0.0038638i,0.0018861+0.0032188i,0.002086+0.0019518i,0.001537+0.0007131i,0.0010825-0.0002024i,0.00022032-0.0010474i,-0.00052922-0.00078105i,-7.1854e-05-0.00091686i,0.00026934-0.0012204i,0.00064345-0.0014147i,0.0010171-0.0020067i,0.00040858-0.0015889i,-0.00019001-0.00079231i,-0.00032523-0.00045368i,-0.00015651+0.00017599i,0.00038314+0.00027907i,0.00018547-6.263e-05i,0.00027078-0.00020355i,0.00039744-0.0002625i,-0.00016414-0.00036361i
-0.00070658+0.00064804i,-0.0010808+0.0023897i,-4.0668e-05+0.0036298i,0.00057262+0.0023062i,0.0012445+0.00059481i,0.0013288+0.00044983i,0.00060852+0.00029162i,0.00025002-0.00019331i,8.9433e-06-0.00085004i,-0.00040754-0.00076531i,-0.00043089+4.8638e-05i,-0.00030464+0.00013017i,-0.00012527-0.00041854i,-0.00034598-0.00039215i,-0.001416-0.00015727i,-0.0013585-0.00021445i,-0.00014272-0.0002123i,-5.997e-05-0.00014382i,-0.0010658-7.1846e-05i,-0.0010472+0.00027328i,-0.00026984+0.00041331i,0.00010361+0.00061998i,-0.00046211+0.0011961i
-0.001314-9.5833e-05i,-0.0020384+0.00073155i,-0.0017286+0.0014065i,-0.0011143+0.0015507i,-0.0010552+0.0013197i,-0.00051413+0.00044658i,0.00097887-0.00080094i,0.0014512-0.00089823i,0.00029306+4.1532e-05i,-0.0004973+0.00038436i,-0.00089972-0.00030169i,-0.0010044-0.00046374i,-0.00052239-0.00026262i,-0.0002139-0.00028457i,-0.00044845-0.00059648i,-0.00089601-0.00037255i,-0.00092051-9.4854e-05i,-0.00034624-0.00036417i,-6.9814e-05-0.00073653i,-0.00024525-0.00048955i,-0.00034585+0.00024934i,-1.3802e-05+0.00092509i,4.0279e-05+0.00074397i
0.0012454-0.0019186i,-0.00025723-0.0015058i,-0.00054867-0.0010452i,-0.0011186-0.0016225i,-0.00095546-0.00098351i,0.00013493+0.00038531i,0.00030908+0.00045878i,-1.1329e-05+0.00021038i,-0.00026397-0.00056841i,-0.00080758-0.00055658i,-0.00089501+0.00033893i,-0.00028485-3.3497e-05i,-0.00022862-0.00045723i,-0.00022866-8.7924e-05i,-0.00014605-0.00034393i,-0.00024237-0.00016847i,0.00015984+0.00022359i,0.00065851+3.9218e-05i,-2.9299e-05+0.00026187i,-0.0007211-0.00034636i,-0.00065773-0.00065247i,0.00030501-0.00024645i,0.00059238-0.00046668i
0.0013068-8.4701e-06i,0.0019879+4.5231e-05i,0.0028731-0.00029226i,0.0019532-0.00019928i,0.00071404+3.0689e-05i,3.8652e-05+0.00015184i,-0.00061307-2.2877e-05i,-0.00020688-0.00020606i,-6.8538e-05-0.00017055i,-0.00019784+0.00013832i,1.4119e-05+0.00016714i,-3.2661e-05+0.00019839i,-0.00041085+0.00012626i,1.4109e-05+2.1962e-05i,-0.00017154+0.00068984i,-0.001151+0.0010373i,-0.0011637+0.00081318i,-0.00021336+0.00076837i,-0.00039596+0.00070619i,-0.00041707+0.00060629i,-0.00032163+0.00055039i,-0.00031625+0.00046173i,0.00012198-4.5382e-05i
-0.0013085+0.00039358i,-0.0012982+0.00058438i,-0.0011511+0.00023997i,-0.00052722+0.00059353i,-8.5657e-05+0.0016111i,0.00077483+0.0016607i,0.00097159+0.00042381i,0.00033578+1.9312e-05i,0.00034277+0.00022337i,0.00026088+0.00041465i,0.00038216+0.00016964i,0.00049722+7.8015e-05i,-0.00010594+0.00014624i,-0.0002905-7.8201e-05i,0.00022906-0.00010162i,0.00043869-0.00018429i,0.00014513-0.00061709i,0.00024126-0.0010721i,-8.7109e-05-0.00076427i,-0.00043623-0.00021021i,-0.00066816+0.00021474i,-0.00049611+0.00022835i,-0.00078679+0.00011913i
-0.00028698+0.0013144i,0.00025023+0.0011094i,0.00019159+0.00088234i,-0.00066998-0.00024496i,-0.00061464-0.00040596i,9.0713e-05+0.00050607i,0.00079405+5.0902e-05i,0.00099046-0.00061219i,0.0010671-0.00073432i,0.00095228-0.00042056i,0.00050204+2.2454e-05i,0.00023115+0.00014764i,-7.8536e-06-0.0005887i,-0.00023553-0.00094972i,-2.1735e-05-0.00028549i,0.0001893+3.6711e-05i,0.00015723+0.00045169i,-0.00023493+0.00064504i,-0.00022907+0.0001777i,-0.00032076+0.00015314i,-0.00051277+0.00038029i,-0.00027903-0.00021716i,-8.7872e-05-0.00069499i
-0.0011172+0.00010577i,-0.0014033+0.00044258i,-0.0014033+0.0015594i,-0.00095909+0.0026428i,-0.00043516+0.0015418i,0.00022328+0.00027738i,0.00090358+0.00026522i,0.0011293-0.00016965i,0.0015262-0.00060148i,0.0011952-0.00017638i,0.00019266-0.00020382i,6.203e-06-0.00038453i,-0.00041287-0.00045346i,-0.00087809+0.00033435i,-0.0009495+0.00066751i,-0.00085204+0.00047053i,-0.00088967+0.00017097i,-0.00081769-0.00075685i,-0.00047025-0.00071631i,-0.00016318+0.00014697i,0.00033382+0.00040288i,0.00051979-0.00024998i,9.3455e-05-0.0004049i
0.001483-0.00076601i,0.0010547-0.0016282i,0.00038158-0.0021055i,0.00037624-0.0020785i,-0.00062706-0.0013982i,-0.0013456-0.0010717i,-0.00017498-0.0007333i,0.00084716-0.0010711i,0.00085712-0.0012966i,0.00063141-0.00033474i,0.00037838+0.00034112i,-1.9214e-05+0.00016021i,-0.00074182+2.3961e-05i,-0.0012907+0.00028187i,-0.0012638+0.00092754i,-0.00044411+0.00085869i,0.0010049+0.000255i,0.00098769+0.00037805i,-0.00084407+0.00036228i,-0.0013395-0.00043064i,-0.00036614-0.00050265i,-0.00011479-0.00052661i,6.2853e-05-0.00081364i
-0.0016262+0.0011371i,5.5574e-05+0.0022941i,0.00041578+0.00276i,0.00011831+0.0031153i,0.00049846+0.0031033i,0.00086259+0.0022385i,0.0011348+0.0011005i,0.00079035+0.00050381i,1.9678e-06+0.00035201i,0.00037604+8.9379e-05i,0.0013023-0.00078614i,0.0012912-0.00047167i,0.00090106-0.00037833i,-8.3074e-05-0.0010517i,-0.00022041-0.0014425i,0.00044706-0.0013288i,0.00011095-0.00043621i,-0.00033501-0.0005342i,-0.00044381-0.00032887i,0.00017751+5.206e-05i,-0.00021959-5.9942e-05i,-0.00058784-0.00036433i,0.00027216-0.00041915i
