-0.0029133+0.0017551i,-0.0024652+0.00090882i,-0.0030633+0.00067144i,-0.0027444+0.0011258i,-0.0015215+0.0013107i,5.0585e-05+0.0013312i,0.00062414+0.001651i,0.00095213+0.0014403i,0.0012765+0.0011942i,0.00070991+0.00091593i,0.00026156+0.00036335i,4.6129e-05-1.5092e-05i,-0.0010942-0.00060631i,-0.0013504-0.0012232i,-0.0012941-0.0003656i,-0.0022072+0.00038714i,-0.0021882-0.00027391i,-0.00022954-0.0012454i,0.00049486-0.00080106i,-0.00024907+8.6036e-06i,-0.00016771-3.9613e-05i,9.189e-06+0.00015275i,-0.00028265+0.00035432i
0.00029911+0.0012884i,0.0002654+0.0011546i,-0.00023392+0.0002774i,-0.00039925-0.00029002i,-0.00067986-0.0006836i,-0.0013943-0.00071132i,-0.0016909-0.00010337i,-0.0010253-0.00014674i,-0.00015543-8.1944e-05i,0.00050142+0.00032608i,0.00048545+0.00011747i,-9.3511e-05+0.00012241i,-0.0010372-0.00027618i,-0.0012091-0.00054325i,-0.00057765+0.0003875i,-0.00018611+0.00067129i,-0.00018361-0.00021266i,-0.00023163+0.00012785i,0.00018976+0.00030283i,0.00037031-0.00059279i,0.00059624-0.000798i,0.00046335-0.00032217i,0.00031311+0.00030001i
-0.00018892-0.0013105i,-0.00066779-0.0019696i,-0.00044969-0.00080521i,7.1284e-05+0.00081748i,-0.0002193+0.00095134i,-0.00094942+0.00067287i,-0.001313+0.00063845i,-0.00091165-2.6014e-05i,-0.0002405-0.00028695i,-0.00018826+0.00036079i,-2.9099e-05-0.00016298i,0.00038572-7.3066e-07i,0.00043883+0.00074644i,0.00062188-0.00018221i,0.00066303-0.0009585i,-9.9609e-05-0.00058731i,-0.0013185+0.00038651i,-0.0014015+0.00040559i,-0.00088182+0.0005315i,-0.00053628+0.00076814i,0.00038136-0.0002176i,0.00066813-0.00023401i,3.1025e-05+0.00041226i
0.0022278+0.0012644i,0.0021259+0.00076438i,0.0024461+0.00078377i,0.0018594+0.00084258i,0.00033854-0.00073052i,-0.00024185-0.0015677i,-0.00068619-0.0010828i,-0.0016047-0.00026963i,-0.00093235-5.1136e-05i,0.0009153-0.00022024i,0.0011164-0.0002144i,8.6612e-05+0.00012121i,-0.0006893+0.00052403i,-0.00052418+0.00075206i,0.00017201+0.00054566i,0.00012649+0.00071125i,-0.00025592+0.00066668i,-0.00041059+4.8934e-05i,-0.0001084-0.00026339i,0.00027459-0.00023467i,4.0578e-05-0.00023343i,-0.00019225-0.00020863i,0.00025364+0.00016806i
0.0011206+0.00088384i,0.00034899+0.0002326i,0.00065447+0.0007829i,0.00031536+0.00042604i,-0.00092484-0.00053243i,-0.0018439-0.00053208i,-0.001603-0.00060178i,-0.0011629+8.9682e-05i,-0.0012669+0.00033638i,-0.0015138-0.0006118i,-0.0011172-0.000831i,-0.00062721-0.00041739i,-0.00025184+0.00051394i,1.5368e-05+0.00096892i,0.00074819+0.00030918i,0.00044179-8.1504e-05i,0.00032572-0.00026134i,0.00060914-0.00058976i,0.00017322-0.00096728i,-0.00039668-0.0010816i,-0.00047004-0.00019659i,-8.9319e-05+0.00054772i,0.00092444+0.00033265i
0.0015528+0.0025204i,0.0013514+0.00086121i,0.0014704+0.00023293i,0.0010694+0.0012023i,-5.3858e-05-0.00014835i,-0.00067867-0.0011383i,-0.00095066-0.00085551i,-0.0012175-0.00033859i,-0.0010346+0.00019541i,-0.00029617-0.00046545i,0.00020541-0.00034601i,-0.00017843+0.00027054i,-0.00032565+0.00016377i,-0.00045452+0.00010685i,-0.00060053-6.3028e-05i,-0.00046635-0.00096436i,7.4039e-05-0.00089517i,0.00051824-2.0446e-05i,-0.00024472+0.00029381i,-0.00061775+0.00083707i,4.1375e-05+0.0014122i,-0.00037691+0.0012537i,-0.00057814+0.00058307i
-0.001939+0.00088119i,-0.0011703+0.00092388i,-0.00040526+0.0008796i,-0.00020128+0.00026517i,4.8456e-05+8.5607e-05i,-0.00011919-2.0432e-05i,-9.6906e-05-0.00018896i,0.00022169-0.00058883i,-0.00064592-0.00087738i,-0.0003436-0.00053183i,0.00040779+0.00021638i,-8.7881e-06+0.00065686i,-0.00048612+0.00053448i,-0.00017059-0.00021125i,0.0002136-0.00034349i,0.00040084+0.00026595i,-0.0001465+0.00042676i,-0.00068998+0.00038313i,-0.00056043+0.00022209i,-8.06e-06-6.8873e-05i,2.0101e-05-0.00021633i,-0.00024322-0.00057792i,-0.00038588-0.00028753i
-0.00031538+0.00017642i,-0.00071987-0.00022607i,-0.00079452-7.4303e-05i,-0.0013709+1.3061e-05i,-0.0012758+0.00011582i,-0.00086741-0.00040549i,-0.00052797-0.00033181i,-6.4641e-05+0.00019345i,-0.00019145+0.00018396i,-0.00026451-2.1628e-06i,0.00055593-0.00098211i,0.00094372-0.0013424i,0.00078222-0.0011649i,0.00064436-0.00094179i,0.00064943-0.00062343i,0.00062962-0.00033666i,0.00068763+0.00015504i,0.00042151+7.5368e-05i,0.00053878-0.00019404i,0.00080348+5.2427e-05i,0.00072023+0.00014007i,0.00034984+9.5111e-05i,-7.5634e-05+3.9123e-05i
0.00032629-0.00061229i,-3.2266e-05-0.00047762i,0.0005362-0.00032109i,8.585e-06+2.1305e-05i,-0.00097413-0.0001615i,-0.00048005+0.00072437i,-0.0002469+0.0012929i,-0.00016219+0.00035663i,-0.0004126-0.00030596i,-0.00044047-0.00015087i,0.0002718+0.0002881i,-3.1874e-05+0.00026969i,0.00017109-0.00012789i,0.00066563+0.00035552i,0.00026902+0.00080992i,-0.00053145+0.00034088i,-0.00069617-0.00024161i,-0.00048294-0.000478i,-0.0010119-0.00052798i,-0.0008377-0.00018014i,-7.0974e-05+3.9321e-05i,-0.00042233+0.00018889i,-0.0007964+2.3176e-05i
0.0022154-0.00030461i,0.00091037-0.00067643i,-0.00023062-0.00035373i,-0.00053959+0.00025317i,-0.00052317+0.00072178i,-0.00088325+0.00030272i,-0.0011202+0.0001293i,0.00021443+0.00034381i,0.00098321+0.00066574i,0.00039478+0.00077566i,-0.00012852-0.00047539i,-1.9569e-05-0.00067533i,-0.00024359+0.0001721i,-0.0002381+0.00056098i,0.00018283+0.0008282i,-0.00022428+0.00046151i,-0.00024807-5.0818e-05i,0.00026205-0.00030651i,8.7227e-05-0.00032869i,0.00013502-0.00023808i,0.00053078-0.00036135i,-4.7914e-05-2.8534e-05i,-0.00015691+4.0414e-05i
0.00098686+0.00061426i,0.0010455-0.00032538i,0.00064109-0.00078246i,0.00043208-0.00071799i,0.00037604-0.00080808i,-0.00021279-0.000797i,-0.00078776-0.00098374i,-0.00042207-0.0010702i,-0.00021537-0.0001778i,-0.00037694+0.00061866i,-0.00037137+0.0004419i,-0.00013354+0.0002429i,0.00031794+0.00051768i,0.00046503+0.00029584i,-0.00040128-0.00026335i,-0.00026961-0.00015085i,0.00083462-0.0004014i,0.0011492-0.00079905i,0.00024696+0.00020401i,-0.00014876+0.0011947i,1.9597e-05+0.0011949i,-0.0003578+0.0010374i,-0.00077679+0.00053403i
