0.00081758-0.00079794i,0.0015196-0.00094503i,0.00047148-0.0022259i,-0.0015823-0.002467i,-0.0028705-0.0010929i,-0.002269+0.0015146i,-0.00018417+0.0017689i,0.00061312+0.00038406i,0.0006491+0.00024104i,0.00071485+0.0004294i,0.00088329-0.00017902i,0.00074099-0.00033638i,-0.00050941+7.5221e-05i,-0.0014186-0.0002991i,-0.00044214+0.00011736i,0.00065603+0.00088569i,0.00077281+0.00072347i,0.00062217+0.00074484i,0.0007625+0.0007631i,0.00017745+0.00078259i,-0.00038237+0.00051957i,-0.00041261-0.00025959i,-0.00089626-0.00075766i
-0.0040578+0.0024484i,-0.0044692+0.003222i,-0.0032407+0.0040783i,-0.00055692+0.002638i,0.0014406+0.00054289i,0.00094813-0.00039312i,0.00032694-0.00014608i,2.8625e-05-2.2093e-05i,-0.00030682-1.7497e-05i,0.0001707+0.00020207i,0.00022499+0.00034541i,-0.00044851+0.00052372i,-0.00041596+0.00058435i,0.00039608-0.00034629i,0.00079122-0.00094203i,0.00050248+0.00036887i,0.00042079+0.0013847i,0.00029181+0.0012919i,-0.00021693+0.00043682i,-0.00090384-0.0004988i,-0.00070974-0.0007586i,0.00031932+0.00010184i,0.00053487+0.00069504i
-0.0019774-0.00012607i,-0.0017095-0.00035545i,-0.00064267+0.0010877i,-0.00112+0.0011351i,-0.0010997-0.00065261i,-0.00041222-0.0015761i,-0.00017721-0.0012628i,0.00047338-0.00084894i,0.00093327-0.00093701i,0.00038128-0.00040589i,-0.00049061-2.3986e-05i,-0.0004662+0.00011832i,-4.9355e-05-9.5576e-05i,0.0003957-0.00049022i,-0.00067408-0.00046656i,-0.0014944-0.00051639i,-0.00075123-0.00062151i,-1.3921e-06-0.00082044i,7.2101e-05-0.00058639i,0.00017495-0.00028969i,6.7092e-05+0.00015332i,-0.00096041-0.00024123i,-0.00075684-0.00074851i
0.00053454+0.00040815i,0.00012338+0.00065507i,0.0011444+0.0010668i,0.0021266+0.0008846i,0.0018467-0.00018337i,0.00093224-0.00030475i,0.00059853-0.00023039i,0.00041087-0.0010132i,0.00017096-0.00093694i,-0.00011277-3.707e-05i,-0.00016384+0.00048039i,0.00015177+0.00091085i,-0.00023854+0.00074917i,-0.0010355+0.00019571i,-0.00037222+0.0006201i,0.00076791+0.00079634i,0.00099627+8.3365e-05i,0.00038507-8.5647e-05i,-0.00029761-0.00027522i,-5.1712e-06-0.00069663i,0.0006104-9.4259e-05i,0.00098046+0.00099261i,0.00063061+0.0013915i
-0.001665+0.00027224i,-0.0017162+0.0008895i,-0.0017395+0.0012504i,-0.0015719+0.0013601i,-0.00095653+0.0012635i,0.00029404+0.00017685i,0.0011088-0.00091181i,0.0010259-0.0012112i,0.00076802-0.00084231i,7.3988e-05+5.4644e-06i,-0.00027088+0.00043482i,-0.00072182+0.00018094i,-0.00081187-0.00017753i,9.7015e-06-8.3967e-05i,0.00037111-1.4829e-05i,0.00052668-7.2775e-05i,0.00076672-0.00030961i,-4.4289e-05+9.8601e-05i,-0.00086009+0.00048925i,-0.00045134+0.0001128i,0.0001284-0.00062639i,0.00018161-0.00095985i,0.00032418-0.00026527i
-0.001449+0.0017159i,-0.0013252+0.0015358i,0.00082545+0.0015609i,0.0021064+0.0008412i,0.001766-7.2721e-05i,4.6018e-05-0.00099433i,-0.00055087-0.001553i,-0.00014374-0.0013216i,-0.00015962-0.00082162i,0.000279-0.00037627i,0.00088616-0.00019702i,0.001034-0.00031158i,0.0011669-0.00056095i,0.00078731-0.00050621i,-0.00031088-0.0004818i,-0.00020296-0.00030369i,-0.0003944-9.889e-05i,-0.00031426+9.4586e-05i,0.00032556+0.00017377i,0.00040922+3.7401e-05i,0.00031628+0.00045482i,-0.00018902+0.00079745i,0.00012672+0.0010401i
-0.0012455+0.00013319i,-0.0011554+0.00061243i,-0.001426+0.00085866i,-0.0012257+0.001251i,-0.00042619+0.00042175i,0.00053118-0.00037271i,0.00047851-0.00060443i,0.00015009-0.00097549i,0.00011063-0.00018622i,0.00035225+0.0010743i,0.00062207+0.0014901i,0.00078764+0.00063245i,0.00053201+5.6348e-05i,0.00031617-0.00058509i,0.00034259-0.0015199i,0.00035779-0.0012656i,0.00045933-0.00022728i,0.00025566+0.00034524i,0.00027605+0.00044405i,0.00035543+1.8179e-05i,-0.00022361-0.00035166i,-0.00052855+0.00010921i,-1.0754e-05+0.00067807i
0.00083884-0.00018828i,1.7327e-05+0.00026226i,-8.2246e-05+3.4243e-05i,-0.0005971+0.00031408i,-0.00071899+9.149e-05i,-7.2172e-05-0.00014083i,0.00083171+5.2593e-05i,0.0010314+0.00016293i,0.00036909+0.00013185i,-0.00013306-5.9388e-05i,0.00014993-0.00012504i,0.00027908-0.00066893i,-0.00021882-0.00094597i,-0.00042682-0.0008861i,5.9058e-05-0.00047701i,0.00010709+0.00018083i,1.2355e-05-0.00017612i,-0.00046317-0.00031233i,-0.00091295+0.00038911i,-7.2346e-05+0.001202i,0.00035509+0.001201i,0.00028418+0.00062599i,0.00015976+0.00066632i
-0.0025129-0.0008271i,-0.0034729+0.00053431i,-0.0024959+0.001031i,-0.00099598+0.00054898i,-0.00030396-0.0005515i,5.8617e-05-0.0009061i,0.00081764-0.00075903i,0.001046-0.00060608i,0.00055359+0.00019492i,-2.7793e-05+0.0004323i,0.0002438-0.00029727i,0.00043762+7.4526e-05i,0.00026644-9.3664e-05i,0.00023535-0.0011564i,-0.00047645-0.0004609i,-0.0002726+0.00076996i,0.00041335+0.001147i,0.0004068+0.00046924i,0.00058517-1.5174e-06i,0.00047171+0.00027958i,0.00014238+0.00092439i,0.00036937+0.0010361i,0.0006538+0.0014814i
-0.00043463+0.00035003i,0.0001266+0.00128i,0.00062509+0.0016947i,0.0002046+0.00099175i,-0.00084109+0.00040974i,-0.0010718-0.00062571i,-0.00087814-0.0014715i,-0.00099362-0.0010547i,-0.00058915-0.00045446i,0.00035472-0.00019934i,0.00070329-0.00021834i,0.0003795-0.00049916i,0.00071363-0.00033276i,0.00026888+0.00018347i,-0.00030706+0.00039094i,-0.00034299+0.00059289i,7.1603e-05+0.00035775i,0.00057605+2.7458e-05i,0.00044597+0.00035567i,-7.3707e-05+0.00054012i,-0.0003507-3.5981e-05i,8.7758e-05+0.00039775i,0.00041969+0.0011306i
0.00071124+0.0026505i,0.0012725+0.0024918i,0.0010615+0.0013228i,0.00087756+1.7442e-05i,0.00095973-0.0010275i,-0.00030418-0.0017102i,-0.0008212-0.001738i,-0.0006559-0.00074934i,-0.00047302-0.00064475i,-0.00016158-0.00072486i,-0.00071882-0.00047174i,-0.0010355+6.0138e-05i,-0.00058238+0.00016747i,-0.00066063-0.00045008i,-0.00074692-0.00040709i,-0.00011129+0.0003376i,0.00071693+0.0011348i,0.00043036+0.0010343i,-0.00087942+0.00039126i,-0.00045779-0.00029808i,6.9708e-05+0.0002208i,-0.00045684+0.00022531i,-0.0005203-0.00017908i
0.00076758-0.0014845i,0.00056255-0.0019725i,-0.00047418-0.0021591i,-0.0015804-0.0012606i,-0.0016974-0.00031852i,-0.00050217+0.00064265i,0.00013344+0.00010553i,8.0258e-05-0.00051548i,0.00051631-5.6447e-05i,0.00011027-7.4547e-06i,-0.00038481-0.00030122i,-0.00012695-0.00064316i,-0.00012181-0.00024003i,-0.00032581-0.00015843i,-0.00070505-0.00072636i,-0.00072415-0.0014151i,-0.00038096-0.0010559i,5.8608e-05+0.00019654i,-0.00063823+0.00083132i,-0.0003206+0.00089015i,0.0010941+0.00043217i,0.0011218+0.00022125i,0.00095368+0.00070535i
-1.0008e-06+0.00050804i,-0.00066574-0.00031838i,3.8627e-05+0.00048551i,0.00061452+0.00030191i,0.00011804-0.00010381i,-0.00015916-0.00037816i,0.00034438-0.00093299i,0.0006523-0.0010895i,0.00044956-0.00081247i,-0.00020835-0.00097469i,5.201e-05-0.00068867i,0.00013599-0.00016659i,-9.0365e-05-0.00019291i,4.0508e-05-0.00072144i,0.0003882-0.00093617i,0.0010468-0.00039791i,0.00044633-0.0001715i,0.00032959+0.00016587i,0.0014973+5.029e-05i,0.0014323+0.00015329i,0.00067783+0.00071586i,-0.00024548+0.00024226i,-0.00055244-0.00049616i
