-0.0028077+0.0021504i,-0.0019682+0.0010286i,-0.0012664+0.0024174i,-0.0015403+0.0034824i,-0.0012215+0.0022773i,5.3602e-05+0.0010589i,0.00018414+0.00084725i,0.0007369+0.0012667i,0.00059797+0.00053648i,0.00046423-0.00010607i,0.00053505-0.00013634i,0.0006922-0.00044453i,0.00076023-0.0001252i,0.00055393+0.00013235i,0.0005571-0.00014977i,0.00045036+0.0004654i,0.00033287+0.0005489i,-8.0675e-05+0.00040269i,-0.00031039+0.00074974i,-7.1421e-05+0.00042093i,-0.00025227+0.00041499i,-0.0003285+0.0001182i,-7.283e-05-0.0003522i
-0.0010708-0.0018205i,0.00056784-0.0015045i,0.00087752-0.00064226i,0.00020227-0.00018095i,-0.00024967-2.6013e-05i,0.00054166+0.0011911i,0.00067132+0.0011451i,-0.00069479+0.0001814i,-0.0011168+0.00030689i,-0.00072565+0.00065939i,-0.00081609+0.00069625i,-0.0004762+0.00046107i,0.00050283+0.00068618i,0.00096323+0.0010844i,0.00051436+0.0013313i,-0.00011188+0.00051479i,-0.00010561-0.00045452i,-0.00061087-0.00053677i,-0.00085416-0.00038437i,-9.046e-07-0.00047281i,0.00031499-0.00052432i,0.00050406+0.00030036i,0.00067468+0.00043606i
0.001055-0.0027634i,0.00064378-0.0019589i,-0.00070586-0.00043709i,-0.0016093+0.00020093i,-0.001109+0.0011116i,-0.00028494+0.0015396i,0.00010743+0.00010829i,-0.00011577-0.00016523i,-0.00069882+6.1339e-05i,-0.00029888+7.6577e-05i,0.00038889+0.00046155i,0.00028655+0.00017736i,0.00018616+0.00023276i,0.00075992+0.00022662i,0.00088642-0.00063331i,0.00012191-0.0006451i,-9.912e-05-0.00042188i,-0.00016344-0.00078383i,-0.00010402-0.00045718i,8.6126e-06+0.00045381i,-0.00085319+0.00020861i,-0.0010157-0.00078079i,-0.00069844-0.0010371i
-0.00089599+0.0016651i,-0.00040505+0.00254i,0.00054784+0.0026189i,0.00060153+0.0017774i,0.00054811+0.0010635i,0.0012641+0.00019914i,0.0011869+0.00012048i,3.1681e-05+6.5698e-05i,-0.00066096-0.00097524i,-0.00044693-0.0010325i,-0.00021532+7.1477e-05i,-0.00035923+0.00050535i,-0.00010342+0.00018202i,-4.9544e-05-0.00047589i,0.00011843-0.001102i,0.00030908-0.00035432i,-7.3582e-05+3.6503e-05i,0.00028359+2.6263e-05i,0.00072975+0.00017999i,-0.0001519+0.0001878i,-0.00068576-0.00017688i,0.00023228-0.00020849i,0.00041568+5.2758e-05i
-0.00083294+0.0019623i,0.00034827+0.0012907i,0.001132+0.00022321i,0.0008235-0.00032319i,0.00066553-0.00056938i,0.00086425+0.00014855i,3.0498e-05+0.00038276i,-0.0012055-2.2165e-05i,-0.001281-0.00040762i,-0.00044216-0.00060147i,-0.00031796-0.00026645i,-0.00040701+0.00052103i,-0.00019094+0.0010261i,-0.00035845+0.00055i,-0.00085875+0.00039634i,-0.00093312+0.00042927i,6.7332e-05+0.0002487i,0.00041814+0.00053343i,-0.00040098-0.00011499i,-0.00037916-0.00021632i,0.00033066+0.00096909i,0.00050087+0.0012119i,0.00043515+0.00067906i
0.00064257-0.00038774i,0.0011577+8.8321e-05i,0.00081222+0.00058708i,0.00033563+0.0010959i,0.0003088+0.0008253i,-0.00048801-0.0001736i,-0.00051375-0.00097881i,-0.00021085-0.0011963i,9.1779e-05-3.4743e-05i,0.00026788+0.00054234i,0.00018903-0.00020051i,0.00010627-0.00042307i,-0.00040682+2.5899e-05i,-0.00043439-9.821e-05i,-0.00086821-0.00012415i,-0.0015335-0.00021607i,-0.00091608-0.00078526i,-4.3471e-05-0.00078899i,0.00020942-0.00045072i,0.00042923-0.00032517i,0.00070943+0.00025827i,0.00057176+0.00046227i,-0.00010284+0.0003096i
0.00035612+0.00067297i,-0.00026693+0.0010708i,0.00045504-0.00013485i,0.0015471-5.1463e-05i,0.0012509+0.00065628i,0.00019787+5.3853e-05i,-0.00022354+1.8452e-05i,4.8538e-05+0.00049779i,-2.1411e-05+0.0011627i,-0.00031965+0.00046903i,-0.00044542-0.00015232i,-0.00040926+0.00011038i,-0.00049037-0.00055797i,-0.00069204-0.00054901i,-0.00076436+6.5122e-05i,-0.00020062+0.00010092i,0.00012114+0.00059704i,-0.00026367+0.0012489i,0.0002182+0.0010085i,0.00075749+0.0006318i,0.00073989+0.00064587i,0.0012231+0.00066153i,0.001066+0.00019521i
0.0018227+0.0021071i,0.0020783+0.0010359i,0.002688+0.0011854i,0.0017649+0.00094348i,0.00059806+0.00028774i,-1.7748e-05-0.00049224i,-0.00077026-0.00042123i,-0.00097813-4.9654e-05i,-0.00030734-0.0001925i,0.00013053+0.00019288i,-0.0002761+0.00094772i,-0.00040835+0.00084095i,-0.0003035+0.00085822i,-6.8332e-05+0.00039366i,0.00088451-0.00063523i,0.0012438-0.00039411i,0.0001507+0.00061636i,-0.00091913+0.00066064i,-7.1453e-05+3.5699e-05i,0.00097962+7.7823e-05i,0.0012317+0.00055523i,0.00044451+0.00077378i,-0.00014039+0.00018698i
0.0019213+4.7248e-05i,0.0011918-8.8189e-05i,0.0010014-7.5785e-05i,0.0005596+0.00019258i,-0.00024585+0.00031595i,0.00055797+0.00058444i,0.00078513-8.0413e-05i,0.00022483-0.0010419i,-0.00014833-0.00030252i,-0.00060553+0.00058216i,-0.00071605+0.00064365i,-0.00020054+0.00074107i,-0.00023941+0.0004025i,-0.00017987-0.0001224i,-0.00015032+0.00025715i,-0.00086702+0.00022271i,-0.00083901-0.00037423i,0.00013299-0.00029751i,0.00069504+0.00065027i,0.00048708+0.00084294i,-4.53e-05-1.3308e-05i,-0.00056007-0.00067457i,-0.00018602-0.00068505i
0.00011003+0.00084246i,0.00046001+0.00040838i,0.0015465+0.0011856i,0.0018171+0.0010773i,0.0013077-0.00032787i,0.00054697-0.00076947i,0.00027066-0.00020464i,-0.000211+6.1463e-05i,-0.00052668+8.2032e-05i,-6.3263e-05-4.1582e-05i,0.00042334-0.00029824i,0.00028193+0.00021849i,-0.00065263+0.00038204i,-0.00074054+0.00023225i,-7.7038e-05+0.00030143i,-0.00019497-0.00011276i,0.00020399-9.5392e-05i,0.00086809-4.6478e-05i,0.00066095+6.2663e-05i,-2.3174e-05+0.00026565i,-0.00019533+0.00034176i,-5.9911e-05+1.2755e-05i,-5.5975e-05-0.00025726i
-0.00012844-0.00095561i,0.00095279-0.00093069i,0.0014467-0.00058647i,0.00096416-0.00094621i,0.0001156-0.00034375i,0.00010512+0.00057839i,-0.00010226+0.00023928i,-0.00055178-0.00054902i,-0.00071794-4.3292e-05i,-0.00083841+0.00073295i,-0.0010338+0.00062331i,-0.00047163+0.00022704i,8.2752e-06-0.00036454i,0.00054474-0.00073844i,0.00065988-0.00017407i,-0.00014052+0.00023485i,0.00034905-0.0001924i,0.0012015-0.00054757i,0.00051371-0.00088147i,-0.00011439-0.00066052i,-0.00039377+0.00017386i,-0.00011898+0.00054783i,8.1439e-06+0.00030824i
-0.0010801-0.0002921i,0.00014368+5.6833e-05i,0.00053371+0.00051936i,5.2788e-05+0.0007657i,-0.00053086+0.00012963i,-0.00022679-0.00019005i,0.00016376-0.00067222i,-0.00026599-0.00056693i,-0.00051478-0.00083794i,-0.00061495-0.00074083i,-0.00055475-8.9338e-05i,4.2158e-05-0.0002906i,0.00093128-0.00058592i,0.0012909-0.00039372i,0.00040241-0.00031908i,-0.00091687-2.2864e-05i,-0.00074332+0.00063593i,-0.0002308+0.00078625i,-0.00050909-1.9296e-05i,-0.00056091-0.00081186i,-0.00042434-0.00095103i,0.00028304-0.00012746i,-0.00029673+0.00083164i
-0.00094818-0.0011581i,-0.00034228-0.0010421i,-0.00034186-0.00037922i,-0.0011109+0.00058531i,-0.0014604+0.00089818i,-0.0010353+0.001212i,3.7659e-05+0.00076538i,-2.5928e-05-0.00049162i,-0.0011912-0.00070737i,-0.0012409+0.00012634i,-0.00011973+0.0004419i,0.00046086-0.00027481i,0.00070879-0.00023009i,0.00059523+0.00032676i,2.832e-05+0.00057188i,-9.1863e-05+0.00022324i,-7.5303e-05-0.00035638i,0.00018439+1.1098e-05i,7.8468e-05+0.00051862i,-0.0011096+7.6131e-05i,-0.0013105-0.00021777i,-0.00031624+0.00072731i,0.00056229+0.0011557i
-0.0017528+0.00023321i,-0.0017166+0.00017123i,-0.0013729+0.00099899i,-0.00043085+0.0012368i,0.00059791+0.001046i,0.00048307+0.00070887i,0.00071406-0.00040577i,0.00047347-0.0016888i,-0.00052041-0.00098136i,-0.00018441+0.00041063i,0.00035004+0.00016932i,-0.00037622-0.00029475i,-0.00083093-0.00016938i,-0.00037713-5.4682e-05i,-0.00026786-8.5397e-06i,-0.00052083+0.00027404i,0.00023125+3.734e-05i,0.00084093-0.00071119i,0.0010368-0.00075678i,0.00076127-0.00053541i,-0.00030124-0.00011768i,-0.00018139+0.00074821i,-0.00083562+0.0011146i
