-0.002129+7.7033e-05i,-0.001919+0.00064552i,-0.002364+0.0012186i,-0.0027081+0.00098891i,-0.0025114+0.0010464i,-0.0016484+0.0013616i,-0.00090703+0.0005675i,-0.00023353+0.00028249i,0.00031518+0.00013441i,0.00033055-0.00049436i,0.00051629-0.00065196i,0.0003117-0.00036698i,0.00028054-0.0002231i,0.00030738-0.00057057i,4.1089e-05-0.00023882i,0.00024002+0.00024584i,0.00033858-1.1661e-05i,-0.00039016+4.1168e-05i,-0.00074783-0.00068938i,-0.00015299-0.00098305i,-2.0186e-05-0.00078701i,-9.0089e-05-0.0013662i,-3.4835e-06-0.0011259i
0.00041995-0.00019468i,0.00070705-0.00072083i,0.0011517-0.00042261i,0.00098849-0.00068586i,0.00072266-0.00095024i,-0.00016633-0.00049476i,4.7374e-05-0.00058663i,0.00017027-0.00055245i,-0.0004409-0.0010651i,-0.00026689-0.00078935i,0.00022974-6.2644e-05i,0.0011562-0.00024218i,0.0016312+0.00013246i,0.0010919+0.00026308i,0.00024412+0.0004045i,0.00013343+0.00088543i,0.00023358+0.0007011i,-8.1516e-05+0.00031876i,-0.00091938-1.9033e-05i,-0.0012958+0.00018929i,-4.524e-06+0.0012537i,0.00091465+0.0017703i,0.00052809+0.001148i
0.0019473-0.0013822i,0.0011377-0.0021138i,-6.2936e-05-0.0018768i,-0.00020972-0.00098068i,0.00012678+0.0001967i,0.00040021-3.6005e-05i,-0.00015976+0.0001544i,-0.0010976+0.00023261i,-0.00057206-0.00063972i,0.00017719-0.00041587i,-0.0003068+0.00033859i,-0.00015757+0.00033201i,0.00098792-0.00019615i,0.00020079+0.00036765i,-0.0011371+0.00062874i,-0.00078919+2.422e-05i,-0.00031008+4.9732e-05i,-0.00019423+0.00054378i,-0.00020202+0.00022069i,-7.762e-05+7.7169e-05i,0.00020114+0.00057341i,0.00032433-9.2119e-05i,-0.00047241-0.00055647i
-0.00036236+9.5016e-05i,0.00029218+0.00038371i,-0.00025852+0.00019636i,-0.00028916-0.00025403i,-8.9664e-05-0.000835i,-0.00026256-0.0014167i,-0.00013744-0.0013464i,-5.8445e-06-0.00088647i,-1.4502e-05-0.00096551i,-7.5668e-05-0.00073736i,0.00015672-0.00034996i,0.00083217-0.00078667i,0.00066369-0.0010032i,-8.9277e-05-0.00064888i,-0.00018316-0.00027973i,-0.0006624-1.654e-05i,-0.00097259+0.00061227i,-0.0001819+0.00087927i,-8.8817e-05-8.931e-05i,-0.00060081-0.00022531i,-0.00063603+5.3365e-06i,-0.00069866-0.00024583i,-0.00043109-0.00039262i
-0.0014067-0.00010334i,-0.0017664+0.00019592i,-0.0021906-0.00019292i,-0.0016704+7.8134e-05i,-0.00066096+0.00051992i,-0.0003389+0.00021572i,-0.00091104-0.0003568i,-0.00066874-0.00024952i,-0.00074555-0.00053912i,-0.0010792-0.00083951i,-0.0006418-0.00041896i,9.2726e-05-0.00019966i,-0.00012282+0.00025954i,-0.00038074+0.00063133i,-0.00035814+0.00033381i,-0.00014171+0.00015532i,0.0006493-0.00031603i,0.00076736-0.00036259i,0.00034303-6.6548e-05i,0.00054725+0.00038315i,0.00034046+0.00094992i,6.4845e-05+0.00056824i,6.48e-05-0.00010974i
-0.00080951-0.0015629i,-0.0012735-0.0016609i,-0.0016645-0.0017384i,0.00025875-0.0010596i,0.0010832+2.0842e-05i,0.00069115+0.00041063i,0.00093481-0.00038346i,0.00046046-0.001298i,6.1517e-05-0.0013704i,-7.9305e-05-0.0011822i,0.00048974-0.00084213i,0.0013107+7.6606e-06i,0.0010082+0.00011934i,-0.00014233+8.0465e-05i,-0.00017321+8.8629e-05i,0.00031914-0.00046535i,-0.00037501-0.00098731i,-0.00068553-0.0006312i,-0.00062727+0.00050471i,-0.00077973+0.00038223i,-0.00049146-0.00034262i,0.00013819-7.6708e-05i,-2.7439e-05+0.00050243i
-9.8468e-05-0.00012055i,0.0005487+0.00041435i,2.4974e-05+0.00067245i,-0.0010581+0.00053245i,-0.0013007+0.00059932i,-0.0012125+0.00077761i,-0.0008506+0.00044254i,0.00029908-0.00047651i,0.00045218-0.0010262i,-5.2451e-05-0.0013079i,0.00044132-0.00076083i,0.00055201+0.00016617i,0.00019373+5.9886e-05i,0.00035715-0.00051083i,0.00059912-0.00034466i,0.00071028+0.00072348i,0.00056649+0.00041685i,2.6952e-05-0.00097117i,-0.00064867-0.00032572i,-0.00075864+0.00033247i,-0.00014364-0.00041038i,-2.3387e-06-0.0004738i,-0.00044898-9.0169e-05i
0.00063016+0.00074621i,-0.00055866+0.00083007i,-0.0015471+0.00071111i,-0.0012638+0.000217i,0.00022312-0.00052329i,0.00087167-0.00039835i,-0.00011032-0.00029853i,-0.00051764-0.0010193i,2.7938e-05-0.0012322i,0.00013006-0.0010609i,9.4919e-05-0.00088268i,2.9443e-06-0.00026279i,8.5952e-05-0.0002853i,0.00035213-0.00035418i,0.00010559-9.0088e-05i,-0.00013664-0.00040837i,-2.809e-05-0.00052777i,-0.00032771+0.00033651i,-0.00069183+0.00036323i,-0.00021538-0.00019995i,0.00014487+0.00036381i,-0.00020017+0.00042253i,5.7685e-05-0.00054843i
0.00052198-0.00064156i,0.0012204-0.0009382i,0.0011845-0.0007621i,0.00034324-0.00015934i,-0.00031813-0.00093063i,-0.00064379-0.001143i,-0.00097225-0.00085591i,-0.0013078-0.0011434i,-0.00084171-0.0012462i,-0.00014215-0.0012184i,-0.00018244-0.00032951i,0.00013755-0.00045248i,0.00034672-0.0012983i,0.00014542-0.0012587i,-2.258e-05-0.0010511i,0.00037998-0.0011896i,0.0009662-0.0011791i,0.0005965-0.00070512i,6.8082e-05-0.00037176i,-2.7522e-06-3.6147e-05i,-1.9819e-05+0.0002438i,2.5276e-05-0.00010176i,-3.4242e-05-0.00019876i
-0.0014726-0.00068898i,-0.0022626-0.00019034i,-0.0027-0.00094886i,-0.0015746-0.00066988i,-0.0011248+0.00096663i,-0.00031745+0.0014111i,0.00083316+0.00068445i,0.0012175-0.00046333i,0.0009845-0.0010124i,0.00070021-0.0013146i,0.00046544-0.00055535i,0.00031236+0.00068414i,0.00034583+0.00027017i,-0.00027183+4.3791e-06i,-0.0005572+0.00025483i,-7.0226e-05-5.0262e-05i,0.00011367-0.00032707i,-8.4068e-05-0.00032744i,-0.00026978+0.00012907i,-0.00058519+0.00039951i,-0.00089153+0.00075544i,-0.00053924+0.0015206i,-0.00053157+0.0015804i
0.0011525-0.00066284i,0.0019899-0.00073656i,0.0031946-0.00074947i,0.0024958-0.00081485i,0.0013368-0.0019975i,-0.00021193-0.0019268i,-0.00054961-0.0013263i,0.00041456-0.0011978i,0.00047379-0.00072761i,0.0003265-0.00055758i,0.0004854+0.00024208i,1.2423e-05+0.0007992i,1.3875e-06+0.00038561i,0.00034103+3.4302e-05i,0.00057673-0.00059718i,0.00097056-0.00068067i,0.00039521-0.00012876i,-0.00041129+0.00024891i,-0.00053024-0.00066219i,-0.00052996-0.001004i,-0.00033638-0.00076171i,0.00027301+6.9803e-05i,0.00016889+0.0010478i
0.0012652+0.00021886i,0.0017475+1.6393e-05i,0.00071158-0.00052819i,-6.9408e-05-0.00061028i,2.1862e-05-0.00071925i,-0.00048083-0.00019106i,-0.00075141+0.00011982i,-0.00033725-0.00053203i,6.4176e-05-0.0013645i,0.00073576-0.0016036i,0.00044578-0.0010909i,-0.00019094-0.0004793i,-0.00042239-0.00010254i,-0.00010917-8.5408e-05i,-0.0001453-0.00078422i,-0.00023717-0.001243i,0.00017481-0.00047736i,0.00080389-0.00022945i,0.00022246+0.00026216i,-0.00061227+0.000711i,-0.00088697+0.0002277i,-0.0013168+0.00012669i,-0.0012381+2.8326e-06i
-0.00021206-0.00026511i,-8.6143e-05+0.00018947i,-8.1476e-05+0.00098214i,0.0007377+0.00076512i,0.0014473-0.00045261i,0.00054932-0.00061651i,0.0001629+0.00081729i,0.00059932+0.00083951i,-2.3411e-05-0.00045699i,-0.00031201-0.0010167i,0.00088592-0.00071543i,0.0010874+0.00019334i,-0.00022775+0.00044986i,-0.00051156+0.00026086i,0.00028671+8.0096e-05i,0.00079396-0.00018735i,0.00059623+5.2594e-05i,-0.00023337+0.0005809i,-0.00058278+0.00038943i,-0.0002915-0.00019188i,-0.00012103+0.00032869i,-0.00022383+0.00034076i,-0.00057961-7.014e-05i
0.0023784-0.0002553i,0.0012342-0.0006537i,0.0016667-0.0014103i,0.0014727-0.0021052i,-0.0002554-0.0017606i,-0.00099281-0.0010744i,-0.000515-0.0011835i,-0.0003698-0.0016975i,0.00043384-0.0021982i,0.00086794-0.0017967i,0.00014128-0.0008461i,0.00023707+0.00019436i,5.2068e-05+0.00014504i,0.00014954+9.2095e-05i,0.00080447+2.0963e-06i,0.00046741-0.0011741i,0.00026078-0.0015338i,0.00030003-0.00047606i,-0.000385-7.5576e-05i,-0.00041586+0.00013401i,0.00019104+0.00071926i,-0.00012388+0.00010434i,6.8642e-06-0.0010627i
0.00077813-0.00099665i,0.00074061-0.00030198i,0.00092641-0.0010514i,0.00057975-0.0012898i,0.00077029-0.00065547i,0.00078198-0.00024618i,0.00056754-0.00066401i,0.00083072-0.0012555i,0.00081875-0.0013542i,0.00054459-0.000865i,0.00022476-0.00051535i,0.00050021-0.00027167i,-3.9931e-05-0.00026536i,-0.00055917+0.00027648i,-0.00049464+0.0015438i,-0.00080098+0.0014784i,-0.00054394+0.00054117i,8.7724e-05-0.00015472i,-0.00031883-0.00089999i,-0.00070801-0.00087501i,-0.0012787-0.00028097i,-0.0013041-0.00055133i,-0.00013566-0.0013734i
0.00022554+0.0011218i,0.00070955+0.0013272i,0.0008351+0.0010813i,0.00064842-0.00032028i,9.0754e-05-0.001401i,-0.0008573-0.00123i,-0.00097601-0.0014413i,-0.00059617-0.0016365i,0.00011803-0.0013323i,0.00022704-0.0010867i,0.00015077-0.00057589i,0.00044493-0.00028823i,0.000891-0.00042026i,0.0010499-0.0004852i,0.00047215-0.00048694i,-0.00029762-7.8688e-05i,-0.00049745+0.0006661i,-0.00012179+0.00044884i,0.00029375-0.00073513i,0.000588-0.00076533i,0.00025787+0.00015657i,5.2573e-05+0.00035913i,0.00014876+0.00019524i
