-0.0021151-0.00024692i,-0.001071+0.00040457i,-0.0014854+0.00049874i,-0.0014933+0.00067014i,-6.0912e-05+0.0014751i,0.00036872+0.001648i,7.6956e-07+0.0013887i,0.00017287+0.00089706i,0.0010597+0.00016186i,0.0016224-0.00021385i,0.00078675+0.00027535i,0.0004229+0.00052004i,0.0003364+0.00025243i,-0.00017981+7.6061e-05i,-0.00054449+0.00053066i,-0.00042956+0.00072523i,-0.00010534+0.00027183i,0.00020088+0.00034899i,0.00063293+0.00065338i,0.00024453-4.186e-05i,-0.0002826-0.0001663i,-0.00013457-0.0001029i,-0.00047609-0.00017634i
0.00051727-0.001937i,-0.0003401-0.0020507i,-0.0022248-0.00096582i,-0.0016445+0.0006987i,-7.8029e-05+0.0015548i,0.00084754+0.0013305i,0.0012919+0.0012942i,0.0012674+0.00087769i,0.00069303-0.0003555i,-6.5862e-05-0.00051135i,-9.478e-05+0.00011096i,0.00044514+0.00066445i,0.00050869+0.001214i,-0.00037424+0.00099611i,-0.0004878+0.00054001i,9.8272e-05+0.0012523i,-2.377e-05+0.0011626i,-0.00026281+0.00033131i,-0.00013033+0.00013281i,0.00015878-0.00024996i,0.00015647-0.00061595i,-0.00044264-0.00029927i,-0.00033437-1.5966e-05i
-0.0011387+0.00021576i,-0.00080476+0.00069758i,-0.0010093+0.001302i,-0.00065402+0.0011697i,0.00059936+0.0014983i,0.0017158+0.0012852i,0.0016381+8.5914e-05i,0.0012922-0.00028842i,0.0010291+0.00014455i,0.00078971+0.00047779i,0.00061463+0.00024624i,0.00032884-0.00039219i,7.7693e-05-0.0010236i,8.7736e-05-0.001086i,-0.00032065-0.0010531i,-0.00087163-0.00028936i,-0.00051936+0.000336i,-0.00036655+0.00072172i,-0.00042587+0.0013095i,3.6319e-05+0.00073987i,0.00021914-4.7187e-05i,0.00045143-0.00029082i,0.00065258-0.00051963i
0.0016393+0.00184i,0.00067253+0.0016658i,9.6767e-05+0.0010536i,0.00043916-5.3855e-05i,0.0010043+0.00019692i,0.00059632+0.0011826i,0.00022065+0.0010906i,0.0010599+0.00087702i,0.00062245+0.00059963i,-0.00057563-0.0001537i,-0.00057295-0.00087596i,-0.00029137-0.00065167i,-0.0002065+0.00019469i,3.7275e-05+0.0005629i,0.00034609-6.4225e-05i,-0.00023204-0.00037288i,-0.00049417+7.0934e-05i,-0.00029808+0.00036048i,-0.00029264+0.0001242i,-2.0625e-05-0.00038089i,0.00034839+0.00028575i,-0.00032954+0.00053267i,-0.00063379-0.00032642i
-0.0016756-0.0018458i,-0.0014154-0.00089829i,-0.0013141+0.00065931i,-0.00047228+0.0023765i,0.00087125+0.0025767i,0.002017+0.0012836i,0.0024727+0.00021956i,0.0011035-0.00029107i,-0.00038932-0.00059506i,-0.00043621-0.00052218i,-0.0003447+0.00025599i,0.00022832-3.2156e-05i,0.00087381-0.00041729i,0.00035765+0.00063691i,-0.00022702+0.00048643i,1.5094e-06-0.00027023i,0.00018407-2.6335e-05i,0.00030304+1.2912e-05i,7.4374e-05-0.00017232i,-0.00027708+9.9688e-05i,-0.0001387+0.00027278i,9.1555e-05+0.00068544i,0.0006411+0.0011636i
0.00022548-0.00028894i,-0.00052801-0.00017939i,-0.00089654+0.00013346i,-0.000726+0.00070527i,0.00018472+0.00055484i,0.00069583+0.00039353i,0.00039059+0.00060976i,0.00033618+0.00026348i,-7.8817e-05+0.00020768i,-0.00060092+0.00036955i,-0.0005393-0.00015338i,-0.0001844-0.00057034i,0.00016016-0.00035972i,-0.00026817-0.0003094i,-0.00088622-0.00057056i,-0.00081916-0.00041869i,-0.0005438-0.00025177i,-0.00087402+0.00024644i,-0.00080177+0.00038487i,-5.1849e-05+0.0003657i,0.00028802+0.00082205i,0.00022277+0.00045069i,-5.8095e-05-0.0007987i
-0.00071918+0.00036649i,-0.0003663-0.00016795i,0.00049564+0.00090161i,0.0011917+0.0018411i,0.00097386+0.0017213i,0.0013086+0.001621i,0.0017993+0.001257i,0.00065733+7.1293e-05i,0.00035993-5.2973e-05i,0.00061523+0.0006732i,0.00088616+0.0010362i,0.0015133+0.0011825i,0.0014682+0.00080301i,0.00053483+0.00021154i,-2.1147e-05+0.00020922i,-8.1827e-05+0.00036571i,-0.00065419-0.00020782i,-0.0010294-0.00054325i,-0.0004065-0.00042823i,0.00046523-6.8586e-05i,0.0001837+0.00022664i,-0.00064776+0.00034475i,-0.001141+0.00048471i
-0.00099387+0.00021672i,0.0002154+0.0010803i,0.00053124+0.0018692i,-0.0006464+0.0010724i,-7.0234e-05+0.001158i,0.00076997+0.0012205i,0.00028265+0.00089899i,0.00024169+0.00052258i,2.6965e-05+0.0005581i,-0.00027883+0.0007672i,0.00012455+0.00078823i,0.0002114+0.0001585i,-0.00028127-0.00013822i,-0.00041285+8.7765e-05i,-0.00071336+1.5659e-05i,-0.00070379+0.00017118i,-0.00029215+0.00049291i,-3.4528e-05+1.0941e-05i,-4.6017e-05-0.00044695i,0.00031333+0.00010649i,0.00050021+0.00014937i,0.0001154+0.00028597i,-6.554e-05+0.00082574i
-0.00071533+0.00089809i,0.00059887+0.00072717i,0.00092101+0.0016403i,0.0017916+0.0014408i,0.0019988+0.00076494i,0.0018283-0.00011222i,0.0017404-0.00028644i,0.0012384+0.00034475i,0.00082409+0.00028297i,0.001695-7.7892e-05i,0.0018591-1.1776e-05i,0.0010712+9.6663e-05i,0.00083022+0.00033807i,0.0011116+0.00049336i,0.0010728+0.00063615i,0.00021313+0.00035701i,-0.00025251+0.0002617i,1.2652e-05+0.00038917i,-3.5338e-05+0.00033807i,0.00027919+0.00023577i,0.00051835+0.00026912i,-0.00026812-0.00037429i,-0.00069139-0.00062155i
0.0013886+0.00073136i,0.00018384+0.00092527i,-0.00078674+0.00059966i,-0.0008683+0.0013964i,0.0004038+0.00074309i,0.0019617-0.00028059i,0.0020791-0.00070118i,0.0013652-0.0012306i,0.00068702-0.001489i,-0.00041919-0.0012209i,-0.0006662-0.00075175i,0.00013752-1.1382e-05i,-1.1333e-05+0.00025047i,-0.00058101+2.2974e-05i,-0.00049104-9.8629e-05i,-0.00091773-0.00010257i,-0.00060258+0.00018384i,0.00036668+0.00060037i,0.0003577+0.00047077i,4.8498e-05+0.00028565i,-0.00058708+0.00032196i,-0.00018557+0.00030291i,0.00027201+0.00080705i
-0.0009697-0.00035696i,-0.0011693+2.4865e-05i,-9.7145e-05-4.5297e-06i,0.00067861+6.9521e-05i,0.0011979+0.00056746i,0.0018978+0.0009003i,0.0019396+0.0013416i,0.00046882+0.0014379i,-0.000765+0.00081378i,-0.00046662+0.00071365i,0.00075333+5.382e-05i,0.0016562-0.00016579i,0.0018599-0.00036646i,0.00065754-0.00034714i,-0.00057227-0.00054817i,-7.1116e-05-0.00087706i,0.00062287-0.0013582i,0.00041263-0.0017827i,0.00034957-0.0016767i,0.001185-0.00083455i,0.0010886-0.00027575i,0.00017672-5.1695e-05i,-0.0004061+0.00045165i
