-0.0043634-0.00072099i,-0.0042006-0.0011078i,-0.0037693-0.0010739i,-0.0020616-0.00027766i,-0.0014597+0.00052188i,-0.0019507+0.0011775i,-0.0015011+0.0011901i,-0.00054008+0.00058209i,-6.7272e-05+2.9455e-05i,0.00037517-0.00029932i,0.00045883-0.00059334i,-0.00039302-0.00070916i,-0.0011155-0.00019576i,-0.0008523+0.00012892i,-0.00038564+0.00024927i,0.00016434+0.0011064i,0.00078782+0.00097155i,0.00038418-0.00030043i,-0.00013065-0.00037896i,-0.0002291+0.00026844i,0.00049071+0.000237i,0.00079246-0.00054565i,0.00072379-0.00076822i
0.0001324+0.00085929i,0.00060453+0.0009082i,0.0017454+0.0018976i,0.0021874+0.00094153i,0.0018625-0.00097673i,0.0016296-0.0019862i,0.0011956-0.0016549i,0.00056375-0.0011766i,4.0634e-05-0.00035219i,0.00024322+0.00029918i,0.00064846-0.00017318i,0.00071564-0.00089151i,0.00072151-0.0010959i,0.00038443-0.00095191i,0.00041966-0.0005148i,0.00043635+5.4652e-05i,0.00053204+0.00034959i,0.00038253+0.00045805i,-0.0003455+0.00015493i,-0.00090553-0.0006595i,-0.00063503-0.00073383i,-0.0009648-0.00070334i,-0.001558-0.0006845i
0.00053612+0.0022317i,-0.00038133+0.0012317i,0.00011226+0.00039131i,2.9879e-05-0.00041606i,0.0001206-0.001114i,0.00037488-0.00083885i,0.00035804+4.2656e-05i,4.4045e-05+0.00042965i,9.9895e-05+0.00038308i,0.00056766+0.00059424i,0.00015261+0.00063385i,-0.00017305+0.00060595i,-3.1104e-05-4.892e-06i,-0.00029566-0.0001098i,-0.0001717-0.00015027i,0.00016381-0.00016879i,0.00023828-0.0001632i,2.0107e-05+6.2203e-05i,-3.7899e-05+0.0002599i,0.00037061-0.00019841i,0.00069237-0.00034177i,0.00070184-0.00012273i,-1.4675e-05-0.00036233i
-4.2338e-05+0.0026399i,0.00034151+0.001919i,0.00094757+0.00079351i,0.00043099-0.0003055i,0.00045288-0.00097862i,0.00083262-0.0012343i,0.00077951-0.0015705i,0.0006057-0.0013027i,0.00012714-0.0011381i,-0.00022441-0.00062179i,-6.8385e-05-0.00018637i,-0.00076313-0.00018371i,-0.0012872+9.3919e-05i,-0.00077391+0.0003587i,-0.0004472-0.00010924i,0.00044164-0.00053058i,0.00040688-1.3632e-05i,-3.1579e-05+0.00053133i,7.134e-05+0.0006069i,-0.00043485+0.00038332i,-0.00031805+0.00010799i,-9.1068e-05+0.00074968i,-0.00062102+0.00088264i
0.00031546+0.00080075i,0.00045961+0.00065951i,0.0011103-0.00014502i,0.00082241-0.00092206i,-0.00017157-0.0012569i,-0.0011769-0.0010058i,-0.0012343-0.00065627i,-0.0013772-0.00017763i,-0.00087464+9.4923e-05i,-0.00077796+3.1987e-05i,-0.00070734-0.00044256i,1.2497e-05-0.0009362i,-7.9485e-05-0.0012727i,-0.00018343-0.00038567i,0.00016235+0.00056122i,-0.0001968+0.00048783i,-0.00015492-6.9134e-05i,0.00030829-0.00012561i,-9.8215e-05-0.00012575i,-0.00074927-0.00020295i,-0.00045251-0.00059839i,0.00031801-0.00038326i,0.00026294+7.3468e-05i
-0.0010932+0.0020116i,-0.0012113+0.0017427i,-0.00078188+0.0022751i,0.00015117+0.0015368i,0.00068304-0.00025612i,0.00059904-0.00081883i,0.00014539-3.0292e-05i,-0.00073032+6.0576e-05i,-0.00020749+0.0005942i,0.00031885+0.0014422i,-1.0854e-05+0.001195i,-0.00012062+0.00055747i,-0.00030899-0.00062759i,-0.00012111-0.00055i,-0.00010245+0.00082184i,0.0004048+0.00030108i,0.00090404-0.0004538i,0.00068566-0.00010124i,0.0003113-0.00019264i,0.00061775-0.00041786i,0.0003111-0.00032105i,-0.0004265-0.00076312i,-0.00062551-0.0015731i
-0.00022732-7.4768e-05i,-0.00073621-0.00034993i,-0.00143-0.000436i,-0.00081962-0.00040057i,-0.0012816-0.00086519i,-0.0017997-0.0016513i,-0.001071-0.00226i,-0.00051604-0.001679i,-0.00042405+0.00015768i,-0.00065036+0.00083037i,-9.6803e-05+0.00050315i,0.00017088-0.00021061i,3.8355e-05-0.00052188i,-0.00014558+5.2702e-05i,-0.00054799+0.00030738i,-0.0010624-8.8032e-05i,-0.00035711-0.0005339i,0.000784-8.6526e-05i,0.00093257+0.00077514i,0.0001778+0.00074961i,-0.00049885+0.00056494i,-0.00017061+0.00017758i,0.00033262+7.2482e-05i
0.00042285-0.0016792i,-8.3545e-05-0.00074837i,-0.00055328+3.5261e-06i,-0.00043193+0.00053582i,3.583e-05+0.0010659i,-0.00021868+0.0010463i,0.00026908-0.00084068i,0.00013359-0.0020814i,-0.0003887-0.0011349i,0.00050327-0.00021202i,0.00077872-0.00032776i,0.00014255-0.00042968i,0.00035518+0.00031808i,0.00047662+0.00071371i,0.00061479+0.00044815i,0.0014499-0.00011318i,0.0010952-0.00016837i,0.00011207+0.00017957i,-0.00076495+4.4039e-05i,-0.00058303-0.00044236i,4.0546e-05-0.00024525i,0.00063446+0.00066098i,0.0002804+0.00075296i
-0.0006006+0.0003858i,-0.0011687+0.0012443i,-0.0016535+0.0019317i,-0.0013008+0.0019798i,-0.00088648+0.00054375i,-8.0519e-06+0.00023924i,0.00023817-0.00029234i,-0.00036378-0.00095129i,-0.00050516-0.0010165i,-0.00049811-0.00021476i,-0.00040382+0.0006096i,-0.00047037+0.0010288i,3.139e-05+0.00091251i,0.00024733+0.00016288i,-0.00029923-0.00021354i,-0.00028622-0.00032325i,-0.00021669+0.0003814i,-0.00032486+0.0004041i,2.2508e-05+0.00013447i,0.00068629+0.00041109i,0.00069648+0.00024798i,-0.00024323+0.00026415i,-0.00051036+0.00034193i
-0.00080336+0.0012275i,-0.00051754+0.0010729i,-0.00052417+0.0006219i,-0.00054203+0.00048465i,-0.00043012-1.5857e-05i,-0.00044753-0.00064906i,-0.00080565-0.00050741i,-0.00097961-2.6854e-05i,-0.0010661+0.00038903i,-0.00040525+0.00073573i,0.00030301+0.00065692i,0.00060604+0.00039342i,0.0010913-3.6344e-07i,0.00044508-6.995e-05i,-0.00062615-0.00025784i,-0.00067489-0.00034776i,-0.00062756+0.00017376i,-0.00025093+0.00010475i,0.00063817+0.00018453i,0.00031772+0.00052046i,-0.00026041+0.00086639i,3.8218e-05+0.00029651i,-0.00016839-0.00030669i
0.0016531+0.0010047i,0.0019297+0.00034247i,0.0014591-0.00023212i,0.0011126-0.00078493i,0.00070078-0.0012583i,4.1139e-05-0.0012563i,-0.00029134-0.0011741i,-0.00035348-0.0009412i,-0.00018722-0.00026775i,-0.00021398+0.00020625i,-0.00034697+0.00021737i,7.4126e-05+0.00033411i,0.00035375-0.00063641i,9.5223e-06-0.001054i,-0.00039186-5.394e-05i,-0.00029898+0.00017711i,-0.00067665-0.0003337i,-0.00075947-0.00038211i,-0.00031306-0.000401i,0.00028185-0.00044446i,0.00046289+0.00036154i,0.00063651+0.0010434i,0.00032166+0.00071482i
