0.00086481-0.0011495i,0.00066121-0.0017823i,-0.0019842-0.0021937i,-0.0030755-0.0016484i,-0.0022587-0.0010657i,-0.0015001+0.00010767i,-0.00096668+0.0015692i,-0.0012535+0.0021642i,-0.00035939+0.001065i,0.0007558-0.00017856i,0.00026393-0.00088468i,-0.00039418-0.0014929i,-0.0001486-0.0011751i,0.00049179+0.00014022i,-0.00032664+0.0011046i,-0.0011323+0.00074974i,-0.00068641+0.00012581i,0.0001711-0.00051889i,0.00063874-0.00021071i,6.3761e-05+0.00041891i,-0.00018716+3.843e-05i,-0.00023991+0.00012905i,0.00018334+0.00052577i
-0.00042278+0.0018482i,-0.000598+0.00091105i,-0.00083055+0.00084291i,-0.00053394+0.000795i,0.00019807+0.0013202i,0.00021831+0.0010638i,-0.00016572+0.00044219i,-0.00055314+0.00037093i,-0.0010203+0.00082688i,-0.00017992+0.00067756i,0.00068191-0.00049044i,-0.00011206-0.00087648i,-0.00087539-0.00028792i,-0.0006145-0.00045566i,-0.00022606-0.00088561i,-0.00046465-0.00032027i,-0.00027682+0.00052978i,0.00061852+0.00012294i,0.00057917-0.00035344i,0.00013725+0.00037164i,9.4197e-05+0.00032746i,-0.00029435+6.4752e-05i,-0.00039618-6.4732e-05i
-0.0013116+0.00094035i,-0.0030727+0.00079557i,-0.0036056+0.0009481i,-0.0022358+0.00055864i,-0.0013769+0.00030063i,-0.00075136+0.00058407i,-0.00020773+0.00043281i,0.00014548+0.00038782i,0.00065903+0.0012066i,0.00040358+0.00099787i,-2.1276e-05+0.00044314i,-0.00020887+1.1598e-06i,-9.8467e-05+2.4355e-05i,-0.00018622+0.00066036i,-0.00019663+0.00063792i,0.00030446+0.00064944i,0.00021839+0.00055886i,-0.00016387+5.5477e-05i,-2.649e-05+0.00012306i,0.00051015+0.0005102i,0.00089167+0.00031171i,0.00029646-0.00022318i,-0.00049913+0.00052269i
-0.00089196+0.00016495i,-0.00027582-0.00063213i,-0.00087922-0.000843i,-0.0017544-0.00028392i,-0.0011845+0.0010969i,0.0002425+0.0010274i,0.00082126-3.647e-05i,-3.2726e-05-0.00029547i,-0.00045368-0.00088155i,0.00024942-0.0016867i,8.4416e-05-0.0018019i,-0.00011574-0.0013108i,5.0498e-05-0.00084482i,-0.00017505-0.00048149i,-0.00060866+5.7921e-07i,-0.00097308+0.00083427i,-0.00082585+0.00076122i,6.5938e-05-0.00053954i,0.0008745-0.0006255i,0.00060284+6.9328e-05i,0.00045906+0.00010014i,0.00076787-0.00020368i,-4.066e-05-0.0002671i
-0.00038882+2.5731e-05i,-2.7467e-05+0.00022057i,-0.00031736+0.00097986i,-0.0012876+0.0014549i,-0.00087343+0.0016442i,-0.00060858+0.00095374i,-0.00016137+4.3752e-05i,0.00060822-0.00025661i,-0.00014758+0.00031411i,-0.00089765+0.00039658i,-0.00030446+7.7071e-05i,-0.00055197+7.0605e-05i,-0.0013484-0.00031439i,-0.0013933+0.00014159i,-0.00078117+0.00043498i,6.2587e-05+0.00039119i,0.00067978-0.00010225i,0.0010498-0.00055917i,0.00083882-0.00022221i,0.00040516+0.00033145i,0.00012322+0.00018264i,0.0003816+0.00012921i,0.00046146+0.00040716i
-0.00075908+0.00069285i,-0.0012056+0.00087223i,-0.0017509+0.00086783i,-0.001956+0.00029095i,-0.0010671+0.00098734i,-0.00057999+0.00099093i,-0.00050742+0.00010917i,7.7034e-05-0.00024356i,0.00077832-0.0005864i,0.0016193-0.00054546i,0.0013275+8.463e-05i,0.00019005+0.00033452i,0.00016455+0.00020363i,8.082e-05-0.0003434i,-0.00044891-0.00056897i,-0.000498-0.0003855i,0.00023526+0.00027779i,0.00089378-6.8568e-05i,0.0011404-0.0003828i,0.00072397+5.5902e-05i,7.9978e-05-0.00018237i,-1.5413e-05-0.0003625i,0.00063168+2.9398e-05i
-0.001373-0.00035636i,-0.002239-0.0012896i,-0.0026183-0.0010855i,-0.002383-6.8986e-05i,-0.0016281+0.00030117i,-0.00034932+0.00069893i,0.00049359+0.00047745i,0.0010839-0.00022582i,0.0012399+0.00014812i,0.00068238+4.6572e-05i,-0.00046276-0.00021607i,-0.00098001-2.1241e-05i,-0.00012807+0.00034243i,0.00017486+0.00030151i,-8.0356e-05-0.00029417i,0.00030673+0.00023305i,0.00034053+0.00058509i,0.00054008-0.00029963i,0.00056327-0.00074255i,0.00012402-0.00039761i,-0.00016075-0.00020135i,-0.00038039-0.00036504i,-0.00043792-9.3396e-05i
0.0013865+0.00026657i,0.001044-0.0013948i,0.00058719-0.001261i,-0.00020638+0.00052894i,-0.00044473+0.0009604i,0.00018686+0.00043219i,0.00054088+0.00016236i,0.00020896+1.2623e-05i,-0.00024897-0.00020826i,-0.00050692-0.00076038i,-0.00052083-0.00038247i,-0.00055333+0.00042898i,-0.00098208+6.9517e-05i,-0.0011675-0.00071204i,-0.00071806+9.9401e-06i,-0.0011082+0.00071436i,-0.0011104+0.00097593i,-0.0002473+0.00087929i,-1.3319e-05+0.00064961i,0.00049706+4.2181e-05i,0.00075202-0.00038096i,4.8066e-05+1.1688e-05i,2.0081e-05-0.00029634i
-0.00076164+0.0012793i,-0.0010868+0.00051576i,-0.0014803-6.5572e-05i,-0.0017882-0.00032444i,-0.0009519-0.00010353i,-0.00065253+0.00046313i,-0.00081398+0.00031958i,-0.00048014-5.1544e-05i,-0.00049707-0.00032036i,-0.00078966-0.00071819i,-0.000491-0.00023903i,-0.00096761+0.00072047i,-0.0013469+0.00095706i,-0.00042515+0.0007622i,0.00057165-5.6569e-05i,0.00032636-0.00088402i,-0.00010939-0.00046996i,0.00022281-0.00032508i,0.00098289-0.00029667i,0.0006012+0.00039028i,-4.499e-06+0.00052119i,-6.2136e-06+0.00066664i,4.7769e-05+0.0010699i
-0.0015982-0.00072829i,-0.0017823+0.00018583i,-0.0022029+0.00072542i,-0.0026055+0.00082723i,-0.0019613+0.0010511i,-0.00047545+0.0011547i,-3.0723e-06+0.0010501i,0.00050141+0.00020828i,0.00091228+0.00019076i,0.00080702+0.0011197i,0.0003889+0.0011276i,-0.0005089+0.00020246i,-0.00055017+8.2952e-05i,6.0627e-05+0.00051042i,-6.7039e-06+0.00099475i,-9.1671e-05+0.0013927i,0.00022089+0.00076957i,0.00014045+0.00031111i,0.00019272+5.1208e-05i,0.0001977-0.00046847i,-0.00018429+0.00012843i,-0.00021505+0.00075664i,0.00060747+0.00017361i
0.0025466-0.0010577i,0.000385-0.0011633i,-0.00092766-0.0016766i,-0.0011618-0.001623i,-0.0015251-0.00056158i,-0.001272+0.00019707i,-0.00026313+0.00023631i,-0.00021874+0.00017919i,-0.00079621-7.6792e-05i,-0.00066397-1.0493e-05i,-0.00054696+0.00011093i,-0.00084332-0.00037847i,-0.00067129+0.00063418i,1.2982e-05+0.0015196i,0.0010702+6.4259e-05i,0.0016466-0.00049423i,0.00096378-0.00034793i,0.00025403-0.00022087i,0.00025644+0.00022571i,0.00025232-0.00027023i,0.00025961-0.00079455i,0.0004957-0.00051752i,0.0010469-6.1098e-05i
