-0.0014634+0.0012758i,0.00018595-0.00027772i,-0.00025056-0.0010414i,-0.0002417-0.0012789i,0.0002797-0.00060921i,-0.00025362+0.00062834i,-0.00020965+0.00083946i,0.000653+0.00072337i,0.00089714+0.0011472i,0.0012401+0.0013075i,0.001053+0.00081564i,0.00036492+0.00055295i,0.00045851+0.00011125i,0.0009682-0.00072753i,0.0004158-0.00058366i,-0.00028349+0.00022677i,-0.00030244+0.00044338i,-0.00025108+0.00019892i,0.0001373-0.00044889i,0.00026564-0.00069398i,1.363e-05+0.0001218i,-0.00027361+0.00019511i,-1.6171e-05-0.00014172i
-0.00015397-0.00043062i,-0.0007929+1.4537e-05i,-0.0017176+0.00046977i,-0.0012226+0.00050661i,0.0001236+0.00054888i,0.00071482+0.00013818i,0.00089833-3.1141e-05i,0.00080674+0.00044944i,0.0007362+0.00078641i,0.00060788+0.0010364i,0.00018613+0.00095363i,0.00050267+0.00013031i,0.00051513-0.00036865i,0.00039095-0.00052983i,0.00024036-0.00048949i,-0.00023692+6.6597e-05i,-0.0011578+0.0002577i,-0.0015878+7.0332e-05i,-0.0010002-0.00010109i,-8.8984e-05-0.0003872i,0.00074254-0.0001818i,0.00059735-2.5792e-05i,-0.00016991+9.2573e-05i
0.002818+0.00032549i,0.0028226+3.3392e-05i,0.0026955-0.00075865i,0.0021384-0.00074011i,0.0013202-0.00084281i,0.00087309-0.0010596i,0.00041106-0.00029736i,-0.00027815+0.0011492i,-6.7846e-05+0.0015394i,0.0003326+4.6609e-05i,0.00011098-0.00080876i,-0.0004008-0.0004128i,-0.00087672-0.00086554i,-0.0005253-0.00098456i,-0.00027989+6.9709e-05i,-0.00078713+0.00041721i,-0.00068297-0.00020325i,-8.4298e-05-0.00051094i,-0.00020702-0.0011566i,-0.00019913-0.0010197i,0.00029832-0.00050505i,0.00053839-0.00073241i,0.00036066-0.00037285i
0.0002027-0.00043036i,0.00041585-6.4677e-05i,0.00020525-0.00049963i,0.00019994-0.00087346i,0.00042373-0.00078435i,0.00052086-0.0001298i,0.00078044+0.0004526i,0.0006217+0.00057269i,-0.00024407+0.00072172i,-0.00061356+0.00075318i,-0.00031817+0.00037832i,0.00026098+0.0003461i,-0.00014458+0.00059103i,-0.00053635+0.00067722i,-0.00064301+0.00067626i,-0.00029451+0.00039429i,0.00014518+0.00059984i,8.8644e-05+0.00072754i,-0.0004435-4.0684e-05i,-0.00030936-0.0005352i,0.0004588-0.00031851i,0.00040173+0.00063553i,0.00072403+0.00086028i
-0.0018508-0.0002443i,-0.0015888+0.00078508i,-0.0024391+0.0020129i,-0.0018325+0.0017883i,-0.00043324+0.0015646i,0.00076175+0.0010018i,0.0011554-0.00015061i,0.00093487-0.00069096i,0.00081071-0.0001532i,0.0012841+0.00021406i,0.0019368+3.1964e-05i,0.0015766+0.00016268i,0.00079742-0.00103i,0.00077808-0.0017073i,0.00035482-0.00070813i,-0.00073136+0.00014565i,-0.00067827+0.00021529i,0.00024685+1.6364e-05i,0.00024704-2.1525e-05i,-0.00028746-0.00020513i,-0.00043871-5.7198e-05i,-0.00028081+8.9468e-05i,0.00011359-0.00040736i
-0.00028196+0.00023296i,-0.00010668-0.0013114i,0.00067629-0.0015838i,0.00096601-0.00025491i,0.00072217+0.0013904i,0.00032681+0.00082222i,-0.00010166+0.00027096i,-1.3837e-05-1.1449e-06i,0.00024137-3.1257e-05i,0.0014625+0.0013276i,0.0022215+0.0011872i,0.0012094-0.00015506i,0.00096409-0.00052018i,0.00038242-0.00067113i,-0.00046853-0.00012866i,-0.00049941+0.00066932i,0.00018423+0.00064241i,0.00050401+0.0008218i,3.2623e-05+0.00086292i,-0.00077239+0.00048572i,-0.0008959-0.00010338i,-0.0003212-0.00036403i,-0.00034645+0.00018325i
-0.00041515-0.00030372i,8.895e-05-0.00031145i,0.0001734+0.00094579i,-0.00019896+0.0018118i,0.00017458+0.0011525i,0.00024733-0.00052412i,0.00021264-0.0011302i,-0.00051289-0.00027482i,-0.00063263-1.1445e-05i,0.00029069-0.00029454i,-0.00018724-0.00061294i,-0.00070756-0.0014173i,-0.00038774-0.00072081i,-0.00010876-0.00029628i,-0.00013286-0.00076082i,-0.00024542-9.4505e-05i,-0.00040147+0.00059649i,-0.00051937-0.00025884i,-0.00069474-0.00045886i,-0.00083053+0.00024671i,-0.0003073-0.00021846i,0.00024907-0.00021894i,-0.00040057-0.00029925i
-0.00049202+0.001206i,9.6984e-05+0.0011181i,0.00084578+0.0005797i,0.0017179-7.9808e-05i,0.001953-0.00066672i,0.0019929-0.00058335i,0.001467+0.00027698i,0.00076142+3.2988e-05i,0.0010009-6.5444e-05i,0.0011393+0.00028143i,0.00070272+3.005e-05i,0.00030765+0.00013007i,0.00074224-0.0005196i,0.00046523-0.0014831i,-0.0010656-0.001092i,-0.0017782+2.9985e-05i,-0.0016609+0.00083702i,-0.00090461+0.00032256i,0.00026079-0.00030302i,0.00034648+0.00011726i,-0.00022514+0.00013767i,-0.00071082-0.00052587i,0.00012623-0.00099424i
0.0017784-0.00039499i,0.001048-0.00091324i,-6.9817e-05-0.00071022i,-0.00033255+0.00029168i,-0.00012511+0.00090058i,0.0001416+0.00032715i,9.374e-05+8.6349e-05i,-0.00029676+0.00057884i,-0.00020285+0.00081585i,0.00021846+0.00063023i,-0.00024077+0.00030812i,-0.00098588-3.7348e-05i,-0.00040505-0.00041642i,0.00067736-0.00029498i,0.00080166+0.00010184i,0.00031044+0.00028064i,2.5242e-05+0.00018465i,4.4438e-05-0.00024577i,0.00032341-5.9294e-05i,0.00047919+0.00024664i,0.00053157+0.00023445i,0.00081182+0.00027894i,0.0005529+0.00036716i
-0.0011139-0.00066223i,-0.00042316-0.0012544i,-0.00071714-0.0006746i,0.0002918+0.00076896i,0.0011997+0.00090762i,0.0012552+0.00034502i,0.00090348-0.00016342i,0.00047171-0.00035587i,0.00023704-1.4362e-05i,-0.00027408+0.00064275i,-0.00018131+0.00023282i,-0.00024317-0.00046825i,2.3952e-05+0.00035178i,0.00033565+0.0015761i,-0.00018551+0.0012992i,-0.00045271+7.7023e-05i,-1.6337e-05+5.8645e-05i,0.0001451+0.0010737i,8.5072e-05+0.0004616i,0.00011284-0.0007101i,0.00031174-0.00040666i,0.00035864-0.00019298i,0.00022869-0.0007122i
0.00027532-0.00042983i,-0.00040859-0.00022649i,7.3655e-05-0.0010364i,0.00064043-0.00070303i,0.00023808+0.00040465i,-0.0001867+0.0006535i,0.00015448+0.00034905i,0.00029065-3.2509e-06i,0.00034625+0.00016187i,0.00024726+0.00069864i,0.00029729+0.0011872i,0.00030048+0.00061535i,0.00088236-7.5128e-05i,0.001684+0.00013479i,0.00063875+0.00074856i,-0.00091474+0.00079332i,-0.0011092+0.00023791i,-0.00053628+0.00036893i,-0.00048718-4.5876e-05i,1.5777e-05-0.00049233i,0.00085726+0.00016004i,0.00033542+0.00044511i,-0.00068606+0.00037363i
