-0.0034572+0.0015701i,-0.0041323+0.0013283i,-0.0043315+0.00080916i,-0.0034506+0.00080976i,-0.0025415+0.0021991i,-0.0018984+0.0037293i,-0.00099316+0.0029562i,-0.00021538+0.0013689i,0.00059347+0.00026205i,0.0011273-0.00020745i,0.0011476+0.00012972i,0.00077649+0.00041676i,0.0003485+0.00035261i,0.00062028+0.00022923i,0.00030178-0.0005523i,-6.7684e-05-0.0011928i,-0.0003163-0.0011441i,-0.00046851-0.00067885i,-2.887e-05-9.3308e-05i,0.0002945+0.0004698i,-0.00038576+0.00068147i,-0.00085783+0.00030938i,0.00010671+0.00053219i
-0.00022049-0.00082282i,-0.00046883-0.0017322i,-0.0006615-0.00021109i,-0.00070797+0.00091562i,-6.8865e-05+0.0018998i,0.00072881+0.0017493i,0.001145+0.00075684i,0.00079315-0.00014841i,7.666e-05-0.00044055i,-9.1579e-05+0.00015701i,-0.00019719+6.6656e-05i,-0.00029681-0.00016826i,6.4361e-05-0.0002755i,0.00039204-0.00068568i,0.00048718-0.0011905i,0.00040415-0.0010577i,0.00037473-0.00039951i,0.00039803+0.00016887i,0.00023952+5.7481e-05i,7.5094e-06-0.00012616i,0.00031056-0.0002443i,5.3181e-05+7.5493e-07i,-0.00054533+0.00086071i
0.0032074+0.0016896i,0.0028381+0.0029321i,0.0015841+0.0033292i,0.0012338+0.0026226i,0.0013716+0.002016i,0.0011855+0.0010883i,0.00064307+0.0001205i,0.00038403-0.00041229i,0.00049723-0.00063433i,8.1959e-06-0.00080393i,-0.00019908-0.00097172i,-0.00045053-0.0011161i,-0.00071788-0.0009954i,-0.00035388-0.0010158i,2.9947e-05-0.0007193i,0.00015734-0.0001821i,0.00034903+0.00056422i,4.0806e-05+0.00055792i,-0.0004752-0.00052455i,0.0005051-0.00093927i,0.0014827-0.00055891i,0.0009101+3.3934e-05i,0.00010511-0.00015777i
-0.00010989-0.003157i,-0.00070322-0.0024844i,-0.0033894-0.0030721i,-0.004681-0.0022297i,-0.0030184-0.00086241i,-0.00025526+0.0008617i,0.00083276+0.0013242i,2.0517e-05+0.00091647i,-0.0011852-9.2962e-05i,-0.0015506-0.00030552i,-0.0017107-0.00010193i,-0.0013154-0.00036017i,-0.00078199-0.00035324i,-8.9433e-05-0.00052344i,0.00032219-0.00064261i,0.00058563-0.00014759i,0.0010313+0.00035814i,0.00032843+0.00054086i,-0.00030988-1.5109e-05i,-0.00026509-5.1524e-05i,0.0001236+0.00026412i,9.6761e-05+0.00092094i,-0.00048774+0.0013264i
-0.0013635-0.0018763i,0.00027707-0.0023085i,-0.00064791-0.00055114i,-0.0019106+0.0015732i,-0.0016729+0.0024341i,-0.00020584+0.0021664i,0.00084452+0.00074751i,0.0005644+5.1207e-05i,-5.7182e-05+0.00056385i,5.0836e-05+0.00047823i,0.0005564-2.3364e-05i,0.00031607-0.00087035i,-0.00012247-0.0008461i,7.2257e-05+0.00065763i,-0.0002916+0.00095416i,-0.00014944-0.00021697i,0.00090131-0.0013746i,0.00067114-0.0015455i,-0.0003951-0.00077886i,-0.00024069-0.00027032i,-7.0591e-05-0.00029698i,-0.00056971-0.00063404i,-0.0011069-0.00065378i
0.00019112+0.00036438i,0.00031049+0.00062006i,0.00032863-2.7997e-05i,-0.00083193-0.00087995i,-0.0015059-0.00041526i,-0.00044256+0.00058777i,0.00071995+0.00064631i,0.0010745-5.1604e-05i,0.00074563-0.00072152i,9.6104e-05-0.00072238i,0.00026431-0.00020464i,-6.8033e-05+0.00069079i,-0.00036921+0.001318i,-0.00064917+0.0010589i,-0.00083695+0.00065114i,-0.00012093+0.0004201i,0.00013709+3.7661e-05i,-0.00019801+9.2506e-05i,-0.00063362+2.7486e-05i,-0.00042033+0.00014614i,-0.00046817+0.00033198i,-0.00060373+0.00016794i,-0.00024667+0.00027054i
-0.00043025-0.0026613i,-0.00079247-0.0028644i,-0.0018931-0.0022369i,-0.0014342-0.00054553i,-0.00090193+0.0010565i,-0.00033227+0.0011946i,0.00069027+0.00011076i,0.00090612+4.1483e-05i,0.00071443+0.00013045i,5.7427e-05+7.4898e-05i,-0.00075303-9.5759e-05i,2.8352e-05-0.00016631i,0.0012616+6.9604e-05i,0.0011128-0.00026369i,0.00021394-0.00058061i,7.8673e-05-0.00048781i,0.00046826-0.00051816i,0.00033232-0.00039529i,0.00021799-0.00044039i,0.00028733-0.00031573i,0.00057854-0.00042631i,0.00038706-0.0005901i,9.1977e-05-0.00098613i
0.0012371-0.0019749i,0.0024374-0.00078146i,0.00034761-0.00072816i,-0.0022893+0.00090522i,-0.0023499+0.002215i,-0.0010639+0.000631i,-0.00043094-0.00022027i,-0.00082861+0.00012643i,-0.00041324+0.00029961i,-9.5288e-05+0.00040319i,-0.00059022+0.0010858i,0.00037161+0.0013798i,0.0012409+0.0006809i,0.00072086-3.792e-05i,0.00028618-2.1314e-05i,0.00046501+0.00034028i,0.00064048-0.00032856i,0.00076514-0.00082687i,0.00080645-0.00014054i,0.00025132+4.0891e-05i,4.8445e-05+0.00033915i,0.0002466+0.0007576i,-0.00015241+0.00078567i
-4.4658e-05+0.0020248i,-0.00055178+0.00313i,-8.7536e-05+0.0033922i,0.00035611+0.0019079i,0.00041686+0.00050476i,0.00093588+0.0004293i,0.0008184+7.8233e-05i,0.0002406-0.00017904i,4.7536e-05+2.6193e-05i,0.00010961+0.00034082i,-0.00041737+0.00017121i,-0.00064654-0.00027628i,0.00016899-0.00044904i,0.00046052-0.00028831i,-0.00037338-0.00013651i,-0.0003441+6.4888e-05i,0.00029815-0.00010804i,0.0003056-0.00015784i,-0.0003666+0.0003537i,-0.00065033+0.000711i,-0.00011174+0.0011707i,-6.047e-05+0.0010111i,0.00033958-1.4279e-05i
-4.3428e-05-0.0015287i,-0.00047417-0.0019568i,-0.00064767-0.0010654i,-0.0012447+0.00057789i,-0.0012414+0.0013792i,-0.00027373+0.0010288i,0.00036757+0.00066889i,0.00031073+0.00050458i,0.00012303-0.0001128i,-0.00012022+7.7255e-05i,-0.00019549+0.00025109i,0.00069737+0.00010748i,0.0010198+0.00043583i,0.00042005+0.00053156i,0.00064921+0.00067428i,0.0010584+0.00050634i,0.0012913+0.00010456i,0.00035191-6.4665e-05i,-0.0010413-0.00019975i,-0.00124-0.00047045i,-0.0002721-0.00035349i,0.00049288-0.00038544i,0.00030513-0.00065287i
0.00059715-0.00011454i,-0.00018494+0.00015883i,-0.00081111-8.2521e-05i,-0.00075414+0.0002942i,-0.0010207+0.0014405i,-0.00026542+0.00050598i,0.0011825-0.00032469i,0.00065414-0.00037079i,0.00012941+4.4079e-05i,-4.2241e-05+0.00075198i,-0.00032195+0.00032319i,-0.00030487+0.00010462i,-0.00022641+0.00018423i,-0.0003017-0.00024956i,-0.00083717-0.00043425i,-0.000533-0.00027919i,-0.00026931-0.00090147i,-0.00040442-0.0010606i,-0.0002259-0.0005973i,0.0001625+0.00033165i,0.00031371+0.00056903i,-0.00053554+0.00053601i,-0.00064824-0.00057783i
