-0.0012143+0.00079013i,-0.001642-0.0015915i,-0.0032377-0.0014148i,-0.0025969-2.1898e-05i,-0.0012376+0.00055812i,-0.00056005+0.0013479i,-0.00019666+0.001928i,5.9254e-05+0.0013281i,0.00065927+0.00057522i,0.0011018+0.0006222i,0.00083578+0.0001005i,0.0010665-0.000475i,0.00058196-0.00069781i,-0.00026914-0.0011647i,-0.00059146-0.00090053i,-0.0010546-4.5012e-05i,-0.00076681+0.00069535i,-0.00035337+0.0014593i,0.00016251+0.0015143i,-0.00020906-0.00011767i,-0.00055863-0.00081702i,-0.00014242-0.00068788i,-0.00017511-0.00037532i
-0.00017218-0.00077098i,-0.00033528-6.4068e-05i,-0.00171-0.0010885i,-0.0020841-0.001331i,-0.0018489-0.00054514i,-0.00088032-0.00021497i,0.00030627-0.00066079i,0.00061953-0.00027714i,0.00064719-3.8691e-05i,0.0008605-0.00034129i,0.00053199+5.4826e-05i,0.00052094+0.00045658i,0.00068626-9.9093e-05i,0.00054954-0.00043793i,6.3709e-05-0.00056633i,-0.00015909-0.00089105i,0.00021686-0.0001444i,0.00054692+0.00043929i,0.00036529+0.00018136i,-8.2682e-06+0.00010475i,-0.00023808+0.00037002i,-0.00023762+0.00027251i,0.00013298-0.0001359i
0.00019463+0.0013822i,-0.00034087+0.0010186i,0.00039937+0.00050358i,0.00073873-0.00059437i,0.00070112-0.00056805i,0.00014088+0.00037092i,4.3455e-05+0.00020491i,-0.00052004-0.00028107i,-0.00017559-0.0010763i,0.0011012-0.0013825i,0.00073062-0.0012903i,-0.00032689-0.0011614i,0.00018758-0.00078674i,0.00037194-0.00080695i,-0.00043819+5.7238e-06i,-0.00097804+0.0010028i,-0.00076794+0.0007404i,-0.0001752+0.00042714i,-0.00012289+0.00052324i,-0.00053602+0.00058328i,-0.00069652+0.00080852i,-0.0005831+0.00055783i,-0.0004962-0.00023254i
0.0017237-0.00089874i,0.0013735-0.00066176i,0.00033332-0.0018141i,0.0002549-0.002093i,0.000114-0.001522i,-0.00014783-0.00067844i,-0.00037802-0.00059627i,-0.00012803-8.3024e-05i,0.00031943+0.00026855i,-0.00015224+0.00018838i,-0.0001157+0.00070408i,-0.00013802+0.0011625i,0.00020208+0.00065052i,0.00033749-0.00029168i,-0.00043722-0.00060584i,-0.00062328-0.00066513i,0.00011501-0.00075506i,0.00067585-0.00022483i,0.00098017+0.00026609i,0.0010214+0.00040318i,0.00076537+6.633e-05i,0.00010035+4.0922e-06i,-0.00033969+0.00019507i
0.00056172+0.0015863i,0.00066418+0.0014283i,0.0010177+0.001797i,0.00036771+0.0010599i,-0.001199+0.00010248i,-0.0015501-0.0003828i,-0.00049889-0.00076867i,0.00062477-0.00040398i,0.0004222+9.6715e-05i,-0.00034636+0.0005551i,-0.00041606+0.00074026i,-0.00061797-0.00013977i,-0.0014017-0.00041767i,-0.0014204-0.00018794i,-0.00021831-0.00013529i,-0.00020547+0.00037139i,-1.2701e-05+0.0011554i,0.00080165+0.0010929i,0.0008734+0.00022472i,0.00072876-1.4578e-05i,0.0013045+0.00043881i,0.0015405-0.00013348i,0.0013412-0.00032054i
-0.00059399-0.0018406i,8.9077e-06-0.0017196i,-0.00064257-0.0015173i,-0.00064989-0.0010809i,-0.00056333-0.00015409i,-9.8667e-05+0.00055718i,0.00041985+0.0002748i,0.00063144-0.00013674i,0.00080761+8.4187e-05i,0.0010133+0.00068163i,0.0010551+0.00079437i,0.00087149+0.00042655i,0.0011733-0.00018268i,0.0010173-0.00052844i,0.00030897-0.00063612i,-0.00017933-0.00073634i,-0.00013474-0.0011186i,0.00022984-0.001296i,0.00060564-0.00023272i,3.2032e-05+0.00078597i,-0.00018081+0.0013435i,-3.5162e-05+0.001374i,-0.00030424+0.00097617i
-2.692e-05-0.00083272i,0.00013209-0.00041241i,-0.0005445-0.0007706i,-0.0008373-0.00089155i,-0.00088776+0.00043545i,-0.0012288+0.00026858i,-0.00088607-0.00046252i,0.00012808-0.00064447i,0.00061508-0.00063111i,6.2635e-05-0.00044673i,-0.00012265+0.00013117i,5.5664e-05+0.00079859i,-0.00012782+0.0010042i,-0.00012092+0.00049794i,5.7043e-05-0.00010721i,-0.00024979+0.0004476i,-0.000381+0.0010681i,-0.00068116+0.00018068i,-0.00071386-0.00055344i,-0.00039915-0.00030481i,-0.00055337-0.00018007i,-0.00013604+0.00015811i,0.00048387-6.0592e-05i
-0.001689-4.6101e-05i,-0.0021459-2.7333e-05i,-0.0017197+0.00074144i,-0.00044631+0.0011792i,0.00024405+0.0010268i,-6.8273e-05+0.00010336i,9.8839e-05+1.8102e-05i,-9.9909e-05-5.2144e-05i,-0.00097662+0.00016204i,-0.00082212+0.0006829i,0.00043939+0.00042029i,0.00064224+0.00031395i,0.00012451+0.00062509i,0.00024868+0.00068459i,-0.00012986+0.00016846i,-7.647e-05-0.00020053i,0.00047747+0.00015434i,0.00056242-0.00024397i,0.0007248-7.817e-05i,0.00056493+0.0002894i,-9.5242e-05+0.0003546i,-0.00020921+0.00017887i,0.00034094-0.00013785i
0.0020592+0.00040832i,0.0030346+0.00085473i,0.0019626+0.00035917i,0.00067617-0.00059729i,0.00018927-0.00081189i,1.4942e-05-0.00048367i,0.00012121-0.00062532i,0.00065111-5.116e-05i,0.0008583+0.00029944i,0.00020344-0.00074013i,-0.00017086-0.00071303i,-0.00028851-1.3316e-05i,-0.0010454-0.00022636i,-0.00096026-0.00036778i,-0.00029457-0.00042859i,-0.00012817+6.5162e-06i,-0.00041519+0.00011795i,-0.00039738-0.00028214i,-0.00012995+0.00072346i,9.7229e-06+0.00085293i,0.00023131-0.00013078i,-0.00011007-0.0009611i,-0.00095194-0.00083833i
0.0017719+0.00060981i,0.0019429+0.00010229i,0.0027446-0.00061856i,0.001871-0.0011953i,0.00021612-0.0020524i,-8.7114e-06-0.0011896i,0.00091792-7.3336e-05i,0.00096375-0.0006546i,0.00045995-0.0007926i,0.00048646-0.00042574i,-7.0997e-05-0.0010399i,-0.0003364-0.0013599i,-0.00019175-0.00069068i,-5.9015e-05-0.00016513i,-0.00026682-0.00014165i,-0.00068524-0.00043249i,-0.00040362-0.0010487i,-0.00054309-0.00020249i,-0.0011878+0.00040637i,-0.00077515-6.1646e-05i,-0.00041091-0.00025519i,0.00032322-0.00048127i,-0.00034368-5.4291e-05i
0.00011887-0.00031515i,0.00037559-0.00090385i,0.00046441-0.0011013i,-9.0518e-05-0.0010818i,-0.000538-0.00078058i,-0.00084418-0.0007179i,-7.2882e-05-0.00098303i,0.00075891+0.00020477i,0.00060241+0.0014903i,0.00015994+0.0011926i,-0.0001195+0.00045338i,-0.00063589+4.1565e-05i,-0.0005568-0.00012385i,-0.00023887+0.00012921i,-0.00031228+0.00041076i,-0.0002031+0.00021252i,-0.00046667-0.0010074i,-0.0013123-0.00093313i,-0.0014381+0.00014911i,-0.0012988-0.0002796i,-0.00098379-0.00083922i,-0.00025883-0.00054871i,-0.00012124+0.00025172i
