0.0017618+0.0010275i,0.003371-0.00039981i,0.0035324-0.0010711i,0.002845-0.0016572i,0.00072391-0.0020211i,-0.00073715-0.0013563i,-0.0005823+5.131e-05i,0.00038635+0.00074282i,0.0004105+0.00033995i,-8.5649e-05-0.00048968i,0.00018404-0.00064808i,0.00074158-0.00023864i,0.0011638+0.00051909i,0.00054224+0.00037572i,-0.00047421+0.00035382i,-0.0010533+0.00068349i,-0.00086022+0.00016235i,-0.00011252+0.00019979i,-0.00013756+0.00065624i,-0.00072452+0.00037597i,-0.00065434+0.0004823i,-0.00068262+0.0005417i,-0.00049462-0.00075763i
0.00012108-0.00043803i,-0.00036617+0.00043427i,-0.0010317+0.00024909i,-0.0009534+0.00022061i,0.00026516-0.00010289i,0.00090862-0.00032164i,-0.00010063-0.00053842i,-0.00044012-0.0010068i,-0.00084228-0.00081955i,-0.00096249+5.9087e-05i,-0.0011942+0.00018138i,-0.0009331-0.00019161i,0.00054995-0.00019374i,0.0010336-1.2391e-05i,0.00046077+0.00056657i,0.00030431+0.00014576i,0.000279-0.00081695i,0.00017716-0.00056412i,-6.0584e-05+0.00029516i,-0.0005867-2.3752e-05i,0.00029079+1.213e-05i,0.00074965+0.0003694i,0.00016107+0.00016986i
-0.001807-0.0018668i,-0.00080472-0.0014386i,-0.0010214-0.0013872i,-0.00084616-0.00087665i,-0.00039807-0.00053085i,0.00026456-0.0008042i,0.00050024-0.0014535i,6.2578e-05-0.0019167i,-0.00025161-0.00182i,-0.00072929-0.0012435i,-0.00099733-0.00043624i,-0.00024596+0.00030419i,0.00044653+0.00050043i,-7.4491e-05+3.7252e-05i,-0.00061992-0.00036564i,-0.00059724-0.00081758i,-0.00056717-0.00050275i,-0.00047234-7.6058e-05i,0.00029672-0.00054412i,0.0010416-5.299e-05i,0.0014238+0.0004961i,0.0017199+0.0010238i,0.0012865+0.0012824i
0.0029175-0.0012983i,0.0028285-0.0013741i,0.0019187-0.0027053i,0.0011676-0.0027916i,0.00076794-0.0019892i,0.00011208-0.0011213i,-0.00065448-0.0012181i,-0.00073113-0.00092808i,-0.00033813-0.00087996i,-0.00050057-0.00081682i,-0.00087817+0.00012721i,-0.00054696+0.0002947i,0.00020374+0.00056072i,0.00010478+9.443e-05i,-0.00022668-4.9322e-05i,0.00069353+8.2001e-05i,0.0008115+8.324e-05i,-0.00067001+0.00039981i,-0.0013067+0.00010648i,0.00014874+0.0003329i,0.001219+0.00095711i,0.00034645+0.00054816i,0.00035739+5.1899e-05i
0.0012438+0.00067015i,0.00057493+0.00049944i,0.00043839+0.00086887i,0.0012603-0.00034211i,0.0017106-0.001395i,0.00014219-0.001262i,-0.0005842-0.00077441i,-3.718e-05-0.00081448i,0.00026807-0.0011477i,-1.3634e-05-0.00054175i,-0.00039749+0.00026566i,-0.00050759-0.00054988i,-0.00017197-0.00042105i,-0.00061406+0.00087042i,-0.0012708+0.00075122i,-0.0014539+0.00020577i,-0.0011062+6.7834e-05i,-0.00034723-5.6685e-05i,0.00034446+0.00018903i,0.00055477+0.00027713i,0.00028175-0.00026i,6.9136e-05-7.5527e-05i,0.00058925+0.00041227i
0.00024047+0.00088922i,0.00017614-0.00025691i,0.00089402-0.00046667i,0.0010838-0.00045597i,0.0011457-0.0010643i,0.0014041-0.00084503i,0.0013046-0.00050002i,0.00075839+5.6446e-05i,-9.5695e-05-1.2264e-05i,-0.0004324-0.00078962i,-0.00015299-0.00077231i,0.00045677-0.00031322i,0.00084521+7.1967e-05i,-5.1354e-05+0.0007212i,-0.00057257+0.00065872i,-0.00026981+1.2645e-05i,-0.00011154+0.00021993i,0.00046524+0.00091447i,-4.8953e-05+0.0010167i,-0.00015962+0.00042668i,0.00070746+0.00047073i,0.00046507+0.0012443i,-0.00019292+0.0013545i
-0.00031048+0.0005061i,-0.00029027+0.00037058i,-0.00050362+0.00068691i,0.00014877+0.00069393i,0.0011517+0.00023545i,0.00067693-0.0010318i,-0.00022309-0.0022297i,-0.00072536-0.0029802i,-0.0012936-0.0024371i,-0.00073426-0.00045104i,-3.1704e-05+0.00052551i,0.00023229+0.00041431i,-1.7652e-05-9.1763e-05i,-0.00022506-0.00030332i,-0.00027251+0.00019839i,-0.00050783+0.00072622i,-0.00069236+0.00089464i,-0.000312+0.001149i,0.00026647+0.0017033i,0.0007342+0.0014162i,0.00078881-5.2656e-05i,0.00085208-0.0011302i,0.00071361-0.0011361i
0.001337+0.00017956i,0.00010584+0.00064689i,-0.00032244-3.2556e-05i,4.7504e-06-0.0014861i,0.00088733-0.0012383i,0.0011443-0.00025732i,0.00086989-0.00048115i,0.00038666-0.00094906i,-0.00023783-0.0009872i,-0.00064691-0.00099194i,-0.00042377-0.00090473i,-0.00056466-0.00031726i,0.00023092-0.00020644i,0.0013211-0.00012676i,0.00080483-0.00084429i,-0.00016303-0.0010991i,-0.00034848-0.00025364i,-0.00024236+0.00031897i,6.5716e-05+0.00042659i,0.00025026-0.00019271i,0.00095648-4.1628e-05i,0.0013191+0.00071292i,0.00084061+0.00032553i
-0.001882-0.00038919i,-0.0018318-6.2789e-05i,-0.00060726+0.0013952i,0.00064916+0.0030936i,0.0011359+0.0020312i,0.00056624+0.00031003i,0.00039082-6.9633e-05i,-0.00017555-0.00082965i,-0.00098661-0.0011589i,-0.0011405-0.00064224i,-0.00091441-0.00031457i,-0.00027442-4.2232e-05i,0.00037416+0.00019983i,-0.00035832-0.00056302i,-0.0010518-0.00044466i,-0.00066746+4.9417e-05i,-0.00039608-0.00015542i,0.00013853+0.000426i,0.00066766+0.00077868i,0.0010676+0.00080761i,0.00095725+0.00039257i,0.00080821+6.7827e-05i,4.296e-05+7.3613e-05i
0.0018978+0.00038357i,0.0028504-1.9175e-05i,0.0027378-0.0014014i,0.00256-0.0022022i,0.0013079-0.0022698i,0.00099314-0.0022482i,0.00096547-0.0021018i,-0.0001132-0.001718i,-0.0014377-0.0010323i,-0.0016524-0.0002128i,-0.0010042+0.00028754i,-0.00064877-0.00039754i,-0.00033114-0.00072825i,-0.00015593+2.0402e-05i,0.00017485+0.00024881i,0.00067551+0.00014579i,0.0001906+0.00031172i,-0.00025742+0.00074813i,-0.00030984+0.00080012i,-0.00033031+0.00047474i,0.00016678+0.00041446i,0.00028445+0.00053886i,-0.00032305+0.00063347i
-0.0016003-2.2887e-05i,-0.0014904+0.00082131i,-0.0018367+0.0012615i,-6.602e-05+0.00087322i,0.0015637-0.00010625i,0.001805-0.00056417i,0.0013934-0.00058211i,0.00054494-0.00088127i,-0.00044747-0.00123i,-0.00097266-0.0013991i,-0.0014465-0.00098083i,-0.0012749-0.00059176i,0.00014969-0.00076042i,0.00025447-0.00083226i,-0.00069758-0.00085439i,-0.0006142-0.00058688i,-0.00053607+0.00019172i,-0.00013373+0.00073553i,0.00087327+0.0010766i,0.0010094+0.00057317i,0.00074383-0.0004904i,0.00077419-0.00061238i,0.00035588+2.9552e-06i
