0.00098095+0.00013237i,0.0016235-0.0016537i,0.0013868-0.0037934i,0.0003326-0.0039908i,-0.0017273-0.0028022i,-0.0033533-0.00088865i,-0.0021355+0.001032i,0.0001813+0.00038008i,0.0011362-0.00045522i,0.00090928-0.00075172i,0.00070799-0.00055416i,9.7683e-05+5.2938e-05i,-0.00044118-1.6077e-05i,-0.00051602+0.0001273i,8.932e-05+0.00015743i,0.00015894+0.00048498i,0.00046933+0.00078751i,0.00081077+0.00013675i,0.00020102-0.00040979i,-0.00036936-0.00032587i,-0.00067459-0.00083772i,-0.00083935-0.0016211i,-0.00089797-0.0014904i
0.0019326+4.6135e-05i,0.0015437-0.00094138i,0.0012051-0.0013084i,0.001625-0.00092839i,0.00070212-0.00011743i,-0.00044846+0.00088028i,-0.0003154+0.0011711i,0.00014415+0.00050857i,0.00011478-0.00056269i,0.00011949-0.00040094i,0.00022803-0.00018844i,-4.4561e-05+0.00040918i,-0.00030569+0.00042732i,-0.001289+0.00020124i,-0.0018648+0.00041415i,-0.00072745+0.00025956i,5.022e-05+0.00035858i,-0.00039197+0.00061249i,-0.00031241+0.00012093i,0.00040641-0.00017471i,0.00073236+0.00028282i,0.00094778+0.00074921i,0.0005144+0.0012352i
-3.2981e-05+0.0014476i,-0.00040678-9.4721e-05i,4.7224e-05-0.0014027i,0.0011727-0.0020685i,0.00090796-0.0023172i,0.00038181-0.0020052i,0.00030793-0.00064227i,-0.00022597-3.9005e-05i,0.00028047-0.00025368i,0.0013094-0.0007273i,0.00062039-0.0011582i,-0.00046062-0.00073284i,-0.00049229-4.4501e-05i,-4.9088e-05+0.00038741i,-5.731e-05+0.00055073i,-0.00046182+0.00032043i,-0.00053686-0.00027848i,-0.00072401-0.00079261i,-0.00015398-0.00047805i,0.00046822+0.00059622i,-0.00041762+0.00097763i,-0.0013273-7.0994e-05i,-0.0015492-0.0012586i
0.00019188+0.00077409i,0.00027327+0.00037617i,-0.0006169-8.5684e-05i,-0.0012652-0.0010812i,-0.0014906-0.0015105i,-0.0015038-0.00026287i,-0.00073559+0.0006993i,0.00022913+0.00038781i,0.00083479+4.6601e-05i,0.00092296-0.00027157i,0.00018022-0.000504i,-0.00036631+0.00032857i,-0.00028164+0.0010013i,0.00013606+0.00012161i,0.00013395-0.0003434i,0.00025129-0.00012577i,0.00036374+0.00036642i,-4.3169e-05+0.0010175i,-0.00029453+0.0013642i,0.00015247+0.00079801i,0.00012491-0.00022591i,-0.00037356-0.00036293i,-0.00053335-0.00012282i
0.00068693-0.00029031i,0.00090043-0.0016767i,0.0012705-0.0018448i,0.00058194-0.0022741i,0.0010343-0.0018741i,0.00047273-0.0002598i,-0.0013107+0.00095809i,-0.0012398+0.00027446i,-0.00027366-0.00064784i,0.00036653-0.0007807i,0.00024073-0.0011245i,-0.00013412-0.0010111i,-0.00026856-0.00055014i,-0.00011078-0.00073255i,-0.00042746-0.00081819i,-0.00090566-0.00068653i,-0.00047925-0.00083494i,0.00070773-0.0012162i,0.0002703-0.0015012i,-0.00088595-0.0012483i,-0.00038586-0.00088794i,-0.00015389-8.1774e-05i,0.00015875+0.00077233i
-0.00045264+0.001976i,-0.00054882+0.001779i,-0.00046643+0.0012254i,-0.00014643+0.00034813i,0.00016132+0.00028587i,0.00052766+0.00088058i,0.00055776+0.00033346i,0.00041038+0.00023529i,5.1643e-05+0.00053722i,6.6447e-05+6.6923e-05i,-0.00033957-0.00034199i,-0.00072322-0.00030657i,-0.00087847-0.0004047i,-0.00059094-0.00097253i,0.00017467-0.0011305i,0.00055007-0.00067498i,6.1833e-05-0.00063794i,-0.00067415-0.001475i,-0.00067983-0.0017098i,-4.0407e-05-0.0011918i,-5.3599e-05-0.00045346i,-0.00036903+0.00025903i,-0.00042978+0.00014185i
9.0213e-05+0.00046722i,-0.0003126+0.00069412i,-0.00031014-0.00012479i,-0.00043047-0.0014394i,-0.0012374-0.001242i,-0.0023019-0.00037796i,-0.0020132+0.00078661i,-0.00082225+0.0015095i,-0.0002965+0.00064792i,-0.00072727+0.00047775i,-0.00048289+0.00040742i,0.00016529+0.00012647i,0.0004831+0.00025958i,0.00024996+0.00057315i,0.0006125+0.00043889i,0.00074762-4.071e-05i,0.0004652+0.00015336i,-0.00012088+2.4786e-06i,-0.000391+0.00015311i,-1.008e-05+0.001194i,-0.00087218+0.0015154i,-0.00095033+0.00078518i,-0.00026704+0.00048475i
-0.001046+0.00019195i,-0.0011858+0.00018078i,-0.0012266+0.00026664i,0.00020335-0.00064183i,0.0016931-0.00088274i,0.001408+0.00014376i,0.00061896+0.00012734i,0.00068011-0.00068876i,6.0061e-05-0.00020401i,-0.00034096+0.00045505i,-0.00029136+0.00016868i,-0.00013891-0.00063148i,2.0708e-05-0.00079906i,-0.00015996-0.00068613i,0.00027742-0.00034627i,0.00037299+3.8976e-05i,3.9317e-05+4.3871e-05i,0.00011268-0.00011033i,-0.00014073-0.00015251i,-0.00040193-0.00020209i,-0.00011724-2.1796e-05i,-0.00083179+0.00068169i,-0.00063765+0.00091135i
-0.0030355+0.00083417i,-0.0028449+0.00029468i,-0.0018202+0.00077465i,-0.00099725+0.00069491i,0.0006252+0.00073681i,0.0016541+0.0006401i,0.00046173-0.00060343i,-0.00029998-0.00081744i,-0.00017565-0.00018477i,0.00048226+0.00016055i,0.00029273+0.00036231i,-0.0010128-0.00027096i,-0.0017125-0.0013041i,-0.0014556-0.001519i,-0.00050113-0.0004044i,-2.8604e-05+0.00016373i,-0.00046819-0.00011475i,-0.00069321+0.00041666i,-3.9098e-05+0.00082109i,0.00012555+0.000124i,-0.00044935-0.00041948i,-0.00039247-0.00049078i,-0.00018701-0.00023439i
-0.00016806+0.0010111i,0.00083691+0.00079687i,0.0012146+0.00049387i,0.00088027-0.00039886i,0.00026823-0.0010829i,7.1836e-05-0.00070658i,0.00054789+0.00032702i,0.0012648-0.00035633i,0.00090032-0.0013769i,-0.00029795-0.00098576i,-0.00076849-0.000346i,-0.00023892-0.00010822i,0.000303+7.6783e-05i,5.732e-05+3.1728e-05i,-0.00024203+0.00038842i,-0.00010442+0.00054967i,0.00023791+0.00020177i,0.0001258-0.00029878i,0.00063688-0.000329i,0.00074685+0.00032437i,-0.00016618+0.0007083i,-0.00066353+0.00031593i,-0.00033268-0.00030873i
-0.0010156-0.00028851i,0.00034915+9.6206e-05i,0.00054491-0.0009115i,0.00016196-0.0012487i,-0.00023827-0.0003679i,-0.00060035+0.00042143i,-0.00042656+0.0013708i,-0.00028142+0.0010797i,-0.00042792+0.00019638i,-0.00043799+0.00017327i,0.00012657+0.00026923i,-1.8249e-05-0.00044456i,-0.00069877-0.00050015i,-0.00093338+7.8033e-05i,-0.00097283-6.4421e-05i,-0.00054134-0.00099162i,0.00024646-0.00062382i,0.00067238+0.00048852i,-3.1296e-05+0.00042157i,-0.00027551+0.0002874i,0.00024048-0.00042743i,-0.00021775-0.00078807i,-0.00087098+0.00038594i
-0.0010261+0.00085245i,-0.0010677+0.0011385i,-0.00026784+0.0011149i,0.0011022+0.00029915i,0.00096956-0.00027444i,0.00033417-6.3564e-05i,-0.00017596-0.00011708i,0.00050715-0.00010943i,0.00085935-0.00013905i,0.00044961-7.8459e-06i,-0.0002407-0.00021628i,-0.00033935-0.001239i,-0.0008043-0.001438i,-0.00095763-0.00061853i,-0.00046291-0.00011956i,-0.00028806+0.00017764i,-0.0003527-2.0933e-05i,0.00053246-8.6221e-05i,0.00066114-2.0765e-05i,1.5353e-05-0.00065448i,-0.0002954-0.00074675i,-0.00080957-0.00036894i,-0.001097-0.00024911i
-0.0012656+0.0026924i,-0.0011929+0.0030664i,-0.00076629+0.0018093i,0.00046769+0.00032979i,0.0018645+0.00015212i,0.0015212+6.4078e-05i,0.00053621-0.00071453i,-0.00037132-0.0003693i,-0.00088549-0.0004794i,-7.2833e-05-0.00061008i,0.00044039-0.00062334i,-2.2831e-05-0.0010697i,-0.00011012-0.0014421i,6.7898e-05-0.0015787i,-0.00055146-0.001627i,-0.00064911-0.00058146i,0.00016933+0.00053032i,0.00037023+0.00015518i,3.3665e-05-0.000244i,-0.00095113-0.00021884i,-0.0011189-0.00039841i,-0.00023667-0.00042831i,-8.189e-05+4.3153e-05i
-0.0012825+0.0001429i,-0.0018018-0.00014003i,-0.00012835-0.00066104i,0.00065282-0.00076377i,-0.0001906-0.0010684i,-0.00073755-0.00050953i,0.00047258+0.00024156i,0.00072495+9.0849e-05i,7.1469e-05-0.00033584i,0.00047648-0.00054397i,0.00055753-0.00041468i,-0.00080326-0.00063112i,-0.00087322-0.0008775i,-0.00026698-0.00093278i,-0.00026489-0.0011129i,0.00017187-1.0357e-05i,-0.00016619+0.00063663i,-0.0004324+0.00063099i,9.4665e-05+0.00038681i,8.9105e-05-0.0001275i,-0.00026184-0.0007751i,-0.00063605-0.00095651i,-0.00088198-0.00060509i
-0.00047512-0.00063712i,-0.00015916-0.000173i,-0.00040089-0.00066693i,-0.00037497-0.0013823i,-0.00038056-0.001103i,-0.00020454-0.00064665i,0.00012733+5.1133e-05i,0.00011109+0.00067013i,-0.00020796-4.3829e-05i,-0.00029041-0.00035101i,0.00011191-0.0005663i,0.00047357-0.00037495i,0.00023774+0.00054439i,-0.00037666+0.0010724i,-0.00078723+0.00070942i,-0.00062262-0.00030452i,0.00010103-0.00064661i,6.425e-05+7.7501e-05i,-0.00060204+0.00017547i,-0.00069497-0.00059946i,-0.0004778-0.00055405i,-0.00088213+3.5182e-05i,-0.001022-1.6671e-05i
0.000536-0.0010449i,6.2915e-05-0.00026764i,-0.0005482-0.000248i,-0.00099531-0.00135i,-0.0009294-0.0014369i,-0.00029762-0.0007436i,-2.5738e-05+0.00043911i,-7.155e-05-0.00041516i,-8.3063e-05-0.0016127i,3.1494e-05-0.0011835i,0.00023722-0.00038719i,0.00025349-0.00015269i,0.00038916+2.2231e-05i,0.00052252+0.00028133i,0.0004968+0.00044961i,8.4365e-05+0.00077258i,-0.00036088+0.00050939i,-0.00063514-0.00023397i,-0.00069802-6.1511e-05i,-0.0002296+0.00036145i,-0.00029401+0.00018206i,-0.00070662-0.00034051i,-0.00072032-0.00013225i
-0.0005384+0.00086814i,4.5406e-05+0.0011202i,-0.00015891+0.0011136i,0.00037551+0.00023137i,0.00034355+6.28e-05i,4.7081e-05+0.0009424i,-0.00017997+0.00098116i,-0.00042839+9.6512e-05i,-0.0007719+0.00012813i,-0.00064751+0.00029075i,-0.00027044-0.00030267i,-0.00020901-0.00098612i,-0.00046594-0.0013603i,-0.00016015-0.001035i,0.00017413-0.00071056i,-0.00011778-0.00082134i,-0.0005057-0.00081055i,-0.00074275-0.00060943i,-0.00096947-0.00078576i,-0.00053793-0.0003229i,-2.5434e-05-0.0004705i,0.00056994-0.001392i,0.0001745-0.0013262i
