-0.005337+0.0016477i,-0.0042359+0.0023105i,-0.0035513+0.003149i,-0.001573+0.0027191i,-1.3733e-05+0.0018928i,0.000525+0.0020233i,0.0004011+0.0022004i,0.00098114+0.0025008i,0.0017281+0.0023383i,0.0023241+0.00052832i,0.002169-0.00073201i,0.0012665-0.0012644i,0.00090137-0.001853i,0.00043461-0.0019393i,-0.00081545-0.0014088i,-0.0017487-0.00050614i,-0.0013258-0.00052977i,-0.0003683-0.00063422i,0.00092629-5.824e-06i,0.0015071+0.00011029i,0.00058182-0.00033024i,-0.0001989-0.00054788i,-0.00016912+0.00056288i
-0.0003344-0.00066882i,-0.00035137-0.00014363i,0.00010815-0.00022392i,-0.0008105-0.00055016i,-0.0018846-0.00095845i,-0.0010243-0.001236i,0.00017015-0.00044418i,-0.0001614+0.0005934i,-0.00065277+0.0013408i,3.3588e-05+0.00091505i,0.0003898+1.0789e-05i,0.00029951-0.00031093i,-0.0004038+0.00027855i,-0.0009135+0.00024166i,-0.00034475-0.00064503i,0.00022717-0.00060368i,2.1089e-05-0.00062123i,-0.00011774-0.00052171i,-0.00019578-0.00059959i,-0.00038882-0.00064076i,-0.00033167+0.00011419i,-0.00056788+0.00039108i,-0.00071096+6.8635e-05i
0.00056474-0.0014269i,0.0006262-0.00061081i,-0.00083105-0.00091481i,-0.0012707-0.00041572i,-0.00066256+0.0011328i,-0.00045415+0.0015382i,-0.00016145+0.0011948i,0.00023682+0.0003278i,0.0011982-0.00034688i,0.00098315-0.00030361i,-3.0833e-05-0.00042887i,0.00070665-0.00089074i,0.0014936-0.00070292i,0.00045707-0.00019368i,-0.00016853-0.0005001i,0.00045971-0.00031853i,0.00031881-2.6124e-06i,-5.9133e-05-4.4526e-05i,-0.00064213+0.00048846i,-0.00062612+0.00038055i,-7.9446e-05+0.00012504i,-3.9462e-05+0.00025299i,0.00038358+0.0001822i
0.0010039+0.0020084i,0.0017853+0.0027948i,0.0013401+0.0017605i,0.0008567-0.00051203i,-4.4651e-05-0.00082347i,-0.00027018-0.0003658i,0.00056083-0.0012512i,0.00060256-0.0011656i,1.448e-05-0.00019318i,-0.00045246+0.00012896i,-0.00020156-0.00067102i,0.0003316-0.0013859i,0.00082401-0.00096022i,0.0012438-0.00027622i,0.00084907-0.00021709i,0.00020234-0.0003062i,0.00016821-0.00053799i,0.00036308-0.00032344i,0.00057353+2.9378e-05i,0.00088793+0.00029336i,-3.0358e-06+0.00023268i,-0.00032575-0.0005085i,7.9581e-07-0.00065617i
-0.0015975-0.0010342i,-0.00225-0.0011385i,-0.0012753-0.0022833i,-0.00017453-0.0023527i,-9.8587e-05-0.0015495i,0.00018073-0.00070942i,0.0010434-0.0004544i,0.0014271-0.0010925i,0.00058607-0.0014202i,-0.00013064-0.00064695i,0.00012552+0.00013258i,0.00068792+0.00057044i,0.00050105+9.8691e-05i,-0.00017354-0.00052084i,-4.6012e-05+0.00017648i,0.00054129+0.00078356i,0.0003371+0.00034866i,0.00036046-0.00032755i,0.0011434-0.00050609i,0.00085103-0.00048385i,-0.00016348-0.0006023i,3.4683e-06-0.00068331i,0.0006579-0.00039142i
0.0020046-0.0016377i,0.0012397-0.0019044i,-0.0004483-0.0022617i,-0.001049-0.0019457i,-0.0012444-0.00062714i,-0.00088907+0.00093053i,0.00016842+0.00071825i,0.00078244-0.00010956i,0.00060335-0.00048211i,-6.3254e-05-0.0011295i,0.00048554-0.00084447i,0.0010066-0.00043595i,0.0011623-0.0005902i,0.0010437-0.00035518i,0.00038612+0.00029736i,-0.00010533-0.00018389i,0.0001898-0.00079154i,0.00013621-0.001158i,-1.5388e-06-0.0012601i,0.00044069-0.00046429i,0.00043215-0.00052657i,0.00075931-0.00049473i,0.00074545-0.00039634i
0.001004+0.0021696i,0.0010732+0.0018186i,0.0014049+0.00070127i,0.00076573-0.00044893i,0.00052051-0.0013254i,5.8547e-05-0.00046251i,-9.8041e-05+0.00069787i,0.0011222+0.0007005i,0.0020299+0.00058489i,0.0016157+2.362e-05i,0.0011036-0.00020355i,0.0010526+0.00044135i,0.00094929+0.0011458i,0.00090869+0.0012652i,0.00081801+0.00063712i,0.00039918-0.00051128i,3.263e-06-0.00092606i,0.00011327-0.00017724i,0.00084293+0.00063985i,0.0015142+0.00045684i,0.0012574-0.00012345i,0.00078591-0.00018809i,0.0002407-0.00032494i
-0.00071615-0.0020492i,-0.0013355-0.0019437i,-0.0023391-0.0021908i,-0.0021824-0.0021972i,-0.0012022-0.0010088i,-0.0006309+0.00047832i,-3.6149e-05+0.00032301i,0.00071294+0.00023786i,0.0013219-0.00031463i,0.0010885-0.00042857i,0.00092592+0.00018453i,0.00082649-7.9152e-05i,0.00011019-0.00030213i,-0.0003146+0.00074253i,-5.4836e-05+0.0011954i,-0.00026355-0.000301i,-0.00049434-0.00092553i,-9.8989e-05-0.00018686i,0.0003741-0.00060475i,0.00040943-0.00099348i,-9.1499e-05-0.00071309i,-0.00058111-0.00032949i,-0.00060072+0.0002138i
0.00078407-0.0022623i,0.0012504-0.0019783i,0.00049161-0.0019643i,-0.00044659-0.0026443i,-0.00056649-0.0026088i,-0.00046236-0.0015035i,-0.00022657-0.00018699i,6.953e-05-0.00018402i,9.2958e-06-0.00087456i,-0.00032614-0.00064903i,-8.5668e-05-2.4164e-05i,0.00010123+0.0006388i,0.00057274+0.00074134i,0.00085901-6.5193e-05i,0.00069587-4.5216e-05i,3.3012e-05-1.3154e-05i,0.00020691-0.00046463i,0.00070172-0.00024622i,0.001234-0.00042968i,0.0014618-0.00024111i,0.00072043+0.0002231i,0.00088256-5.5349e-07i,0.00078037-0.00047582i
-0.00055049+0.0018763i,0.00097516+0.0023245i,0.0020025+0.0007699i,0.0013308+0.00011261i,0.00084678+0.0008574i,0.0011384+0.00020391i,0.00080495-0.00065768i,2.1012e-05-0.00016807i,0.00014683-0.00022852i,0.0012926-0.00066691i,0.0011805-0.00083852i,0.00050727-0.00068012i,0.00037366-0.00024686i,1.0977e-05-0.0001755i,-0.00061138-0.00044686i,7.3245e-05-0.0006127i,0.00025819-0.00019397i,5.8504e-05+0.00032096i,0.00030075+2.8999e-05i,0.00034168-0.00060524i,0.00019491-0.00014087i,0.00037869+0.00027449i,4.0364e-05-2.1632e-06i
-0.00054002+0.00027414i,0.00014208+0.00037511i,0.00048761-7.297e-05i,0.00032855-0.00051511i,-0.00020043-0.0010449i,-5.5892e-06-0.00074243i,0.00030294+0.00011969i,0.00024111+0.00022789i,0.00084546+8.3893e-05i,0.00042998-6.0711e-05i,-0.00036195-0.00032994i,-0.00011028-0.0007516i,-5.1435e-05-0.00057438i,-0.00064352-0.00073854i,-0.00051165-0.00075825i,-4.2236e-05-7.6166e-06i,-8.3266e-05-0.00020776i,1.166e-05-0.001125i,0.0005853-0.0012556i,0.00043147-0.00091742i,0.00023516-0.00030187i,4.1231e-05+0.00030343i,-0.00061351+0.00012007i
0.0010167+0.0003926i,0.00098494-5.3295e-05i,0.0010098-0.00044684i,0.00072235-0.00073191i,0.00079926-0.00093553i,0.00049992-0.0010546i,0.00017905-0.00068833i,4.0117e-05-0.00016837i,-0.00020172+0.00034386i,-0.00020134+0.00053105i,-0.00011524+0.00027982i,8.0031e-05+0.00011405i,0.0009189+0.00013135i,0.001171-0.00021262i,0.00045744-0.00025906i,0.00018977-0.00028081i,0.00037334-0.00042914i,0.00043995-0.00065352i,0.00012225-0.00025013i,-1.7652e-05-0.00020026i,0.00053208-0.00057462i,0.00054088-0.00020488i,-0.00025854-0.00015346i
