-0.0023494-0.00030526i,-0.0016983-0.00048248i,-0.0018359+0.00031826i,-0.0014924+0.0013076i,-0.0010685+0.0021759i,-0.00014711+0.0017259i,-0.00025685+0.00083149i,-0.00022704+0.0010288i,0.00060429+0.0020201i,0.0011439+0.0017084i,0.0016606+0.00017233i,0.0008304-0.00085752i,-0.0001612-0.0012172i,-4.2007e-05-0.00095648i,0.00072532-0.000431i,0.0012283-0.00074944i,0.00092718-0.0008533i,-0.00025419-0.00042937i,-0.0006426-0.0010647i,-0.00072111-0.0013181i,-0.00083581-0.00076908i,-0.0009314-0.00039305i,-0.00025552-0.00037642i
0.00067186+0.00061295i,0.0021934+0.0013174i,0.002468+0.0021261i,0.001032+0.0017023i,-0.00013933+7.4096e-05i,0.00013513-0.00069267i,0.00043841+0.00030406i,0.00072565+0.0007165i,0.00093822+0.00059555i,0.00083918+0.00093727i,0.00062675+0.00071225i,-6.1516e-05-0.00029037i,-0.00063682-0.0011691i,-0.000708-0.00044291i,-0.00068961+0.00057284i,3.4971e-05+0.0012406i,0.00058739+0.00084021i,6.5606e-05-0.00012095i,-0.00030069-0.00057985i,6.2406e-05-0.00038696i,0.00025569+0.00017092i,7.7392e-06+0.00033356i,-0.00052248+0.00051561i
-0.0010249-0.001938i,-0.00093799-0.0021417i,-0.0018515-0.0018471i,-0.0017899-0.0010275i,-0.00043737-0.00092046i,0.00043323-0.00038381i,0.0010847+0.00025079i,0.0013821+0.000427i,0.00044458+0.00069688i,0.00045172+0.00076724i,0.00069715+0.0010045i,-0.0002239+0.00092389i,-0.00065541+0.00013125i,-0.00033471+0.00027476i,-0.00028199+0.0014864i,-0.00040846+0.0012163i,-0.00030863+0.00029389i,0.00026975-0.00055087i,0.001162-0.00022308i,0.0011001+0.00042161i,0.0001246+0.00039411i,0.00023632+0.00043639i,0.00034611+0.00068881i
0.00046921-0.00039384i,-0.00018983+0.0012585i,-0.00083017+0.0024203i,-0.00089923+0.0012679i,-0.00064303+0.00016906i,-0.00061952-7.1721e-05i,7.5313e-05-0.00032589i,0.0013922-8.895e-05i,0.0014346-1.8597e-05i,0.00083168-0.00012215i,0.0012187+3.4689e-05i,0.0016635+0.00041287i,0.00056733+0.00063264i,-0.00038099-3.8012e-05i,-0.00013419-0.00046334i,0.00018862-0.00045211i,0.0001986-0.00019296i,-0.00017369-0.00038903i,-0.00014901-0.0012895i,4.9432e-06-0.00092059i,-0.00011873+8.7996e-05i,-0.00024221-8.8147e-05i,0.00012822-8.3068e-05i
-0.0022675+0.0017298i,-0.0012464+0.0010052i,-0.00016748+0.00028476i,0.00043139+0.00070483i,0.0011283+0.0009536i,0.0011617-0.00011708i,9.2801e-05-0.0012117i,-0.00021404-0.00094081i,0.00045695+0.00057565i,0.00058611+0.0014135i,0.00051316+0.0010865i,0.0002763+5.2048e-05i,-0.00022889-0.00058453i,-0.00025867-0.00011854i,-0.00023123+0.00070068i,-0.00024368+0.00085846i,0.00057309+0.00088293i,0.0012338+0.00082955i,0.00055177-0.00051807i,-0.00021626-0.0014594i,-0.00053034-0.00093367i,-0.00047185-0.00063727i,3.0128e-05-0.00052015i
0.00041698-0.00056959i,0.00052842+5.2257e-05i,0.00086731+0.0019665i,-0.00023525+0.0013941i,-0.0008105+0.00031588i,-0.00018589+0.00020175i,0.00026816-0.00058692i,0.0010121-0.00018273i,0.001398+0.00042994i,0.0013597-0.00010395i,0.0014074-0.00033432i,0.00086491-0.0005283i,0.00027465-0.00054193i,0.00067426-0.00038019i,0.00049032-0.00051434i,0.0001404+5.9391e-05i,0.00024669+0.0006038i,0.0001517+0.00051612i,0.00015232-0.00020105i,0.00014965-0.000488i,0.00026758+0.00011425i,5.7323e-05+0.00051443i,-0.00034414+0.00041454i
0.00034837-0.00016369i,0.00016932-0.00051878i,-0.00022191-0.0010831i,-0.00075767-0.00077107i,-0.00088227-0.00057307i,-4.8542e-05-0.0012385i,0.00043689-0.001255i,0.00014123-0.00076531i,0.00077347-0.0002172i,0.00075724+0.00043108i,4.1461e-05+0.00025225i,5.9476e-06-0.00033059i,-0.00036952-7.3118e-05i,-0.00043525-3.5027e-05i,0.00011233-0.00023812i,-0.0004069-3.6123e-05i,-0.00062206-3.4034e-05i,-0.00023096-0.00033905i,-0.00054879-0.00041932i,-3.9613e-05-0.00081386i,0.00080374-0.00089929i,0.0009347-0.00065007i,0.00071604-0.0004803i
-0.00061887-0.00034979i,-0.00083987+0.00075123i,-0.0014992+0.001139i,-0.0014488+0.00083944i,-0.0010701+0.00059831i,-0.00061412+0.00054848i,-9.5542e-05-0.00017945i,-9.6331e-05-0.00050255i,-0.0001579-0.00036863i,3.742e-05-0.0003075i,0.00047793+0.00018945i,0.00060503+0.00040983i,4.2496e-05-0.00010521i,-0.00011609-0.00015066i,6.1119e-05+0.00015236i,0.00018455+0.00027758i,0.00070675+0.00027762i,0.00072457-0.00028943i,0.00030778-0.0011835i,-8.1897e-05-0.00090773i,-5.8545e-06+0.00019704i,0.00014728+0.00038184i,-0.00015782-7.269e-05i
-4.0188e-05-0.000868i,-0.00020704-0.00046785i,-0.0013491-0.00026148i,-0.0017178-0.0003296i,-0.0012806+0.00043494i,-0.00010152+0.00053149i,0.0010751+0.00010349i,0.00060826-7.9877e-05i,3.0456e-05-0.00023514i,0.00023719+0.00016869i,0.00023409+0.00048871i,0.00077788+0.00037181i,0.0014128-9.0262e-05i,0.001372-0.00054757i,0.0012043-0.00045236i,0.0010069-7.279e-05i,0.00033431-0.00019604i,0.00021158-0.00030186i,0.00048144-0.00015834i,-7.2988e-05-0.00043205i,-0.00040888-0.00056361i,4.4524e-05+0.00015066i,0.00051575+0.00068048i
-0.0013929-0.0010708i,-0.002694-0.00097341i,-0.0020069-0.0010036i,-0.0012559-0.00031715i,-0.0010231+0.00081051i,-0.00024355+0.0013606i,0.00067996+0.00083556i,0.00065307-0.00024631i,0.00024861-0.0006218i,0.00022174-0.00028293i,0.0001816-5.9361e-05i,0.00050791-0.00046246i,0.00069085-0.00065369i,0.00012346-5.3577e-05i,0.00014616+0.00023285i,-0.00010837+0.0003472i,-0.00016968+0.00048388i,-8.494e-05+0.00039182i,-0.00025509+0.0003803i,-4.4865e-05+0.00021325i,0.00048312-0.00060482i,0.0003468-0.00087142i,0.00021171-0.00016825i
0.00012865-0.0012583i,-0.00052635-0.0016066i,-0.002042-0.00075309i,-0.0018102+0.0012719i,-0.00084322+0.0015273i,-0.00020012+7.6129e-05i,0.0012089-0.0013577i,0.0020721-0.00086473i,0.0017321-1.825e-05i,0.00092326-0.00029719i,4.9152e-05-0.00088955i,0.00010439-0.00038613i,-0.0001962+7.4411e-05i,-0.00098953-0.00053328i,-0.00093801+3.1506e-05i,-0.00038949+0.0010121i,0.00046533+0.00083269i,0.0010527+0.00031934i,0.00075347+9.923e-05i,-0.0001915+0.00026949i,-0.00027878+0.00047832i,-0.00035645+0.00044119i,-0.00064826+0.00051771i
