-0.00019465+0.0020285i,0.0002129+0.0022931i,0.00034925+0.0013207i,-0.00090381+0.00083222i,-0.0030438+0.00062396i,-0.0042504+0.00012728i,-0.0026595+0.00085674i,-0.0010897+0.0017535i,-0.00023806+0.00097186i,0.00041128-0.00053216i,-0.00039302-9.6946e-06i,-0.00088165+0.00092296i,-0.00030168+0.00068929i,0.00042892+0.00011655i,0.0012796-0.00059944i,0.0013163-0.00029968i,0.0011273-1.6223e-05i,0.0006716+0.000138i,0.00016819+0.00040813i,-3.2831e-05+0.00022304i,-0.00018514+0.0002709i,0.00049653+0.00092728i,0.00076408+0.00054655i
0.0018054-0.00061271i,0.001536-0.00066348i,0.0009168-0.00073023i,0.00018823-0.00063506i,-0.0013302-0.00058006i,-0.0022321-8.2617e-05i,-0.0013081-0.00016096i,-0.00085551-0.00044351i,-0.00053692-0.00071207i,0.00018545-0.00086234i,0.00052198-0.00033711i,0.00022001+0.00047302i,6.0749e-06+0.00071884i,-0.00024354+0.0004675i,-0.00045562+2.7288e-05i,-0.00014561-6.3475e-05i,0.00085006+0.00033507i,0.001241+0.00040267i,0.00098009+0.00012711i,0.00068136-0.00021032i,7.5467e-05-0.00040895i,0.00010824-0.00015604i,0.00036847+0.0009274i
0.00093613-3.9476e-05i,0.0003909+0.0002217i,-0.000797+0.0015242i,-0.0014101+0.0023075i,-0.0011889+0.0026271i,-0.00072119+0.0018505i,-0.001076+0.00080593i,-0.00095519-0.00059481i,-0.00044236-0.00077428i,0.00036198-0.00040486i,0.0010828-0.00031378i,0.00045437+0.0001573i,7.8886e-05+0.00011571i,0.00020095+0.00020422i,-0.0004796-6.8632e-05i,-0.00043436-0.00038948i,0.00081509-0.00045153i,0.0012177-0.00067227i,0.00072323-0.00036862i,-0.00019172+0.00056893i,-0.00032932+0.00060158i,-5.769e-06-1.7207e-05i,0.00046033-0.00069502i
0.0013482-0.00014569i,0.0014554-0.00019441i,0.00015286-0.00037989i,-0.0012013-0.00046892i,-0.0020006+0.00035396i,-0.001194+0.00073016i,-0.0003938-6.5085e-05i,-0.00075874-0.00049054i,-0.00067281-0.00074289i,-0.00018249-0.00010921i,-0.00015173+0.00039843i,0.00044111-0.00071013i,0.00035125-0.00085477i,-0.00029281-0.00037895i,-2.7504e-06-0.00053559i,0.00052458-0.00029288i,0.00010515-8.5952e-05i,-0.00079011-0.00084461i,-0.00083139-0.0012061i,-0.00036725-0.00084819i,0.00021458+0.00031267i,1.9177e-05+0.0012117i,-0.00053762+0.00021747i
5.5503e-05-0.00037552i,-8.0618e-05-0.00093417i,-0.00017581-0.0011726i,-0.00079824-0.00031275i,-0.0016299+0.00071077i,-0.0017665+0.0016882i,-0.0011739+0.0014739i,-0.00024896+0.00031273i,0.0003166+7.8725e-05i,9.6887e-05+3.7528e-05i,-0.00015133-0.00011466i,0.00020132+5.9316e-06i,0.0004567-2.953e-05i,-0.00019624-0.00018083i,-0.00034642-0.00050462i,-0.00045549-0.00069432i,-0.00036243-0.00042199i,0.00023669-4.9978e-05i,0.00040841-0.00016637i,0.00036046+0.00026138i,0.00029033+0.00055468i,0.00019471-0.00049062i,-0.0001791-0.00043028i
-0.00025868-0.0010626i,-0.0001351-0.00027142i,-0.0005088+0.00084255i,-0.0007364+0.001652i,-0.000563+0.0015151i,-0.00055401+0.0007466i,-0.0010793-0.00042429i,-0.0011112-0.0006382i,-0.00087862+0.00047657i,-6.6693e-05+0.00094418i,0.00050856+0.00049881i,0.00057581+4.5268e-05i,4.8285e-05-0.00073077i,6.3721e-05-0.00054594i,-0.00036386-0.00036889i,-0.0011515-0.0010563i,-0.00051487-0.00079404i,0.00092765-0.00010086i,0.00089559-0.00024785i,4.0179e-05-0.0005127i,0.00033686-0.00011545i,0.00025545-0.00053723i,0.00016374-0.00055035i
0.0012118+0.00025623i,0.00030661-0.00034099i,0.00020701+0.00025957i,-0.00017252+0.00067805i,-0.00091308+0.00029207i,-0.0013139+0.00027462i,-0.0012899+0.00020097i,-0.0010441-0.00012289i,-0.00027585+0.00015059i,-0.00063034+0.00018966i,-0.0007662-0.00012896i,-0.00020933-0.00042314i,-0.00060339-0.00023136i,-0.00057392+8.5338e-05i,0.00015965-0.00012999i,0.00074585+8.3386e-05i,0.00087407+0.00030064i,0.00075017-0.00035983i,0.00066061-0.00051919i,0.0004977-0.00010621i,0.00046459-0.000387i,-0.000273-0.0004777i,-0.0013154-3.1113e-05i
-0.0015962+9.6004e-05i,-0.00047269-0.00023519i,0.00016526-0.00012834i,-0.00036578+0.00052361i,-0.0012363+0.00035966i,-0.0013115+0.00020152i,-0.00079598+0.00014952i,-0.00012629+0.00030379i,0.00040019+0.00084861i,0.00047033+0.00076176i,0.00059954+0.0001005i,0.00047825-1.1207e-05i,-0.00036172-9.3552e-05i,-0.00013898+9.0345e-05i,0.00082273+0.0003041i,0.00040081+0.00010035i,-0.00033145+0.00037801i,-0.00080508-0.00021456i,-0.00077755-0.0007536i,-0.00060542+0.00036356i,-0.00071562+0.00098208i,-3.7473e-05+0.00058889i,0.00049984-9.0483e-05i
-0.0015259+0.00023452i,-0.0017687+0.00091278i,-0.00088053+0.00034339i,-0.00019187-0.000787i,-0.00064651-9.3753e-05i,-0.0018172+0.0006817i,-0.0019901+0.00032932i,-0.00016196-0.00022239i,0.00055429-0.00076426i,0.00028366-0.00063496i,-0.00035287-0.00031345i,-0.00041174+0.00013113i,0.00039698+0.00051739i,0.00064895-0.00030215i,0.00086276-0.00058553i,0.0013086+5.8122e-05i,0.00085725-0.00019492i,0.00046923-0.0010252i,0.00010575-0.00093356i,-0.00098066-0.00060857i,-0.0009299+0.00017341i,-0.00061579+0.00087566i,3.5818e-05+0.00041443i
-0.00021606-0.00135i,6.4545e-05-0.0016642i,-0.00049469-0.00092401i,-0.00069405-0.00025307i,-0.00044761+0.0002249i,-0.00043258+7.6471e-05i,-0.0017732-0.00040224i,-0.0018317-0.00065925i,-0.0011471-0.00045992i,-0.00065241+0.00027323i,-0.0004489+0.00054093i,-0.00012154+0.00020396i,-9.7064e-05+5.1039e-06i,-0.00052222-0.00036965i,0.00035214-0.00077526i,0.00074611-0.00074703i,0.00083784-0.0014775i,0.000855-0.0018213i,0.00027515-0.0006896i,0.00028815-0.00022595i,0.00063833-0.00090673i,0.00071342-0.00060101i,0.0011979+0.00029768i
0.0013197+0.00020618i,0.001834+0.00055141i,0.0014684+0.00011008i,0.00035322-0.00062781i,-0.00060439-0.00088879i,-0.0013763-0.00041555i,-0.0015787+0.00070169i,-0.0005936+0.0013458i,0.00035355+0.00044652i,-0.00043419-8.9511e-05i,-0.0008673+0.0002435i,-0.0002279+0.00078763i,0.00050181+0.00074944i,0.00069267+0.00045687i,-0.00045969+0.0007639i,-0.00072328+0.00044157i,0.00039784-0.00014825i,0.00067878+3.4239e-05i,0.00026929+0.00036894i,0.00076529+0.00065951i,0.00052928+0.00085077i,0.00054696+0.0010193i,0.0006398+0.0011851i
