0.00061929+4.6681e-05i,0.00095354-0.00049429i,-0.00066607-0.0015912i,-0.0020155-0.0018086i,-0.0022982-0.00085017i,-0.0019569-0.0004687i,-0.0010582-0.00056846i,-0.00011812+0.00027675i,0.00036303+0.00072075i,0.0004559-0.00039777i,0.00011127-0.00071575i,8.7923e-05-0.00080547i,0.00017721-0.00045742i,-0.0002541+0.0001962i,-0.00062744+0.00070425i,-0.0010085+0.0009785i,-0.00057035+0.00035987i,8.9824e-05-0.00082876i,0.0004363-0.0006327i,0.0002341-0.00030115i,-0.00041556-0.00049182i,-0.00088847-0.00031103i,-0.00072333-0.0002827i
0.0017392-4.6482e-05i,0.00074998-0.00060191i,0.00028568-0.0010646i,0.00071598-0.0016041i,-9.6844e-05-0.0016487i,-0.0012916-0.001305i,-0.001238-0.000926i,-0.00089617-0.00032567i,-0.00080583-0.00097181i,-0.00025403-0.0013574i,0.0002997-0.00050505i,0.00042305+0.00029029i,-1.7111e-06+0.00043797i,-0.00053194+6.9935e-06i,-5.2768e-05-2.9754e-05i,0.00010483-5.4547e-05i,-5.9342e-05-4.2751e-05i,-3.6668e-05+0.00024834i,0.00070724-0.00044244i,0.00091352-0.00070686i,0.00041826-0.00067414i,0.00025119-0.00062206i,-0.00039975+0.00017648i
0.0021214-0.00092311i,0.0010255-0.00041787i,-5.3692e-05-0.00096688i,-0.00054035-0.0013359i,-0.0014433-0.0012508i,-0.0013784-0.00057769i,-0.00081851-4.5961e-05i,-0.00034474-0.00076378i,0.00030567-0.00074518i,0.00026817-1.9621e-05i,6.087e-05+0.00030392i,-0.00025604+0.00058414i,-0.00055885+0.00035722i,-0.00032661-0.00032357i,-0.00015018-0.00060125i,-6.4242e-05-0.00012878i,-1.422e-05+0.00020576i,-0.00031261-8.5923e-05i,8.4366e-05-0.00012731i,0.00074582+9.2961e-05i,0.00062796+8.1034e-05i,0.00020421+0.00072934i,0.00014969+0.0010698i
0.0015824-0.0008817i,0.00037477-0.00087787i,-0.00021698-3.3982e-08i,-9.5104e-05-3.0206e-05i,0.00076228-7.7452e-05i,-0.00015486-7.761e-05i,-0.001591+0.00014847i,-0.0013674+0.00042027i,-0.00041694-0.00027833i,-0.00046707-8.4431e-05i,-0.00065355+0.00063922i,-9.9848e-05+0.00053192i,0.00041643+0.00022291i,0.00063954-0.00027047i,8.6497e-05-0.00033427i,-0.00056784-0.00015293i,-0.00066558-0.00025273i,-0.00030814-0.00046512i,0.00034813-0.0004848i,-0.00023052-0.00037238i,-0.0013809-0.00055178i,-0.0011397+0.00016172i,0.0002423+0.0006483i
-0.00020496-0.0014154i,0.00087483-0.0016204i,0.00075248-0.00082044i,-0.00017457-0.00054236i,-0.0004943-0.00083512i,-0.0006153-0.0011152i,-0.00050839-0.0012299i,0.0004597-0.0012731i,0.00063866-0.00040242i,-0.00029875+0.00017i,-0.00034747+0.00026676i,0.00018109+0.0006156i,0.00015484+0.00049268i,0.00017689-0.00036875i,9.5529e-05-0.0010769i,-0.000521-0.00062593i,-0.00033939+1.7132e-05i,0.00050459-0.00012127i,0.00056241-0.00053907i,-0.00031896-0.00068578i,-0.00049911-0.00030095i,0.00035069-0.0003679i,0.00041225-0.00057827i
-0.00035362-0.0016571i,-0.00031225-0.0015831i,0.00037056-0.00025506i,0.00068233+0.00036389i,0.00078404+0.00037824i,0.00032307-0.00026872i,-0.00018481-0.0014713i,-5.8764e-05-0.0010583i,-0.00020177-0.00023285i,-0.00064154-3.5031e-07i,-0.00063769-4.701e-05i,-0.00073158-0.00025301i,-0.00069847-0.00012858i,8.1633e-05-0.00051838i,0.00087328-0.00073113i,0.0009611-0.0002498i,0.00032838+9.7309e-05i,-0.00059542-4.4519e-06i,-0.00025804-0.00019957i,0.00047997-0.00091521i,-3.1257e-05-0.00082765i,-0.00018473+0.00010874i,0.00063937-0.0004522i
0.00034628-0.00030742i,-0.00028862+8.7106e-05i,-0.00076323+0.00075214i,-0.0006351+0.0010681i,-0.00087705+0.00028115i,-0.00017349-0.00037125i,0.00025374-0.00056494i,-0.00085036-0.00084196i,-0.0013601-0.00057534i,-0.00058336-6.6293e-05i,-2.9412e-06+0.00020192i,7.9568e-05-0.00030518i,0.00029076-0.0007571i,0.0010259-0.00082647i,0.00094486-0.000377i,9.1043e-05+0.00044811i,-0.00056996+0.00042461i,-0.00081691-0.00021697i,-0.00028827-0.0007403i,0.00030365-0.0011646i,0.00016262-0.00076962i,-0.00061776-0.00029376i,-0.0009228-0.00016363i
0.0001234-0.0014888i,0.00032075-0.001643i,-6.0477e-05-0.0010137i,-0.0002532-0.000141i,0.00033466-1.4938e-05i,0.00010579-0.00034615i,-0.00028263-0.00017213i,1.8226e-05-0.00040465i,-0.00013123-0.00056593i,-0.00031761+5.8562e-05i,-0.00033212-0.00017087i,2.1237e-05-0.00016739i,-0.000104-0.00017834i,0.00022008-0.00049461i,0.0003619+0.00037658i,-0.00037837+0.00086041i,-0.00021474+0.00038115i,-0.00012823-9.7679e-05i,0.00017141-0.00068259i,0.00032784-0.00074516i,-0.00028236-0.00036681i,-0.00048412-0.00047109i,-9.2763e-05+6.248e-05i
0.00045673-0.0014695i,0.00056137-0.0013487i,0.00080829-0.0010404i,0.0012258-0.00029397i,0.0012393-0.00051466i,0.00020895-0.00078643i,-0.00026436-0.00028379i,-0.00034585-0.00021328i,-0.00045291-0.0010632i,-0.00029864-0.00063251i,-0.00013901+0.00096992i,6.378e-05+0.00062934i,-0.00059681-0.00024419i,-0.00052695-0.00024438i,0.00034083-0.00074662i,0.0002117-0.00053968i,0.00020596+0.00012865i,-6.0206e-05-3.3142e-05i,-0.00084073-0.00060447i,-0.00053173-0.00052752i,-4.8465e-05-9.7648e-05i,0.00031721-0.00013871i,0.00065896+0.00015496i
0.0003766+0.00012432i,-0.00028955-0.0010771i,0.00013712-0.0011787i,0.0003852-0.0007111i,0.00015373-0.0014852i,-9.9255e-05-0.0023406i,-0.0007028-0.0012459i,-0.00097521-0.00015401i,-0.00019054-0.00078248i,-0.00013328-0.0012012i,-0.00061683-0.00066915i,-0.00031452-0.0003805i,-5.0373e-05-0.00047662i,-9.2138e-05-3.7273e-06i,-0.00073969+0.00041244i,-0.00074917+0.00031046i,4.0742e-05+0.00010634i,0.00058749+0.00029627i,-8.103e-05+0.00036231i,-0.00083079-0.00055705i,-2.0626e-06-0.00038019i,0.00018672+0.00034069i,0.00041326+0.00055373i
-0.00014325-0.0019163i,-0.00061304-0.0014377i,-0.00089905-0.0003969i,-0.00096467-5.5906e-05i,-0.00083601-0.00046605i,-0.00082316-0.00070735i,-0.00067949+0.0003269i,-0.00011927+0.00030678i,0.00027726+9.992e-05i,0.00021576+0.00017795i,1.1729e-05-0.00046927i,-0.00013314-0.00013774i,-8.2118e-05+4.5947e-06i,0.00024504+0.00028635i,0.00062582+0.0011556i,0.00045424+0.00096706i,0.00049337-8.9365e-05i,0.00078817-0.00060128i,0.00081477-0.00041062i,0.00080192-0.00061838i,0.00067515-0.00032295i,-0.00048714+0.00056313i,-0.00079637+0.00061028i
0.0010597-0.0006194i,0.0014743-0.00070644i,0.0012853-0.0016402i,0.0012356-0.0014559i,0.00055134-0.0011051i,-0.0006288-0.00089079i,-0.00071928-0.00053198i,-2.7044e-05-0.00091506i,-0.00045846-0.00061937i,-0.0010839+0.00023517i,-0.0010629+0.00070014i,-0.00052017+0.001013i,0.00071553+0.00063158i,0.0008891+2.0255e-05i,0.00013757-2.25e-05i,0.00034777+0.00030624i,-0.00012485+0.00041011i,-0.00038846-4.0974e-05i,0.00031754-0.00054405i,0.00052604-0.00070569i,-3.7973e-05-0.00066563i,-4.9247e-05-0.00022162i,0.00034448+0.0010035i
0.002026-0.0022275i,0.0020678-0.0017805i,0.0014358-0.0010181i,0.00023277-0.001055i,-0.00079794-0.001099i,-0.00091857-0.00096891i,-0.00076716-0.0010703i,-0.00064687-0.001526i,-0.00021499-0.0012381i,0.00015446-0.0010627i,0.00030519-0.00073784i,0.00029838+0.00022825i,-3.4723e-05+0.00036103i,-0.00067253+2.7488e-05i,-0.0010586-0.00023553i,-0.00093136-0.00044563i,-9.5639e-05-3.4017e-05i,0.00044677+0.00028154i,0.00081522-0.00041791i,0.00041807-0.00070601i,-0.00054884+3.9765e-05i,2.5401e-05+0.00027333i,0.00070185-0.000737i
