-0.0010732-0.00018239i,-0.0014122-0.0011795i,-0.0027919-0.001332i,-0.0023443-0.001382i,-0.0015677-0.00049981i,-0.0011962+0.00082526i,-0.00063013+0.0013336i,0.00015392+0.0019635i,0.0002222+0.0018292i,1.6475e-06+0.0011596i,-0.0003962+0.00058201i,-0.0010069+0.00021603i,-0.0011253-0.00026766i,-0.00061857-0.00076325i,2.0733e-05-0.00071584i,0.00032016-0.00083678i,0.00013301-0.00083573i,-0.00022418-0.00016033i,-0.0002305-0.00015243i,-0.00027002-0.00044241i,-0.0004911-0.00030077i,-0.00045448-0.00033854i,-2.3284e-05-0.00040137i
-0.0011575-0.00053292i,-0.001363-0.00038654i,-0.0022742-0.00018399i,-0.0020453+0.0012044i,-0.0010285+0.002196i,0.00077859+0.0015731i,0.0021745+0.0015453i,0.0017314+0.0014707i,0.00084902+0.0008299i,-0.0004746+0.00085265i,-0.0015592+0.0011428i,-0.0012038+0.00063875i,-0.00070665+0.00019808i,-0.00056655+2.9225e-05i,-0.0006464-6.615e-05i,-0.00056647-0.001099i,-5.8831e-05-0.0017384i,0.00033558-0.0011166i,0.00078988-0.00095481i,0.0001715-0.00081478i,-0.00022761-0.00033307i,0.00037367-0.00037062i,0.0002982-0.00018023i
0.00041608-0.00086419i,-0.00035698-0.00080743i,-0.00023704+0.00038657i,-0.00048904+0.0013351i,-0.00058275+0.0013783i,0.00078737+0.0015115i,0.0018878+0.0015672i,0.0015241+0.0020681i,0.0012002+0.0029655i,0.0008028+0.0023805i,0.00061047+0.00076044i,0.00039655+0.00031897i,3.5093e-05+0.00089166i,-6.0957e-05+0.00037926i,-0.00015738+3.248e-06i,-0.00039201+0.0002434i,-0.00048684+0.00046664i,-0.00090132-5.1272e-05i,-0.0012118-0.00055647i,-0.00058579-0.00032017i,0.00047837+0.00010804i,0.00080193+0.00027176i,0.00038108+9.571e-05i
-0.0010272-6.7599e-05i,-0.0014076-0.0011207i,-0.0024931-0.0009318i,-0.0016741+7.8226e-06i,-0.00010701+0.00041834i,0.00041459+0.00020243i,-3.7403e-05+0.00043452i,0.00034197+0.00053697i,0.00084902+0.00038217i,0.00065029+0.00022628i,-9.188e-05+0.00046651i,-0.00032749+0.00072077i,0.0004345+0.0004359i,0.00078291-0.00029452i,0.00069289-0.00063338i,0.00045032-0.00031833i,0.00013811-0.00071591i,8.1356e-05-0.00086402i,5.5783e-05-0.00051585i,-0.00046918-0.0001212i,-0.0009658+0.0003389i,-0.00061927+0.00052848i,-0.00061366+0.00043832i
0.0020743-0.00023221i,0.0020345+1.6543e-05i,0.0012189-0.0012939i,0.00054157-0.00082837i,0.00033035+8.7863e-05i,0.0002122+0.00031869i,0.00028643+0.00034557i,0.00075798-8.175e-05i,0.0015498-0.0004324i,0.001789-0.00087807i,0.00094337-0.0005765i,0.00038358+0.00011812i,0.00082787+7.2134e-05i,0.00082032-0.0003464i,0.00066433-0.00074152i,0.00063477-0.0011657i,7.4441e-06-0.0011367i,0.00013143-0.0011037i,0.00028209-0.0006316i,-5.9403e-06-8.7469e-05i,-0.00035951-0.00036804i,-0.00051093-0.00032457i,-0.00013827-3.7138e-05i
0.0011231+0.00020979i,-4.8733e-05+0.0015536i,-0.00015259+0.0014548i,0.00011345+0.00094288i,0.00013476+0.00072799i,0.00039321-9.5198e-06i,0.00096777-0.00033799i,0.0010576-0.00077983i,0.00038615-0.00089792i,-0.00019192-0.0014582i,-0.0010246-0.0019521i,-0.0011438-0.0010706i,-0.00059164-0.00091676i,0.00022787-0.0015934i,0.00028521-0.0016258i,-0.00077808-0.0012171i,-0.0011683-0.0003485i,-0.00015128-0.00012606i,0.00064334-0.00015157i,0.00060652+0.00070185i,0.00046339+0.0010512i,0.0006098+0.00029002i,0.00030003+0.0003701i
5.6273e-05-0.00012499i,0.00085927-0.00013594i,-0.00024581-0.00032249i,-0.00039794+8.1294e-05i,9.6204e-05+0.00086043i,-0.000434+0.0013701i,-0.00042707+0.00086748i,-0.00021443-0.0001229i,-0.00058693-4.9725e-05i,-0.0012341+0.00031138i,-0.0016287-0.0003874i,-0.00081966-0.00017482i,-0.00035296+0.00064675i,-0.00056396+0.00058695i,-0.00053474-0.00026534i,-0.00094187-0.00030205i,-0.00081035-0.00018871i,-0.00022415-0.00041605i,0.0002348-0.00034271i,-7.8651e-05+4.7263e-05i,-0.00062205+0.00033094i,-0.00016551+0.00066867i,-0.00056473+0.00050991i
0.0015474-0.00052365i,0.0016903-0.00063772i,0.00084361-0.0014572i,-0.00010439-0.0014038i,-3.2285e-05-0.00041082i,0.00021828-5.3288e-05i,-0.00067831+0.00088215i,-0.00054242+0.0016003i,-0.00032674+0.0013235i,-0.0013899+0.0014248i,-0.0011721+0.0012505i,0.00018576+4.2785e-05i,0.00036754+2.6586e-05i,-0.00023466+0.00057702i,-0.00046012+1.8477e-05i,-0.0008098-0.00022101i,-0.00035739+0.0002119i,-0.00018142-0.00030781i,-0.00044107-0.0005405i,3.7671e-05+0.00031025i,0.00047747+0.00033836i,0.0001061+0.00028389i,0.00051371+0.0002595i
-0.0010892+0.00034004i,-0.0014517+0.00054577i,-0.0025747+0.00064879i,-0.0020289+0.00048712i,0.00024464+0.00086589i,0.0018713+0.0013828i,0.0016209+0.00074188i,0.0010739+0.00045998i,0.00074706+0.0013415i,0.0001676+0.0020686i,0.0002138+0.0013729i,0.00065056+0.00021739i,0.00072812+0.00023635i,0.0010103+0.00066045i,0.0010799+0.00032066i,0.0010276-0.00070386i,0.00079522-0.00099522i,0.00020988-0.00029005i,0.0004887-0.0004529i,5.1298e-05-0.0003809i,-0.00067034+0.00069025i,-0.00036546+0.0011441i,0.00054542+0.0010324i
0.00071311-0.00037257i,0.00049918-0.0016031i,0.0014529-0.0015342i,0.00094651-0.00023924i,-0.0003405+0.001053i,-0.00046409+0.0011419i,0.0013391+0.00015263i,0.0025695-0.0002173i,0.0021904+0.00058402i,0.0015717+0.0006483i,0.0014184+6.7435e-05i,0.0016659+0.00020332i,0.00089947+0.00075622i,0.00040288+0.00056522i,0.001117-4.0772e-05i,0.0010459-0.0004475i,0.0006623-0.00071794i,0.00034322-0.00082053i,0.0010485-0.0013133i,0.0016585-0.00064312i,0.0007546+9.8747e-05i,-5.569e-06-0.00013964i,0.00049492-0.00026451i
-0.00070227-0.0011796i,-0.00056476-0.00053908i,-0.0015043-9.6155e-05i,-0.0021781+0.00097902i,-0.0013785+0.0015731i,5.4778e-05+0.0014346i,0.0013381+0.0010492i,0.0014261+0.00016606i,0.0017099-0.00041359i,0.0015072-0.00067012i,0.00083697-0.00066549i,0.00046959+0.00013096i,0.00065428+0.00066442i,0.00086253+5.7301e-05i,7.7568e-05-0.000466i,-0.00020916-0.00067871i,0.00028209-0.00057634i,0.00011611-0.00025041i,0.00020941+4.2678e-05i,0.00075052+2.1881e-06i,0.0009108+0.00025144i,4.0084e-05+0.00068932i,-0.00084582+2.5159e-06i
