-0.00066193-0.00054885i,-9.822e-05-0.00069527i,-0.00099989-0.00090596i,-0.00065374-0.0010924i,-0.00022306-0.0012015i,-0.00013844-0.00083606i,0.00039076-0.00062867i,0.0009232-0.00052147i,0.0011559-0.00047814i,0.00071452-0.00061591i,0.0004833-0.00056575i,0.0008333-0.00019636i,0.000519-0.00013099i,-1.3321e-07+0.00014888i,-0.00035638+0.00044786i,-0.00038702+0.00061709i,-0.00027121+0.00019709i,-0.00022643-0.00041546i,0.00010403-0.00024691i,-0.00014268-0.00021548i,-0.00054156-0.00065196i,-0.00087091-0.00030087i,-0.00071008+0.00011408i
6.1695e-05-0.0014002i,-0.00055701-0.0021047i,-0.0017712-0.0018625i,-0.00086664-0.00084785i,0.00017686-7.2997e-05i,0.00025097-0.00058552i,-7.4394e-05-0.0014785i,-0.00038757-0.0012136i,-0.00036482-0.00055869i,-0.00055572+0.00016174i,2.6206e-05+0.00029889i,0.0011958-0.00036583i,0.0012179-0.00015285i,0.0011224-3.0553e-05i,0.00061532-7.5012e-05i,-0.00014628-0.0002001i,-0.00026373-0.00012322i,0.00020994+0.00074625i,0.0011781+0.0012609i,0.0012001+0.0011035i,-6.4137e-06+0.0011106i,-0.00042302+0.001221i,-0.00019185+0.0012962i
0.001987-0.001291i,0.0014232-0.00077647i,0.00037075-0.00032241i,-4.2028e-05-0.00034371i,-6.473e-05-5.366e-05i,-0.00034396+3.3243e-05i,0.00023096+0.00024822i,0.00060344-0.00010891i,-0.00036351-0.0010373i,-0.00062788-0.0004159i,0.00013084+0.00073434i,0.00060114+0.00060461i,0.00020122+9.6901e-05i,0.00034483-0.00027501i,0.00080063-0.00044422i,0.00030354+0.00013708i,-0.00036048+0.0005747i,-0.00016437+0.00050754i,0.00031726+0.00013041i,0.00040024-0.0006695i,-0.00059198-0.00050152i,-0.00096883-1.0433e-05i,-2.8359e-05-0.0001177i
0.0036293+0.00021662i,0.0025444+0.00062685i,0.001913-1.0352e-07i,0.00093347-0.00072371i,0.00024052-0.001341i,-0.00088037-0.00083109i,-0.0010633-9.6249e-05i,-0.00088403-0.00088052i,-0.00070344-0.0017124i,-0.00033747-0.0018967i,-0.00031621-0.0013802i,-0.00041921-0.00037075i,-0.00034049-0.0001718i,0.00033621+0.00028445i,0.001063+0.0009327i,0.0010828+0.00058327i,0.00050093+0.00021142i,0.00034749+0.0006397i,0.00063404+0.0012486i,1.8451e-05+0.0014185i,-0.00059959+0.0011602i,-0.0002266+0.00030835i,-0.00032702-0.00021909i
-0.00064321-0.0013439i,-0.00056772-0.0014627i,-0.00066792-0.00058759i,-0.00031193+0.00052926i,0.00045078-0.00017097i,0.00083857-0.00094575i,0.00010532-0.00086945i,-0.00049635-0.00084654i,-0.0010345-0.0013653i,-0.0015847-0.0011286i,-0.0010154-0.00014901i,-0.0001873-0.00027452i,0.00052168-0.00033479i,0.00079838+0.0003063i,0.00080578+0.00085237i,8.3386e-05-0.0001561i,-0.0003126-0.00076443i,9.3368e-05+0.00016033i,0.00044193+1.3505e-06i,0.00040353-9.9894e-05i,0.00073126+0.000483i,0.0012823-9.0913e-05i,0.0012579-4.8058e-05i
-4.9884e-05-0.0007117i,-0.00057494-0.0020538i,-0.00060728-0.0029244i,-0.00025451-0.0025013i,0.00021558-0.001567i,0.00016219-0.00080637i,-0.00030781-0.00035205i,-0.00027995-0.00010707i,0.00013477-0.00084791i,0.00043628-0.0014038i,0.00019086-0.0011784i,-5.5325e-05-0.0003354i,4.3129e-06+0.00075196i,0.00013939+0.00097672i,0.00047059+0.00061293i,0.00045579+0.00090993i,0.00026466+0.00091765i,0.00015395+0.00040638i,-6.7443e-05+0.00024407i,9.1912e-05+0.00053527i,-0.00024461+0.00051158i,-0.00034755+0.00018892i,-6.8115e-05+0.00027184i
0.00032949-0.0015229i,0.00050555-0.0014695i,-0.0005113-0.00067348i,-0.00062248-0.00030168i,0.00065211-0.00062304i,0.0012044-0.0012416i,0.0005809-0.00090739i,-0.00022708-0.0012828i,-0.00052307-0.00075417i,-0.00073671+0.00037907i,-0.00060589+8.1199e-05i,-0.00043972-0.00051624i,-0.00048724-0.00058677i,3.5672e-05-4.2346e-05i,5.0662e-05+3.5838e-05i,-0.00069063-0.00011241i,-0.00039868+0.00024996i,0.00036083+0.0006581i,0.00017336+0.00012033i,0.00016988+7.956e-05i,0.00016058+0.00026901i,0.00014542-1.6811e-05i,9.1213e-05-0.00024896i
-5.167e-05-0.00034328i,-0.000479-0.00040378i,0.00028169+0.00032578i,0.0012012+0.00039699i,0.0017839-0.00048302i,0.0021504-0.00081926i,0.0017854-0.00057731i,0.0011856-0.0011572i,0.00069381-0.0016279i,-0.00010358-0.00034961i,-0.00018684-4.6053e-05i,0.00019524+0.00023187i,0.00012254+0.00064424i,1.0716e-05+0.00021719i,0.00033691+0.00021105i,0.00079503+0.00010485i,0.00044306+0.00017107i,-0.00034128+0.00074238i,-0.0003229+0.0012326i,-2.0952e-05+0.00086849i,-0.00049262+0.00012225i,-0.00042982+0.0003736i,0.00012444+0.00045716i
0.00026434-0.00012365i,-0.00061969-0.00061046i,-0.0011056-0.00044361i,-0.0010585+0.00016234i,-0.00048021+0.0002329i,0.0001165-0.00023173i,0.00011757-0.00098591i,-6.0039e-06-0.00094641i,3.97e-05-0.000611i,-0.00056371+5.2212e-05i,-0.0011636+0.00024857i,-0.001138-0.00011985i,-0.00067099-0.00025544i,-0.00039402-8.6467e-05i,0.00021724-0.00023846i,3.8887e-06-0.00020696i,-0.0003101-0.00023626i,-0.00011498+0.0005465i,-5.4459e-05+0.0016911i,-0.00014172+0.0010642i,-0.000209+0.00020896i,-0.00033851-0.00010699i,-0.00019567+0.00055316i
0.00041801-0.00054261i,0.0010888-0.0011355i,0.00073069-0.0010121i,-0.0003105-0.00013566i,-0.00015418+0.0003174i,0.00048394+0.0001898i,-5.2378e-05+0.00014516i,-0.00016191-7.8245e-05i,0.00076453-0.000507i,0.0014634-0.00059417i,0.001263-0.00018557i,0.00065817-0.00058992i,0.0002686-0.00054758i,0.0002413+0.00037659i,0.00087+2.7981e-05i,0.00091465-0.00071198i,0.00020957-0.00024096i,0.00030188+0.00080522i,0.00039676+0.0013078i,-0.00030369+0.00091257i,-0.0002582+0.00013824i,0.00045845-0.00033789i,0.00079588-0.00074153i
0.00029213+0.00018565i,-0.00031608-0.00012278i,-6.4861e-05-0.00014904i,0.00094591-0.00097935i,0.00054904-0.0023292i,-0.0007795-0.0027673i,-0.00061141-0.0019078i,-8.9724e-05-0.0013382i,-1.0133e-05-0.00095943i,0.00010471-0.00030548i,0.00049567+0.00069889i,0.00073021+0.0009622i,7.689e-05+0.00064226i,-0.00011629+0.00068557i,-0.00051742+0.00053408i,-0.00047818-7.0793e-05i,-0.00024649-0.00014233i,-0.00095385+0.00060763i,-0.00059768+0.00086473i,-8.7538e-05+0.00063032i,0.00012937+0.00053655i,-4.6382e-05-0.00010145i,-0.00044443-0.00095247i
