-0.00040548-0.00047447i,-0.00031783-0.00066401i,-0.00087585+0.00021565i,-0.0010674+0.0015567i,-0.001128+0.0022572i,-0.0016407+0.0024082i,-0.0013901+0.0024744i,-0.00043159+0.0021077i,0.00080816+0.0011101i,0.0015362-0.00042863i,0.0012841-0.0013315i,0.0010784-0.00043848i,0.0010312-1.0889e-05i,0.0011598+0.00015716i,0.00053325-0.00017721i,-0.0002664-0.00043374i,-0.0001301-0.0006161i,0.00075753-0.00071149i,0.00070988+3.7725e-05i,0.00012152+2.2034e-05i,0.00017183-0.00058221i,0.00022716-0.00039388i,0.00029829-7.4067e-05i
0.00074124-0.00046656i,-0.00041939-0.0020687i,-0.0017948-0.0019105i,-0.0021752-0.00067398i,-0.0016076-2.1646e-05i,-0.001314-0.00022097i,-0.0012841-0.00034161i,-0.00071865+0.00045187i,-0.0002611+0.00030423i,-0.0003594-0.00039127i,0.00030343-0.0002026i,0.0011165+0.0003897i,0.00041996+0.00018287i,-0.00043271-7.5113e-05i,-0.00066576+7.1568e-05i,-0.00024994-0.00051464i,-0.00019957-0.00038176i,-0.00013818+0.00041917i,5.1836e-06+0.00066776i,0.0002051+0.00024233i,0.00058383-7.2376e-05i,0.00081904-0.00016501i,0.00062772+0.0002304i
0.00026316-0.00026305i,0.00035471-0.00043316i,-6.0854e-05-0.00026313i,-0.0014546-0.00038065i,-0.0016436-0.00052588i,-0.00034463-2.0727e-05i,0.00063847-0.00051922i,0.00048634-0.0010036i,3.57e-05-0.00041909i,-0.00064085+0.00052049i,-0.00079145+0.00051815i,-0.00040936+0.00037813i,0.00012639+0.00048961i,0.0009511+0.00094838i,0.00068702+0.00098485i,4.4686e-06+0.00033794i,0.00024956+0.00016155i,0.00062995+0.00011135i,0.00060876+4.5937e-05i,-0.00014176+0.00014367i,-0.00050789-0.00016145i,4.1472e-06-0.00025686i,0.00019255-0.00023826i
0.0016121+0.0011192i,0.00095171+0.0007436i,-0.00017149-0.00055499i,0.00063643-0.0016002i,0.0013825-0.0012368i,0.00036778-0.00043415i,-0.00096121+0.0001128i,-0.00090198+0.00028502i,-0.00036292+0.00032825i,-1.2935e-05-9.8079e-05i,0.00056449-0.0008979i,0.00051227-0.001039i,0.00025273-0.00033661i,7.5628e-05+0.00036588i,-0.00025319+3.5344e-05i,-0.0004551-0.00045193i,-0.00032494-0.00076334i,-0.00036729-0.00067231i,-0.00060553-3.1153e-05i,-0.0011992+0.00060961i,-0.0011351+0.00034759i,-0.00011703-9.5387e-05i,0.0008637-5.9005e-05i
0.00010705+9.3295e-05i,-0.00010184+0.00043126i,-0.00035367+0.0011064i,-8.9546e-05+0.0014842i,0.00074024+0.0012635i,0.00067833+0.00056109i,-0.00033133-0.00018139i,-0.00061388+0.00047323i,-0.00082062+0.00022922i,-0.00053701-0.00071881i,-0.0003292-0.00045752i,-0.00046602+0.00021768i,-0.00023368+0.00015005i,0.0007847+0.00033774i,0.0015207+0.00052423i,0.00030091+0.00026019i,-0.0002513-0.00036535i,0.00015495-0.00058191i,1.0158e-05-0.00075791i,0.00023612-0.00068436i,0.00089034+6.5951e-05i,0.00030777+0.00011214i,-0.00050724-0.00032441i
-0.00083355-0.0014673i,-0.00089575-0.0026336i,2.9359e-07-0.0021167i,0.00017459-0.0011304i,-0.00047636-0.00084041i,-0.00059976-0.00054084i,7.1221e-05-0.00019899i,0.00076368-0.00030052i,0.0012986-0.00060775i,0.00089159-0.00030349i,0.00091718-0.00014003i,0.0011395-0.00065705i,0.00081663-0.0014447i,0.00013922-0.001224i,-0.00035564-5.7345e-05i,-0.00030265+0.00067247i,0.0002689+0.00035088i,0.00031944+0.00036586i,-0.0002761+9.4974e-05i,0.00014653-0.00077057i,-0.00032513-0.0013345i,-0.0012981-0.00065541i,-0.0006718-0.00031494i
0.0011599+0.00031108i,0.0013586+0.00044819i,0.00094239-0.00074578i,-5.4303e-06-0.00091161i,-0.00078057+0.00010375i,-0.00063873+0.0009189i,-0.000723+0.0008959i,-0.00046031-6.9788e-05i,0.0002894-6.391e-05i,-0.00060354+0.00047308i,-0.0014458+0.00025146i,-0.00069679+5.7737e-05i,-0.00010321-0.00057542i,-0.00036192-0.00024043i,7.7424e-05+0.001062i,0.0011137+0.0013622i,0.0010748+0.00096719i,0.00017697+0.00070047i,-0.00028523+5.474e-05i,-0.00054079-0.0011178i,-0.00081895-0.00087597i,-0.0010051+0.00048808i,-0.0010293+0.00040559i
0.0017153-0.00052146i,0.0016012-0.0025925i,0.0016318-0.0037193i,0.00094383-0.0026305i,-0.00053981-0.0012614i,-0.0014113-0.0008007i,-0.0015505-3.5096e-05i,-0.0016033+0.0005394i,-0.00076245+0.00034911i,-1.1433e-05+0.00012102i,0.00049055+0.00031712i,0.0010528+0.00016729i,0.0012145+5.2702e-05i,0.00075557-8.1239e-05i,0.00029158-8.257e-06i,0.000477+0.00050542i,0.00064432+0.00081889i,-6.0847e-05+0.00070754i,-0.0004615+0.00040295i,0.00016804+0.00035809i,0.00063039+0.00018697i,0.00078051-0.00030554i,0.00043518-0.0011012i
-0.00043701-0.0021966i,-0.0013335-0.0013157i,-0.002272-0.00034317i,-0.0021646+0.00044448i,-0.0012685+0.00040684i,-0.00079612+0.00052015i,-0.00039816+0.00067043i,0.00025153+0.00033299i,0.00049779+0.00053684i,-0.00023426+0.00069645i,-0.00018135+0.00059881i,0.00072817+0.00050291i,0.00090793+0.00048312i,0.00043801+0.00021877i,0.00028502-0.00017858i,5.7125e-05-0.00017755i,-6.9792e-05+0.00023063i,-3.0046e-05+0.00014442i,-0.00013901+0.00028361i,-2.5897e-06+0.0002255i,0.00038173-0.00042677i,0.00036332-0.0006211i,-0.00031902-0.00063753i
0.00094218-0.0016168i,-0.00085048-0.0023575i,-0.00039007-0.0023471i,0.00023404-0.0010592i,-0.0002648+2.0569e-05i,-0.00090868-0.00012077i,-0.0012683-0.00059321i,-3.9442e-05-0.00021269i,0.00075754+3.8025e-06i,0.00032028-0.00066112i,-0.0004315-0.0010408i,0.00010769-0.00013585i,9.5358e-05+1.6006e-07i,-0.0006627-0.00082044i,-0.00084263-0.00077623i,-0.00015105+8.7832e-05i,0.00061165+0.00049989i,0.00067803+0.00041727i,-0.00018718+0.00034547i,-0.001209+0.00015042i,-0.00074252-0.00016434i,-0.00071841-0.00029456i,-0.00040774-0.00028088i
0.0010208+0.00034531i,0.0020029+0.00029794i,0.0014116-0.00027409i,6.9097e-05-0.00042064i,-0.00043561+0.00012463i,4.0657e-06+0.00054109i,-0.00016534+0.0010598i,-0.00087714+0.00038584i,-0.0010003-0.00023985i,-0.00087553+0.00043579i,-0.00084618+0.00078699i,0.00011782-6.6508e-05i,0.00068625-0.00044297i,0.00054158+6.2922e-05i,0.00099125+0.00055829i,0.0012284+0.00060872i,0.00096851+6.6131e-05i,0.0012021-0.00017183i,0.0015615-0.00038067i,0.0014148+0.00013954i,0.00072331+0.00050428i,0.00020851+7.4951e-05i,0.00088413+0.00012106i
