-0.0029022+0.0005616i,-0.0046882+0.00060951i,-0.0044601+0.00037791i,-0.0021683+0.00023865i,-0.00079385+0.0013168i,-0.00096326+0.0022063i,-0.00049682+0.0020575i,0.00024669+0.0014324i,0.00072807+0.00023254i,0.00061616-0.0012759i,0.00011958-0.0017362i,0.00054598-0.0012615i,0.0012102-0.00087852i,0.0010081-0.00030843i,-0.00065261-0.00027259i,-0.00099247-0.00050005i,8.1447e-05-0.00035018i,0.0011813-0.000367i,0.00096841+0.00035557i,-0.00046756+0.00066479i,-0.00067119-3.8841e-05i,-0.00060429+5.2631e-05i,-0.00043235+8.1234e-05i
0.00035772+0.00043212i,0.00060013-0.0010611i,0.0017091-0.0016412i,0.0025178-0.0011982i,0.0016457-0.0010743i,0.00037691-0.00082552i,0.00033695+0.00010734i,0.00082082+0.00024468i,0.00094169-0.00061296i,0.00055115-0.0012542i,-9.0488e-05-0.00098633i,-0.00075503-0.00053674i,-0.00045689-0.00071189i,0.00026086-0.00045363i,-0.00050023+0.00075127i,-0.0010635+0.00094962i,-0.00072156+0.00042389i,-0.00057424-7.3474e-05i,0.00024721-0.00026631i,0.00048463+0.00027989i,0.00042283+0.00020126i,6.8347e-05-0.00033087i,-1.1618e-05+0.00012541i
0.00082387+0.0022243i,0.0025488+0.0020188i,0.0047999+0.0020269i,0.0043717+0.0013715i,0.0025597-0.00030264i,0.0013518-0.001157i,0.00015962-0.00053882i,-0.00032352+0.00069968i,-0.00014828+0.0011555i,-0.00038624+0.0001348i,-0.0006505-0.00052176i,6.8645e-05-6.264e-05i,0.0004322-0.00026091i,-0.0006784-0.00067289i,-0.00078757-0.0010751i,-0.00029825-0.0011852i,0.00069342-0.00051825i,0.00085609-7.3495e-05i,-3.0051e-05+0.0007521i,3.5042e-05+0.00094602i,0.00041367+0.00021313i,0.00025838-0.00080927i,-8.3773e-06-0.0010568i
0.0010913-0.00098968i,-0.00059916-0.0015615i,-0.0014408-0.00075145i,-0.0012325-0.00064541i,-0.00061936-0.00053173i,4.1815e-05-0.00049788i,0.00030838-0.00036602i,0.00029101+0.00075382i,-2.4398e-05+0.00074001i,-0.00039814-0.00024592i,-0.00081547-0.00078446i,-0.00072613-0.0010389i,0.00019001-0.00041054i,0.00041153+0.0001966i,-0.00043502-0.00047884i,-0.00038605-0.00037378i,0.00013274+0.00028316i,0.00029643+0.0001111i,0.00059836-2.6659e-05i,0.00057525-0.00023345i,0.0003296-0.00023783i,-3.5213e-05-4.227e-05i,-0.00023083-0.0002018i
0.0010471-0.00057589i,0.0012427-0.0015983i,0.00061975-0.0024426i,-9.7875e-05-0.001955i,-8.8792e-05-0.00054792i,0.00050176+0.00054434i,0.00082655+0.00076519i,0.0006492+0.00063062i,0.00020243+0.00012868i,0.00035799-0.00045175i,-2.9686e-05-0.00061404i,-0.0001405-0.00030158i,0.00017275-0.00022944i,0.00039764-0.00040355i,5.2923e-05-0.00025553i,-0.00040315-0.00043796i,-4.345e-05-0.00026849i,3.3256e-05+0.00053859i,-0.00054146+0.00072479i,-0.00076792+0.0007679i,-0.00056512+0.00098053i,3.2912e-05+0.0009349i,0.00058508+0.00034914i
0.002069-0.0012947i,0.0019497+2.179e-05i,0.001189+0.00018415i,-3.0354e-05-0.00029317i,-0.00089722-0.00021442i,-0.0007425-0.00025962i,0.00072682-0.00033167i,0.0010727-0.00041035i,0.00037132-0.0003811i,8.8051e-05+1.1959e-05i,0.00011807+0.0003546i,-0.00014817+0.00058497i,-0.00031209+0.00032965i,-9.9663e-05+0.00033907i,-0.00024858+0.00041792i,4.4709e-05-7.6192e-05i,0.00023146-2.7524e-05i,0.00014656+0.0001494i,0.00015305-0.00023761i,0.00055864-0.00052995i,0.00072817-0.00013586i,1.0461e-05+0.00029458i,-9.7197e-05+0.00034102i
-0.0029473-0.00047589i,-0.0031946-0.00031374i,-0.0024144-0.00028269i,1.0051e-05-0.00030601i,0.0012499-0.00086004i,0.00096883-0.001673i,0.00046639-0.001565i,0.00032256-0.00092158i,0.00048798-0.00058703i,0.0004883+0.00014264i,0.00028169+0.00037916i,0.00051944-0.00035024i,0.0011256-0.0013049i,0.0016142-0.0018848i,0.0016141-0.0018833i,0.00090709-0.0010264i,0.00026597-0.00022908i,-6.0669e-05-2.7255e-05i,-0.00012146+0.00010106i,0.00051734+0.00045242i,0.00069774+0.00088545i,0.00045061+0.0011489i,-0.00027587+0.00042427i
0.0015751+0.0010259i,0.0017393+0.0011728i,0.0017787+0.00043762i,0.0018773-0.00045339i,0.001175+0.0004242i,-0.00017462+0.0008335i,-0.00037554+0.00053977i,-0.00043869+0.00072231i,-0.00016547+0.00042101i,9.3092e-05-0.00067924i,-0.0001941-0.00058942i,-0.00042535+0.00020713i,-0.00068384+0.00032717i,-0.00053925+0.00029244i,-0.00042501+0.0001848i,-0.00047816-2.6697e-06i,-0.00023411+0.00021754i,-0.00017829+3.4935e-05i,0.00054129-0.00041361i,0.0012659-0.00053933i,0.0006771-0.00026813i,5.2383e-06+0.00023974i,1.5259e-05+0.00034704i
-0.0014228-0.00079844i,-0.0023033-0.0012601i,-0.0024782-0.0011329i,-0.0017369-0.0011129i,-0.00043937-0.0011221i,0.0008046-0.0010792i,0.00097076-0.00010746i,0.0011624+0.00040867i,0.0009583-0.00050785i,0.00057858-0.0003263i,0.00031619-0.00031683i,0.00030323-0.00096309i,0.00092429-0.00065509i,0.0013407-0.00042581i,0.0010912-0.00014391i,0.00062383+0.00042984i,4.0212e-06+0.00026529i,-0.00054801+0.00064158i,-0.00021951+0.00068211i,0.00012069+1.8948e-05i,-0.00059514-0.00023498i,-0.00078208+2.0882e-05i,-7.9846e-05-0.0002895i
0.00022949-0.00067818i,0.0010232-0.0010364i,0.0012182-0.00075956i,0.0006409-0.00021214i,0.00049775+0.00023068i,0.0004043+0.00037493i,0.00018392+0.00028599i,0.00040708-0.00023889i,0.00076182+0.00035875i,0.0005429+0.00099062i,-0.00040617+0.00028308i,-0.00082668-0.00023657i,-0.00043859-0.00014832i,-0.00046586-0.00035578i,-0.00048979-0.0012857i,-0.00074424-0.0010646i,-0.00075827+2.4869e-06i,-0.00077679+0.00036474i,-0.00063685+0.00015991i,-0.00019424+0.00047949i,0.00016789+0.0004253i,0.00054403-0.00011226i,0.00046955-0.0001534i
-6.6591e-05-0.0015977i,0.00071664-0.0016829i,0.0014618-0.0010938i,0.0015078-0.0011757i,0.0010412-0.00086237i,0.0004194-0.00050392i,0.00045714-0.00087212i,0.00090127-0.0010778i,0.00060156-0.00089766i,-2.7395e-05-0.00013118i,-0.0004157+0.00037041i,-0.00059205+0.00046594i,2.0908e-05-0.00011597i,0.00035959-0.00048624i,-0.00013212-0.0002197i,0.00013465+0.00013326i,0.00058214+0.00077404i,1.9297e-05+0.00055331i,-0.00011562+0.00028925i,0.00058032-2.3752e-08i,0.0010792-0.00046918i,0.00086222-0.00055813i,0.00066248-0.00012853i
8.3015e-05+0.0014123i,0.00028032+0.0015809i,-0.00036467+0.0017684i,-0.00013644+0.00076166i,0.00034384-0.00081129i,-0.00020075-0.0013897i,-7.1088e-05-0.0011152i,0.00029983-0.00058271i,-2.9687e-05+0.00055079i,-0.00017746+0.0010782i,1.5292e-05+0.00024416i,0.00021929-0.00061561i,6.176e-05-0.00090868i,0.00021864-0.00053325i,0.0001018-0.0003806i,0.00029823+5.2308e-06i,0.00086352-2.2942e-05i,0.00055811-0.00090286i,0.00065855-0.00035i,0.00090353+0.00039876i,-1.3085e-05+0.00022821i,-0.00050404+0.00030946i,-0.0004829-0.00024573i
-0.0005923-0.0021039i,-0.00098274-0.0035695i,-5.6989e-05-0.0030506i,0.00051806-0.0018667i,0.00052177-0.00089161i,0.00044411-0.00060521i,0.00027019-0.00022788i,0.00061322-0.00032871i,0.00062628-0.00067506i,-9.3839e-05-0.00076055i,-0.00043085-0.00069403i,-0.0001145+0.00010721i,-0.00014547+0.000526i,0.00032161-4.2682e-05i,0.0010426-0.00051057i,0.00085077-0.00018807i,0.00088186-0.00022377i,0.00017585-0.00045558i,-0.00049227-7.2541e-05i,0.0004327-0.00035652i,0.0008336+2.9613e-05i,-6.5716e-05+0.00042851i,-0.00024752-0.00011041i
