-0.001774+0.0011397i,-0.0018208+0.0016221i,-0.00050787+0.0023201i,0.0013627+0.0022319i,0.0024302+0.00096556i,0.0015502+9.7658e-05i,0.00042682+0.00055373i,0.00063594+0.00043565i,0.0013743-5.9172e-05i,0.0015875-0.00047202i,0.0009019-0.00079246i,-0.00030186-3.8961e-05i,-0.00084173+0.00060423i,-0.00046054+0.00031355i,-0.00027647+6.8561e-05i,-0.00077706-7.1144e-06i,-0.0004342-0.00082871i,0.0003037-0.00073119i,-7.9106e-05+0.00045415i,-0.00026506+0.0006085i,0.00016753+0.00017608i,-0.00023881+0.00043932i,-0.00072244+0.00095519i
-0.00079601-0.0014207i,0.00034754-0.0012152i,0.0013683-0.00042607i,0.0022698+0.00086978i,0.0028635+0.00046658i,0.0021902+7.4077e-05i,0.0010698+0.00042665i,0.00032503-0.00013772i,-0.00024078-0.00055679i,-0.00037411-4.4367e-05i,0.00019071-4.8061e-05i,-2.1906e-06-0.00060904i,-0.00046927-0.00084081i,-0.00032979-0.00034545i,-0.00051929+0.00035437i,-2.5636e-05+0.00040961i,0.00062919+0.00041619i,0.00054972+0.00073913i,0.00014603+0.00018435i,-0.00035951-0.00074464i,-0.00060266-0.00067788i,-0.00047708-0.00030857i,-0.0006354+0.00015011i
-0.0016151+0.00096154i,0.00018951+0.0035266i,0.0017685+0.0050869i,0.0034912+0.0034174i,0.0044105+0.0012938i,0.0032938+0.00071364i,0.00096443-5.272e-05i,-0.00022798-0.00062111i,-0.00048307-0.0003654i,-0.00065185-1.1117e-05i,-0.00050995-0.00020678i,0.00034769-0.00052621i,-0.00015024-0.00050843i,-0.0010147-0.00052612i,-0.00083199-0.00016317i,-0.0012455+6.7373e-05i,-0.0012371-0.00069557i,-0.00022697-0.0014592i,0.00085726-0.00060084i,0.0011141+3.5585e-05i,0.00043124-0.00029307i,-9.6838e-05-0.00034914i,-0.00057305+8.277e-05i
0.0006902+0.0010429i,0.00030477+0.0015994i,3.6924e-05+0.0024239i,0.0012079+0.0018984i,0.0018826+0.00019052i,0.0012066-0.00075292i,0.00028402-0.0012137i,0.00010564-0.0011498i,0.00017024-0.00077662i,-0.00014545-0.00021529i,-0.0005033+3.6858e-05i,-0.00023669-0.00022119i,-0.00046485-0.00015629i,-0.00042458-0.00079286i,0.00010933-0.0010831i,-1.5039e-05-0.0007209i,4.5756e-05+1.8886e-05i,0.00015039+0.00080932i,0.00015316+0.00060019i,0.00038833+8.8681e-05i,0.00054577-0.00065023i,0.00022156-0.00053317i,-0.00028003+0.00031491i
-7.1749e-05+0.00047895i,0.00075379+0.0015026i,0.0014054+0.003191i,0.0023424+0.0033027i,0.0020456+0.0027052i,0.00028781+0.0015021i,-1.7271e-05-0.00034474i,6.0537e-06-0.0011217i,-0.00069316-0.0006327i,-0.00097325+0.00039426i,-0.00055126+0.00045353i,-0.00017936+0.0002507i,0.00034273+0.0003827i,0.00020749+0.00037901i,-0.00011614-0.00019654i,0.00015247-0.0001047i,-8.372e-05+0.00075491i,-0.00019896+0.00063857i,-0.00016839-8.4548e-05i,0.0003531+0.0003141i,2.084e-05+0.0013518i,-0.00088957+0.0010162i,-0.00030405+0.00062908i
-0.0017057-0.00046261i,-0.002623+0.0010337i,-0.0012268+0.0026349i,0.0021854+0.0024771i,0.0034142+0.0012374i,0.0018921+0.00027639i,0.00016628-0.00080112i,-0.00069365-0.0011299i,-0.00034164-0.0012119i,6.2005e-05-0.0010623i,0.00064837-7.653e-05i,0.00071437+0.00064201i,0.00030189+0.00021633i,-8.2998e-05-0.00067494i,-0.00029065-0.00020272i,0.00063913+0.00022804i,0.00085315+0.00042305i,0.00022873+0.00091201i,0.00038809+0.00034636i,0.00021721-0.0002265i,-3.4138e-05-0.00042785i,5.9587e-05-0.00025246i,-0.0003259+0.00021024i
-0.00065718+0.001857i,-0.0003292+0.0021421i,0.0012236+0.0030364i,0.0016749+0.0029272i,0.00069621+0.001249i,-0.00013018+0.00012801i,-0.00040885-0.00026996i,-0.00016739-0.00089897i,-0.00012862-0.0018052i,0.00016699-0.0016251i,-9.9566e-05-0.0010978i,-0.00090786-0.00092861i,-0.00070026-0.00036309i,0.00017975+9.8262e-05i,1.807e-05+0.00077538i,-6.3346e-05+0.00056336i,0.00043486-7.7174e-05i,0.00055482-0.00023031i,0.00031279+9.7306e-05i,-7.2668e-05+0.00036291i,-0.00072435+0.00012112i,-0.00096586+6.1615e-05i,-0.00088453+0.00056442i
-0.0014572-0.0011355i,-0.00085255+0.0011807i,0.00095694+0.0031581i,0.003812+0.0036292i,0.0044766+0.0019923i,0.0026065-0.0001154i,0.00078898-0.00085271i,0.00022049-0.0014168i,-8.9747e-05-0.0010155i,-0.00028809-0.00018984i,0.00016547+0.00018323i,0.00027996+0.00015345i,-0.00052926+0.0002622i,-0.00033453+0.00075198i,-0.00034469+0.00024432i,-0.00018757-0.00057581i,0.00086552-5.3641e-05i,0.0014421+0.00078286i,0.0013433+0.00057921i,0.00064766-0.00037591i,0.00020257-0.0011594i,0.00065333-0.001101i,0.00069463-0.00065226i
0.0013469+0.001482i,0.0020356+0.0024876i,0.0040504+0.0023568i,0.004353+0.0020104i,0.0027697-2.1726e-05i,0.0016662-0.0012323i,-2.0956e-05-0.0010333i,-0.00063781-0.00084614i,-0.00017274-0.00033798i,0.00032594-8.8275e-06i,0.00059319+0.00023085i,0.00054419+0.0004151i,0.00020345+0.00070142i,-0.00048606+0.00091953i,-0.0010476+2.4577e-05i,-0.00048881-0.00013291i,0.00068645+0.00095509i,0.00036781+0.00081999i,-0.00010896-0.00016743i,-0.00017043-0.00087284i,0.00020322-0.00045127i,0.00064395+0.0003798i,0.00045486+0.00070184i
5.1926e-05+0.0012479i,0.00069173+0.0030771i,0.0017783+0.0044048i,0.0035574+0.0030479i,0.0033956+0.00087018i,0.0013929-0.00076107i,0.00074833-0.0013659i,0.00090134-0.00073536i,0.00059206+0.00044292i,0.00073002+0.00050158i,0.00074774+0.00033144i,-7.2352e-05+0.00044808i,-0.00078935+0.00043427i,-0.00013978-0.00017478i,0.000576-0.00033989i,0.00061916-7.1967e-05i,0.00026014-0.00023982i,0.000236-0.00048531i,0.00023417-0.00046265i,0.00022476-0.00032249i,0.00047575-0.00071741i,0.00040295-0.0005788i,0.00013578-0.00046906i
-0.00059242+6.1736e-05i,-0.00065067+0.0016384i,0.00048593+0.0028282i,0.0019861+0.0026075i,0.0027347+0.00071182i,0.0016361-0.0006476i,5.2522e-05-0.0012703i,4.4428e-05-0.0015679i,0.00084197-0.0010161i,0.0014174-0.00039321i,0.0012646-0.00020717i,0.00070409+0.00049594i,-7.4612e-05+0.00064864i,-0.00018843+4.0886e-05i,0.0001695+0.00025541i,0.00062594+0.00066733i,0.00072114+0.00044562i,-0.00010612-0.00075806i,-0.00079329-0.0011635i,-0.00012408-0.00081197i,0.00062375+0.00025201i,8.4161e-05+0.000719i,-0.00020141+0.00025866i
