-0.0012541+0.00064764i,-0.0005798-0.00046715i,-0.00066035-0.00092991i,-0.0013247+0.00023688i,-0.0016126+0.0014233i,-0.0010332+0.0016594i,-0.00082423+0.0021473i,-0.00075119+0.0022566i,0.00014228+0.0017477i,0.0011687+0.00093166i,0.0014688+0.00030796i,0.0011915+0.00019993i,0.00087264+6.3563e-05i,0.0002681-0.00012604i,1.5612e-05-0.00023143i,0.00034831-0.00013668i,0.00019832+0.00031472i,-0.00024854+0.00078584i,-0.00032603+0.00077223i,-0.00042433+0.00018815i,-0.00036791+0.00025006i,-0.00019417+0.00066337i,-0.00012766+0.0011685i
-0.00039282-0.0010437i,-0.0015067+0.00053276i,-0.0015338+0.001064i,-0.00065893+0.0013947i,-0.00067486+0.0026527i,-0.00097749+0.0023718i,-0.0010287+0.0010734i,-0.00051186+0.00066676i,8.26e-05+0.00070842i,-0.00032508+0.00097693i,-0.00065952+0.00080767i,-0.00026572+0.00022239i,-0.00052583-0.00051571i,3.6143e-05-0.00053841i,0.00049883-8.704e-05i,8.1673e-05+0.000358i,0.00010875+0.00042779i,0.00032837+0.00076739i,0.00016621+0.00061919i,0.00017844+0.0001787i,0.0006387+7.7317e-05i,-5.8018e-05+0.00034669i,-0.00070284+0.00068206i
-0.00011836-5.7959e-05i,0.00064466+0.00042466i,0.0007331-0.00019462i,0.00058292-1.5588e-05i,0.00061328-9.2333e-05i,-0.00072179-4.147e-05i,-0.0014462+0.0005487i,-0.00048086+0.00068409i,9.2956e-05-0.00051905i,0.00015633-0.00070535i,-0.00011062-4.8253e-05i,-8.0727e-05-0.00045127i,-0.00036059-0.00045602i,-0.00044937+0.00033283i,-0.00027248+0.00041418i,-0.00036799+0.0005221i,-0.00054159+0.00037387i,1.9921e-05+0.00017941i,0.0007786+0.00032795i,0.00098825+0.00035192i,0.00064135+7.4406e-05i,-0.00021245-0.00042396i,-0.00113-0.00022969i
-0.00016867-0.00069685i,-5.97e-05-0.00018364i,-0.00055268+8.7768e-05i,-0.00084816-0.00012452i,-0.001603-0.00018419i,-0.0013828+0.00067143i,-8.0577e-05+0.0011558i,0.00065202+0.0005998i,0.00073588+0.00048063i,-4.6215e-05+0.00047643i,-0.00044192-0.00017444i,0.00040683-0.00062263i,0.0015132-0.00010862i,0.0019511+0.0012059i,0.0014354+0.0013272i,0.00032209+0.00054226i,-0.00048834+0.00052815i,-0.00022223+0.00028707i,0.00042046-0.00037936i,0.00039256-0.00015225i,-0.00030364+0.0003946i,5.8867e-05-0.00012092i,0.00073031-0.00041535i
-0.00032632-0.00099114i,-0.00067792-0.0014259i,-0.0006799-0.001758i,-0.00089487-0.00024413i,-0.00080116+0.00049375i,1.4886e-05+0.00035242i,0.00011048+0.00068479i,-0.00039951+0.00041631i,-0.00042449-2.9528e-06i,-8.202e-05-0.00011208i,-4.1987e-06+8.2325e-05i,-0.00071213+0.0004397i,-0.00060865+0.00066139i,0.00040557+0.00025633i,0.00017711+0.00038445i,0.00010675+0.0003186i,-0.00016321-5.4413e-05i,-0.00050864+0.00017125i,-0.00064459+0.00041211i,-0.00048681-0.00056419i,-4.6018e-05-0.0010484i,0.00022888-0.0012724i,0.00015756-0.0010505i
0.00099076-0.00093587i,0.00041731+0.00012337i,0.00099555+0.00090781i,0.0019992+0.00060995i,0.0014341-6.6299e-05i,0.00036492-0.00041059i,-2.4694e-05-0.00097504i,7.0735e-05-0.00066622i,0.00018825-0.00030516i,-0.00011524-0.00047953i,-0.00048246-1.6249e-05i,-0.00034914+0.00099419i,3.4188e-05+0.001926i,0.00013519+0.0015329i,0.00018679+0.00041235i,-0.00053766-0.00050274i,-0.0009159-0.00065264i,-0.00040482+6.8987e-05i,-0.00013426+0.00012311i,0.00035525-0.00040285i,0.00026768-0.00056764i,-0.00074229-0.00087259i,-0.00079016-0.00070525i
0.00058253+1.0966e-05i,0.001577+0.00011546i,0.0012434+0.00049798i,0.00012561+0.0004776i,-0.00068274-0.00010255i,-0.00077814-4.9664e-05i,-0.00087207+0.0006117i,-0.0010285+0.0011069i,-0.0011792+0.0014986i,-0.00085702+0.0010595i,-7.4016e-05+3.5019e-05i,-9.7625e-05-0.00067678i,-0.00017623-0.00063532i,0.00038206-0.00062077i,0.00062064-0.00045289i,0.00058697+0.00020614i,0.00036035+0.00063434i,0.00057923+0.00061925i,0.00055895+0.00041013i,-5.4051e-05+0.0003982i,0.0001589+0.00037102i,0.00026977-8.4819e-05i,-0.00028112+1.4117e-05i
0.00015241+0.001099i,-0.00063756+0.0012907i,-0.00093058+0.00088011i,-7.2076e-05+0.00062169i,-3.4871e-05+0.0012093i,-0.00064579+0.00087515i,-0.001071+0.00071484i,-0.00096442+0.0013688i,1.6166e-05+0.0013138i,0.00038455+0.00065326i,0.00071459-0.0002344i,0.00088659-0.00036616i,0.00040127-6.3956e-05i,-0.00032282-0.00068143i,-0.00087614-0.0014389i,-0.00072681-0.00089073i,-0.00052682-7.3232e-05i,1.6719e-06+0.00036385i,0.00033019+0.00067815i,0.00040038+0.00037357i,0.00053664-3.618e-05i,0.00098732-0.00033992i,0.0010404-0.00061621i
-0.0027737+0.00011757i,-0.0018422+0.00035291i,-0.00093904+0.0012321i,0.00034469+0.0023512i,0.0013159+0.0022832i,0.00088911+0.0012334i,0.00030484+0.00049528i,0.00020533+0.00042482i,0.00036931+0.00075826i,0.00026543+2.2029e-05i,0.00023963-0.00035559i,0.0011157-0.00018767i,0.0012007-0.00092009i,0.0010229-0.00074527i,0.0011495+0.00033244i,0.0015201+0.00048692i,0.00094586-0.00014083i,-0.00032811-0.00044853i,-0.00078665+0.00013031i,-0.00067208-0.00033467i,-0.00092417-0.00075302i,-0.00090447+0.00016533i,-0.00031225-3.955e-07i
-0.0012801-0.0010299i,-0.00044496-0.00035103i,-0.00084819+0.0010396i,-0.00058898+0.001652i,0.00010982+0.0011821i,-0.0002946+0.00048809i,-0.0012103-0.00012911i,-0.0013338-0.00014193i,-0.00057171+0.00097939i,-0.00036363+0.0017548i,-0.0001284+0.001175i,0.00013763+0.00030716i,0.00019931-0.00028706i,0.0010332-0.00057582i,0.0012474-0.00041013i,0.00012316-1.8587e-05i,-0.00032258+0.00028265i,-0.0014258+0.0005103i,-0.0013823+0.00038423i,-5.0569e-05+0.00017834i,0.00013313-0.00020493i,0.00018469-6.1402e-05i,0.00093684+0.00047715i
0.0013691-3.1981e-06i,0.0014463+7.6115e-05i,0.0011777+0.0008317i,-0.00031754+0.00046305i,-0.0010223-0.00042847i,-0.0014567-0.00021017i,-0.0016303+0.00057169i,-0.00073874+0.0012016i,0.00020914+0.0005955i,0.00024207+9.0097e-05i,0.00044776-0.00012961i,0.00085028-0.00060744i,0.00056394-0.0001291i,-0.00060829+0.00027004i,-0.0010092+0.00028133i,-7.0083e-05+0.00074176i,0.00039659+0.00059467i,-0.00016532-0.00010968i,-0.00035468-0.00044526i,-9.1474e-05+0.00013852i,-0.00019095+0.00051295i,-0.00015715+0.00074082i,0.00028343+0.00068154i
