-0.00089529+8.352e-05i,-0.00030709-0.00049926i,-6.3323e-05-0.00065244i,-0.00040701+0.00014563i,-0.00084792+0.0011982i,-0.0015897+0.0015821i,-0.0006818+0.0015881i,0.00078172+0.0016828i,0.0010268+0.00041057i,0.00057352-0.0013397i,0.00044634-0.0013241i,-0.00042257-0.0004742i,-0.00052393-0.00040433i,0.00017514-0.00097166i,0.00020975-0.00078465i,-1.8882e-05+0.00014499i,0.00030165+0.00029657i,0.00074862+1.4228e-06i,0.00056691+0.00013073i,0.00045276-0.00051208i,0.00025447-0.0015397i,0.00018761-0.00081299i,0.00010145-0.0004748i
-0.0017958-0.0014999i,-0.0026218-0.00084622i,-0.0024442+7.1558e-06i,-0.00062916+0.00091599i,0.00094108+0.0017756i,0.0017304+0.0012977i,0.0020654+0.00051368i,0.0014587-0.00030903i,0.00055093-0.00064957i,-0.00021091-0.00016593i,-0.00080392+0.00032739i,-0.00084902-0.00011918i,-0.00040425-0.00092628i,0.00012626-0.00098655i,0.00029745-0.00092346i,0.00033061-0.00045528i,5.8435e-05+0.00031209i,-0.00055776+0.00049481i,-0.00046184+2.2582e-05i,0.00032846-0.00068909i,0.00026306-0.00054013i,-0.00036254-0.00046113i,0.00052936-0.00030069i
0.00044629-0.0006733i,0.0013772-0.00024324i,0.0015561-0.00076693i,0.00052015-0.00104i,0.00016384-0.00049437i,0.00031822+0.00033914i,0.00038418-0.00010802i,0.00062373+7.3992e-05i,-0.00013796+0.00010181i,-0.00013062-0.00068592i,0.00030276-0.00070005i,-5.8498e-05+0.00024814i,0.00046965+0.00063034i,0.00063141+0.00062201i,-0.00022232+0.0011805i,-0.00076669+0.0011688i,-0.00056322+0.00045178i,-0.00011123+0.00012995i,-9.2471e-05+0.00034296i,0.00014156+0.00028798i,5.8126e-05+0.00012941i,0.00045165-5.3227e-05i,0.00086582-0.0006621i
0.0010134-0.0009793i,0.00085733-0.0015175i,-0.00030378-0.0013607i,-0.00020254-0.00074067i,0.00067741-0.0004369i,0.0004124-2.8946e-06i,-4.339e-05+0.00054024i,0.00015164-0.00020879i,0.00020927-0.00116i,3.4291e-05-0.0014084i,-0.00039962-0.0012048i,-0.00066183-0.00032175i,-0.0011023+0.00056393i,-0.0011774+0.0010352i,-0.00012638+0.00024932i,0.00036488-0.0003936i,5.9034e-05+0.00014549i,2.8586e-05+0.00041545i,0.00049468+0.00055419i,0.00084016+0.00072519i,0.00068094+0.00052882i,-7.1861e-05+0.00054292i,-0.00051968+0.00050011i
0.00041659-0.00023433i,0.00085339-0.00023631i,0.00061775+6.7702e-05i,0.00063961+0.00040105i,0.00019257+0.00056196i,0.00046465+0.0006297i,0.0011619+2.2057e-05i,0.0012271-0.00071525i,0.0010169+2.8855e-05i,0.00056597+0.00065477i,0.00012595+4.933e-06i,-0.00014259-3.6656e-05i,-3.3464e-05-0.0003214i,0.00067813-0.00045715i,0.00059782+0.00014074i,-0.00033557+0.00027074i,-0.00021392+0.00052724i,-9.8867e-05+0.00051309i,-0.00023969+0.00040363i,-0.00029489-0.00012923i,-0.00065996-0.00048379i,-0.00037594+0.00019627i,-0.00011807+0.00088532i
-0.00024001-6.7536e-05i,-0.0017923+0.00018491i,-0.0026698-5.395e-05i,-0.0020642-5.9361e-05i,0.00011998+0.00043683i,0.0015076+0.00013549i,0.0012996+0.00021751i,0.00028297+0.00054239i,-0.00014093+2.4933e-05i,0.00013096+0.00049276i,-0.00016519+0.000913i,-0.00013948+0.00075152i,0.00047918+0.00040929i,0.00058697-0.00027702i,0.00058052-0.00063527i,0.00072567-0.00088442i,0.00025035-0.00058244i,-0.00024374-0.000247i,4.2523e-05-0.00028283i,0.00022616+0.00014499i,0.00042521+0.00047154i,0.00028807+0.00018901i,-0.00078656+0.00025432i
-0.00085884-0.00046156i,-0.0005827-0.0012971i,-0.0009104-0.0010695i,-0.00066587-0.00065112i,0.00080097-0.00051903i,0.0013287-0.00021003i,0.0012261-1.8172e-05i,0.0008925+0.00019165i,0.0001766-0.00016469i,-0.0004166-0.00095517i,2.0295e-05-0.00055955i,0.00046108+0.00062483i,0.00014719+0.00092236i,0.00010319+0.00048172i,-0.00045873+0.00054613i,-0.00088398+0.00024129i,-0.00033625+0.00059079i,0.00012425+0.00093278i,0.00039736+0.00023648i,0.0006629-0.00013556i,0.00029726-0.00052092i,0.0004698-0.00041735i,0.00091465-0.00020636i
-0.00012915+0.00068071i,0.0010064+0.00048163i,0.00098488+0.00034112i,0.00019741+0.0012787i,0.00040783+0.00084574i,0.00055968-0.00046032i,0.00070549-0.00025659i,0.00060155+0.00073516i,-0.00055237+0.00074498i,-0.0011381+6.763e-05i,-0.00013155-0.00051928i,-0.00033636-0.00064977i,-0.0011732-0.00026251i,-0.0014439+0.00027073i,-0.00152+0.00036599i,-0.00095473-0.00014512i,-0.00010091-0.00054248i,0.00026664+9.9438e-05i,0.00043496+0.00084402i,0.00024774+0.00079974i,-0.00028691-0.0001651i,4.1372e-05-0.0007869i,0.00042916-0.00071444i
-4.9792e-05+0.00084836i,-0.00030018+0.001889i,-0.00051145+0.0015156i,-0.00015344+0.00083494i,-0.00018773+0.00017943i,-3.6101e-05-7.7223e-05i,0.00070789+0.00045949i,0.00032115+0.00030354i,-0.00062767+0.00024874i,-0.00047867-2.9631e-05i,-0.00024346-0.00036655i,-0.00058101-0.00046561i,-0.00070028-0.00096921i,-0.0010759-0.0013313i,-0.0011887-0.001057i,-0.001006-0.00077191i,-0.00019729-0.00093159i,0.00025939-0.00037413i,-0.00059992-5.3535e-05i,-0.0010421+0.00075388i,-0.00019171+0.0007524i,0.00066796-0.00013403i,0.00061368-0.00049724i
-0.00028483-0.00026904i,-0.00058825-0.00081684i,-0.00083761+9.7598e-05i,-0.00059253+0.0008614i,-0.00013353+0.00042704i,0.0010401+0.00068276i,0.0017296+0.000329i,0.00092879-0.00061947i,0.00050655-0.0014057i,0.00082591-0.0011321i,-0.00018217-0.00031011i,-0.00098743+0.00094661i,-0.00065508+0.0013997i,-0.000241+0.00029484i,-0.00046716+0.00025431i,-0.00020295+0.00053173i,0.00079131-0.00053646i,0.00048449-0.00063647i,0.0003022-0.00034096i,0.0002221-0.00061352i,-0.0003335-0.00095217i,-0.00061638-0.00090966i,-5.7394e-05-0.00027331i
-0.00074259-0.0034808i,-0.0012711-0.0022302i,-0.0016623-0.0026066i,-0.0012805-0.001414i,-0.00051348+0.00072684i,0.00029778+0.0013729i,0.00175+0.0010892i,0.0019207+0.001281i,0.00022861+0.0012669i,3.5376e-05+0.00042117i,0.00027973-0.00018936i,-7.2096e-05-0.00070817i,-0.0001361-0.00084973i,0.00029827-0.00051214i,0.00055556+0.00019916i,8.8008e-05+0.00028941i,-0.00015016-0.00010379i,0.00022755+0.00036618i,0.00031558+0.00095421i,-0.00018828+0.0007236i,-0.00069967-0.00043248i,-0.00064846-0.00067294i,-0.00032782+0.00069171i
