-0.0023665-0.00016587i,-0.0020468-0.0004289i,-0.0023606-0.00026357i,-0.0020231+0.00012739i,-0.0011982+0.0013285i,-0.00028675+0.0013848i,0.00022087+0.00090399i,0.00044005+0.0011759i,0.0011603+0.00059362i,0.0011507+2.6555e-05i,2.9016e-05-0.00015628i,-0.00084788-0.00052391i,-0.00066097-0.0013277i,-0.00024554-0.0010996i,-0.00054127-0.00024261i,-0.00044336-3.0336e-06i,-0.00027883+0.00018092i,-0.00077451-3.6076e-05i,-0.00080714-0.00023439i,-0.00027164-0.00018457i,-0.0003537-0.00044475i,-0.00013618-0.0005303i,0.00033859-0.000293i
-0.001442-0.0023407i,-0.0021284-0.0024426i,-0.003126-0.0014075i,-0.0026214+0.00042518i,-0.0016982+0.00075791i,-5.9559e-05+0.00088616i,0.00069635+0.00072999i,0.00019762-2.1639e-05i,0.00045736-0.00022952i,0.00078534+0.00087504i,0.00098914+0.00088673i,0.0010243-0.00043382i,0.00033597-0.00032418i,0.00064741+0.00038807i,0.0010101-1.5435e-05i,0.00037653+2.0753e-05i,-2.4476e-05+0.00048007i,0.00044095+0.00031932i,0.00040797-5.2518e-05i,-2.7193e-05-0.00068956i,-0.00062117-0.0011866i,-0.0015312-0.00075892i,-0.0011903-0.00049792i
-8.4926e-05+0.00062282i,-0.00028071-0.00080716i,0.00024783-0.00082436i,0.00095466-0.00034197i,0.00022867-0.00044065i,-0.0011455-0.00057446i,-0.00087548-0.00041875i,-4.1268e-05+0.00015053i,0.00041833+0.00025096i,0.00062494-7.7285e-05i,0.00046242-0.00027421i,0.00050036-0.000326i,0.00017024+0.00029204i,-0.00093191+0.00031171i,-0.0011918-0.00018619i,8.1109e-05-0.00011029i,0.00020254-0.00040604i,-0.00017967-0.00076757i,0.00035192-0.00049939i,0.00041828-0.00026366i,5.5082e-06+0.00025192i,0.00026541+0.00062951i,0.00070926-6.6762e-06i
-0.00088898+0.00065757i,-0.0015333+0.0019223i,-0.00094975+0.0019185i,-0.00056639+0.0017639i,2.6411e-05+0.000979i,0.0010025-7.0601e-05i,0.0013015-0.00019299i,0.0010772+0.00029446i,-5.3691e-05+0.00049832i,-0.00048552+6.6761e-05i,0.00029176-0.00069398i,0.0010257-0.00062128i,0.00080432-0.00034126i,0.00011493-0.00065465i,0.00026705-0.00074892i,0.00066446-6.4259e-05i,0.00035271+0.00060253i,-0.00024569+0.00024817i,4.856e-05-0.00049865i,6.5432e-05-0.00094067i,-0.00030088-0.0010756i,0.00041945-0.0011224i,0.00082491+7.5282e-05i
-0.0020888+0.00034949i,-0.0019978-0.00058416i,-0.0014721+4.0844e-05i,-0.00037617+0.0013053i,0.00067072+0.00075017i,0.00096354-0.00061969i,0.00075335-0.00032927i,0.00054616+0.00018322i,0.0005901+2.4361e-05i,0.00033401-0.0002155i,7.0956e-05-0.00036194i,-0.00021169-0.0004532i,-8.0044e-05-0.00043096i,-6.3134e-05-0.00019954i,0.00026984-0.0003336i,0.00087758-0.00093375i,0.00072006-0.00064254i,0.0011486-8.286e-05i,0.00038732-0.00073937i,-0.00053033-0.0011106i,0.00028872-0.00050279i,0.00072919+0.00033012i,-0.00023236+0.00039262i
-0.0015823+0.00042059i,-0.00090694+0.0014031i,-0.0015845+0.0029685i,-0.00082334+0.0027791i,0.00062111+0.0015002i,0.0016776+4.3368e-05i,0.0016156-0.00051107i,0.0010413-0.000349i,0.00049762+1.0736e-05i,0.00034986+0.00034485i,0.00063341+1.8268e-05i,0.00034598-0.00042751i,5.9689e-05-0.0012564i,-3.938e-05-0.0014964i,0.00063734-0.00036641i,0.0010014+0.00032682i,0.00036223-7.211e-07i,-0.00017038-4.4278e-05i,0.00035522-0.00023622i,0.00095727-0.00040875i,0.00017387+0.00046239i,-0.00030703+0.00092008i,0.00058265+0.00036465i
0.0012632-0.0014771i,0.0007678-0.00060703i,0.00031838-0.0008532i,-0.00037345-0.0013445i,-0.00067125-0.00058226i,-0.00057508+0.00010952i,-0.00023556-0.00034174i,0.00012287-0.00071325i,-0.00016829-0.00029902i,6.4037e-05-3.0978e-05i,0.00017578+5.3221e-05i,-0.00015995+0.00027839i,0.00019535+0.00036436i,0.00034586+0.0001131i,-0.00051894-0.00020438i,-0.00076729-0.00017529i,-0.00024564+0.00023142i,0.00030303+0.00030928i,0.00040282+0.00020734i,0.00021818+0.00026911i,0.00032905+0.00028073i,0.00035242-0.00019369i,-4.3631e-05-0.00026233i
-0.0001894+0.0004417i,-0.001186+0.0014207i,-0.0021522+0.0018434i,-0.0012267+0.0014057i,0.00014304+0.00083289i,0.00077853+0.00034876i,0.00089732-0.00018947i,0.00063649-0.00023112i,0.00013478-0.00055043i,-4.7266e-05-0.00040395i,0.00072627-0.00043995i,0.00055393-0.00051879i,-0.00013566-0.00034017i,3.287e-05-0.0006064i,0.00032511-0.0004384i,0.0006805-0.0002645i,0.00048251-0.00041386i,0.00077128-0.00045805i,0.00020298-0.00040066i,-0.00049032-0.00019495i,0.00014321-0.00016215i,-0.00012748-0.00012312i,-0.00010787-0.0001054i
0.0001062-0.0026211i,-0.0010325-0.0021208i,-0.0013759-0.0013912i,-0.0019604-0.00096487i,-0.00073743-0.00010472i,0.00065703+0.00025183i,0.00054984+0.00026052i,0.00012495+0.00084693i,-0.00083729+0.00051628i,-0.001342-1.7988e-05i,-0.00036818-0.00038212i,-5.8979e-05+9.6815e-05i,5.3421e-05+0.00054644i,0.00038612+0.00041807i,0.0004395+0.00064536i,0.00017422+0.00023488i,-0.00026716-0.00038043i,-0.0004547-0.00084785i,1.559e-05-0.00069143i,0.00079276+0.00058154i,0.00090523+0.0012532i,-0.00070248+0.0004393i,-0.0011196-6.5592e-05i
0.0019893-0.00068387i,0.00071991+0.00011069i,-0.00056453+0.00064286i,-0.0012564+0.00094802i,-0.0017345+0.00045803i,-0.0010715-0.00033098i,-0.00033612-0.00056269i,-5.3569e-06+0.00021844i,0.00036187-5.3549e-05i,0.00048311-0.00028532i,0.00018613-0.00017847i,0.00019415-0.0003326i,0.00012489-0.00035275i,0.00014867+0.00015411i,0.00016177-7.4053e-05i,-5.1817e-05-0.00077751i,0.00020273-0.00096673i,0.00010287-0.00065491i,-0.00046486+9.0581e-05i,-0.00027998+0.00059458i,0.00035146+0.00099364i,0.00044471+0.0012803i,-3.1678e-05+0.0005464i
-0.00019068-0.00052587i,-0.00039504-0.0011553i,-0.0010031-0.00040933i,-0.00010642+0.0002375i,0.00033688+0.00049872i,0.00020977-0.00022492i,3.7789e-05-0.0013427i,-0.00039239-0.00086678i,-0.00048376+0.00018751i,0.00028635-0.00014077i,0.00085441-0.0004759i,0.00041345-0.00011075i,-0.00015971-0.00019802i,-0.00017862-0.00058832i,-1.8333e-05-0.00090126i,0.00026388-0.00099017i,0.00023051-0.00072635i,0.00024533-0.00021143i,-0.00021731+0.00049193i,-0.0010544+0.00070785i,-0.0013432-2.7969e-05i,-0.00096048+9.7832e-05i,-0.00061476+0.00039259i
