-0.00044435-0.00064189i,-0.00030488-0.0021981i,-0.0016454-0.0015743i,-0.0028467+0.00057016i,-0.0019774+0.0018932i,-0.0005934+0.0019208i,0.00014661+0.001626i,0.00097626+0.0011112i,0.0018022+0.00073701i,0.0020987+0.00059741i,0.0011745+8.8294e-05i,0.00046368-0.00063435i,0.00016433-0.00082271i,-9.2816e-05-2.0746e-05i,0.00018975+0.00020135i,8.7219e-05-0.00033919i,-0.00037383-0.00035845i,-0.00046678-0.00080035i,4.4018e-06-0.0012493i,0.00020003-0.00039662i,0.00060656+0.00082639i,0.00064697+0.0010109i,0.0001853+0.00055464i
-0.00040204-0.00011289i,0.00091696-0.0005349i,0.001635-0.00028757i,0.001507+0.0003688i,0.0013102+0.00022804i,0.00094408-0.00012859i,0.00018668+0.00024887i,-0.00011318+5.5335e-05i,0.00038579-0.00052318i,0.00029354+0.00046528i,-0.00021454+0.001143i,-0.00071351+0.00011389i,-0.00073722-0.00014241i,-0.00058128+0.00061705i,-0.00071548+9.3881e-05i,-0.00069289-0.00024463i,-0.00034023+0.00013615i,0.00031074+0.00029618i,0.00058422+4.7739e-06i,-0.00011225-0.00017755i,-0.00063856+0.00060091i,-0.00068408+0.00072062i,2.9188e-05+5.4193e-05i
0.0020051+0.0024265i,0.0025383+0.0017221i,0.0024684+0.0010844i,0.0016664+0.00029897i,0.00080961-0.00052276i,0.00057134+4.1616e-05i,0.00014684+0.00061662i,0.00010843+0.00022526i,5.0791e-06-0.00016296i,0.000446-0.00032338i,0.00038225+4.1535e-05i,-0.00027811+0.00024735i,-0.00052615+0.00028251i,-0.00072082-0.00011192i,-0.00090869-0.00089595i,-0.00044639-0.00076484i,0.00049709-0.00021188i,0.00087052+0.00013623i,6.8329e-05+0.00040652i,-0.00048162+0.00054425i,0.00026947+9.7273e-05i,0.0012375+6.5372e-05i,0.00061153+0.00011078i
0.00099021-0.0006969i,0.0008734-0.00078938i,0.00016187-0.00072794i,0.0001581-3.3233e-05i,-0.00052014+0.00057254i,-0.00095618+0.00015958i,-0.00016137-0.00029492i,-5.4669e-05-2.1451e-05i,-0.00060801-0.00025136i,-0.00020629-0.00046204i,-0.00031071+9.5991e-05i,-0.00082473-0.0001691i,-0.00065886-0.00047667i,-0.00036441-0.00015888i,0.00010377+0.00043609i,0.00018366+0.0002364i,0.00034656-0.00039286i,0.00048316+6.5523e-05i,-0.00063766+0.0002136i,-0.00060503-0.00041472i,6.7107e-05-0.00050521i,-1.3135e-05+0.000292i,-0.00055235+0.00042949i
0.00087036+0.00086191i,0.00033179+0.00079649i,0.00049809+0.0014612i,0.00075573+0.00095428i,0.00024459+0.00047511i,-0.00023265+0.00030262i,-0.00054392+0.00031612i,-0.00058847+0.00017027i,-0.00015743-0.00055213i,0.00030287-0.00092763i,0.00057927-1.471e-05i,0.00015846+0.00068099i,-0.00032486+0.00044278i,0.00030019+0.00039594i,0.00041909+3.1035e-05i,-0.00034623-0.00011189i,-0.00039931-0.00052136i,9.5948e-05-0.00032579i,-0.00010732+0.00082269i,-0.00072003+0.0011224i,-0.00046642+0.00016286i,-0.00013877-0.00040991i,-0.00011067-0.00078379i
-0.00064962-0.0015954i,-0.0014505-0.00049153i,-0.0013344+0.00034429i,-0.00121+0.00074078i,-0.0013998+0.0006053i,-0.00052842+0.0012549i,0.00068169+0.0010024i,0.0012115-3.9755e-05i,0.00080633-0.00091195i,0.00060819-0.00083022i,0.00032287+3.7831e-05i,-0.00064344+0.00031926i,-0.00083309+0.00035032i,-0.00025637+0.00070028i,6.7031e-05+0.00083297i,0.0005684+0.0010687i,0.00058581+0.0017714i,-9.4035e-05+0.0019631i,-9.725e-05+0.00050204i,-0.00014311-0.0004476i,-0.00036145-0.00066479i,0.0002889-3.927e-05i,0.00062592+0.00035406i
-0.0021851+0.00037482i,-0.0015173+0.00045074i,-0.0010649+0.00044583i,-4.756e-05+0.00020442i,0.00053523+0.00074314i,0.00032722+0.00014144i,0.00048986-0.00029551i,0.00057721+0.00041265i,0.00083364+0.00063304i,0.000766+0.00055681i,0.00010929+0.00056369i,-0.00054955-1.0626e-05i,-0.00022246-0.00065084i,-0.00044859-0.00039992i,-0.00053822-0.00023408i,0.00042289-4.3729e-05i,0.0010448+0.00066946i,0.0009374+0.00059748i,0.00082474+0.00019455i,5.2668e-05+0.00014579i,-0.00065495-0.0001109i,-0.00042325+0.0003102i,0.00056627+0.00089045i
-0.00086138-0.00079091i,-0.00049536-0.001121i,-1.938e-05-0.00087518i,-0.00021116-0.0010037i,-0.0012535-0.0013419i,-0.0012993-0.00020484i,-0.0012297+0.00099593i,-0.00098215+0.0012105i,0.00016007+0.00088484i,-6.6499e-05+0.00011437i,-0.00071653-0.00042368i,-0.0005051-0.0004545i,-0.00027386+0.00035398i,-0.000771+0.0010375i,-0.0010339+0.00079819i,-0.00093127+0.00043763i,8.3159e-05+0.00084463i,0.00081831+0.0011851i,-0.00034577+0.000526i,-0.0010564-0.0005978i,-0.00056513-0.00055728i,-0.00032915-0.00025143i,-0.00021535-0.00047419i
0.0021631+7.6897e-05i,0.002177-0.00045119i,0.0018247-0.00092995i,0.00052864-0.0010727i,-0.00022726-0.00078226i,-0.00016441-0.0001229i,0.00042324+0.00041562i,0.0008031-0.00017477i,0.00033164-0.00091442i,-0.00078575-0.00041657i,-0.00099002-0.00027322i,0.00028748+0.00014163i,0.00025937+0.00021835i,0.00041717-0.00039039i,-5.0937e-05+0.00013956i,-0.0010672+0.00077058i,-0.00065636+0.00066478i,-7.4653e-05+0.00036684i,-0.00026823+0.00042473i,4.8743e-05+0.00032242i,-0.00011149-0.00016699i,-0.00088904-6.1649e-05i,-0.00026661-0.00010497i
-0.0003302-0.00044779i,-0.0016473+0.00031504i,-0.0027259+3.4012e-05i,-0.0028557+4.7491e-05i,-0.0027021+0.00043934i,-0.0012838+0.00070824i,0.00017442+0.00074733i,0.0003452+0.00039004i,0.00037237-0.00066482i,0.00085036-0.0009773i,0.00087775-0.00021845i,0.00053903+0.00061682i,0.00029248+0.00046928i,7.5297e-05+0.00047838i,0.00029673+0.00069369i,0.0004452+0.00049287i,0.00024346+0.00034999i,1.8884e-05+0.00036177i,4.4981e-05+0.000363i,-0.00034191+0.00037713i,-0.00060507+0.00014861i,-0.00038503+0.00023328i,-0.00011313+0.00060153i
-0.0005261-0.00065985i,-0.00016382+0.00016072i,-0.00033761+0.0010875i,-0.00060812+0.0015701i,-0.00011982+0.0012489i,0.00076858+8.842e-05i,0.00083113-1.8368e-05i,0.00054406-0.00036089i,5.5209e-05-0.00084656i,-0.00045704-0.00029889i,3.194e-05-0.00034713i,0.00044542-0.00017153i,0.00024885+0.00049561i,-0.00012097+0.00070773i,-0.00032418+0.0010158i,-0.00018782+0.001056i,-0.00022602-9.2993e-05i,-0.0003275-0.0013085i,2.8051e-05-0.0010094i,-0.00035728-0.0009105i,-0.00069509-0.00071939i,-0.00019668-4.9325e-05i,0.00013955-0.00048223i
