-0.0010316-0.00016145i,-0.0010879-0.0013291i,-0.0028369-0.0017181i,-0.0028289-3.6501e-05i,-0.0013755+0.0018943i,-0.00021713+0.0021456i,0.00077048+0.0020477i,0.0010797+0.0013777i,0.0013752+0.00029i,0.0012884-0.00049147i,0.0010037-0.00095505i,0.0008436-0.00057772i,0.00044489+3.9612e-05i,-1.7274e-05+0.0010151i,8.9147e-05+0.00050347i,-1.9389e-05-0.00019814i,-0.00038519+0.00014635i,-0.00032385-0.00027476i,-0.00011054-0.00087379i,-2.1542e-05-0.00071579i,-0.00018164+0.00029127i,-0.00042338+0.00054297i,-0.00048532+0.00029861i
-0.001765-0.00020665i,-0.0015447+0.0014357i,-0.00026545+0.0027529i,0.00066039+0.0021989i,0.00087238+0.0013976i,0.0015452+0.00034196i,0.0015722-0.00034314i,0.0011044-0.00030966i,0.00070647-0.00057404i,0.00064485-0.0012181i,0.00057618-0.00099088i,0.00018397-0.00062122i,0.00039743-0.00037202i,0.00053594-0.00046457i,0.00085678-0.00034621i,0.00093834+0.00039188i,0.00010576+0.00057261i,-0.00079435-0.00052988i,-0.00052391-0.00090236i,0.00054913-0.00051916i,0.00096869-0.00017148i,0.00019828-0.00028616i,-0.00055224-0.00074059i
0.00010476+0.0015074i,0.000863+0.0010334i,0.0023285+0.0013378i,0.0035112+0.00044084i,0.0030988-0.0011416i,0.0017547-0.0018669i,0.0014332-0.0017706i,0.001429-0.0010432i,0.001002+0.00019252i,0.00068267+0.0006595i,0.00069441-5.3896e-06i,0.00074097+9.7232e-05i,-9.1308e-05-0.00047179i,-0.00086044-0.0011588i,-0.00062946-0.0010648i,-0.00020584-0.000809i,-0.00023198+9.4036e-05i,-8.6597e-05+0.0010451i,-0.00031008+0.00097663i,-0.00035723+0.00036077i,0.00073873+0.00057748i,0.0013374+0.0009017i,0.00060475-0.00047295i
-0.00046491-0.00053262i,-0.00017281+0.00011664i,-0.00092798+0.00041225i,-0.0013236+0.00061269i,-0.0009634+0.00073222i,-0.00052923+0.00023816i,-3.3237e-05+0.00018341i,8.0421e-05+0.00040406i,-1.5662e-05+0.00040292i,0.00019821+0.00050713i,-0.00022534-0.00015176i,-0.0002138-0.00070354i,-0.00031234+0.00048614i,-0.00046633+0.0015266i,0.00043677+0.0012404i,0.00044716+0.0010171i,-0.0003794+0.0010656i,7.5669e-06+0.001082i,0.0005487+0.00038691i,0.00069964-0.00050929i,0.00058728-0.00022476i,0.00028016+0.00034423i,-0.00010499+0.00035384i
-0.0010379+0.00069317i,-0.0012682-0.00021687i,-0.00047422-0.00011054i,0.00096781+0.0003745i,0.0015586+0.00046642i,0.00098061-0.00027269i,0.00054107-0.00071347i,0.00047368-0.00053777i,0.00071742-0.00036517i,-5.728e-05-0.00022312i,-0.0001202-5.9314e-05i,0.00026699-0.0001324i,-0.00028594-0.00055785i,-0.00065704-0.00049945i,-0.00034978+0.0002138i,-0.00012765+0.00074895i,-0.0002946+0.00025506i,-0.00065156-0.00043501i,0.00035441+5.6366e-05i,0.00045891+0.00038285i,0.00016331-0.00032778i,0.00058964+0.00020105i,0.00040149+0.00083989i
-0.0012172+0.0013511i,-0.0011279+0.0014491i,-0.00067929+0.002062i,0.00049717+0.0014699i,0.00095663-0.00055378i,0.0010071-0.0017905i,0.0011115-0.00048447i,0.00092545+0.00048065i,0.00093013-0.00040073i,0.0010516-0.00077842i,9.4543e-05-0.00041873i,-0.00055634-0.00031679i,2.3001e-05-0.0006791i,0.00035106-0.00084351i,0.00071361-0.00081218i,0.00059644-0.00071064i,0.00022808-8.2349e-06i,0.00048594+0.00031267i,0.00050833-0.00052183i,-8.2273e-05-0.00099844i,0.00013563-0.00099834i,0.00048562-6.3606e-05i,0.00025457+0.00099023i
-0.00080475-0.00028353i,-0.00040316+0.00082892i,-0.0005113+0.0014565i,-0.00023546+0.0014364i,0.0015522+0.0011164i,0.0025083+0.00013047i,0.0017643-0.0010529i,0.0011394-0.0010585i,0.00089947-0.00070095i,0.0010065-0.00042031i,0.00056599+0.0004341i,-5.3289e-05+0.00088558i,0.00050671+0.0003231i,0.0010373-0.00012721i,0.0012193-0.00011348i,0.00046692-0.00012969i,8.6935e-05+0.00021816i,0.00042696+0.00032952i,0.00023581-7.0961e-05i,-0.00017823-7.2392e-05i,0.00019693+0.00025386i,0.00042448+0.00049402i,9.2185e-05+0.00066316i
4.3522e-05-0.00060035i,-0.00030196-0.00066917i,-0.00025072-0.00064472i,2.6122e-05-0.00091609i,0.00026804-0.00092311i,0.0004503-0.00048629i,0.00097297-1.3549e-06i,0.0016152-0.00039128i,0.00062565-0.00086273i,0.00033909-0.00045844i,0.00048019+0.00036577i,-0.00015894+0.0010211i,0.00039932+0.00029161i,0.00032983-0.0008825i,-0.00030658+9.2712e-05i,-0.00018698+0.001291i,0.00051034+0.0011456i,0.000887+0.0011284i,0.00051771+0.0014334i,2.7204e-06+0.00088475i,-0.00012222-0.00057224i,-1.2662e-05-0.0014011i,0.00019975-0.00082167i
-0.0008214-0.00020706i,-0.0013801-0.00024769i,-0.0008449+0.00096837i,0.0006461+0.0019859i,0.0014237+0.0013157i,0.0011238+0.00075759i,0.00074787+0.00040864i,0.0010052-7.1591e-05i,0.00056151+0.00013186i,-4.4697e-05+0.00054826i,-0.00017853+0.00060286i,3.0739e-05+5.4023e-05i,0.00011845+0.0003909i,0.00047814+0.00092277i,0.0006613+0.00090021i,0.00042455+0.00098303i,0.00033862+0.0010602i,5.5464e-05+0.00062248i,-0.00034558-0.00031397i,-0.00020215-0.00064394i,-2.7754e-05-0.0003135i,-0.00023325-0.00041912i,-0.00049459-0.00027104i
0.001068+0.0008153i,0.00063913+0.00078358i,0.00073959-0.00033593i,0.0012982-0.0012249i,0.0016492-0.00067912i,0.0012915+0.00016877i,0.00067582+0.00086681i,0.00053025+0.0004312i,0.00082359-0.00011207i,0.00067699-0.00040643i,0.00051382-0.00103i,0.00068696-0.00087328i,8.1168e-05-0.00028513i,-0.00079003+0.00056539i,-0.001311+0.00082113i,-0.000933-5.4159e-05i,-0.0001348-0.00088215i,0.00028115-0.00090883i,-0.00023087-0.00067539i,-0.0010095-0.00056407i,-0.00031843-0.0004009i,0.0003171+0.00020328i,-7.3921e-05+0.00013475i
-5.7052e-05+0.00079785i,-0.0014004+0.00028764i,-0.0019142+0.0012523i,-0.0010112+0.0014468i,0.00043671+0.00054599i,0.00081377+0.00051385i,0.00046777-4.0575e-05i,-0.00032716-0.00070064i,-0.00091219-0.00089426i,-0.00051085-0.00084884i,0.00057161-0.00058889i,0.00089348-0.00061014i,0.00091649-0.00098165i,0.00066391-0.00046113i,0.00020935+0.00056783i,0.0005076+0.00087047i,0.00020482+0.00019765i,0.00024675-0.00020069i,4.4781e-05-0.00082789i,-0.00048537-0.0013269i,-7.4381e-05-0.0011337i,0.00041506-0.00010826i,-0.00039392+0.00024175i
