0.0016295-0.00060595i,0.0013721-0.0023641i,-0.00039981-0.0021859i,-0.001773-0.0016935i,-0.0021808-7.6302e-05i,-0.00175+0.0015708i,-0.0011065+0.0017485i,-0.00016405+0.0013042i,0.0012961+0.00020332i,0.0013486-0.00041283i,0.00027526-0.00079446i,4.6408e-05-0.0010062i,-0.00010956-0.00050078i,-0.00015301+0.00027096i,-6.0371e-05+0.00059157i,-0.00039687+0.00033797i,0.00038793+0.00042182i,0.000818+0.00081257i,-8.5023e-05+0.00043725i,-0.00050293-4.347e-05i,-0.00053602-0.00016878i,-0.00049833-0.00011994i,-0.00051734+0.00034868i
-0.0011318-0.0012895i,-0.0021752+5.9257e-05i,-0.0025407+0.00096832i,-0.0018025+0.0014372i,-0.00079174+0.0018062i,-0.00061748+0.0011559i,-0.00099338-0.00019189i,-0.00017834-0.00026901i,0.00087463-2.7631e-05i,0.00072797+0.00019056i,0.00010576+0.0004352i,-4.1871e-07+0.00041509i,0.0010511+0.00092398i,0.0020579+0.00047545i,0.0024494-0.00013548i,0.0016662+0.00012007i,0.00047318-2.297e-05i,0.00014236+5.6665e-05i,0.00029172+0.00015831i,0.00060291-0.00065554i,0.00040572-0.0013817i,-0.00061871-0.0010532i,-0.0010601+0.00021335i
-0.0012699+0.00013177i,-0.0014083-0.00043574i,-0.0015414+5.0677e-05i,-0.0013449-0.00046205i,-0.00016421-0.0011381i,0.00023572-0.0010659i,-0.00019865-0.0015003i,-0.00070854-0.0014774i,-0.00067384-0.00019602i,-0.00031031+0.00058547i,8.7328e-05+0.00072153i,0.00092856+0.00033609i,0.0012057-0.00052469i,0.00087328-0.00043333i,0.00089233+0.00020325i,-9.8446e-05+0.00021877i,-0.00079558+3.2683e-05i,-0.0010609+0.00083017i,-0.00046974+0.00078132i,1.8511e-05-2.1639e-05i,-0.00075231-0.00052873i,-0.0005214-0.00079324i,0.00046269-0.00048225i
0.00031307-0.0009791i,-0.00089767-0.001003i,-0.0013302-0.00097385i,-0.0023157+0.00013004i,-0.0025478+0.0012342i,-0.0025242+0.0014836i,-0.0019396+0.00069016i,-0.00072602-0.00034652i,0.00022497-0.00016388i,0.00056952+0.00022142i,-0.00015404+0.00053309i,-0.00037216+0.00066485i,-0.0002379+0.00066619i,-0.00046672+0.00080633i,-0.0004052+0.00043954i,6.3367e-05+0.00024544i,0.00059372+0.0010958i,0.0011216+0.000939i,0.0013557+1.6783e-05i,0.001228+5.5068e-05i,0.00067286+0.00037199i,0.0001653+0.00058125i,-0.00051186+0.00085357i
-0.00023929+0.00049856i,0.00017534+0.00064053i,0.00061389+0.00071991i,-0.00036743+0.00022494i,-0.00032713-0.0003396i,0.00034597-0.00012438i,-0.00075247+0.00027256i,-0.0010112+0.00038656i,0.00014178+0.00047698i,0.00054292+0.00048696i,-0.00024956+0.00042725i,-0.00058798-0.00019681i,4.1377e-05-0.00068868i,-2.0767e-05-0.00043751i,-0.00046144-0.00032158i,-0.00032404-0.0005736i,-0.00021444-7.2886e-05i,-0.00017173+0.0011326i,-0.00022711+0.00070467i,-0.00052498-5.5169e-05i,-0.0005422+0.0001315i,4.6465e-05-5.122e-05i,0.00041335-0.00053547i
0.00011667+7.7638e-05i,-0.0002199-0.00058802i,-0.00075781-0.0013107i,-0.0020396-0.0015198i,-0.0027862-0.0012288i,-0.0016902-0.00036812i,-0.00049868-0.00020684i,-0.00073949-9.6165e-05i,-0.00051517-0.00018935i,0.00027464-6.1013e-05i,-0.00061357-0.00025883i,-0.0011958+3.0317e-05i,-0.00040648+0.00049446i,-0.00023724+0.00028187i,-0.0005658+0.00048349i,-0.00051081+0.00056453i,0.00014961-1.8415e-05i,-0.00018309-0.00018827i,-0.00074212+0.00027997i,-0.00042693+0.0002011i,0.00047735-0.0002141i,0.00073872-0.00061424i,0.0001804-0.00053527i
0.0001421-0.0012987i,-0.0003671-0.00079885i,-0.00068844-0.00087074i,-0.0018448-0.00014206i,-0.0031728+0.0011164i,-0.003328+0.0015645i,-0.0015775+0.00079289i,0.00028549+0.00015341i,0.00027102-0.00071391i,-0.0006283-0.00080983i,-0.00056374-0.00015206i,-2.0274e-05+0.00011628i,0.00057397-7.5113e-05i,0.00073766+0.00018359i,0.00048314+0.0011907i,0.00045094+0.00077693i,0.00085238-0.00011294i,0.00062959+0.00025032i,0.00054331+0.00051281i,0.00062793-0.00023299i,-3.8334e-05-0.00031935i,-0.00044881+0.00036334i,-1.8804e-05+0.00057521i
0.0004149+0.0015349i,0.00023915+0.002227i,0.00068199+0.0018833i,0.00085948+0.00037917i,0.00083636-0.0012212i,-0.00050532-0.00149i,-0.0010784-0.00059109i,-0.00037905+0.00019423i,0.00067398+0.0007368i,0.00085473+0.00023199i,-0.00033477-0.00072668i,-0.00085549-0.00027218i,-0.001296+9.8885e-05i,-0.0014327-0.0001978i,-0.0010093+0.00016571i,-0.00076121+0.00056531i,-0.00070874+0.00021879i,-0.00095514+0.00019653i,-0.0007204+0.00040759i,-0.00014644+0.00065445i,-8.3614e-05+0.00028302i,-0.00021078-0.00036894i,-0.00073065-0.00025063i
0.00014697+0.00044174i,-0.00063879-0.00049292i,-0.00062045-0.0016119i,-0.000942-0.0023392i,-0.0021859-0.0027867i,-0.0024664-0.0021278i,-0.0025122-0.0007566i,-0.0021005-0.00040742i,-0.00054205-0.00042614i,0.00079099-0.00024814i,0.00047234+2.4387e-05i,-0.00023758+3.9962e-05i,-0.00016369+0.00035337i,-0.0011008+0.0005694i,-0.0016424-0.00032586i,-0.00088987-0.00049362i,-0.00047866+0.00056449i,-0.00045082+0.00039828i,-0.00040396+0.00016281i,-0.00028956+0.00033952i,-0.00016269+0.00011864i,-0.00028709-1.7584e-05i,-0.00038043+8.5047e-05i
-0.00037922-0.00091734i,-0.00089886+0.00042167i,-0.0013485+0.00055504i,-0.0019943+0.00039355i,-0.0023867+0.000243i,-0.0021352+0.0010358i,-0.0010689+0.0013799i,-0.00060646+0.00094404i,-0.001015+0.00060731i,-0.00099921+0.00010839i,-0.00040188+0.0001117i,0.00051724+0.00051661i,0.00053862+0.00048347i,0.00027254-0.00014179i,0.0003913-8.4517e-05i,0.00044568+5.3933e-05i,0.00026021-0.00067107i,6.1045e-05-0.00029904i,0.00038692+7.6648e-05i,0.00081368+4.5603e-05i,0.00086817+0.00055822i,0.00058321+0.00038342i,0.00028604+0.00033918i
0.0011904+0.0017553i,0.0017661+0.00078553i,0.0019429-0.00081255i,0.001731-0.00088181i,0.0018115-0.00087117i,0.0015797-0.0013156i,0.00018217-0.0010968i,-0.0011854-0.00040767i,-0.00086733-0.00044716i,-0.00033813-0.00047258i,-0.00031767-0.00012771i,0.00015305-0.00013077i,0.00014024-0.00032092i,-0.00071151-0.00035401i,-0.00084102+4.0974e-05i,-0.00044607-2.1098e-05i,-0.00033388-0.0001827i,3.4893e-05+0.0001298i,0.00067119-0.00056577i,0.00098417-0.00091642i,0.0010592+0.00036082i,0.0010178+0.00094868i,0.00022678+0.00041208i
0.0007975+0.0011836i,0.0011194+0.00072922i,0.0010871-0.00015674i,0.00023623-0.00086746i,-0.0006155-0.0010958i,-0.0014762-0.0011942i,-0.0018656-0.001558i,-0.0012631-0.0013292i,-0.00021695-0.00043115i,0.00073016-0.00019584i,0.00066008-0.00015002i,0.00042766-0.00069271i,0.00022349-0.00098951i,-0.00031891-0.00020694i,-0.0011392+0.00055779i,-0.0011294+0.00058859i,-0.00065295+0.00057624i,-0.00049485+0.00036914i,-0.00024613+0.00028986i,-0.0003954+0.00069568i,-0.00032247+0.0010674i,0.00060648+0.00096861i,0.00050532+0.00057739i
0.00045643+0.0027433i,0.00074993+0.0032992i,0.0021501+0.0034979i,0.0027205+0.0022647i,0.0010908+0.00017131i,-0.00079609-0.0016004i,-0.001506-0.0012441i,-0.0012988+0.00018642i,-0.001162+0.00059636i,-0.00041853+8.6447e-05i,-8.2928e-05-0.00011014i,-1.5441e-05+0.00067728i,-0.00069805+0.0008122i,-0.0019377-7.7899e-05i,-0.0017208-0.00035094i,-0.00083224+0.00026787i,-0.00022694+0.00084271i,3.2196e-05+0.0007095i,-0.00063062+0.00065807i,-0.00079773+0.00089453i,-0.00023578+0.00043451i,-0.00016936+0.00020393i,-0.00065987-0.00038745i
3.5952e-05-0.0004499i,-0.00047269-0.00059802i,-0.0014272-0.00087246i,-0.0025555-0.0008523i,-0.0021396-0.00031793i,-0.0010487-0.00025213i,-0.00084452-0.00080561i,-0.00068376-0.00078237i,-0.00090908-0.00046544i,-0.00066109-0.0003897i,1.9872e-06+1.561e-05i,0.0006308+0.00030688i,0.0014509+0.00051044i,0.0010463+0.00081031i,0.00026478+0.001232i,0.00067529+0.0011292i,0.00071781+0.000414i,0.00059286-0.00020303i,0.00080284-0.00043182i,0.00029621-0.00054642i,-0.00039177-0.00054453i,-0.00030298-0.00049864i,7.5733e-05-9.2409e-05i
0.00088834-0.00086852i,0.00078625-0.00024696i,0.00034671+2.9774e-05i,-0.0007259+0.00018797i,-0.0013093+0.0006475i,-0.00072782+0.0001549i,-0.0013823-0.00070452i,-0.0016279-0.00056105i,-0.001486+5.4425e-05i,-0.0014614+3.7435e-05i,-0.00021223-7.5219e-05i,0.00032981+0.00061642i,-0.00014048+0.00080977i,-7.2794e-05+0.00044361i,-0.00058761+4.6956e-05i,-0.0004471-0.00038109i,0.00017813-0.00048291i,0.00025287-0.00025954i,8.8855e-05-0.0002217i,-0.00026097-0.00029556i,0.00038112-7.28e-05i,0.0011762+0.00015051i,0.000963-0.00066006i
0.00014784-0.0013647i,2.2254e-05-0.00071229i,-0.00032935-0.0004084i,-0.00067016-9.8806e-05i,-0.0002754+9.3276e-05i,-0.00040431-0.00016957i,-0.0017283-0.0008804i,-0.0017347-0.0014069i,-0.00012903-0.00041451i,0.00045644+0.00041663i,0.00013851+0.00010272i,0.00052112-0.00020328i,0.00073777+0.00045763i,-7.3008e-05+0.00043604i,-0.0012267-9.1614e-05i,-0.0020308-0.00038327i,-0.0014226-2.7313e-07i,-1.7136e-05-3.086e-05i,0.00033376-1.4345e-07i,0.00053556+0.00043414i,0.00053669+0.00033143i,-0.00023542-5.818e-05i,-0.00062791+0.00015108i
-0.0012683+0.00016644i,-0.0017505+4.9826e-05i,-0.0015673+0.00010317i,-0.00050024+1.9234e-05i,-0.00026246-0.00037916i,-0.00026948-6.1724e-05i,-0.0007823+0.00045999i,-0.00096988-8.1837e-05i,-8.1135e-05-9.3693e-05i,0.00098626+7.3618e-05i,0.0012244-0.00039739i,0.00068525-0.00043267i,0.00019652-0.00061727i,2.4807e-05-0.0015516i,0.00018156-0.0017406i,-0.00016681-0.00061894i,-0.00032712+0.00099385i,0.00042002+0.0013109i,0.00065738+0.00034191i,0.0001573+0.00018213i,0.00014615+0.00040095i,7.847e-05+0.00056773i,-0.00025024+0.001541i
0.00040151-0.00015506i,-9.64e-06-0.00043965i,-0.00013091-0.00091065i,0.00026461-0.00075382i,-8.8649e-05-0.00045595i,-0.0013781-0.0012886i,-0.0014872-0.0009711i,-0.00040209-0.00019342i,0.0004411-0.00011465i,0.0002786-0.00010109i,-0.00021612-4.9375e-05i,-0.00039201+0.00038501i,0.00024327+0.00093627i,5.3232e-05+0.00076955i,-0.00029809+0.00038805i,-0.00019628+0.00086895i,-0.0001101+0.00094671i,0.00059923+0.00020176i,0.00084653+0.00029176i,0.00041278+0.00053459i,0.00028692+0.00043069i,0.00047258+0.00021088i,0.00019422-0.00015286i
0.00020094-0.0011592i,0.00089889+0.00025969i,0.0011629+8.2126e-05i,-0.00032587-0.0008411i,-0.00076641-0.00087753i,-0.00054274-0.00032694i,-0.00041618-0.00062659i,-0.00048884-0.00021863i,-0.00084316+1.0552e-05i,-0.00056217-0.0010929i,-0.00036312-0.0013653i,0.00012257-0.00030582i,0.00011884+0.00046385i,-0.00038953+0.00097295i,-0.00042075+0.00016214i,-0.00071714-5.507e-05i,-0.00022814+8.8763e-05i,0.00052428+3.3601e-05i,0.0008815+0.00011482i,0.00083268-0.00059473i,3.8082e-05-0.00088182i,-0.00019513-0.00027145i,-0.00048371-0.0004201i
0.0019368+0.00050395i,0.0013068-0.0005059i,0.00061085-0.0015846i,-0.00024661-0.0015818i,-0.0013018-0.0014671i,-0.0015393-0.0014386i,-0.001699-0.00094388i,-0.0017877+3.6595e-05i,-0.00049577+0.0001335i,-0.00028732-0.00035363i,-0.00050886+0.00015214i,5.6315e-05+0.00067785i,-0.0010177+0.0003261i,-0.0022231-0.00034516i,-0.0017205-6.7803e-05i,-0.00039116+5.2973e-05i,0.00035071+0.00032639i,9.8099e-05+0.00069484i,9.6497e-05+0.00033306i,0.00015776+2.7026e-05i,0.00059372-0.00083467i,0.0010916-0.0012299i,0.00073207-0.00046233i
0.0015851-0.00088448i,0.00029076-0.0014332i,-9.6572e-05-0.0012651i,-0.00018768-0.00022939i,-0.00095413+0.00021771i,-0.0011611-0.0004383i,-0.00094256-0.00092594i,-0.0014083-0.00039956i,-0.0011476-0.0002428i,-0.00024179+0.00022136i,0.00032509+0.00066666i,0.00051161+0.00046537i,0.00045736+0.00014605i,2.3741e-05+0.0002509i,-0.00049429-1.3289e-05i,0.0002233+0.00032842i,7.7497e-05+0.0004782i,-0.00053927-6.8524e-05i,-0.00070726-0.00038995i,-0.00023974-0.00017474i,-0.00013294-0.00058889i,-8.8221e-05-0.00091965i,-2.5459e-06-0.00034884i
0.00048966-0.0019951i,0.0004982-0.0011123i,-0.0010028-0.00089119i,-0.0018705-0.00056164i,-0.00069973+0.00057743i,0.00044103+0.00096353i,1.633e-05-8.5152e-05i,-0.00088305-0.00054132i,-0.00077262-0.00037477i,5.7571e-05+0.00045198i,0.00023245+0.0010054i,0.0001175+0.00076185i,0.00040414+0.00014487i,5.9652e-05+0.00071044i,-7.5184e-05+0.0010892i,0.00018089+0.00044074i,0.00027973+0.00048181i,0.000488+0.00071859i,0.00063492-0.00015732i,0.0006448-0.00084357i,0.00059175-0.00046522i,-0.00010107-0.0006585i,-0.00044237-0.0010151i
0.0017586+0.0020393i,0.0021239+0.002369i,0.0015124+0.0025617i,0.00065795+0.0010647i,0.00025993+0.0004173i,-0.00048693+0.00015473i,-0.0012315-0.00047486i,-0.00097781-0.00017733i,-4.8273e-05+0.00064104i,-0.0002902+0.0011932i,-0.00094588+0.00088805i,-0.0004311+0.00024829i,-0.00034285+4.5804e-05i,-0.00037801+0.0004089i,-2.7049e-05+0.0011596i,-0.0003404+0.00076061i,-0.00073254-0.00012347i,-4.2681e-05+0.00010867i,0.00031011+0.00026393i,0.000363+0.00038904i,0.00076684+0.00024451i,0.00055886-0.00010149i,-0.00016604-0.00028648i
-0.00011639+0.00095809i,-0.00075029+0.00095242i,-0.00029835+0.00036365i,-0.00045802-8.7454e-05i,-0.0009614-0.00046294i,-0.00040637-0.00074927i,-0.00043143-0.0009101i,-0.00023935-0.00051486i,0.00074379-0.00031913i,0.00071113-0.00028493i,0.00066526+0.00036484i,0.00041799+0.00041747i,0.0002556+0.00070982i,0.00064458+0.0015618i,0.00051024+0.0010698i,0.00025686+0.00062235i,-0.00010681+0.00059041i,-0.00019276+6.7056e-05i,0.00030668-0.00041595i,0.0005622-0.00048449i,-4.7691e-05-6.0789e-05i,-0.00011583+0.00052049i,-9.9102e-05+0.001159i
0.00028133+0.00024125i,-0.0006099+0.00066631i,-0.0013084+0.00050178i,-0.0013196-0.00057247i,-0.0019325-0.0010706i,-0.0018035-0.0011789i,-0.00089544-0.0011256i,0.00015144-0.0012113i,0.00095931-0.0012178i,0.00038775-0.00091258i,-3.1054e-05-0.0008281i,-2.0388e-05-0.0012373i,0.00013617-0.00087969i,-5.6776e-05-0.00033743i,4.6452e-05-1.2279e-05i,0.00080646+0.00029213i,0.00042676-0.00029455i,-0.00073621-0.00028163i,-0.00092551+0.000243i,-9.5872e-05+0.00084509i,0.00032292+0.0010143i,9.1853e-05+0.00032845i,0.00037671+1.4472e-05i
-0.0017077-1.2392e-05i,-0.0019323+0.00016655i,-0.0018592+0.0004942i,-0.0010411+0.00095614i,-0.00085811+0.00057337i,-0.00090531-0.00010798i,-0.00084782-3.287e-05i,-0.00067941+0.00036427i,-0.00041091-0.00011811i,0.00039428-0.00031993i,0.00071114+0.00037833i,0.00096007+0.00085832i,0.0012354+0.00054149i,0.00078422-3.966e-05i,0.00082833+0.0001772i,0.0010896-6.8856e-05i,0.0008454-0.00060633i,9.1666e-05-0.00077055i,-0.00029535-0.00063502i,9.8296e-05+0.00017974i,-6.4346e-05+0.00081188i,-0.00016226+0.00082778i,0.0001368+0.00095266i
0.00041997+0.00044644i,2.2673e-06-0.00021147i,-0.0005659-0.0012186i,-0.001403-0.00079266i,-0.0015125+0.00043458i,-0.00029812+0.00039295i,8.6975e-05-0.00047517i,0.00013081-0.00061288i,0.00054671-0.00044062i,0.00065831+0.00010131i,0.00029829+0.00064711i,7.7851e-05+0.00024994i,0.00014215-0.00012713i,-0.00014175+1.749e-05i,-0.00022273+0.00044153i,-0.00014743+0.00046691i,-0.00015785+2.9691e-08i,-0.00024467-0.00052765i,-0.0006326-0.00016421i,-0.0006545+0.00046075i,-0.00022932+6.477e-05i,-0.00044752+0.0010071i,-0.00057507+0.0017055i
0.00024629+0.0014633i,0.00021744+0.001776i,-0.0010684+0.0012419i,-0.00067306+0.0009678i,-0.00053528+0.00039446i,-0.0011239-0.00047095i,-0.0010952-0.00092503i,-0.00087024-0.00058769i,-0.00036994+7.9369e-05i,9.7202e-07-0.00013109i,-7.8251e-05-0.00024275i,-1.9284e-05-0.00016178i,0.00011441+2.0059e-05i,-0.00023823+0.00053531i,-0.0001437+0.00070155i,0.0004972+0.00016448i,0.00064055+0.00039261i,0.00074168+0.001205i,0.0010549+0.00094202i,0.00057361+0.00037048i,2.468e-05+0.00067756i,0.00012838+0.00041731i,0.00046434+8.2323e-05i
-0.00068738-4.662e-05i,-0.00054777+0.00015435i,-0.00077012-0.0009295i,-0.00069797-0.0006734i,-0.0012647-2.7644e-05i,-0.0012084-8.298e-05i,-0.00049835+0.00016721i,-0.00067726+0.0005884i,-0.00047339+0.00087365i,-0.00017902+0.0013709i,-0.00045633+0.0012338i,-0.00073682+0.00029539i,-0.00039421+0.00024959i,-0.00042462+0.00076815i,-0.00064718+0.0007073i,-0.00010024+0.00060657i,0.00017162+0.0009626i,0.00046711+0.0011573i,0.00047261+0.0011751i,0.00049326+0.0013161i,0.00057993+0.00062394i,0.00043809-0.00084396i,0.00062687-0.00047605i
-0.00019577-0.00035778i,-0.0013423+0.00075925i,-0.0021105+0.00067944i,-0.0020624-0.00017597i,-0.0016397-0.00018189i,-0.0013148+0.00015216i,-0.00094326-0.00041665i,-0.00054827-0.001248i,-0.00089994-0.0012253i,-0.00070702-0.00073977i,-0.00012974+5.4045e-05i,0.00038569+0.00046327i,0.0005842+0.00034932i,0.00079242-7.7032e-05i,0.00089411+0.00033324i,0.00057344+0.00075562i,0.00058387+0.00044014i,5.2367e-05-4.9219e-05i,-0.00033768-0.00055818i,-0.00039783-0.00041419i,-0.00059857+0.00038505i,-0.00037537+0.0010997i,0.00011041+0.00097603i
-0.00014592-0.00091593i,-0.0012097-0.0003988i,-0.0012261-0.00025607i,-0.00024548-0.00017276i,8.042e-05-5.1167e-06i,0.00038333-3.6857e-05i,-8.6267e-05-0.0002039i,-0.0011179-0.00014889i,-0.00055672-0.0002074i,0.0002858-3.5432e-05i,-4.1989e-05+0.00011853i,-0.00013416+0.00012912i,0.00040289+0.00060871i,0.00063057+0.00024677i,0.00074305-0.00010926i,0.00067284-0.00017843i,0.00019094-0.00021007i,-2.8688e-05+8.9076e-05i,-2.0999e-05+0.00025289i,-6.81e-05+0.00037103i,-2.512e-05+0.00010986i,0.00027862+0.00012056i,0.00059425+0.00091465i
